trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.287197399,9.999999747378752e-06,1.0,0,2.2919411659240723,1736751014.070507,,,,,,
1,1,27.040233607,9.999999747378752e-06,2.0,0,2.2951250076293945,1736751014.8236053,,,,,,
2,2,27.793853642,9.999999747378752e-06,3.0,0,2.1810364723205566,1736751015.5772595,,,,,,
3,3,28.546153733,9.999999747378752e-06,4.0,0,2.277556896209717,1736751016.3295493,,,,,,
4,4,29.300954673,9.999999747378752e-06,5.0,0,2.1901357173919678,1736751017.084344,,,,,,
5,5,30.052834373,9.999999747378752e-06,6.0,0,2.081087350845337,1736751017.836251,,,,,,
6,6,30.806916806,9.999999747378752e-06,7.0,0,1.8636529445648193,1736751018.5903091,,,,,,
7,7,31.562735486,9.999999747378752e-06,8.0,0,1.8853436708450317,1736751019.3461475,,,,,,
8,8,32.3175386,9.999999747378752e-06,9.0,0,1.770897388458252,1736751020.100959,,,,,,
9,9,33.07308688,9.999999747378752e-06,10.0,0,1.6885027885437012,1736751020.8564901,,,,,,
10,10,33.82719881,9.999999747378752e-06,11.0,0,1.616358995437622,1736751021.6105895,,,,,,
11,11,34.58437111,9.999999747378752e-06,12.0,0,1.314411997795105,1736751022.3677793,,,,,,
12,12,35.339450036,9.999999747378752e-06,13.0,0,1.2513675689697266,1736751023.1228237,,,,,,
13,13,36.093875637,9.999999747378752e-06,14.0,0,1.2628084421157837,1736751023.8772988,,,,,,
14,14,36.849291059,9.999999747378752e-06,15.0,0,1.215693473815918,1736751024.632701,,,,,,
15,15,37.606798047,9.999999747378752e-06,16.0,0,1.277713418006897,1736751025.3901956,,,,,,
16,16,38.362253031,9.999999747378752e-06,17.0,0,0.9390035271644592,1736751026.1456773,,,,,,
17,17,39.120996548,9.999999747378752e-06,18.0,0,0.9256027936935425,1736751026.9044065,,,,,,
18,18,39.878280942,9.999999747378752e-06,19.0,0,0.6063969731330872,1736751027.6616778,,,,,,
19,19,40.634429567,9.999999747378752e-06,20.0,0,0.7599363923072815,1736751028.4178214,,,,,,
20,20,41.391334917,9.999999747378752e-06,21.0,0,0.6436446309089661,1736751029.1747437,,,,,,
21,21,42.147478151,9.999999747378752e-06,22.0,0,0.534228503704071,1736751029.9308996,,,,,,
22,22,42.903576865,9.999999747378752e-06,23.0,0,0.6081913709640503,1736751030.6869807,,,,,,
23,23,43.661137431,9.999999747378752e-06,24.0,0,0.5943941473960876,1736751031.444534,,,,,,
24,24,44.417349904,9.999999747378752e-06,25.0,0,0.4076104760169983,1736751032.2007756,,,,,,
25,25,45.173856058,9.999999747378752e-06,26.0,0,0.4875952899456024,1736751032.9572723,,,,,,
26,26,45.930246961,9.999999747378752e-06,27.0,0,0.47182995080947876,1736751033.713641,,,,,,
27,27,46.688880471,9.999999747378752e-06,28.0,0,0.4375525116920471,1736751034.472291,,,,,,
28,28,47.445840155,9.999999747378752e-06,29.0,0,0.48333078622817993,1736751035.2292478,,,,,,
29,29,48.204768927,9.999999747378752e-06,30.0,0,0.4589793086051941,1736751035.9881856,,,,,,
30,30,48.963247139,9.999999747378752e-06,31.0,0,0.4373633563518524,1736751036.746624,,,,,,
31,31,49.722846549,9.999999747378752e-06,32.0,0,0.4315761625766754,1736751037.5062034,,,,,,
32,32,50.482368252,9.999999747378752e-06,33.0,0,0.33160653710365295,1736751038.265787,,,,,,
33,33,51.242072855,9.999999747378752e-06,34.0,0,0.25259676575660706,1736751039.0254927,,,,,,
34,34,52.002552043,9.999999747378752e-06,35.0,0,0.34889718890190125,1736751039.7859468,,,,,,
35,35,52.762992345,9.999999747378752e-06,36.0,0,0.4298759698867798,1736751040.5463824,,,,,,
36,36,53.522922842,9.999999747378752e-06,37.0,0,0.3948805630207062,1736751041.306343,,,,,,
37,37,54.283351901,9.999999747378752e-06,38.0,0,0.2684999108314514,1736751042.0667472,,,,,,
38,38,55.043929501,9.999999747378752e-06,39.0,0,0.24885481595993042,1736751042.8273346,,,,,,
39,39,55.804150567,9.999999747378752e-06,40.0,0,0.2915586233139038,1736751043.5875623,,,,,,
40,40,56.564833843,9.999999747378752e-06,41.0,0,0.3474600315093994,1736751044.3482618,,,,,,
41,41,57.325653017,9.999999747378752e-06,42.0,0,0.22532138228416443,1736751045.1090598,,,,,,
42,42,58.086040292,9.999999747378752e-06,43.0,0,0.22980768978595734,1736751045.869424,,,,,,
43,43,58.847479181,9.999999747378752e-06,44.0,0,0.20526066422462463,1736751046.6308825,,,,,,
44,44,59.608160187,9.999999747378752e-06,45.0,0,0.17170758545398712,1736751047.3915806,,,,,,
45,45,60.369583487,9.999999747378752e-06,46.0,0,0.38799601793289185,1736751048.1529825,,,,,,
46,46,61.130848153,9.999999747378752e-06,47.0,0,0.22429907321929932,1736751048.9142582,,,,,,
47,47,61.891233944,9.999999747378752e-06,48.0,0,0.20000892877578735,1736751049.6746318,,,,,,
48,48,62.652458646,9.999999747378752e-06,49.0,0,0.30080386996269226,1736751050.4358528,,,,,,
49,49,63.413616156,9.999999747378752e-06,50.0,0,0.27237120270729065,1736751051.19704,,,,,,
50,50,64.175054092,9.999999747378752e-06,51.0,0,0.21945776045322418,1736751051.9584281,,,,,,
51,51,64.936295902,9.999999747378752e-06,52.0,0,0.16254009306430817,1736751052.7196996,,,,,,
52,52,65.697449598,9.999999747378752e-06,53.0,0,0.13888131082057953,1736751053.4808686,,,,,,
53,53,66.458946556,9.999999747378752e-06,54.0,0,0.24883215129375458,1736751054.242344,,,,,,
54,54,67.220949169,9.999999747378752e-06,55.0,0,0.22671326994895935,1736751055.0043716,,,,,,
55,55,67.982238006,9.999999747378752e-06,56.0,0,0.23337560892105103,1736751055.7656553,,,,,,
56,56,68.743385971,9.999999747378752e-06,57.0,0,0.19944842159748077,1736751056.5267906,,,,,,
57,57,69.504643546,9.999999747378752e-06,58.0,0,0.18679076433181763,1736751057.2880695,,,,,,
58,58,70.26601413,9.999999747378752e-06,59.0,0,0.19492380321025848,1736751058.0493858,,,,,,
59,59,71.028316099,9.999999747378752e-06,60.0,0,0.3188009262084961,1736751058.8116937,,,,,,
60,60,71.789507347,9.999999747378752e-06,61.0,0,0.20310719311237335,1736751059.572963,,,,,,
61,61,72.551570631,9.999999747378752e-06,62.0,0,0.11427272111177444,1736751060.3349698,,,,,,
62,62,73.313119203,9.999999747378752e-06,63.0,0,0.203713521361351,1736751061.0965235,,,,,,
63,63,74.074693651,9.999999747378752e-06,64.0,0,0.20366808772087097,1736751061.8581011,,,,,,
64,64,74.836596037,9.999999747378752e-06,65.0,0,0.24017101526260376,1736751062.6199956,,,,,,
65,65,75.597748926,9.999999747378752e-06,66.0,0,0.22929947078227997,1736751063.3811662,,,,,,
66,66,76.359944889,9.999999747378752e-06,67.0,0,0.24233964085578918,1736751064.1433625,,,,,,
67,67,77.122031425,9.999999747378752e-06,68.0,0,0.20641785860061646,1736751064.9054468,,,,,,
68,68,77.884521798,9.999999747378752e-06,69.0,0,0.09256042540073395,1736751065.6679342,,,,,,
69,69,78.646659024,9.999999747378752e-06,70.0,0,0.1385193020105362,1736751066.430041,,,,,,
70,70,79.409473318,9.999999747378752e-06,71.0,0,0.2804156243801117,1736751067.1928897,,,,,,
71,71,80.171396568,9.999999747378752e-06,72.0,0,0.15271833539009094,1736751067.9548244,,,,,,
72,72,80.933474073,9.999999747378752e-06,73.0,0,0.1370667666196823,1736751068.7168589,,,,,,
73,73,81.69553891,9.999999747378752e-06,74.0,0,0.16367444396018982,1736751069.478996,,,,,,
74,74,82.457384673,9.999999747378752e-06,75.0,0,0.10132542997598648,1736751070.2408028,,,,,,
75,75,83.219776682,9.999999747378752e-06,76.0,0,0.14253535866737366,1736751071.0031946,,,,,,
76,76,83.981623204,9.999999747378752e-06,77.0,0,0.09432847052812576,1736751071.7650414,,,,,,
77,77,84.74401459,9.999999747378752e-06,78.0,0,0.0916949063539505,1736751072.527405,,,,,,
78,78,85.505827315,9.999999747378752e-06,79.0,0,0.23785974085330963,1736751073.289239,,,,,,
79,79,86.267443888,9.999999747378752e-06,80.0,0,0.21784935891628265,1736751074.0508657,,,,,,
80,80,87.029210792,9.999999747378752e-06,81.0,0,0.12285531312227249,1736751074.8126059,,,,,,
81,81,87.791283817,9.999999747378752e-06,82.0,0,0.19711317121982574,1736751075.574697,,,,,,
82,82,88.553446776,9.999999747378752e-06,83.0,0,0.20109838247299194,1736751076.3368688,,,,,,
83,83,89.316573115,9.999999747378752e-06,84.0,0,0.12665647268295288,1736751077.0999432,,,,,,
84,84,90.078955547,9.999999747378752e-06,85.0,0,0.13948695361614227,1736751077.8623664,,,,,,
