trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,28.894275174,9.999999747378752e-06,1.0,0,1.8201953172683716,1736854597.1200483,,,,,,
1,1,29.348408438,9.999999747378752e-06,2.0,0,1.0119308233261108,1736854597.5741992,,,,,,
2,2,29.805623003,9.999999747378752e-06,3.0,0,0.625167191028595,1736854598.0313857,,,,,,
3,3,30.261250947,9.999999747378752e-06,4.0,0,0.533355176448822,1736854598.4870331,,,,,,
4,4,30.717316848,9.999999747378752e-06,5.0,0,0.3693104684352875,1736854598.9431298,,,,,,
5,5,31.172107227,9.999999747378752e-06,6.0,0,0.30977335572242737,1736854599.3978975,,,,,,
6,6,31.62524282,9.999999747378752e-06,7.0,0,0.3173895478248596,1736854599.8510535,,,,,,
7,7,32.077922208,9.999999747378752e-06,8.0,0,0.28004035353660583,1736854600.303679,,,,,,
8,8,32.533986117,9.999999747378752e-06,9.0,0,0.2786484956741333,1736854600.7597651,,,,,,
9,9,32.988965657,9.999999747378752e-06,10.0,0,0.28302067518234253,1736854601.2147064,,,,,,
10,10,33.442214582,9.999999747378752e-06,11.0,0,0.40434902906417847,1736854601.6679938,,,,,,
11,11,33.894388083,9.999999747378752e-06,12.0,0,0.23238323628902435,1736854602.120202,,,,,,
12,12,34.347192579,9.999999747378752e-06,13.0,0,0.3605359196662903,1736854602.5727115,,,,,,
13,13,34.800080802,9.999999747378752e-06,14.0,0,0.2700042724609375,1736854603.0258534,,,,,,
14,14,35.253075233,9.999999747378752e-06,15.0,0,0.16844965517520905,1736854603.4788501,,,,,,
15,15,35.707287447,9.999999747378752e-06,16.0,0,0.35656920075416565,1736854603.9330873,,,,,,
16,16,36.163363979,9.999999747378752e-06,17.0,0,0.21668721735477448,1736854604.3892138,,,,,,
17,17,36.624816717,9.999999747378752e-06,18.0,0,0.1687888205051422,1736854604.8505697,,,,,,
18,18,37.078420944,9.999999747378752e-06,19.0,0,0.16146411001682281,1736854605.304033,,,,,,
19,19,37.533911846,9.999999747378752e-06,20.0,0,0.09293067455291748,1736854605.7596517,,,,,,
20,20,37.98709281,9.999999747378752e-06,21.0,0,0.12764596939086914,1736854606.2126522,,,,,,
21,21,38.442405499,9.999999747378752e-06,22.0,0,0.211724191904068,1736854606.6682055,,,,,,
22,22,38.895439098,9.999999747378752e-06,23.0,0,0.2972715497016907,1736854607.121205,,,,,,
23,23,39.349334963,9.999999747378752e-06,24.0,0,0.15170210599899292,1736854607.5751355,,,,,,
24,24,39.805655645,9.999999747378752e-06,25.0,0,0.29187071323394775,1736854608.0314257,,,,,,
25,25,40.259524509,9.999999747378752e-06,26.0,0,0.24941065907478333,1736854608.4851592,,,,,,
26,26,40.712786592,9.999999747378752e-06,27.0,0,0.1034402847290039,1736854608.9385815,,,,,,
27,27,41.166211657,9.999999747378752e-06,28.0,0,0.20381686091423035,1736854609.3920004,,,,,,
28,28,41.619014473,9.999999747378752e-06,29.0,0,0.1040692925453186,1736854609.8447864,,,,,,
29,29,42.07347012,9.999999747378752e-06,30.0,0,0.09232986718416214,1736854610.2992291,,,,,,
30,30,42.529171406,9.999999747378752e-06,31.0,0,0.0744246318936348,1736854610.754771,,,,,,
31,31,42.982503895,9.999999747378752e-06,32.0,0,0.10012739896774292,1736854611.2081227,,,,,,
32,32,43.435985137,9.999999747378752e-06,33.0,0,0.09414086490869522,1736854611.6617277,,,,,,
33,33,43.890455879,9.999999747378752e-06,34.0,0,0.21444572508335114,1736854612.1162221,,,,,,
34,34,44.344361203,9.999999747378752e-06,35.0,0,0.10108616203069687,1736854612.5700035,,,,,,
35,35,44.798767312,9.999999747378752e-06,36.0,0,0.18810412287712097,1736854613.0245483,,,,,,
36,36,45.252836853,9.999999747378752e-06,37.0,0,0.16704916954040527,1736854613.4786022,,,,,,
37,37,45.706496679,9.999999747378752e-06,38.0,0,0.06165686622262001,1736854613.9323056,,,,,,
38,38,46.160297557,9.999999747378752e-06,39.0,0,0.08377249538898468,1736854614.3860917,,,,,,
39,39,46.614410329,9.999999747378752e-06,40.0,0,0.12877444922924042,1736854614.839951,,,,,,
40,40,47.068041679,9.999999747378752e-06,41.0,0,0.2377336621284485,1736854615.2938075,,,,,,
41,41,47.522836754,9.999999747378752e-06,42.0,0,0.10201896727085114,1736854615.748445,,,,,,
42,42,47.976753815,9.999999747378752e-06,43.0,0,0.22153182327747345,1736854616.2025294,,,,,,
43,43,48.430960903,9.999999747378752e-06,44.0,0,0.17932382225990295,1736854616.6566799,,,,,,
44,44,48.886119009,9.999999747378752e-06,45.0,0,0.06114819273352623,1736854617.111934,,,,,,
45,45,49.340766379,9.999999747378752e-06,46.0,0,0.0853889137506485,1736854617.566552,,,,,,
46,46,49.795659088,9.999999747378752e-06,47.0,0,0.05397356301546097,1736854618.0212777,,,,,,
47,47,50.249409544,9.999999747378752e-06,48.0,0,0.07341460883617401,1736854618.4751601,,,,,,
48,48,50.703334856,9.999999747378752e-06,49.0,0,0.03410956263542175,1736854618.9289925,,,,,,
49,49,51.163338644,9.999999747378752e-06,50.0,0,0.06711806356906891,1736854619.3891275,,,,,,
50,50,51.618089859,9.999999747378752e-06,51.0,0,0.16457369923591614,1736854619.8438716,,,,,,
51,51,52.072631448,9.999999747378752e-06,52.0,0,0.19993765652179718,1736854620.2984025,,,,,,
52,52,52.528985956,9.999999747378752e-06,53.0,0,0.05227484554052353,1736854620.7547383,,,,,,
53,53,52.983132656,9.999999747378752e-06,54.0,0,0.18058612942695618,1736854621.208968,,,,,,
54,54,53.437581166,9.999999747378752e-06,55.0,0,0.05997956544160843,1736854621.6633818,,,,,,
55,55,53.892342291,9.999999747378752e-06,56.0,0,0.18991927802562714,1736854622.1178575,,,,,,
56,56,54.346471084,9.999999747378752e-06,57.0,0,0.08675691485404968,1736854622.572248,,,,,,
57,57,54.802300662,9.999999747378752e-06,58.0,0,0.10498982667922974,1736854623.028117,,,,,,
58,58,55.256800197,9.999999747378752e-06,59.0,0,0.0859975665807724,1736854623.4825895,,,,,,
59,59,55.711054795,9.999999747378752e-06,60.0,0,0.1070110946893692,1736854623.936833,,,,,,
60,60,56.165369042,9.999999747378752e-06,61.0,0,0.11118494719266891,1736854624.3911524,,,,,,
61,61,56.620976024,9.999999747378752e-06,62.0,0,0.18487542867660522,1736854624.8467267,,,,,,
62,62,57.075212785,9.999999747378752e-06,63.0,0,0.10517740249633789,1736854625.301034,,,,,,
63,63,57.531915323,9.999999747378752e-06,64.0,0,0.08380310237407684,1736854625.7576807,,,,,,
64,64,57.98722822,9.999999747378752e-06,65.0,0,0.03264380246400833,1736854626.213013,,,,,,
65,65,58.441685406,9.999999747378752e-06,66.0,0,0.16462956368923187,1736854626.6675134,,,,,,
66,66,58.896971512,9.999999747378752e-06,67.0,0,0.13665249943733215,1736854627.1227517,,,,,,
67,67,59.351918012,9.999999747378752e-06,68.0,0,0.029572755098342896,1736854627.5776734,,,,,,
68,68,59.807424537,9.999999747378752e-06,69.0,0,0.07529785484075546,1736854628.0332453,,,,,,
69,69,60.264350602,9.999999747378752e-06,70.0,0,0.05284794792532921,1736854628.4901032,,,,,,
70,70,60.718955623,9.999999747378752e-06,71.0,0,0.13557283580303192,1736854628.9447598,,,,,,
71,71,61.174070315,9.999999747378752e-06,72.0,0,0.04343141242861748,1736854629.3998556,,,,,,
72,72,61.630393545,9.999999747378752e-06,73.0,0,0.08208239078521729,1736854629.856195,,,,,,
73,73,62.085378021,9.999999747378752e-06,74.0,0,0.1907673329114914,1736854630.3111649,,,,,,
74,74,62.540368152,9.999999747378752e-06,75.0,0,0.16657106578350067,1736854630.7661521,,,,,,
75,75,62.994576598,9.999999747378752e-06,76.0,0,0.08907774090766907,1736854631.220362,,,,,,
76,76,63.4560914,9.999999747378752e-06,77.0,0,0.14467895030975342,1736854631.681876,,,,,,
77,77,63.913795801,9.999999747378752e-06,78.0,0,0.06321815401315689,1736854632.139596,,,,,,
78,78,64.368101774,9.999999747378752e-06,79.0,0,0.18352428078651428,1736854632.5938706,,,,,,
79,79,64.823047632,9.999999747378752e-06,80.0,0,0.09980852156877518,1736854633.0487926,,,,,,
