trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,27.806921799,9.999999747378752e-06,1.0,0,0.7500552535057068,1736736131.8277774,,,,,,
1,1,28.560351951,9.999999747378752e-06,2.0,0,1.390242338180542,1736736132.5811977,,,,,,
2,2,29.312759945,9.999999747378752e-06,3.0,0,0.6168845891952515,1736736133.3336253,,,,,,
3,3,30.069186374,9.999999747378752e-06,4.0,0,0.47371429204940796,1736736134.0900328,,,,,,
4,4,30.8218984,9.999999747378752e-06,5.0,0,0.548372745513916,1736736134.8427486,,,,,,
5,5,31.58057332,9.999999747378752e-06,6.0,0,0.638131856918335,1736736135.6014085,,,,,,
6,6,32.337496163,9.999999747378752e-06,7.0,0,0.5963398814201355,1736736136.3583553,,,,,,
7,7,33.093527198,9.999999747378752e-06,8.0,0,0.6122488975524902,1736736137.1143746,,,,,,
8,8,33.84965121,9.999999747378752e-06,9.0,0,0.42972126603126526,1736736137.8704765,,,,,,
9,9,34.606976061,9.999999747378752e-06,10.0,0,0.8340455889701843,1736736138.6278262,,,,,,
10,10,35.362732329,9.999999747378752e-06,11.0,0,0.8096259832382202,1736736139.3835864,,,,,,
11,11,36.11960568,9.999999747378752e-06,12.0,0,0.42277947068214417,1736736140.140454,,,,,,
12,12,36.875831472,9.999999747378752e-06,13.0,0,0.5971177220344543,1736736140.896711,,,,,,
13,13,37.632452796,9.999999747378752e-06,14.0,0,0.6548337936401367,1736736141.653306,,,,,,
14,14,38.388804611,9.999999747378752e-06,15.0,0,0.4665291905403137,1736736142.4096537,,,,,,
15,15,39.146400237,9.999999747378752e-06,16.0,0,0.6993353962898254,1736736143.1672258,,,,,,
16,16,39.909254708,9.999999747378752e-06,17.0,0,0.7998066544532776,1736736143.9300888,,,,,,
17,17,40.66624075,9.999999747378752e-06,18.0,0,0.557343065738678,1736736144.687071,,,,,,
18,18,41.423755391,9.999999747378752e-06,19.0,0,0.4667023718357086,1736736145.444664,,,,,,
19,19,42.181309269,9.999999747378752e-06,20.0,0,0.4110567569732666,1736736146.2021568,,,,,,
20,20,42.937915429,9.999999747378752e-06,21.0,0,0.4905550181865692,1736736146.9587667,,,,,,
21,21,43.696492064,9.999999747378752e-06,22.0,0,0.45569974184036255,1736736147.7173436,,,,,,
22,22,44.453815406,9.999999747378752e-06,23.0,0,0.39793357253074646,1736736148.474623,,,,,,
23,23,45.211501209,9.999999747378752e-06,24.0,0,0.33329933881759644,1736736149.2323503,,,,,,
24,24,45.968859928,9.999999747378752e-06,25.0,0,0.29466545581817627,1736736149.9897132,,,,,,
25,25,46.726731301,9.999999747378752e-06,26.0,0,0.29271456599235535,1736736150.7475998,,,,,,
26,26,47.4846292,9.999999747378752e-06,27.0,0,0.30990755558013916,1736736151.5054793,,,,,,
27,27,48.242786616,9.999999747378752e-06,28.0,0,0.4204115569591522,1736736152.2636218,,,,,,
28,28,49.002408373,9.999999747378752e-06,29.0,0,0.4576451778411865,1736736153.023256,,,,,,
29,29,49.762567622,9.999999747378752e-06,30.0,0,0.2530943751335144,1736736153.7834215,,,,,,
30,30,50.522209771,9.999999747378752e-06,31.0,0,0.3561049997806549,1736736154.5430624,,,,,,
31,31,51.282003188,9.999999747378752e-06,32.0,0,0.37643858790397644,1736736155.302891,,,,,,
32,32,52.042720254,9.999999747378752e-06,33.0,0,0.26713842153549194,1736736156.0635726,,,,,,
33,33,52.803391852,9.999999747378752e-06,34.0,0,0.3263477087020874,1736736156.82424,,,,,,
34,34,53.564432181,9.999999747378752e-06,35.0,0,0.2842008173465729,1736736157.5852826,,,,,,
35,35,54.325791864,9.999999747378752e-06,36.0,0,0.48153266310691833,1736736158.3465824,,,,,,
36,36,55.08665548,9.999999747378752e-06,37.0,0,0.2894870936870575,1736736159.1075072,,,,,,
37,37,55.848056663,9.999999747378752e-06,38.0,0,0.32194221019744873,1736736159.8689086,,,,,,
38,38,56.608879575,9.999999747378752e-06,39.0,0,0.2391386479139328,1736736160.6297562,,,,,,
39,39,57.369475892,9.999999747378752e-06,40.0,0,0.267305463552475,1736736161.3903341,,,,,,
40,40,58.129847208,9.999999747378752e-06,41.0,0,0.37620291113853455,1736736162.1507008,,,,,,
41,41,58.891398172,9.999999747378752e-06,42.0,0,0.2641776502132416,1736736162.9122446,,,,,,
42,42,59.652052066,9.999999747378752e-06,43.0,0,0.21252043545246124,1736736163.6729066,,,,,,
43,43,60.413509682,9.999999747378752e-06,44.0,0,0.28198498487472534,1736736164.4343486,,,,,,
44,44,61.174331308,9.999999747378752e-06,45.0,0,0.29005029797554016,1736736165.195219,,,,,,
45,45,61.935339915,9.999999747378752e-06,46.0,0,0.22862854599952698,1736736165.9562101,,,,,,
46,46,62.696913688,9.999999747378752e-06,47.0,0,0.294535756111145,1736736166.7177522,,,,,,
47,47,63.458266784,9.999999747378752e-06,48.0,0,0.42975538969039917,1736736167.4791095,,,,,,
48,48,64.220228394,9.999999747378752e-06,49.0,0,0.2914407253265381,1736736168.2410705,,,,,,
49,49,64.982402856,9.999999747378752e-06,50.0,0,0.5170570611953735,1736736169.0032482,,,,,,
50,50,65.743930597,9.999999747378752e-06,51.0,0,0.7460817694664001,1736736169.7647765,,,,,,
51,51,66.505303702,9.999999747378752e-06,52.0,0,0.3406791388988495,1736736170.5261812,,,,,,
52,52,67.267608117,9.999999747378752e-06,53.0,0,0.2341066151857376,1736736171.2884564,,,,,,
53,53,68.028682505,9.999999747378752e-06,54.0,0,0.3182057738304138,1736736172.0495331,,,,,,
54,54,68.790175184,9.999999747378752e-06,55.0,0,0.5761933326721191,1736736172.8110063,,,,,,
55,55,69.551876536,9.999999747378752e-06,56.0,0,0.5095053911209106,1736736173.5727336,,,,,,
56,56,70.31347102,9.999999747378752e-06,57.0,0,0.4323587715625763,1736736174.3343234,,,,,,
57,57,71.075062261,9.999999747378752e-06,58.0,0,0.2896342873573303,1736736175.095896,,,,,,
58,58,71.837449444,9.999999747378752e-06,59.0,0,0.3132656216621399,1736736175.8583143,,,,,,
59,59,72.599299317,9.999999747378752e-06,60.0,0,0.38551992177963257,1736736176.620149,,,,,,
60,60,73.360949461,9.999999747378752e-06,61.0,0,0.6130036115646362,1736736177.3818004,,,,,,
61,61,74.122715794,9.999999747378752e-06,62.0,0,0.3164603114128113,1736736178.1435692,,,,,,
62,62,74.884416639,9.999999747378752e-06,63.0,0,0.248716339468956,1736736178.9052513,,,,,,
63,63,75.648654627,9.999999747378752e-06,64.0,0,0.2923174202442169,1736736179.6695058,,,,,,
64,64,76.410283156,9.999999747378752e-06,65.0,0,0.2828895151615143,1736736180.4311454,,,,,,
65,65,77.172377418,9.999999747378752e-06,66.0,0,0.2592458128929138,1736736181.1932223,,,,,,
66,66,77.93406881,9.999999747378752e-06,67.0,0,0.21678073704242706,1736736181.9549084,,,,,,
67,67,78.695657439,9.999999747378752e-06,68.0,0,0.2990865111351013,1736736182.7165115,,,,,,
68,68,79.457968923,9.999999747378752e-06,69.0,0,0.2055712789297104,1736736183.4788144,,,,,,
69,69,80.21996808,9.999999747378752e-06,70.0,0,0.24474796652793884,1736736184.24082,,,,,,
70,70,80.981958202,9.999999747378752e-06,71.0,0,0.2960348129272461,1736736185.0028152,,,,,,
71,71,81.743175899,9.999999747378752e-06,72.0,0,0.2922900319099426,1736736185.764032,,,,,,
72,72,82.505160829,9.999999747378752e-06,73.0,0,0.2799696922302246,1736736186.5260084,,,,,,
73,73,83.267237237,9.999999747378752e-06,74.0,0,0.22410312294960022,1736736187.2880478,,,,,,
74,74,84.029287963,9.999999747378752e-06,75.0,0,0.40056049823760986,1736736188.0501425,,,,,,
75,75,84.791485559,9.999999747378752e-06,76.0,0,0.42556655406951904,1736736188.8123453,,,,,,
76,76,85.55392087,9.999999747378752e-06,77.0,0,0.3072725236415863,1736736189.5747674,,,,,,
77,77,86.315528027,9.999999747378752e-06,78.0,0,0.22027906775474548,1736736190.3363621,,,,,,
78,78,87.077674421,9.999999747378752e-06,79.0,0,0.30510780215263367,1736736191.0985427,,,,,,
79,79,87.840303178,9.999999747378752e-06,80.0,0,0.3382846713066101,1736736191.8611495,,,,,,
80,80,88.602672627,9.999999747378752e-06,81.0,0,0.24539341032505035,1736736192.623521,,,,,,
81,81,89.365516121,9.999999747378752e-06,82.0,0,0.21338362991809845,1736736193.3863337,,,,,,
82,82,90.128680042,9.999999747378752e-06,83.0,0,0.28665727376937866,1736736194.1495364,,,,,,
83,83,90.891001324,9.999999747378752e-06,84.0,0,0.2237645536661148,1736736194.9118524,,,,,,
84,84,91.653992456,9.999999747378752e-06,85.0,0,0.26625949144363403,1736736195.674863,,,,,,
85,85,92.41608051,9.999999747378752e-06,86.0,0,0.20038719475269318,1736736196.4369318,,,,,,
86,86,93.178722597,9.999999747378752e-06,87.0,0,0.24949797987937927,1736736197.1995764,,,,,,
87,87,93.941371402,9.999999747378752e-06,88.0,0,0.3304171562194824,1736736197.96222,,,,,,
88,88,94.703643275,9.999999747378752e-06,89.0,0,0.2812172472476959,1736736198.7244952,,,,,,
89,89,95.466041009,9.999999747378752e-06,90.0,0,0.1983993947505951,1736736199.4868836,,,,,,
90,90,96.22874859,9.999999747378752e-06,91.0,0,0.21086283028125763,1736736200.249607,,,,,,
91,91,96.990774997,9.999999747378752e-06,92.0,0,0.20195576548576355,1736736201.011639,,,,,,
92,92,97.753356469,9.999999747378752e-06,93.0,0,0.164753258228302,1736736201.7741957,,,,,,
93,93,98.516026091,9.999999747378752e-06,94.0,0,0.22366899251937866,1736736202.5368712,,,,,,
94,94,99.278627756,9.999999747378752e-06,95.0,0,0.13037800788879395,1736736203.2994797,,,,,,
95,95,100.041885856,9.999999747378752e-06,96.0,0,0.2747514545917511,1736736204.0627267,,,,,,
96,96,100.804312406,9.999999747378752e-06,97.0,0,0.23302848637104034,1736736204.8251731,,,,,,
97,97,101.566492576,9.999999747378752e-06,98.0,0,0.3985859751701355,1736736205.5873725,,,,,,
98,98,102.329274337,9.999999747378752e-06,99.0,0,0.18135809898376465,1736736206.3501284,,,,,,
99,99,103.091883588,9.999999747378752e-06,100.0,0,0.19024093449115753,1736736207.1127431,,,,,,
100,100,103.854540916,9.999999747378752e-06,101.0,0,0.26251673698425293,1736736207.8753653,,,,,,
101,101,104.616924978,9.999999747378752e-06,102.0,0,0.188984677195549,1736736208.6377773,,,,,,
102,102,105.379251568,9.999999747378752e-06,103.0,0,0.2632952928543091,1736736209.400108,,,,,,
103,103,106.141722206,9.999999747378752e-06,104.0,0,0.25797972083091736,1736736210.162548,,,,,,
104,104,106.904076788,9.999999747378752e-06,105.0,0,0.2195199728012085,1736736210.9249468,,,,,,
105,105,107.666785436,9.999999747378752e-06,106.0,0,0.3090435862541199,1736736211.6876364,,,,,,
106,106,108.429854721,9.999999747378752e-06,107.0,0,0.2303459793329239,1736736212.450703,,,,,,
107,107,109.192479709,9.999999747378752e-06,108.0,0,0.19099223613739014,1736736213.2133315,,,,,,
108,108,109.955161791,9.999999747378752e-06,109.0,0,0.4285328686237335,1736736213.9759886,,,,,,
109,109,110.718165193,9.999999747378752e-06,110.0,0,0.2248155176639557,1736736214.739024,,,,,,
110,110,111.4801784,9.999999747378752e-06,111.0,0,0.1851157248020172,1736736215.5010862,,,,,,
111,111,112.245469145,9.999999747378752e-06,112.0,0,0.19629426300525665,1736736216.26632,,,,,,
112,112,113.010706624,9.999999747378752e-06,113.0,0,0.11846138536930084,1736736217.0315876,,,,,,
113,113,113.775701314,9.999999747378752e-06,114.0,0,0.18834495544433594,1736736217.7965598,,,,,,
114,114,114.540392973,9.999999747378752e-06,115.0,0,0.19741778075695038,1736736218.5612411,,,,,,
