trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.674202737,9.999999747378752e-06,1.0,0,1.1665481328964233,1736725651.4954667,,,,,,
1,1,27.425354067,9.999999747378752e-06,2.0,0,1.2800250053405762,1736725652.246598,,,,,,
2,2,28.177725387,9.999999747378752e-06,3.0,0,0.9007040858268738,1736725652.99902,,,,,,
3,3,28.929580719,9.999999747378752e-06,4.0,0,0.9805536866188049,1736725653.750869,,,,,,
4,4,29.682426305,9.999999747378752e-06,5.0,0,0.585429847240448,1736725654.5036902,,,,,,
5,5,30.434627408,9.999999747378752e-06,6.0,0,0.5878371596336365,1736725655.2559211,,,,,,
6,6,31.187825411,9.999999747378752e-06,7.0,0,0.64068204164505,1736725656.0091083,,,,,,
7,7,31.940983469,9.999999747378752e-06,8.0,0,0.5789465308189392,1736725656.7622588,,,,,,
8,8,32.695109645,9.999999747378752e-06,9.0,0,0.4766940474510193,1736725657.516383,,,,,,
9,9,33.449754254,9.999999747378752e-06,10.0,0,0.3125961422920227,1736725658.2709956,,,,,,
10,10,34.206205026,9.999999747378752e-06,11.0,0,0.6390631198883057,1736725659.0274956,,,,,,
11,11,34.96103358,9.999999747378752e-06,12.0,0,0.5366708040237427,1736725659.7823188,,,,,,
12,12,35.715769981,9.999999747378752e-06,13.0,0,0.6571885347366333,1736725660.5370286,,,,,,
13,13,36.471301059,9.999999747378752e-06,14.0,0,0.5622434616088867,1736725661.2925932,,,,,,
14,14,37.225857906,9.999999747378752e-06,15.0,0,0.4417823255062103,1736725662.0471478,,,,,,
15,15,37.981366469,9.999999747378752e-06,16.0,0,0.2881159782409668,1736725662.8026161,,,,,,
16,16,38.74203446,9.999999747378752e-06,17.0,0,0.3884579837322235,1736725663.5633152,,,,,,
17,17,39.497697547,9.999999747378752e-06,18.0,0,0.40941113233566284,1736725664.319015,,,,,,
18,18,40.252949879,9.999999747378752e-06,19.0,0,0.28803348541259766,1736725665.0742178,,,,,,
19,19,41.008561199,9.999999747378752e-06,20.0,0,0.4902705252170563,1736725665.8298476,,,,,,
20,20,41.76410748,9.999999747378752e-06,21.0,0,0.36040186882019043,1736725666.5853517,,,,,,
21,21,42.520147145,9.999999747378752e-06,22.0,0,0.3475267291069031,1736725667.341422,,,,,,
22,22,43.275837256,9.999999747378752e-06,23.0,0,0.5174005627632141,1736725668.0971305,,,,,,
23,23,44.031702719,9.999999747378752e-06,24.0,0,0.27689328789711,1736725668.8529594,,,,,,
24,24,44.788067984,9.999999747378752e-06,25.0,0,0.38931384682655334,1736725669.6093462,,,,,,
25,25,45.544140892,9.999999747378752e-06,26.0,0,0.46875816583633423,1736725670.3654249,,,,,,
26,26,46.301653781,9.999999747378752e-06,27.0,0,0.4971620738506317,1736725671.122936,,,,,,
27,27,47.05779779,9.999999747378752e-06,28.0,0,0.3704071342945099,1736725671.8790824,,,,,,
28,28,47.814261138,9.999999747378752e-06,29.0,0,0.2345416247844696,1736725672.6355474,,,,,,
29,29,48.5705366,9.999999747378752e-06,30.0,0,0.28418439626693726,1736725673.391813,,,,,,
30,30,49.327468763,9.999999747378752e-06,31.0,0,0.2620580196380615,1736725674.1487606,,,,,,
