trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,38.991439798,9.999999747378752e-06,1.0,0,0.058646202087402344,1736730891.8115416,,,,,,
1,1,39.745107832,9.999999747378752e-06,2.0,0,0.11756433546543121,1736730892.5652275,,,,,,
2,2,40.49860958,9.999999747378752e-06,3.0,0,0.06451231986284256,1736730893.3187506,,,,,,
3,3,41.252263877,9.999999747378752e-06,4.0,0,0.08432938158512115,1736730894.0723884,,,,,,
4,4,42.005539004,9.999999747378752e-06,5.0,0,0.12617278099060059,1736730894.8256094,,,,,,
5,5,42.75909644,9.999999747378752e-06,6.0,0,0.038709647953510284,1736730895.579229,,,,,,
6,6,43.512501074,9.999999747378752e-06,7.0,0,0.09357140213251114,1736730896.3326333,,,,,,
7,7,44.265981673,9.999999747378752e-06,8.0,0,0.054853688925504684,1736730897.086082,,,,,,
8,8,45.021019555,9.999999747378752e-06,9.0,0,0.04573161527514458,1736730897.8411505,,,,,,
9,9,45.775474696,9.999999747378752e-06,10.0,0,0.022959772497415543,1736730898.5955982,,,,,,
10,10,46.529354073,9.999999747378752e-06,11.0,0,0.023557579144835472,1736730899.3494697,,,,,,
11,11,47.286799716,9.999999747378752e-06,12.0,0,0.07316011190414429,1736730900.1069298,,,,,,
12,12,48.040720013,9.999999747378752e-06,13.0,0,0.050611454993486404,1736730900.8608348,,,,,,
13,13,48.796153186,9.999999747378752e-06,14.0,0,0.16441106796264648,1736730901.6162844,,,,,,
14,14,49.550915791,9.999999747378752e-06,15.0,0,0.06155317276716232,1736730902.3710382,,,,,,
15,15,50.306770166,9.999999747378752e-06,16.0,0,0.07626323401927948,1736730903.126871,,,,,,
16,16,51.067048696,9.999999747378752e-06,17.0,0,0.11931441724300385,1736730903.8872235,,,,,,
17,17,51.823982272,9.999999747378752e-06,18.0,0,0.029396457597613335,1736730904.6441014,,,,,,
18,18,52.580399446,9.999999747378752e-06,19.0,0,0.00845414213836193,1736730905.4005039,,,,,,
19,19,53.335305687,9.999999747378752e-06,20.0,0,0.09240736067295074,1736730906.155443,,,,,,
20,20,54.090785705,9.999999747378752e-06,21.0,0,0.0688183456659317,1736730906.9109094,,,,,,
21,21,54.846650159,9.999999747378752e-06,22.0,0,0.10737510770559311,1736730907.666755,,,,,,
22,22,55.602066275,9.999999747378752e-06,23.0,0,0.08647476136684418,1736730908.4221728,,,,,,
23,23,56.35774062,9.999999747378752e-06,24.0,0,0.07488518208265305,1736730909.1779144,,,,,,
24,24,57.114095789,9.999999747378752e-06,25.0,0,0.022206883877515793,1736730909.9342315,,,,,,
25,25,57.870154948,9.999999747378752e-06,26.0,0,0.029187891632318497,1736730910.690273,,,,,,
26,26,58.625770678,9.999999747378752e-06,27.0,0,0.06536076217889786,1736730911.4458568,,,,,,
27,27,59.38305394,9.999999747378752e-06,28.0,0,0.03976842015981674,1736730912.2031877,,,,,,
28,28,60.139743102,9.999999747378752e-06,29.0,0,0.02345547452569008,1736730912.959876,,,,,,
29,29,60.896174455,9.999999747378752e-06,30.0,0,0.04963051155209541,1736730913.7163446,,,,,,
30,30,61.653085862,9.999999747378752e-06,31.0,0,0.047449346631765366,1736730914.4731987,,,,,,
31,31,62.40925202,9.999999747378752e-06,32.0,0,0.024874921888113022,1736730915.229365,,,,,,
32,32,63.167424701,9.999999747378752e-06,33.0,0,0.20571088790893555,1736730915.987539,,,,,,
33,33,63.925622141,9.999999747378752e-06,34.0,0,0.10714265704154968,1736730916.745741,,,,,,
34,34,64.68404988099999,9.999999747378752e-06,35.0,0,0.07312123477458954,1736730917.504141,,,,,,
35,35,64.82568371,9.999999747378752e-06,36.0,0,0.08892970532178879,1736730917.6458237,,,,,,
35,36,66.601361898,,,0,,1736730919.4214795,0.9700000286102295,0.07767636328935623,,,,
35,37,66.609278122,,,0,,1736730919.4294379,,,0.9782222509384155,0.06956196576356888,,
36,38,68.635072307,9.999999747378752e-06,37.0,1,0.11390109360218048,1736730921.4551232,,,,,,
37,39,69.393396078,9.999999747378752e-06,38.0,1,0.04870811477303505,1736730922.2135327,,,,,,
38,40,70.151545163,9.999999747378752e-06,39.0,1,0.06332805752754211,1736730922.9716816,,,,,,
39,41,70.911477192,9.999999747378752e-06,40.0,1,0.038709692656993866,1736730923.7315676,,,,,,
40,42,71.670660428,9.999999747378752e-06,41.0,1,0.015599132515490055,1736730924.4907663,,,,,,
41,43,72.42763108,9.999999747378752e-06,42.0,1,0.009327891282737255,1736730925.2477708,,,,,,
42,44,73.185744742,9.999999747378752e-06,43.0,1,0.04180074855685234,1736730926.0058482,,,,,,
43,45,73.945028711,9.999999747378752e-06,44.0,1,0.03160906210541725,1736730926.7651415,,,,,,
44,46,74.703676646,9.999999747378752e-06,45.0,1,0.034439701586961746,1736730927.523806,,,,,,
45,47,75.461425146,9.999999747378752e-06,46.0,1,0.014129288494586945,1736730928.2815306,,,,,,
46,48,76.219237663,9.999999747378752e-06,47.0,1,0.0093052564188838,1736730929.0394068,,,,,,
47,49,76.977482991,9.999999747378752e-06,48.0,1,0.025999881327152252,1736730929.79761,,,,,,
48,50,77.738526831,9.999999747378752e-06,49.0,1,0.023365525528788567,1736730930.5586348,,,,,,
49,51,78.499439416,9.999999747378752e-06,50.0,1,0.013463870622217655,1736730931.3195763,,,,,,
50,52,79.261289529,9.999999747378752e-06,51.0,1,0.015561907552182674,1736730932.081374,,,,,,
51,53,80.0220122,9.999999747378752e-06,52.0,1,0.008418149314820766,1736730932.8421297,,,,,,
52,54,80.785321161,9.999999747378752e-06,53.0,1,0.018228663131594658,1736730933.605476,,,,,,
53,55,81.546093179,9.999999747378752e-06,54.0,1,0.03902006894350052,1736730934.3661828,,,,,,
54,56,82.306553805,9.999999747378752e-06,55.0,1,0.052109554409980774,1736730935.1266963,,,,,,
55,57,83.068814575,9.999999747378752e-06,56.0,1,0.04831285402178764,1736730935.888957,,,,,,
