trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,36.431236082,9.999999747378752e-06,1.0,0,1.324400544166565,1736729106.2478044,,,,,,
1,1,37.184964664,9.999999747378752e-06,2.0,0,1.250880479812622,1736729107.00154,,,,,,
2,2,37.942344293,9.999999747378752e-06,3.0,0,1.3217928409576416,1736729107.7589023,,,,,,
3,3,38.696749594,9.999999747378752e-06,4.0,0,1.1858590841293335,1736729108.5133286,,,,,,
4,4,39.450060888,9.999999747378752e-06,5.0,0,1.0785776376724243,1736729109.2666059,,,,,,
5,5,40.211043259,9.999999747378752e-06,6.0,0,1.1276459693908691,1736729110.027624,,,,,,
6,6,40.967260211,9.999999747378752e-06,7.0,0,1.1994518041610718,1736729110.783843,,,,,,
7,7,41.721972994,9.999999747378752e-06,8.0,0,1.1523480415344238,1736729111.5385146,,,,,,
8,8,42.478259318,9.999999747378752e-06,9.0,0,1.2629125118255615,1736729112.2948499,,,,,,
9,9,43.23513805,9.999999747378752e-06,10.0,0,1.0739282369613647,1736729113.051718,,,,,,
10,10,43.991648814,9.999999747378752e-06,11.0,0,1.0612258911132812,1736729113.808213,,,,,,
11,11,44.749266943,9.999999747378752e-06,12.0,0,1.2317125797271729,1736729114.565802,,,,,,
12,12,45.506285926,9.999999747378752e-06,13.0,0,1.035873293876648,1736729115.3227937,,,,,,
13,13,46.263797396,9.999999747378752e-06,14.0,0,0.9884768128395081,1736729116.0803661,,,,,,
14,14,47.020914969,9.999999747378752e-06,15.0,0,1.0519057512283325,1736729116.8374612,,,,,,
15,15,47.778151696,9.999999747378752e-06,16.0,0,0.7113463878631592,1736729117.594737,,,,,,
16,16,48.538819047,9.999999747378752e-06,17.0,0,1.0512975454330444,1736729118.3553917,,,,,,
17,17,49.29674648,9.999999747378752e-06,18.0,0,0.9925287365913391,1736729119.1133149,,,,,,
18,18,50.057593914,9.999999747378752e-06,19.0,0,1.1008532047271729,1736729119.8741717,,,,,,
19,19,50.814780213,9.999999747378752e-06,20.0,0,1.1389687061309814,1736729120.631368,,,,,,
20,20,51.571743801,9.999999747378752e-06,21.0,0,0.9067409634590149,1736729121.3883028,,,,,,
21,21,52.332168994,9.999999747378752e-06,22.0,0,0.9175959825515747,1736729122.148723,,,,,,
22,22,53.091801724,9.999999747378752e-06,23.0,0,0.9342374801635742,1736729122.9083533,,,,,,
23,23,53.849317779,9.999999747378752e-06,24.0,0,0.9755772352218628,1736729123.6658936,,,,,,
24,24,54.607049113,9.999999747378752e-06,25.0,0,1.1344038248062134,1736729124.4236276,,,,,,
25,25,55.363886590999996,9.999999747378752e-06,26.0,0,1.0574454069137573,1736729125.1804578,,,,,,
26,26,56.123411123,9.999999747378752e-06,27.0,0,1.0451295375823975,1736729125.9398966,,,,,,
27,27,56.881196951,9.999999747378752e-06,28.0,0,0.7396681308746338,1736729126.6977723,,,,,,
28,28,57.638905814,9.999999747378752e-06,29.0,0,0.9185140132904053,1736729127.455486,,,,,,
29,29,58.398267679,9.999999747378752e-06,30.0,0,1.2973772287368774,1736729128.2148464,,,,,,
30,30,59.158258061,9.999999747378752e-06,31.0,0,0.8043140769004822,1736729128.974838,,,,,,
31,31,59.918631348,9.999999747378752e-06,32.0,0,0.8001015782356262,1736729129.7351952,,,,,,
32,32,60.679658329,9.999999747378752e-06,33.0,0,1.1360195875167847,1736729130.4962215,,,,,,
