trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.477341,9.999999747378752e-06,1.0,0,1.870908498764038,1736727341.3155303,,,,,,
1,1,30.229413631,9.999999747378752e-06,2.0,0,1.23537278175354,1736727342.0675762,,,,,,
2,2,30.982595608,9.999999747378752e-06,3.0,0,1.3687744140625,1736727342.8207335,,,,,,
3,3,31.736994753,9.999999747378752e-06,4.0,0,1.1060850620269775,1736727343.5751655,,,,,,
4,4,32.490476922,9.999999747378752e-06,5.0,0,1.1544142961502075,1736727344.3286562,,,,,,
5,5,33.244251352,9.999999747378752e-06,6.0,0,0.8455609679222107,1736727345.0823987,,,,,,
6,6,33.9988534,9.999999747378752e-06,7.0,0,0.7123816013336182,1736727345.8370407,,,,,,
7,7,34.752694574,9.999999747378752e-06,8.0,0,0.54686039686203,1736727346.590866,,,,,,
8,8,35.506651988,9.999999747378752e-06,9.0,0,0.6456255316734314,1736727347.3448071,,,,,,
9,9,36.260977208,9.999999747378752e-06,10.0,0,0.6824884414672852,1736727348.0992062,,,,,,
10,10,37.01738578,9.999999747378752e-06,11.0,0,0.6210122108459473,1736727348.8555484,,,,,,
11,11,37.771538305,9.999999747378752e-06,12.0,0,0.5800591707229614,1736727349.6097164,,,,,,
12,12,38.5297098,9.999999747378752e-06,13.0,0,0.732364296913147,1736727350.3678858,,,,,,
13,13,39.284970375,9.999999747378752e-06,14.0,0,0.5870876908302307,1736727351.1230981,,,,,,
14,14,40.041069266,9.999999747378752e-06,15.0,0,0.7135711312294006,1736727351.879264,,,,,,
15,15,40.796277751,9.999999747378752e-06,16.0,0,0.6226931810379028,1736727352.634503,,,,,,
16,16,41.557535066,9.999999747378752e-06,17.0,0,0.4391980767250061,1736727353.3956807,,,,,,
17,17,42.312676546,9.999999747378752e-06,18.0,0,0.4315996766090393,1736727354.1508682,,,,,,
18,18,43.068618827,9.999999747378752e-06,19.0,0,0.44611504673957825,1736727354.9067972,,,,,,
19,19,43.82529201,9.999999747378752e-06,20.0,0,0.3978193700313568,1736727355.6634347,,,,,,
20,20,44.580960419,9.999999747378752e-06,21.0,0,0.46018001437187195,1736727356.4191267,,,,,,
21,21,45.337308929,9.999999747378752e-06,22.0,0,0.39624086022377014,1736727357.175499,,,,,,
