trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,27.776636799,9.999999747378752e-06,1.0,0,0.26817288994789124,1736741021.1019845,,,,,,
1,1,28.52767539,9.999999747378752e-06,2.0,0,0.5121946334838867,1736741021.8530252,,,,,,
2,2,29.278825705,9.999999747378752e-06,3.0,0,0.30062124133110046,1736741022.6041555,,,,,,
3,3,30.031862247,9.999999747378752e-06,4.0,0,0.33166763186454773,1736741023.3572319,,,,,,
4,4,30.787585675,9.999999747378752e-06,5.0,0,0.2902471423149109,1736741024.1129496,,,,,,
5,5,31.541561199,9.999999747378752e-06,6.0,0,0.250689297914505,1736741024.8669074,,,,,,
6,6,32.295127454,9.999999747378752e-06,7.0,0,0.20071928203105927,1736741025.6204634,,,,,,
7,7,33.05031428,9.999999747378752e-06,8.0,0,0.19441673159599304,1736741026.3756728,,,,,,
8,8,33.809868189,9.999999747378752e-06,9.0,0,0.1734606921672821,1736741027.1352336,,,,,,
9,9,34.564602311,9.999999747378752e-06,10.0,0,0.21895651519298553,1736741027.8899395,,,,,,
10,10,35.318970489,9.999999747378752e-06,11.0,0,0.20347760617733002,1736741028.6443236,,,,,,
11,11,36.073512784,9.999999747378752e-06,12.0,0,0.26427939534187317,1736741029.3988976,,,,,,
12,12,36.828342944,9.999999747378752e-06,13.0,0,0.2318597435951233,1736741030.1537154,,,,,,
13,13,37.584873465,9.999999747378752e-06,14.0,0,0.22722238302230835,1736741030.9102757,,,,,,
14,14,38.339659946,9.999999747378752e-06,15.0,0,0.18153506517410278,1736741031.6649892,,,,,,
15,15,39.095259713,9.999999747378752e-06,16.0,0,0.20687252283096313,1736741032.420601,,,,,,
16,16,39.85211861,9.999999747378752e-06,17.0,0,0.20506364107131958,1736741033.1774874,,,,,,
17,17,40.607170872,9.999999747378752e-06,18.0,0,0.1200278177857399,1736741033.9324853,,,,,,
18,18,41.363661578,9.999999747378752e-06,19.0,0,0.12289431691169739,1736741034.6890168,,,,,,
19,19,42.118956027,9.999999747378752e-06,20.0,0,0.15186525881290436,1736741035.4443274,,,,,,
20,20,42.878163123,9.999999747378752e-06,21.0,0,0.2438160479068756,1736741036.203484,,,,,,
21,21,43.634142189,9.999999747378752e-06,22.0,0,0.25054001808166504,1736741036.9595158,,,,,,
22,22,44.3918676,9.999999747378752e-06,23.0,0,0.15437939763069153,1736741037.7172418,,,,,,
23,23,45.149271688,9.999999747378752e-06,24.0,0,0.11868249624967575,1736741038.4745939,,,,,,
24,24,45.906931059,9.999999747378752e-06,25.0,0,0.15948449075222015,1736741039.232318,,,,,,
25,25,46.665454173,9.999999747378752e-06,26.0,0,0.09104464203119278,1736741039.9907682,,,,,,
26,26,47.426869841,9.999999747378752e-06,27.0,0,0.07743850350379944,1736741040.752227,,,,,,
27,27,48.185823248,9.999999747378752e-06,28.0,0,0.08105476200580597,1736741041.511199,,,,,,
28,28,48.944842289,9.999999747378752e-06,29.0,0,0.08169526606798172,1736741042.2701807,,,,,,
29,29,49.70399313,9.999999747378752e-06,30.0,0,0.06200651079416275,1736741043.0293734,,,,,,
30,30,50.464092327,9.999999747378752e-06,31.0,0,0.15194091200828552,1736741043.7894895,,,,,,
31,31,51.222607854,9.999999747378752e-06,32.0,0,0.22954685986042023,1736741044.5479748,,,,,,
32,32,51.981913318,9.999999747378752e-06,33.0,0,0.23246175050735474,1736741045.3072908,,,,,,
33,33,52.741160909,9.999999747378752e-06,34.0,0,0.3400976359844208,1736741046.0664515,,,,,,
34,34,53.50211333,9.999999747378752e-06,35.0,0,0.1294798105955124,1736741046.8274288,,,,,,
35,35,54.261769387,9.999999747378752e-06,36.0,0,0.06566840410232544,1736741047.5871434,,,,,,
36,36,55.021749664,9.999999747378752e-06,37.0,0,0.0265636183321476,1736741048.347088,,,,,,
37,37,55.782354041,9.999999747378752e-06,38.0,0,0.23236702382564545,1736741049.1077545,,,,,,
38,38,56.541753419,9.999999747378752e-06,39.0,0,0.18064196407794952,1736741049.8671386,,,,,,
39,39,57.301999514,9.999999747378752e-06,40.0,0,0.09340523183345795,1736741050.6273432,,,,,,
40,40,58.061716919,9.999999747378752e-06,41.0,0,0.12690897285938263,1736741051.3870735,,,,,,
41,41,58.822504158,9.999999747378752e-06,42.0,0,0.3035042881965637,1736741052.1478705,,,,,,
42,42,59.582485397,9.999999747378752e-06,43.0,0,0.09887202829122543,1736741052.9078496,,,,,,
43,43,60.342167635,9.999999747378752e-06,44.0,0,0.1948653757572174,1736741053.667541,,,,,,
44,44,61.102403732,9.999999747378752e-06,45.0,0,0.23616914451122284,1736741054.4277601,,,,,,
45,45,61.862278554,9.999999747378752e-06,46.0,0,0.2359389066696167,1736741055.187644,,,,,,
46,46,62.622738137,9.999999747378752e-06,47.0,0,0.1766471415758133,1736741055.9480977,,,,,,
47,47,63.382736416,9.999999747378752e-06,48.0,0,0.1697675585746765,1736741056.708073,,,,,,
48,48,64.142617125,9.999999747378752e-06,49.0,0,0.12925323843955994,1736741057.4679859,,,,,,
49,49,64.902986156,9.999999747378752e-06,50.0,0,0.17916826903820038,1736741058.2283309,,,,,,
50,50,65.662995109,9.999999747378752e-06,51.0,0,0.1798630654811859,1736741058.9883728,,,,,,
51,51,66.422814518,9.999999747378752e-06,52.0,0,0.08101151883602142,1736741059.7481985,,,,,,
52,52,67.183571045,9.999999747378752e-06,53.0,0,0.07640477269887924,1736741060.5089002,,,,,,
53,53,67.943772628,9.999999747378752e-06,54.0,0,0.10032112896442413,1736741061.2691443,,,,,,
54,54,68.704029391,9.999999747378752e-06,55.0,0,0.12180723249912262,1736741062.029401,,,,,,
55,55,69.465548191,9.999999747378752e-06,56.0,0,0.11880411952733994,1736741062.7908912,,,,,,
56,56,70.22574748,9.999999747378752e-06,57.0,0,0.09091780334711075,1736741063.5511189,,,,,,
57,57,70.986295999,9.999999747378752e-06,58.0,0,0.16117262840270996,1736741064.3116758,,,,,,
58,58,71.747999701,9.999999747378752e-06,59.0,0,0.05760335922241211,1736741065.0733428,,,,,,
59,59,72.508635821,9.999999747378752e-06,60.0,0,0.18592458963394165,1736741065.8340049,,,,,,
60,60,73.269931853,9.999999747378752e-06,61.0,0,0.18833869695663452,1736741066.5952787,,,,,,
61,61,74.031542734,9.999999747378752e-06,62.0,0,0.09926679730415344,1736741067.356906,,,,,,
62,62,74.793408542,9.999999747378752e-06,63.0,0,0.16908176243305206,1736741068.118781,,,,,,
63,63,75.554212807,9.999999747378752e-06,64.0,0,0.1696445196866989,1736741068.879547,,,,,,
64,64,76.315125286,9.999999747378752e-06,65.0,0,0.1355554610490799,1736741069.6405263,,,,,,
65,65,77.076647439,9.999999747378752e-06,66.0,0,0.1475333422422409,1736741070.401976,,,,,,
66,66,77.837781965,9.999999747378752e-06,67.0,0,0.12566985189914703,1736741071.163122,,,,,,
67,67,78.598122543,9.999999747378752e-06,68.0,0,0.1674584448337555,1736741071.9234982,,,,,,
68,68,79.359021134,9.999999747378752e-06,69.0,0,0.08570323884487152,1736741072.6843789,,,,,,
69,69,80.11990593,9.999999747378752e-06,70.0,0,0.2006523162126541,1736741073.4452727,,,,,,
70,70,80.880730959,9.999999747378752e-06,71.0,0,0.03768577054142952,1736741074.2061422,,,,,,
71,71,81.641585657,9.999999747378752e-06,72.0,0,0.11051124334335327,1736741074.9669168,,,,,,
72,72,82.40251512,9.999999747378752e-06,73.0,0,0.14122049510478973,1736741075.727887,,,,,,
73,73,83.163808636,9.999999747378752e-06,74.0,0,0.10836678743362427,1736741076.489159,,,,,,
74,74,83.925085303,9.999999747378752e-06,75.0,0,0.07632961869239807,1736741077.250403,,,,,,
75,75,84.686606475,9.999999747378752e-06,76.0,0,0.11897849291563034,1736741078.011984,,,,,,
76,76,85.447944086,9.999999747378752e-06,77.0,0,0.1409972757101059,1736741078.7733033,,,,,,
77,77,86.208978886,9.999999747378752e-06,78.0,0,0.12261931598186493,1736741079.5343874,,,,,,
78,78,86.970247177,9.999999747378752e-06,79.0,0,0.30387258529663086,1736741080.2956173,,,,,,
79,79,87.731377945,9.999999747378752e-06,80.0,0,0.13588179647922516,1736741081.0566905,,,,,,
80,80,88.493431039,9.999999747378752e-06,81.0,0,0.06484497338533401,1736741081.818791,,,,,,
81,81,89.254658498,9.999999747378752e-06,82.0,0,0.07861949503421783,1736741082.5800083,,,,,,
82,82,90.016674095,9.999999747378752e-06,83.0,0,0.09591975808143616,1736741083.3420033,,,,,,
83,83,90.779706589,9.999999747378752e-06,84.0,0,0.1610272079706192,1736741084.1050773,,,,,,
84,84,91.544328262,9.999999747378752e-06,85.0,0,0.1637277901172638,1736741084.8696883,,,,,,
85,85,92.30791196,9.999999747378752e-06,86.0,0,0.147994726896286,1736741085.633259,,,,,,
86,86,93.07202793,9.999999747378752e-06,87.0,0,0.09362059831619263,1736741086.3973768,,,,,,
87,87,93.835869951,9.999999747378752e-06,88.0,0,0.09912379086017609,1736741087.161236,,,,,,
88,88,94.599955189,9.999999747378752e-06,89.0,0,0.12880803644657135,1736741087.925336,,,,,,
89,89,95.363921458,9.999999747378752e-06,90.0,0,0.11328021436929703,1736741088.6892712,,,,,,
90,90,96.128280625,9.999999747378752e-06,91.0,0,0.19051507115364075,1736741089.453685,,,,,,
91,91,96.893597507,9.999999747378752e-06,92.0,0,0.1575479358434677,1736741090.218967,,,,,,
92,92,97.657633125,9.999999747378752e-06,93.0,0,0.11092086881399155,1736741090.9830115,,,,,,
93,93,98.421818456,9.999999747378752e-06,94.0,0,0.17325353622436523,1736741091.747179,,,,,,
94,94,99.187032234,9.999999747378752e-06,95.0,0,0.08166118711233139,1736741092.5123792,,,,,,
95,95,99.950711749,9.999999747378752e-06,96.0,0,0.0999520942568779,1736741093.276079,,,,,,
96,96,100.71525325,9.999999747378752e-06,97.0,0,0.043741606175899506,1736741094.040617,,,,,,
97,97,101.478989502,9.999999747378752e-06,98.0,0,0.10912544280290604,1736741094.8043444,,,,,,
