trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.359786842,9.999999747378752e-06,1.0,0,1.091684103012085,1736715990.701045,,,,,,
1,1,30.110828173,9.999999747378752e-06,2.0,0,1.9621433019638062,1736715991.4521031,,,,,,
2,2,30.859086083,9.999999747378752e-06,3.0,0,1.953888177871704,1736715992.200314,,,,,,
3,3,31.613697997,9.999999747378752e-06,4.0,0,1.1730149984359741,1736715992.9549565,,,,,,
4,4,32.362530056,9.999999747378752e-06,5.0,0,1.1673814058303833,1736715993.703779,,,,,,
5,5,33.11109001,9.999999747378752e-06,6.0,0,1.1924614906311035,1736715994.452341,,,,,,
6,6,33.859476451,9.999999747378752e-06,7.0,0,1.01534104347229,1736715995.200709,,,,,,
7,7,34.608378529,9.999999747378752e-06,8.0,0,0.8539031744003296,1736715995.9496136,,,,,,
8,8,35.357623686,9.999999747378752e-06,9.0,0,1.0350645780563354,1736715996.698865,,,,,,
9,9,36.108066092,9.999999747378752e-06,10.0,0,0.887955904006958,1736715997.4493082,,,,,,
10,10,36.857590134,9.999999747378752e-06,11.0,0,1.1060941219329834,1736715998.1988158,,,,,,
11,11,37.606709094,9.999999747378752e-06,12.0,0,1.0172209739685059,1736715998.9479702,,,,,,
12,12,38.355716617,9.999999747378752e-06,13.0,0,0.7384001612663269,1736715999.6969771,,,,,,
13,13,39.105474145,9.999999747378752e-06,14.0,0,0.9260198473930359,1736716000.4467177,,,,,,
14,14,39.857953385,9.999999747378752e-06,15.0,0,0.9113534092903137,1736716001.1992126,,,,,,
15,15,40.609718507,9.999999747378752e-06,16.0,0,0.8174272179603577,1736716001.9509418,,,,,,
16,16,41.364241487,9.999999747378752e-06,17.0,0,0.7276378870010376,1736716002.7054877,,,,,,
17,17,42.120602848,9.999999747378752e-06,18.0,0,0.7508535385131836,1736716003.4618707,,,,,,
18,18,42.872981681,9.999999747378752e-06,19.0,0,0.7095411419868469,1736716004.2142384,,,,,,
19,19,43.628025064,9.999999747378752e-06,20.0,0,0.8448427319526672,1736716004.9692872,,,,,,
20,20,44.382173458,9.999999747378752e-06,21.0,0,0.8581035137176514,1736716005.7233984,,,,,,
21,21,45.13504949,9.999999747378752e-06,22.0,0,0.8145328760147095,1736716006.4762826,,,,,,
22,22,45.888752402,9.999999747378752e-06,23.0,0,0.6198462247848511,1736716007.2300062,,,,,,
23,23,46.642058912,9.999999747378752e-06,24.0,0,0.6499127149581909,1736716007.983318,,,,,,
24,24,47.395101758,9.999999747378752e-06,25.0,0,0.8319289088249207,1736716008.736366,,,,,,
25,25,48.149789791,9.999999747378752e-06,26.0,0,0.6954764127731323,1736716009.491074,,,,,,
26,26,48.902251199,9.999999747378752e-06,27.0,0,0.6624611616134644,1736716010.2435374,,,,,,
27,27,49.654527364,9.999999747378752e-06,28.0,0,0.6026067733764648,1736716010.9957948,,,,,,
28,28,50.406671638,9.999999747378752e-06,29.0,0,0.6834926605224609,1736716011.7479634,,,,,,
29,29,51.158789936,9.999999747378752e-06,30.0,0,0.6917513608932495,1736716012.5001202,,,,,,
30,30,51.911328113,9.999999747378752e-06,31.0,0,0.5946566462516785,1736716013.2526014,,,,,,
31,31,52.663438305,9.999999747378752e-06,32.0,0,0.7839628458023071,1736716014.0047238,,,,,,
32,32,53.416128066,9.999999747378752e-06,33.0,0,0.6453123092651367,1736716014.7574184,,,,,,
33,33,54.169842585,9.999999747378752e-06,34.0,0,0.8101626038551331,1736716015.5111356,,,,,,
34,34,54.923348071,9.999999747378752e-06,35.0,0,0.6612846255302429,1736716016.2646399,,,,,,
35,35,55.677041118,9.999999747378752e-06,36.0,0,0.5752096176147461,1736716017.0182998,,,,,,
36,36,56.431379048,9.999999747378752e-06,37.0,0,0.755713701248169,1736716017.772707,,,,,,
37,37,57.184977864,9.999999747378752e-06,38.0,0,0.7099348902702332,1736716018.5262644,,,,,,
38,38,57.939048757,9.999999747378752e-06,39.0,0,0.6618534922599792,1736716019.280313,,,,,,
39,39,58.69329788,9.999999747378752e-06,40.0,0,0.8222519159317017,1736716020.0345895,,,,,,
40,40,59.447718311,9.999999747378752e-06,41.0,0,0.6953098177909851,1736716020.7890146,,,,,,
41,41,60.202251161,9.999999747378752e-06,42.0,0,0.6756444573402405,1736716021.5435245,,,,,,
42,42,60.956822339,9.999999747378752e-06,43.0,0,0.5498373508453369,1736716022.2981248,,,,,,
