trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,25.161863233,9.999999747378752e-06,1.0,0,1.2521287202835083,1736733114.6404867,,,,,,
1,1,25.911674793,9.999999747378752e-06,2.0,0,1.7670742273330688,1736733115.39032,,,,,,
2,2,26.664152104,9.999999747378752e-06,3.0,0,1.0969454050064087,1736733116.1428032,,,,,,
3,3,27.416803267,9.999999747378752e-06,4.0,0,1.0345219373703003,1736733116.8954275,,,,,,
4,4,28.169635882,9.999999747378752e-06,5.0,0,1.0013214349746704,1736733117.6482787,,,,,,
5,5,28.92204674,9.999999747378752e-06,6.0,0,0.9102047681808472,1736733118.4006743,,,,,,
6,6,29.674993113,9.999999747378752e-06,7.0,0,0.8993646502494812,1736733119.1536095,,,,,,
7,7,29.822337054,9.999999747378752e-06,8.0,0,0.7302066683769226,1736733119.301003,,,,,,
7,8,31.078763783,,,0,,1736733120.5574057,0.8039215803146362,0.5968586206436157,,,,
7,9,31.086076203,,,0,,1736733120.5647628,,,0.6928104758262634,1.127608299255371,,
8,10,33.298438679,9.999999747378752e-06,9.0,1,0.3580229580402374,1736733122.776984,,,,,,
9,11,34.052040571,9.999999747378752e-06,10.0,1,0.43476852774620056,1736733123.530675,,,,,,
10,12,34.804922877,9.999999747378752e-06,11.0,1,0.3259580731391907,1736733124.2835755,,,,,,
11,13,35.559206162,9.999999747378752e-06,12.0,1,0.30011579394340515,1736733125.0378206,,,,,,
12,14,36.313772447,9.999999747378752e-06,13.0,1,0.2862960696220398,1736733125.792464,,,,,,
13,15,37.069522504,9.999999747378752e-06,14.0,1,0.16052386164665222,1736733126.5481496,,,,,,
14,16,37.823223495,9.999999747378752e-06,15.0,1,0.11777481436729431,1736733127.3018422,,,,,,
15,17,37.970341389,9.999999747378752e-06,16.0,1,0.23687078058719635,1736733127.4489973,,,,,,
15,18,39.234556798,,,1,,1736733128.7131822,0.843137264251709,0.4775489270687103,,,,
15,19,39.2418148,,,1,,1736733128.7205203,,,0.9411764740943909,0.28223755955696106,,
16,20,41.416209386,9.999999747378752e-06,17.0,2,0.11112760007381439,1736733130.8948321,,,,,,
17,21,42.1721564,9.999999747378752e-06,18.0,2,0.08710791170597076,1736733131.650805,,,,,,
18,22,42.926686367,9.999999747378752e-06,19.0,2,0.07446204125881195,1736733132.4053168,,,,,,
19,23,43.682382445,9.999999747378752e-06,20.0,2,0.054752953350543976,1736733133.160999,,,,,,
20,24,44.43819267,9.999999747378752e-06,21.0,2,0.05938273295760155,1736733133.9168525,,,,,,
21,25,45.193078316,9.999999747378752e-06,22.0,2,0.03533970192074776,1736733134.6717088,,,,,,
22,26,45.948061822,9.999999747378752e-06,23.0,2,0.03029596619307995,1736733135.4267113,,,,,,
23,27,46.095352211,9.999999747378752e-06,24.0,2,0.01568894274532795,1736733135.5740144,,,,,,
23,28,47.342526543,,,2,,1736733136.8211522,0.9215686321258545,0.3098498582839966,,,,
23,29,47.349794032,,,2,,1736733136.8284786,,,0.9891067743301392,0.06346534192562103,,
24,30,49.535146157,9.999999747378752e-06,25.0,3,0.02147589437663555,1736733139.0137565,,,,,,
25,31,50.291709814,9.999999747378752e-06,26.0,3,0.018370967358350754,1736733139.7703702,,,,,,
26,32,51.047126157,9.999999747378752e-06,27.0,3,0.05431519076228142,1736733140.5257697,,,,,,
27,33,51.803547315,9.999999747378752e-06,28.0,3,0.012031184509396553,1736733141.2821934,,,,,,
28,34,52.563142071,9.999999747378752e-06,29.0,3,0.020618323236703873,1736733142.0417972,,,,,,
29,35,53.32031588,9.999999747378752e-06,30.0,3,0.013972778804600239,1736733142.7989535,,,,,,
30,36,54.076839094,9.999999747378752e-06,31.0,3,0.01407849881798029,1736733143.555458,,,,,,
31,37,54.224437816,9.999999747378752e-06,32.0,3,0.02000594697892666,1736733143.7031028,,,,,,
31,38,55.493193084,,,3,,1736733144.97182,0.9411764740943909,0.23532168567180634,,,,
