trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.056860483,9.999999747378752e-06,1.0,0,0.6009995937347412,1736742781.9195461,,,,,,
1,1,29.810726957,9.999999747378752e-06,2.0,0,0.5257854461669922,1736742782.6734161,,,,,,
2,2,30.563478514,9.999999747378752e-06,3.0,0,0.6707595586776733,1736742783.4261723,,,,,,
3,3,31.31478193,9.999999747378752e-06,4.0,0,0.6121324896812439,1736742784.177486,,,,,,
4,4,32.066912829,9.999999747378752e-06,5.0,0,0.5547707676887512,1736742784.9295921,,,,,,
5,5,32.820515877,9.999999747378752e-06,6.0,0,0.7553520798683167,1736742785.6832056,,,,,,
6,6,33.574077973,9.999999747378752e-06,7.0,0,0.5851900577545166,1736742786.43676,,,,,,
7,7,34.328223347,9.999999747378752e-06,8.0,0,0.5719559788703918,1736742787.1909177,,,,,,
8,8,35.083735051,9.999999747378752e-06,9.0,0,0.5891829133033752,1736742787.946402,,,,,,
9,9,35.839027796,9.999999747378752e-06,10.0,0,0.6019412875175476,1736742788.7017164,,,,,,
10,10,36.593144176,9.999999747378752e-06,11.0,0,0.6095861196517944,1736742789.4558337,,,,,,
11,11,37.348593149,9.999999747378752e-06,12.0,0,0.7375780344009399,1736742790.211281,,,,,,
12,12,38.102840803,9.999999747378752e-06,13.0,0,0.457711398601532,1736742790.9655306,,,,,,
13,13,38.857432405,9.999999747378752e-06,14.0,0,0.564678430557251,1736742791.720119,,,,,,
14,14,39.613055134,9.999999747378752e-06,15.0,0,0.5820839405059814,1736742792.4757388,,,,,,
15,15,40.368476318,9.999999747378752e-06,16.0,0,0.7443769574165344,1736742793.2311714,,,,,,
16,16,41.127893992,9.999999747378752e-06,17.0,0,0.5900747179985046,1736742793.9906466,,,,,,
17,17,41.886031906,9.999999747378752e-06,18.0,0,0.6108763217926025,1736742794.7487276,,,,,,
18,18,42.641826842,9.999999747378752e-06,19.0,0,0.6007798314094543,1736742795.5045204,,,,,,
19,19,43.397125809,9.999999747378752e-06,20.0,0,0.44025081396102905,1736742796.2598104,,,,,,
20,20,44.152443854,9.999999747378752e-06,21.0,0,0.6208862662315369,1736742797.0151327,,,,,,
21,21,44.908313817,9.999999747378752e-06,22.0,0,0.6013087034225464,1736742797.771001,,,,,,
22,22,45.663829953,9.999999747378752e-06,23.0,0,0.5486305952072144,1736742798.5265167,,,,,,
23,23,46.419608623,9.999999747378752e-06,24.0,0,0.6013312935829163,1736742799.2823033,,,,,,
24,24,47.176059997,9.999999747378752e-06,25.0,0,0.6373810172080994,1736742800.038752,,,,,,
25,25,47.931590445,9.999999747378752e-06,26.0,0,0.60794597864151,1736742800.7942815,,,,,,
26,26,48.687909295,9.999999747378752e-06,27.0,0,0.7042924165725708,1736742801.5505846,,,,,,
27,27,49.446743553,9.999999747378752e-06,28.0,0,0.7300927639007568,1736742802.3094354,,,,,,
28,28,50.204611816,9.999999747378752e-06,29.0,0,0.8544848561286926,1736742803.0673053,,,,,,
29,29,50.963318252,9.999999747378752e-06,30.0,0,0.4917367994785309,1736742803.8260756,,,,,,
30,30,51.721683398,9.999999747378752e-06,31.0,0,0.5872611999511719,1736742804.5843647,,,,,,
31,31,52.480120789,9.999999747378752e-06,32.0,0,0.4753527045249939,1736742805.3428066,,,,,,
32,32,53.239374,9.999999747378752e-06,33.0,0,0.45347166061401367,1736742806.1020596,,,,,,
33,33,53.998578309,9.999999747378752e-06,34.0,0,0.6722354888916016,1736742806.861272,,,,,,
34,34,54.757741508,9.999999747378752e-06,35.0,0,0.44937995076179504,1736742807.6204257,,,,,,
35,35,55.517082384,9.999999747378752e-06,36.0,0,0.6631366610527039,1736742808.3797603,,,,,,
36,36,56.276887421,9.999999747378752e-06,37.0,0,0.6047935485839844,1736742809.139639,,,,,,
37,37,57.036394296,9.999999747378752e-06,38.0,0,0.6898471713066101,1736742809.8990846,,,,,,
38,38,57.796119098,9.999999747378752e-06,39.0,0,0.5541157722473145,1736742810.6587934,,,,,,
39,39,58.555844984,9.999999747378752e-06,40.0,0,0.7082852125167847,1736742811.4185357,,,,,,
40,40,59.31646788,9.999999747378752e-06,41.0,0,0.5774789452552795,1736742812.1791513,,,,,,
41,41,60.076203028,9.999999747378752e-06,42.0,0,0.7621634602546692,1736742812.9388964,,,,,,
42,42,60.836187595,9.999999747378752e-06,43.0,0,0.6624876856803894,1736742813.6988935,,,,,,
43,43,61.59705127,9.999999747378752e-06,44.0,0,0.6730819940567017,1736742814.459739,,,,,,
44,44,62.35751297,9.999999747378752e-06,45.0,0,0.4732929766178131,1736742815.2201777,,,,,,
45,45,63.117035842,9.999999747378752e-06,46.0,0,0.5240482687950134,1736742815.9797273,,,,,,
46,46,63.87692433,9.999999747378752e-06,47.0,0,0.5964439511299133,1736742816.7396104,,,,,,
47,47,64.637027325,9.999999747378752e-06,48.0,0,0.5192867517471313,1736742817.499693,,,,,,
48,48,65.396969946,9.999999747378752e-06,49.0,0,0.7201778888702393,1736742818.259663,,,,,,
49,49,66.157626959,9.999999747378752e-06,50.0,0,0.4873276948928833,1736742819.020308,,,,,,
50,50,66.918253483,9.999999747378752e-06,51.0,0,0.5456335544586182,1736742819.7809374,,,,,,
51,51,67.678795182,9.999999747378752e-06,52.0,0,0.4568580985069275,1736742820.5414786,,,,,,
52,52,68.439035873,9.999999747378752e-06,53.0,0,0.7359715700149536,1736742821.3017209,,,,,,
53,53,69.199453009,9.999999747378752e-06,54.0,0,0.5512715578079224,1736742822.0621443,,,,,,
54,54,69.959290901,9.999999747378752e-06,55.0,0,0.5856472253799438,1736742822.821971,,,,,,
55,55,70.720212368,9.999999747378752e-06,56.0,0,0.6822320818901062,1736742823.5829196,,,,,,
56,56,71.480818947,9.999999747378752e-06,57.0,0,0.5447802543640137,1736742824.34351,,,,,,
57,57,72.241341398,9.999999747378752e-06,58.0,0,0.3459877073764801,1736742825.1040106,,,,,,
58,58,73.001974986,9.999999747378752e-06,59.0,0,0.617607593536377,1736742825.8646595,,,,,,
59,59,73.762905056,9.999999747378752e-06,60.0,0,0.29547005891799927,1736742826.6255772,,,,,,
60,60,74.52328737,9.999999747378752e-06,61.0,0,0.622360110282898,1736742827.3859763,,,,,,
61,61,75.284350904,9.999999747378752e-06,62.0,0,0.5037754774093628,1736742828.147038,,,,,,
62,62,76.045563162,9.999999747378752e-06,63.0,0,0.4820955991744995,1736742828.9083154,,,,,,
63,63,76.806684524,9.999999747378752e-06,64.0,0,0.6821897029876709,1736742829.669377,,,,,,
64,64,77.567407397,9.999999747378752e-06,65.0,0,0.8476262092590332,1736742830.4300888,,,,,,
65,65,78.328332701,9.999999747378752e-06,66.0,0,0.45136553049087524,1736742831.1910098,,,,,,
66,66,79.089515077,9.999999747378752e-06,67.0,0,0.5090326070785522,1736742831.952205,,,,,,
67,67,79.850388015,9.999999747378752e-06,68.0,0,0.489259272813797,1736742832.7130504,,,,,,
68,68,80.611801718,9.999999747378752e-06,69.0,0,0.5620715618133545,1736742833.4744818,,,,,,
69,69,81.372699286,9.999999747378752e-06,70.0,0,0.6797594428062439,1736742834.2353878,,,,,,
70,70,82.133505264,9.999999747378752e-06,71.0,0,0.7756423950195312,1736742834.9961987,,,,,,
71,71,82.894308285,9.999999747378752e-06,72.0,0,0.5607432126998901,1736742835.7570028,,,,,,
72,72,83.654959199,9.999999747378752e-06,73.0,0,0.543929934501648,1736742836.517648,,,,,,
73,73,84.416135439,9.999999747378752e-06,74.0,0,0.5423515439033508,1736742837.2788258,,,,,,
74,74,85.177106695,9.999999747378752e-06,75.0,0,0.4200810194015503,1736742838.0397978,,,,,,
75,75,85.938189307,9.999999747378752e-06,76.0,0,0.47140127420425415,1736742838.8008761,,,,,,
76,76,86.699998825,9.999999747378752e-06,77.0,0,0.4430767297744751,1736742839.562602,,,,,,
77,77,87.461906711,9.999999747378752e-06,78.0,0,0.38065069913864136,1736742840.3245876,,,,,,
