trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.419580674,9.999999747378752e-06,1.0,0,0.6755529642105103,1736746407.7283533,,,,,,
1,1,27.17608919,9.999999747378752e-06,2.0,0,0.7459735870361328,1736746408.4848557,,,,,,
2,2,27.927718026,9.999999747378752e-06,3.0,0,0.7312775254249573,1736746409.2365005,,,,,,
3,3,28.683076507,9.999999747378752e-06,4.0,0,0.6508975028991699,1736746409.991855,,,,,,
4,4,29.435438421,9.999999747378752e-06,5.0,0,0.6553999185562134,1736746410.7442143,,,,,,
5,5,30.187544858,9.999999747378752e-06,6.0,0,0.6298807263374329,1736746411.4963257,,,,,,
6,6,30.940804305,9.999999747378752e-06,7.0,0,0.5932557582855225,1736746412.2496247,,,,,,
7,7,31.693899605,9.999999747378752e-06,8.0,0,0.6113421320915222,1736746413.0026808,,,,,,
8,8,32.448110758,9.999999747378752e-06,9.0,0,0.6235130429267883,1736746413.7568903,,,,,,
9,9,33.201721144,9.999999747378752e-06,10.0,0,0.5689557790756226,1736746414.5104902,,,,,,
10,10,33.956105171,9.999999747378752e-06,11.0,0,0.6948487162590027,1736746415.2648616,,,,,,
11,11,34.710795063,9.999999747378752e-06,12.0,0,0.6039998531341553,1736746416.0195699,,,,,,
12,12,35.465180643,9.999999747378752e-06,13.0,0,0.57718825340271,1736746416.7739427,,,,,,
13,13,36.220388197,9.999999747378752e-06,14.0,0,0.5791870355606079,1736746417.5291686,,,,,,
14,14,36.974867321,9.999999747378752e-06,15.0,0,0.6198590397834778,1736746418.2836473,,,,,,
15,15,37.729905213,9.999999747378752e-06,16.0,0,0.494303822517395,1736746419.0386841,,,,,,
16,16,38.486659761,9.999999747378752e-06,17.0,0,0.6264129281044006,1736746419.7954373,,,,,,
17,17,39.244143305,9.999999747378752e-06,18.0,0,0.555081307888031,1736746420.552933,,,,,,
18,18,40.000711013,9.999999747378752e-06,19.0,0,0.5548610687255859,1736746421.309522,,,,,,
19,19,40.754610048,9.999999747378752e-06,20.0,0,0.5490071177482605,1736746422.063427,,,,,,
20,20,41.510762326,9.999999747378752e-06,21.0,0,0.5874211192131042,1736746422.8195193,,,,,,
21,21,42.266142652,9.999999747378752e-06,22.0,0,0.5050181150436401,1736746423.5749595,,,,,,
22,22,43.020594588,9.999999747378752e-06,23.0,0,0.5425447225570679,1736746424.329413,,,,,,
23,23,43.775862573,9.999999747378752e-06,24.0,0,0.60638827085495,1736746425.0846338,,,,,,
24,24,44.531955334,9.999999747378752e-06,25.0,0,0.48012280464172363,1736746425.8407679,,,,,,
25,25,45.286740538,9.999999747378752e-06,26.0,0,0.5633281469345093,1736746426.595538,,,,,,
26,26,46.04232299,9.999999747378752e-06,27.0,0,0.46374747157096863,1736746427.3511403,,,,,,
27,27,46.797722983,9.999999747378752e-06,28.0,0,0.5130519866943359,1736746428.106538,,,,,,
28,28,47.552692036,9.999999747378752e-06,29.0,0,0.4727776050567627,1736746428.8614802,,,,,,
29,29,48.308717653,9.999999747378752e-06,30.0,0,0.4824645221233368,1736746429.6175187,,,,,,
30,30,49.064152261,9.999999747378752e-06,31.0,0,0.4966200888156891,1736746430.3729582,,,,,,
31,31,49.818998418,9.999999747378752e-06,32.0,0,0.4562987685203552,1736746431.1277668,,,,,,
32,32,50.576261981,9.999999747378752e-06,33.0,0,0.483512282371521,1736746431.8850765,,,,,,
33,33,51.333101201,9.999999747378752e-06,34.0,0,0.4583826959133148,1736746432.6418836,,,,,,
34,34,52.089982157,9.999999747378752e-06,35.0,0,0.5032447576522827,1736746433.398755,,,,,,
