trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,28.934344984,5.000000058430487e-08,1.0,0,0.26817288994789124,1736818782.3591034,,,,,,
1,1,29.690276971,1.0000000116860974e-07,2.0,0,0.22320297360420227,1736818783.1150603,,,,,,
2,2,30.445192773,1.500000053056283e-07,3.0,0,0.27788683772087097,1736818783.86993,,,,,,
3,3,31.201597085,2.0000000233721948e-07,4.0,0,0.3717260956764221,1736818784.626366,,,,,,
4,4,31.957140254,2.499999993688107e-07,5.0,0,0.3937399089336395,1736818785.381921,,,,,,
5,5,32.712187976,3.000000106112566e-07,6.0,0,0.377644807100296,1736818786.136942,,,,,,
6,6,33.467053968,3.4999999343199306e-07,7.0,0,0.31354305148124695,1736818786.8918006,,,,,,
7,7,34.223688412,4.0000000467443897e-07,8.0,0,0.31073230504989624,1736818787.6485014,,,,,,
8,8,34.984536172,4.4999998749517545e-07,9.0,0,0.32694074511528015,1736818788.4092753,,,,,,
9,9,35.7413254,4.999999987376214e-07,10.0,0,0.18853747844696045,1736818789.166115,,,,,,
10,10,36.497089011,5.499999815583578e-07,11.0,0,0.17780841886997223,1736818789.9218621,,,,,,
11,11,37.253493156,6.000000212225132e-07,12.0,0,0.29796379804611206,1736818790.6782744,,,,,,
12,12,38.009600648,6.500000040432496e-07,13.0,0,0.21882523596286774,1736818791.4344,,,,,,
13,13,38.766059915,6.999999868639861e-07,14.0,0,0.2943991422653198,1736818792.190809,,,,,,
14,14,39.524854685,7.500000265281415e-07,15.0,0,0.27761110663414,1736818792.9496388,,,,,,
15,15,40.281315223,8.000000093488779e-07,16.0,0,0.19232076406478882,1736818793.7060924,,,,,,
16,16,41.03754005,8.499999921696144e-07,17.0,0,0.15227338671684265,1736818794.4622917,,,,,,
17,17,41.795699976,8.999999749903509e-07,18.0,0,0.1454722136259079,1736818795.220532,,,,,,
18,18,42.552600652,9.500000146545062e-07,19.0,0,0.13885796070098877,1736818795.97739,,,,,,
