trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.80539168,5.000000058430487e-08,1.0,0,1.091684103012085,1736793556.228766,,,,,,
1,1,31.557175688,1.0000000116860974e-07,2.0,0,0.8574057817459106,1736793556.9805787,,,,,,
2,2,32.305770203,1.500000053056283e-07,3.0,0,1.1499134302139282,1736793557.7290583,,,,,,
3,3,33.057584832,2.0000000233721948e-07,4.0,0,1.0321481227874756,1736793558.4809742,,,,,,
4,4,33.806474433,2.499999993688107e-07,5.0,0,0.856643557548523,1736793559.2298315,,,,,,
5,5,34.558999077,3.000000106112566e-07,6.0,0,1.0633403062820435,1736793559.982348,,,,,,
6,6,35.312143308,3.4999999343199306e-07,7.0,0,1.082170009613037,1736793560.7354987,,,,,,
7,7,36.065035293,4.0000000467443897e-07,8.0,0,0.8761695623397827,1736793561.4883966,,,,,,
8,8,36.817527232,4.4999998749517545e-07,9.0,0,1.065529227256775,1736793562.2408793,,,,,,
9,9,37.571415343,4.999999987376214e-07,10.0,0,0.9339900016784668,1736793562.9947808,,,,,,
10,10,38.32434831,5.499999815583578e-07,11.0,0,1.1436420679092407,1736793563.747713,,,,,,
11,11,39.078474118,6.000000212225132e-07,12.0,0,1.0073904991149902,1736793564.5018442,,,,,,
12,12,39.830839897,6.500000040432496e-07,13.0,0,0.8779007196426392,1736793565.25421,,,,,,
13,13,40.583396624,6.999999868639861e-07,14.0,0,0.9859049916267395,1736793566.0067725,,,,,,
14,14,41.336423135,7.500000265281415e-07,15.0,0,0.9842112064361572,1736793566.7598014,,,,,,
15,15,42.088087365,8.000000093488779e-07,16.0,0,0.9398968815803528,1736793567.511446,,,,,,
16,16,42.842577379,8.499999921696144e-07,17.0,0,0.7735225558280945,1736793568.2659237,,,,,,
17,17,43.60101515,8.999999749903509e-07,18.0,0,0.9899377822875977,1736793569.0243955,,,,,,
18,18,44.353552051,9.500000146545062e-07,19.0,0,0.8800754547119141,1736793569.776921,,,,,,
19,19,45.107565094,9.999999974752427e-07,20.0,0,0.9715859293937683,1736793570.530944,,,,,,
20,20,45.855440078,1.050000037139398e-06,21.0,0,0.9722470045089722,1736793571.2788022,,,,,,
21,21,46.605309585,1.0999999631167157e-06,22.0,0,0.9406351447105408,1736793572.0286372,,,,,,
22,22,47.354867706,1.150000002780871e-06,23.0,0,0.7905140519142151,1736793572.7782118,,,,,,
23,23,48.104308288,1.2000000424450263e-06,24.0,0,0.8143430948257446,1736793573.5276713,,,,,,
24,24,48.852890011,1.249999968422344e-06,25.0,0,0.9425889253616333,1736793574.2762513,,,,,,
25,25,49.602230321,1.3000000080864993e-06,26.0,0,1.0282211303710938,1736793575.0256317,,,,,,
26,26,50.349551927,1.3500000477506546e-06,27.0,0,0.8601055145263672,1736793575.7729397,,,,,,
27,27,51.097044438,1.3999999737279722e-06,28.0,0,0.8581795692443848,1736793576.5204613,,,,,,
28,28,51.844746629,1.4500000133921276e-06,29.0,0,0.9002864360809326,1736793577.2681482,,,,,,
29,29,52.592666691,1.500000053056283e-06,30.0,0,0.8846685290336609,1736793578.0160692,,,,,,
30,30,53.340647926,1.5499999790336005e-06,31.0,0,0.7314968705177307,1736793578.7640274,,,,,,
31,31,54.088183485,1.6000000186977559e-06,32.0,0,0.8678837418556213,1736793579.5115714,,,,,,
32,32,54.836728413,1.6499999446750735e-06,33.0,0,0.7685214281082153,1736793580.2601233,,,,,,
33,33,55.585620695,1.6999999843392288e-06,34.0,0,0.9361476898193359,1736793581.0090134,,,,,,
34,34,56.334395523,1.7500000240033842e-06,35.0,0,0.8615947365760803,1736793581.7577846,,,,,,
35,35,57.083222081,1.7999999499807018e-06,36.0,0,0.7421780824661255,1736793582.5065763,,,,,,
36,36,57.832134315,1.8499999896448571e-06,37.0,0,0.955290675163269,1736793583.2555344,,,,,,
37,37,58.581180437,1.9000000293090125e-06,38.0,0,0.7575979232788086,1736793584.0045805,,,,,,
38,38,59.330501987,1.950000068973168e-06,39.0,0,0.7122278213500977,1736793584.7538853,,,,,,
39,39,60.079386304,1.9999999949504854e-06,40.0,0,0.9830120205879211,1736793585.502778,,,,,,
40,40,60.829074813,2.049999920927803e-06,41.0,0,0.773810625076294,1736793586.2524476,,,,,,
41,41,61.578401064,2.100000074278796e-06,42.0,0,0.8229039907455444,1736793587.0017223,,,,,,
42,42,62.328088148,2.1500000002561137e-06,43.0,0,0.6594855785369873,1736793587.7514687,,,,,,
43,43,63.077666544,2.1999999262334313e-06,44.0,0,1.0237617492675781,1736793588.501036,,,,,,
44,44,63.827308675,2.2500000795844244e-06,45.0,0,0.7729203701019287,1736793589.2507102,,,,,,
45,45,64.577114092,2.300000005561742e-06,46.0,0,0.8731514811515808,1736793590.0004828,,,,,,
46,46,65.326353263,2.3499999315390596e-06,47.0,0,0.8347756266593933,1736793590.7497253,,,,,,
47,47,66.075852773,2.4000000848900527e-06,48.0,0,0.7766424417495728,1736793591.4992476,,,,,,
48,48,66.824765731,2.4500000108673703e-06,49.0,0,0.7943269610404968,1736793592.248164,,,,,,
49,49,67.574706855,2.499999936844688e-06,50.0,0,0.824016809463501,1736793592.9980946,,,,,,
50,50,68.325959222,2.550000090195681e-06,51.0,0,0.7169192433357239,1736793593.749356,,,,,,
51,51,69.077358608,2.6000000161729986e-06,52.0,0,0.6990766525268555,1736793594.5007422,,,,,,
52,52,69.829659861,2.649999942150316e-06,53.0,0,0.7946505546569824,1736793595.2530403,,,,,,
53,53,70.581039353,2.7000000955013093e-06,54.0,0,0.602319061756134,1736793596.0044403,,,,,,
54,54,71.332551827,2.750000021478627e-06,55.0,0,0.7167341113090515,1736793596.7559662,,,,,,
55,55,72.084813648,2.7999999474559445e-06,56.0,0,0.641913890838623,1736793597.508215,,,,,,
56,56,72.836935579,2.8500001008069376e-06,57.0,0,0.7407817840576172,1736793598.2603345,,,,,,
57,57,73.051415943,2.900000026784255e-06,58.0,0,1.019803762435913,1736793598.4748313,,,,,,
57,58,76.414650253,,,0,,1736793601.8380647,0.710073709487915,0.7693370580673218,,,,
57,59,76.419257981,,,0,,1736793601.842713,,,0.6869031190872192,0.8767890334129333,,
58,60,80.332589587,2.9499999527615728e-06,59.0,1,0.5631616115570068,1736793605.7558465,,,,,,
59,61,81.175554057,3.000000106112566e-06,60.0,1,0.5330999493598938,1736793606.598901,,,,,,
60,62,81.980647958,3.0500000320898835e-06,61.0,1,0.5225533246994019,1736793607.4039903,,,,,,
61,63,82.736367399,3.099999958067201e-06,62.0,1,0.6373343467712402,1736793608.159729,,,,,,
62,64,83.488174845,3.150000111418194e-06,63.0,1,0.5708134770393372,1736793608.9115314,,,,,,
63,65,84.238256383,3.2000000373955118e-06,64.0,1,0.5557283163070679,1736793609.661619,,,,,,
64,66,84.988840097,3.2499999633728294e-06,65.0,1,0.5920172333717346,1736793610.412217,,,,,,
65,67,85.743262333,3.299999889350147e-06,66.0,1,0.6513480544090271,1736793611.1666179,,,,,,
66,68,86.494747531,3.35000004270114e-06,67.0,1,0.5497148633003235,1736793611.918109,,,,,,
67,69,87.246647081,3.3999999686784577e-06,68.0,1,0.5850707292556763,1736793612.670024,,,,,,
68,70,87.998823947,3.4499998946557753e-06,69.0,1,0.5506620407104492,1736793613.4221854,,,,,,
69,71,88.750694014,3.5000000480067683e-06,70.0,1,0.46695294976234436,1736793614.174068,,,,,,
70,72,89.503309584,3.549999973984086e-06,71.0,1,0.6012159585952759,1736793614.9266744,,,,,,
71,73,90.25542928,3.5999998999614036e-06,72.0,1,0.5496857762336731,1736793615.6788135,,,,,,
72,74,91.006945797,3.6500000533123966e-06,73.0,1,0.4726894497871399,1736793616.430322,,,,,,
73,75,91.759426576,3.6999999792897142e-06,74.0,1,0.5667828321456909,1736793617.1828158,,,,,,
74,76,92.516191325,3.749999905267032e-06,75.0,1,0.6116524934768677,1736793617.9395654,,,,,,
75,77,93.270124766,3.800000058618025e-06,76.0,1,0.6370745301246643,1736793618.6934674,,,,,,
76,78,94.023513182,3.850000211969018e-06,77.0,1,0.5160736441612244,1736793619.446884,,,,,,
77,79,94.777915919,3.900000137946336e-06,78.0,1,0.5409058928489685,1736793620.2013006,,,,,,
78,80,95.530845548,3.950000063923653e-06,79.0,1,0.5967665910720825,1736793620.9541905,,,,,,
79,81,96.284534662,3.999999989900971e-06,80.0,1,0.5734760165214539,1736793621.7079089,,,,,,
80,82,97.03699576,4.0499999158782884e-06,81.0,1,0.5393374562263489,1736793622.460374,,,,,,
81,83,97.790890856,4.099999841855606e-06,82.0,1,0.5802434682846069,1736793623.2142577,,,,,,
82,84,98.543911608,4.1500002225802746e-06,83.0,1,0.5410295128822327,1736793623.9672642,,,,,,
83,85,99.297457797,4.200000148557592e-06,84.0,1,0.620547890663147,1736793624.7208464,,,,,,
84,86,100.049770183,4.25000007453491e-06,85.0,1,0.4706215560436249,1736793625.4731584,,,,,,
85,87,100.801143329,4.300000000512227e-06,86.0,1,0.5519247055053711,1736793626.2245252,,,,,,
86,88,101.55284601,4.349999926489545e-06,87.0,1,0.6019437909126282,1736793626.9762409,,,,,,
87,89,102.304165318,4.399999852466863e-06,88.0,1,0.5579503774642944,1736793627.7275646,,,,,,
88,90,103.055620554,4.44999977844418e-06,89.0,1,0.6419755220413208,1736793628.4790018,,,,,,
89,91,103.808166997,4.500000159168849e-06,90.0,1,0.5506346821784973,1736793629.2315602,,,,,,
90,92,104.560829193,4.550000085146166e-06,91.0,1,0.4442101716995239,1736793629.9841971,,,,,,
91,93,105.313007,4.600000011123484e-06,92.0,1,0.6730701923370361,1736793630.736398,,,,,,
92,94,106.064420992,4.649999937100802e-06,93.0,1,0.5278180837631226,1736793631.4878087,,,,,,
93,95,106.818799118,4.699999863078119e-06,94.0,1,0.4078311324119568,1736793632.2421942,,,,,,
94,96,107.571646624,4.749999789055437e-06,95.0,1,0.49595969915390015,1736793632.9950476,,,,,,
95,97,108.324366067,4.800000169780105e-06,96.0,1,0.5865334868431091,1736793633.747759,,,,,,
96,98,109.077364721,4.850000095757423e-06,97.0,1,0.4119030237197876,1736793634.500737,,,,,,
97,99,109.829773393,4.900000021734741e-06,98.0,1,0.49088990688323975,1736793635.2531776,,,,,,
98,100,110.582918395,4.949999947712058e-06,99.0,1,0.6460390686988831,1736793636.0063162,,,,,,
99,101,111.336665707,4.999999873689376e-06,100.0,1,0.36875247955322266,1736793636.760077,,,,,,
100,102,112.089078588,5.0499997996666934e-06,101.0,1,0.49302032589912415,1736793637.5124547,,,,,,
101,103,112.84200011,5.100000180391362e-06,102.0,1,0.48830559849739075,1736793638.2653759,,,,,,
102,104,113.59525399,5.1500001063686796e-06,103.0,1,0.5015164613723755,1736793639.0186443,,,,,,
103,105,114.348421896,5.200000032345997e-06,104.0,1,0.45247772336006165,1736793639.771817,,,,,,
104,106,115.101211808,5.249999958323315e-06,105.0,1,0.5919234752655029,1736793640.5245965,,,,,,
105,107,115.853475202,5.299999884300632e-06,106.0,1,0.47826138138771057,1736793641.2768805,,,,,,
106,108,116.606909769,5.34999981027795e-06,107.0,1,0.5098695158958435,1736793642.0303288,,,,,,
107,109,117.36020224,5.4000001910026185e-06,108.0,1,0.42256104946136475,1736793642.7835927,,,,,,
108,110,118.113686756,5.450000116979936e-06,109.0,1,0.5267981886863708,1736793643.5370796,,,,,,
109,111,118.866559365,5.500000042957254e-06,110.0,1,0.4824502170085907,1736793644.2899535,,,,,,
110,112,119.619937484,5.549999968934571e-06,111.0,1,0.45654046535491943,1736793645.0433328,,,,,,
111,113,120.373068804,5.599999894911889e-06,112.0,1,0.5837804675102234,1736793645.7964664,,,,,,
112,114,121.126598803,5.649999820889207e-06,113.0,1,0.45744872093200684,1736793646.5500152,,,,,,
113,115,121.879549107,5.700000201613875e-06,114.0,1,0.41501790285110474,1736793647.3029447,,,,,,
114,116,122.632952289,5.750000127591193e-06,115.0,1,0.35417431592941284,1736793648.0563502,,,,,,
115,117,122.846709115,5.80000005356851e-06,116.0,1,0.5167502164840698,1736793648.27011,,,,,,
115,118,126.296190836,,,1,,1736793651.7195725,0.7862407565116882,0.6248964667320251,,,,
115,119,126.300827558,,,1,,1736793651.7242584,,,0.8120054602622986,0.5327001810073853,,
116,120,129.759721578,5.849999979545828e-06,117.0,2,0.27042627334594727,1736793655.1829839,,,,,,
117,121,130.550701422,5.8999999055231456e-06,118.0,2,0.3104110062122345,1736793655.9740245,,,,,,
118,122,131.375855996,5.949999831500463e-06,119.0,2,0.33750495314598083,1736793656.7992065,,,,,,
