trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.071296112,5.000000058430487e-08,1.0,0,2.3149023056030273,1736825862.8489614,,,,,,
1,1,26.829330392,1.0000000116860974e-07,2.0,0,2.325657606124878,1736825863.6069803,,,,,,
2,2,27.581714578,1.500000053056283e-07,3.0,0,2.2517948150634766,1736825864.3593967,,,,,,
3,3,28.336624946,2.0000000233721948e-07,4.0,0,2.305049419403076,1736825865.1143174,,,,,,
4,4,29.091078888,2.499999993688107e-07,5.0,0,2.2731661796569824,1736825865.868741,,,,,,
5,5,29.845714735,3.000000106112566e-07,6.0,0,2.2821969985961914,1736825866.6233695,,,,,,
6,6,30.600460004,3.4999999343199306e-07,7.0,0,2.2614152431488037,1736825867.3781445,,,,,,
7,7,31.356020793,4.0000000467443897e-07,8.0,0,2.2531745433807373,1736825868.1337047,,,,,,
8,8,32.111982653,4.4999998749517545e-07,9.0,0,2.2770159244537354,1736825868.8896575,,,,,,
9,9,32.868442567,4.999999987376214e-07,10.0,0,2.2309610843658447,1736825869.646122,,,,,,
10,10,33.62447906,5.499999815583578e-07,11.0,0,2.2519712448120117,1736825870.4021513,,,,,,
11,11,34.379869645,6.000000212225132e-07,12.0,0,2.230684518814087,1736825871.1575613,,,,,,
12,12,35.135278557,6.500000040432496e-07,13.0,0,2.2030529975891113,1736825871.9129384,,,,,,
13,13,35.890359333,6.999999868639861e-07,14.0,0,2.1936464309692383,1736825872.6680346,,,,,,
14,14,36.645488875,7.500000265281415e-07,15.0,0,2.191312551498413,1736825873.423175,,,,,,
15,15,37.402048557,8.000000093488779e-07,16.0,0,2.130760669708252,1736825874.1797113,,,,,,
16,16,38.160564453,8.499999921696144e-07,17.0,0,2.0340781211853027,1736825874.9382522,,,,,,
17,17,38.92237422,8.999999749903509e-07,18.0,0,2.122161865234375,1736825875.7000608,,,,,,
18,18,39.678163978,9.500000146545062e-07,19.0,0,1.943865180015564,1736825876.4558442,,,,,,
19,19,40.435765007,9.999999974752427e-07,20.0,0,1.9428532123565674,1736825877.213458,,,,,,
20,20,41.193387458,1.050000037139398e-06,21.0,0,1.925950288772583,1736825877.9710326,,,,,,
21,21,41.950999156,1.0999999631167157e-06,22.0,0,1.887159824371338,1736825878.728664,,,,,,
