trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.457301406,5.000000058430487e-08,1.0,0,1.2720742225646973,1736797613.6954205,,,,,,
1,1,27.210537287,1.0000000116860974e-07,2.0,0,1.3255735635757446,1736797614.4486334,,,,,,
2,2,27.96359079,1.500000053056283e-07,3.0,0,1.334668755531311,1736797615.2016997,,,,,,
3,3,28.717669231,2.0000000233721948e-07,4.0,0,1.4441782236099243,1736797615.9557588,,,,,,
4,4,29.473638211,2.499999993688107e-07,5.0,0,1.325292944908142,1736797616.7117338,,,,,,
5,5,30.22895441,3.000000106112566e-07,6.0,0,1.3343151807785034,1736797617.467055,,,,,,
6,6,30.983866586,3.4999999343199306e-07,7.0,0,1.38294517993927,1736797618.2220168,,,,,,
7,7,31.740163626,4.0000000467443897e-07,8.0,0,1.1291463375091553,1736797618.9782581,,,,,,
8,8,32.496556073,4.4999998749517545e-07,9.0,0,1.3732855319976807,1736797619.7346263,,,,,,
9,9,33.252851811,4.999999987376214e-07,10.0,0,1.132581114768982,1736797620.4909453,,,,,,
10,10,34.009245257,5.499999815583578e-07,11.0,0,1.0024337768554688,1736797621.2473485,,,,,,
11,11,34.765673339,6.000000212225132e-07,12.0,0,1.0133278369903564,1736797622.003736,,,,,,
12,12,35.52402401,6.500000040432496e-07,13.0,0,0.9690711498260498,1736797622.7621186,,,,,,
13,13,36.280609388,6.999999868639861e-07,14.0,0,0.7141650915145874,1736797623.5187037,,,,,,
14,14,37.038215589,7.500000265281415e-07,15.0,0,0.6627041101455688,1736797624.2763147,,,,,,
15,15,37.796242923,8.000000093488779e-07,16.0,0,0.6684641242027283,1736797625.034349,,,,,,
16,16,38.557758488,8.499999921696144e-07,17.0,0,0.6377267241477966,1736797625.7958615,,,,,,
17,17,39.315023413,8.999999749903509e-07,18.0,0,0.6578354239463806,1736797626.5531144,,,,,,
18,18,40.071981636,9.500000146545062e-07,19.0,0,0.5395907759666443,1736797627.3100936,,,,,,
19,19,40.829019413,9.999999974752427e-07,20.0,0,0.6325046420097351,1736797628.0671182,,,,,,
20,20,41.58728686,1.050000037139398e-06,21.0,0,0.5024028420448303,1736797628.8253827,,,,,,
21,21,42.348695832,1.0999999631167157e-06,22.0,0,0.5658817887306213,1736797629.5867934,,,,,,
22,22,43.106666426,1.150000002780871e-06,23.0,0,0.4506300389766693,1736797630.3447502,,,,,,
23,23,43.864799528,1.2000000424450263e-06,24.0,0,0.36400243639945984,1736797631.1029046,,,,,,
24,24,44.622483099,1.249999968422344e-06,25.0,0,0.3443281352519989,1736797631.860585,,,,,,
25,25,45.380664498,1.3000000080864993e-06,26.0,0,0.35522693395614624,1736797632.6187527,,,,,,
26,26,46.138997152,1.3500000477506546e-06,27.0,0,0.3037053644657135,1736797633.3771138,,,,,,
27,27,46.899740852,1.3999999737279722e-06,28.0,0,0.38599395751953125,1736797634.1378407,,,,,,
28,28,47.660071352,1.4500000133921276e-06,29.0,0,0.3698054850101471,1736797634.8981652,,,,,,
29,29,48.420469455,1.500000053056283e-06,30.0,0,0.32490676641464233,1736797635.6585407,,,,,,
