trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,41.252492918,5.000000058430487e-08,1.0,0,2.1091299057006836,1736817082.6002033,,,,,,
1,1,41.969181351,1.0000000116860974e-07,2.0,0,1.728800892829895,1736817083.3553152,,,,,,
2,2,42.72375582,1.500000053056283e-07,3.0,0,1.9568145275115967,1736817084.1099203,,,,,,
3,3,43.476889141,2.0000000233721948e-07,4.0,0,1.797315239906311,1736817084.8630297,,,,,,
4,4,44.229625298,2.499999993688107e-07,5.0,0,1.9437201023101807,1736817085.615769,,,,,,
5,5,44.98272692,3.000000106112566e-07,6.0,0,1.9369834661483765,1736817086.3689005,,,,,,
6,6,45.737147763,3.4999999343199306e-07,7.0,0,1.8563172817230225,1736817087.1233184,,,,,,
7,7,46.493251268,4.0000000467443897e-07,8.0,0,1.732465147972107,1736817087.879402,,,,,,
8,8,47.248363976,4.4999998749517545e-07,9.0,0,1.8840677738189697,1736817088.6345055,,,,,,
9,9,48.007742556,4.999999987376214e-07,10.0,0,1.8623933792114258,1736817089.393864,,,,,,
10,10,48.762870553,5.499999815583578e-07,11.0,0,1.7956418991088867,1736817090.1490304,,,,,,
11,11,49.518416696,6.000000212225132e-07,12.0,0,1.696391224861145,1736817090.9045722,,,,,,
12,12,50.274051919,6.500000040432496e-07,13.0,0,1.674403190612793,1736817091.6601915,,,,,,
13,13,51.029882265,6.999999868639861e-07,14.0,0,1.493071436882019,1736817092.4160137,,,,,,
14,14,51.786056066,7.500000265281415e-07,15.0,0,1.669281005859375,1736817093.172221,,,,,,
15,15,52.545996141,8.000000093488779e-07,16.0,0,1.7008116245269775,1736817093.9321578,,,,,,
16,16,53.30182752,8.499999921696144e-07,17.0,0,1.7632168531417847,1736817094.6879792,,,,,,
17,17,54.060398643,8.999999749903509e-07,18.0,0,1.581007480621338,1736817095.4464731,,,,,,
18,18,54.818414787,9.500000146545062e-07,19.0,0,1.741973638534546,1736817096.204581,,,,,,
19,19,55.574907701,9.999999974752427e-07,20.0,0,1.5795373916625977,1736817096.9610796,,,,,,
20,20,56.331189043,1.050000037139398e-06,21.0,0,1.7303191423416138,1736817097.7173307,,,,,,
21,21,57.087704039,1.0999999631167157e-06,22.0,0,1.5727906227111816,1736817098.4738562,,,,,,
22,22,57.846890891,1.150000002780871e-06,23.0,0,1.6062830686569214,1736817099.2330604,,,,,,
23,23,58.604020991,1.2000000424450263e-06,24.0,0,1.4504883289337158,1736817099.9901593,,,,,,
24,24,59.361259629,1.249999968422344e-06,25.0,0,1.5752414464950562,1736817100.7474072,,,,,,
25,25,60.119881827,1.3000000080864993e-06,26.0,0,1.5127613544464111,1736817101.506052,,,,,,
26,26,60.876942822,1.3500000477506546e-06,27.0,0,1.4077584743499756,1736817102.2631457,,,,,,
27,27,61.63483206,1.3999999737279722e-06,28.0,0,1.5035502910614014,1736817103.020976,,,,,,
28,28,62.393080895,1.4500000133921276e-06,29.0,0,1.3895494937896729,1736817103.7792027,,,,,,
29,29,63.150462508,1.500000053056283e-06,30.0,0,1.4363436698913574,1736817104.5366116,,,,,,
30,30,63.908550464,1.5499999790336005e-06,31.0,0,1.371163010597229,1736817105.294723,,,,,,
31,31,64.667258798,1.6000000186977559e-06,32.0,0,1.3276128768920898,1736817106.0533981,,,,,,
32,32,65.427045515,1.6499999446750735e-06,33.0,0,1.4126181602478027,1736817106.8131902,,,,,,
33,33,66.187870317,1.6999999843392288e-06,34.0,0,1.1663707494735718,1736817107.5740447,,,,,,
34,34,66.949406166,1.7500000240033842e-06,35.0,0,1.4811885356903076,1736817108.3355384,,,,,,
35,35,67.710257639,1.7999999499807018e-06,36.0,0,1.1984864473342896,1736817109.096419,,,,,,
36,36,68.471827421,1.8499999896448571e-06,37.0,0,1.352336049079895,1736817109.8579378,,,,,,
37,37,69.233190477,1.9000000293090125e-06,38.0,0,1.3670711517333984,1736817110.619345,,,,,,
38,38,69.994479428,1.950000068973168e-06,39.0,0,1.265108585357666,1736817111.3806412,,,,,,
39,39,70.75564567,1.9999999949504854e-06,40.0,0,1.321286678314209,1736817112.1417675,,,,,,
40,40,71.516346952,2.049999920927803e-06,41.0,0,1.280102014541626,1736817112.9025106,,,,,,
41,41,72.278100369,2.100000074278796e-06,42.0,0,1.3079373836517334,1736817113.664247,,,,,,
42,42,73.03932954,2.1500000002561137e-06,43.0,0,1.0955101251602173,1736817114.425452,,,,,,
43,43,73.800852779,2.1999999262334313e-06,44.0,0,1.1922104358673096,1736817115.1870198,,,,,,
44,44,74.562440184,2.2500000795844244e-06,45.0,0,1.1645680665969849,1736817115.9486043,,,,,,
45,45,75.324504859,2.300000005561742e-06,46.0,0,1.2176077365875244,1736817116.710648,,,,,,
46,46,76.085627529,2.3499999315390596e-06,47.0,0,1.2877734899520874,1736817117.4718277,,,,,,
47,47,76.847308744,2.4000000848900527e-06,48.0,0,1.1751130819320679,1736817118.2334259,,,,,,
48,48,77.608897757,2.4500000108673703e-06,49.0,0,1.1993467807769775,1736817118.995067,,,,,,
49,49,78.370056662,2.499999936844688e-06,50.0,0,1.0451045036315918,1736817119.7562215,,,,,,
50,50,79.131770083,2.550000090195681e-06,51.0,0,1.1117513179779053,1736817120.5178862,,,,,,
51,51,79.893087507,2.6000000161729986e-06,52.0,0,1.1074119806289673,1736817121.2792602,,,,,,
52,52,80.654732082,2.649999942150316e-06,53.0,0,1.3183436393737793,1736817122.0409048,,,,,,
53,53,81.417278182,2.7000000955013093e-06,54.0,0,0.9619185924530029,1736817122.8034174,,,,,,
54,54,82.179385319,2.750000021478627e-06,55.0,0,1.0543407201766968,1736817123.5655515,,,,,,
55,55,82.941292898,2.7999999474559445e-06,56.0,0,0.9726607799530029,1736817124.3274093,,,,,,
56,56,83.703787067,2.8500001008069376e-06,57.0,0,1.2353349924087524,1736817125.089949,,,,,,
57,57,84.466480286,2.900000026784255e-06,58.0,0,1.121891975402832,1736817125.8526454,,,,,,
58,58,85.228148814,2.9499999527615728e-06,59.0,0,1.1708787679672241,1736817126.614288,,,,,,
59,59,85.990694027,3.000000106112566e-06,60.0,0,1.0549081563949585,1736817127.3768644,,,,,,
60,60,86.753115812,3.0500000320898835e-06,61.0,0,1.0216175317764282,1736817128.139304,,,,,,
61,61,87.515515286,3.099999958067201e-06,62.0,0,1.102027177810669,1736817128.901654,,,,,,
62,62,88.277895338,3.150000111418194e-06,63.0,0,1.1126646995544434,1736817129.6640625,,,,,,
