trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,28.897790871,5.000000058430487e-08,1.0,0,1.115624189376831,1736848555.7425203,,,,,,
1,1,29.352035604,1.0000000116860974e-07,2.0,0,1.1394985914230347,1736848556.1967533,,,,,,
2,2,29.808004221,1.500000053056283e-07,3.0,0,1.0989000797271729,1736848556.6527345,,,,,,
3,3,30.275182064,2.0000000233721948e-07,4.0,0,1.1589261293411255,1736848557.1199343,,,,,,
4,4,30.728968602,2.499999993688107e-07,5.0,0,0.9582101702690125,1736848557.5737193,,,,,,
5,5,31.182953914,3.000000106112566e-07,6.0,0,0.9897662401199341,1736848558.027693,,,,,,
6,6,31.637987655,3.4999999343199306e-07,7.0,0,0.7734525203704834,1736848558.4826953,,,,,,
7,7,32.094951113,4.0000000467443897e-07,8.0,0,1.0919393301010132,1736848558.939692,,,,,,
8,8,32.551718696,4.4999998749517545e-07,9.0,0,0.9545948505401611,1736848559.3964605,,,,,,
9,9,33.00684823,4.999999987376214e-07,10.0,0,1.0194889307022095,1736848559.851578,,,,,,
10,10,33.461873183,5.499999815583578e-07,11.0,0,0.965020477771759,1736848560.30663,,,,,,
11,11,33.917621246,6.000000212225132e-07,12.0,0,0.9877915382385254,1736848560.7620916,,,,,,
12,12,34.372025613,6.500000040432496e-07,13.0,0,0.674760639667511,1736848561.2167754,,,,,,
13,13,34.82706897,6.999999868639861e-07,14.0,0,0.7407167553901672,1736848561.6718218,,,,,,
14,14,35.282632356,7.500000265281415e-07,15.0,0,0.5858935117721558,1736848562.1274076,,,,,,
15,15,35.738158365,8.000000093488779e-07,16.0,0,0.6620492935180664,1736848562.582735,,,,,,
16,16,36.192853028,8.499999921696144e-07,17.0,0,0.6184253096580505,1736848563.0375845,,,,,,
17,17,36.655631739,8.999999749903509e-07,18.0,0,0.5875483751296997,1736848563.5002363,,,,,,
18,18,37.110176402,9.500000146545062e-07,19.0,0,0.5343328714370728,1736848563.954746,,,,,,
19,19,37.570368773,9.999999974752427e-07,20.0,0,0.43177610635757446,1736848564.4150984,,,,,,
20,20,38.025666338,1.050000037139398e-06,21.0,0,0.6185503005981445,1736848564.8703828,,,,,,
21,21,38.481051372,1.0999999631167157e-06,22.0,0,0.5540581345558167,1736848565.3257444,,,,,,
22,22,38.936128715,1.150000002780871e-06,23.0,0,0.48356449604034424,1736848565.780896,,,,,,
23,23,39.391646995,1.2000000424450263e-06,24.0,0,0.42761385440826416,1736848566.2362268,,,,,,
24,24,39.847684219,1.249999968422344e-06,25.0,0,0.5072797536849976,1736848566.6924133,,,,,,
25,25,40.302837205,1.3000000080864993e-06,26.0,0,0.4182722270488739,1736848567.1472878,,,,,,
26,26,40.757056065,1.3500000477506546e-06,27.0,0,0.391361266374588,1736848567.6017995,,,,,,
27,27,41.212278376,1.3999999737279722e-06,28.0,0,0.5716589093208313,1736848568.057007,,,,,,
28,28,41.668595343,1.4500000133921276e-06,29.0,0,0.5102419257164001,1736848568.5133343,,,,,,
29,29,42.124471049,1.500000053056283e-06,30.0,0,0.409641295671463,1736848568.9692247,,,,,,
30,30,42.579713544,1.5499999790336005e-06,31.0,0,0.3741430640220642,1736848569.4244468,,,,,,
31,31,43.034029764,1.6000000186977559e-06,32.0,0,0.37231212854385376,1736848569.8787596,,,,,,
32,32,43.489516774,1.6499999446750735e-06,33.0,0,0.3281794488430023,1736848570.3340974,,,,,,
33,33,43.945094634,1.6999999843392288e-06,34.0,0,0.4779576361179352,1736848570.7898185,,,,,,
34,34,44.400674765,1.7500000240033842e-06,35.0,0,0.320273220539093,1736848571.245389,,,,,,
35,35,44.862912749,1.7999999499807018e-06,36.0,0,0.44330495595932007,1736848571.7076254,,,,,,
36,36,45.318812225,1.8499999896448571e-06,37.0,0,0.4161316454410553,1736848572.1635597,,,,,,
37,37,45.775595012,1.9000000293090125e-06,38.0,0,0.5381182432174683,1736848572.6202946,,,,,,
38,38,46.231596815,1.950000068973168e-06,39.0,0,0.28992486000061035,1736848573.076135,,,,,,
39,39,46.687677301,1.9999999949504854e-06,40.0,0,0.27693140506744385,1736848573.5324168,,,,,,
40,40,47.143583599,2.049999920927803e-06,41.0,0,0.4768243432044983,1736848573.9883316,,,,,,
41,41,47.600213202,2.100000074278796e-06,42.0,0,0.3420218229293823,1736848574.4449613,,,,,,
42,42,48.056333276,2.1500000002561137e-06,43.0,0,0.3561756908893585,1736848574.9010882,,,,,,
43,43,48.511796395,2.1999999262334313e-06,44.0,0,0.4271651804447174,1736848575.3563776,,,,,,
44,44,48.967747864,2.2500000795844244e-06,45.0,0,0.44629377126693726,1736848575.812495,,,,,,
45,45,49.423332317,2.300000005561742e-06,46.0,0,0.36640092730522156,1736848576.2680802,,,,,,
46,46,49.879444691,2.3499999315390596e-06,47.0,0,0.32218196988105774,1736848576.7241821,,,,,,
47,47,50.334981819,2.4000000848900527e-06,48.0,0,0.2514657974243164,1736848577.179701,,,,,,
48,48,50.790738627,2.4500000108673703e-06,49.0,0,0.3586398661136627,1736848577.6354678,,,,,,
49,49,51.247521317,2.499999936844688e-06,50.0,0,0.3072633743286133,1736848578.0922527,,,,,,
50,50,51.703240085,2.550000090195681e-06,51.0,0,0.3817164897918701,1736848578.5479755,,,,,,
51,51,52.159378665,2.6000000161729986e-06,52.0,0,0.2711085379123688,1736848579.003844,,,,,,
52,52,52.614274577,2.649999942150316e-06,53.0,0,0.28684377670288086,1736848579.4589996,,,,,,
53,53,53.07091777,2.7000000955013093e-06,54.0,0,0.34109169244766235,1736848579.9156592,,,,,,
54,54,53.527536573,2.750000021478627e-06,55.0,0,0.2624036371707916,1736848580.3720312,,,,,,
55,55,53.98499186,2.7999999474559445e-06,56.0,0,0.36194413900375366,1736848580.8297255,,,,,,
