trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,25.76121791,5.000000058430487e-08,1.0,0,1.2521287202835083,1736810822.962112,,,,,,
1,1,26.512750344,1.0000000116860974e-07,2.0,0,1.35818612575531,1736810823.7136245,,,,,,
2,2,27.26844181,1.500000053056283e-07,3.0,0,1.2862333059310913,1736810824.4693089,,,,,,
3,3,28.023895003,2.0000000233721948e-07,4.0,0,1.0695011615753174,1736810825.2247694,,,,,,
4,4,28.779670446,2.499999993688107e-07,5.0,0,1.4133341312408447,1736810825.9805448,,,,,,
5,5,29.535070325,3.000000106112566e-07,6.0,0,1.2432018518447876,1736810826.735898,,,,,,
6,6,30.289976012,3.4999999343199306e-07,7.0,0,1.3920111656188965,1736810827.4908354,,,,,,
7,7,30.438645747,4.0000000467443897e-07,8.0,0,1.2656317949295044,1736810827.6395345,,,,,,
7,8,31.798203856,,,0,,1736810828.9990685,0.6764705777168274,1.3128831386566162,,,,
7,9,31.805720766,,,0,,1736810829.0066109,,,0.6938998103141785,1.2872681617736816,,
8,10,34.034002982,4.4999998749517545e-07,9.0,1,1.0539041757583618,1736810831.2348366,,,,,,
9,11,34.790925371,4.999999987376214e-07,10.0,1,1.399484634399414,1736810831.9918134,,,,,,
10,12,35.547419091,5.499999815583578e-07,11.0,1,1.0371811389923096,1736810832.748291,,,,,,
11,13,36.303254773,6.000000212225132e-07,12.0,1,1.5538159608840942,1736810833.5041208,,,,,,
12,14,37.05862274,6.500000040432496e-07,13.0,1,1.2566161155700684,1736810834.2595012,,,,,,
13,15,37.81766285,6.999999868639861e-07,14.0,1,1.0793406963348389,1736810835.0185587,,,,,,
14,16,38.576506109,7.500000265281415e-07,15.0,1,0.9474307298660278,1736810835.7773182,,,,,,
15,17,38.724895396,8.000000093488779e-07,16.0,1,2.058586835861206,1736810835.9257834,,,,,,
15,18,40.075976671,,,1,,1736810837.2768543,0.6960784196853638,1.1494126319885254,,,,
15,19,40.083351086,,,1,,1736810837.2842767,,,0.6993464231491089,1.2105053663253784,,
16,20,42.406619765,8.499999921696144e-07,17.0,2,1.052780270576477,1736810839.6074526,,,,,,
17,21,43.164626981,8.999999749903509e-07,18.0,2,1.0707736015319824,1736810840.365489,,,,,,
18,22,43.921538611,9.500000146545062e-07,19.0,2,1.1510599851608276,1736810841.122407,,,,,,
19,23,44.677458407,9.999999974752427e-07,20.0,2,0.851253867149353,1736810841.878329,,,,,,
20,24,45.434498474,1.050000037139398e-06,21.0,2,1.0632275342941284,1736810842.6353705,,,,,,
21,25,46.191876698,1.0999999631167157e-06,22.0,2,0.902485728263855,1736810843.3927565,,,,,,
22,26,46.948243019,1.150000002780871e-06,23.0,2,0.7797443866729736,1736810844.1491177,,,,,,
23,27,47.096408872,1.2000000424450263e-06,24.0,2,1.4206305742263794,1736810844.2973166,,,,,,
23,28,48.455769342,,,2,,1736810845.6566346,0.7450980544090271,0.9905663132667542,,,,
23,29,48.463221162,,,2,,1736810845.6641252,,,0.7549019455909729,0.9921389222145081,,
24,30,50.75466471,1.249999968422344e-06,25.0,3,0.9967854619026184,1736810847.9555082,,,,,,
25,31,51.512186966,1.3000000080864993e-06,26.0,3,0.8603166937828064,1736810848.713038,,,,,,
26,32,52.26937546,1.3500000477506546e-06,27.0,3,0.7127112150192261,1736810849.4702528,,,,,,
27,33,53.028084391,1.3999999737279722e-06,28.0,3,0.677618145942688,1736810850.2289512,,,,,,
28,34,53.788440306,1.4500000133921276e-06,29.0,3,0.5296239256858826,1736810850.9893103,,,,,,
29,35,54.547280683,1.500000053056283e-06,30.0,3,0.7778803110122681,1736810851.748163,,,,,,
30,36,55.306492509,1.5499999790336005e-06,31.0,3,0.7554996609687805,1736810852.5073533,,,,,,
31,37,55.455076768,1.6000000186977559e-06,32.0,3,0.9397168755531311,1736810852.6559713,,,,,,
31,38,56.805927881,,,3,,1736810854.0067675,0.7843137383460999,0.8308484554290771,,,,
31,39,56.813782724,,,3,,1736810854.0147042,,,0.7952069640159607,0.7629733085632324,,
32,40,59.094207504,1.6499999446750735e-06,33.0,4,0.5464049577713013,1736810856.2950306,,,,,,
33,41,59.852627681,1.6999999843392288e-06,34.0,4,0.5715203881263733,1736810857.05349,,,,,,
34,42,60.612146268000004,1.7500000240033842e-06,35.0,4,0.6040726900100708,1736810857.8130107,,,,,,
35,43,61.371995734,1.7999999499807018e-06,36.0,4,0.5907673835754395,1736810858.5728574,,,,,,
36,44,62.132881944,1.8499999896448571e-06,37.0,4,0.5010776519775391,1736810859.3337417,,,,,,
37,45,62.892802103,1.9000000293090125e-06,38.0,4,0.4578622579574585,1736810860.0936801,,,,,,
38,46,63.652613400999996,1.950000068973168e-06,39.0,4,0.5255710482597351,1736810860.8534749,,,,,,
39,47,63.801112752,1.9999999949504854e-06,40.0,4,0.3288561701774597,1736810861.0020251,,,,,,
39,48,65.131197242,,,4,,1736810862.3320537,0.7941176295280457,0.6670359969139099,,,,
39,49,65.13883247,,,4,,1736810862.3397357,,,0.8660130500793457,0.5373488664627075,,
40,50,67.437971999,2.049999920927803e-06,41.0,5,0.318132609128952,1736810864.6387947,,,,,,
41,51,68.20087169,2.100000074278796e-06,42.0,5,0.308942973613739,1736810865.4016612,,,,,,
42,52,68.962271031,2.1500000002561137e-06,43.0,5,0.2914063036441803,1736810866.1631463,,,,,,
43,53,69.721660947,2.1999999262334313e-06,44.0,5,0.3594517409801483,1736810866.9225464,,,,,,
44,54,70.480501638,2.2500000795844244e-06,45.0,5,0.3356679379940033,1736810867.6813223,,,,,,
45,55,71.240895857,2.300000005561742e-06,46.0,5,0.3397439122200012,1736810868.4417722,,,,,,
46,56,71.999974839,2.3499999315390596e-06,47.0,5,0.25043249130249023,1736810869.2008483,,,,,,
47,57,72.148651296,2.4000000848900527e-06,48.0,5,0.3940832316875458,1736810869.3495464,,,,,,
47,58,73.507443908,,,5,,1736810870.708305,0.8333333134651184,0.528237521648407,,,,
47,59,73.515232496,,,5,,1736810870.7161927,,,0.9346405267715454,0.31672486662864685,,
48,60,75.799422769,2.4500000108673703e-06,49.0,6,0.19306081533432007,1736810873.0002563,,,,,,
49,61,76.56021124,2.499999936844688e-06,50.0,6,0.16821400821208954,1736810873.7610788,,,,,,
