trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.92270151,5.000000058430487e-08,1.0,0,0.6009995937347412,1736820550.1080008,,,,,,
1,1,30.683374721,1.0000000116860974e-07,2.0,0,0.43991392850875854,1736820550.8686683,,,,,,
2,2,31.43645968,1.500000053056283e-07,3.0,0,0.5179986953735352,1736820551.6217563,,,,,,
3,3,32.189791443,2.0000000233721948e-07,4.0,0,0.5747695565223694,1736820552.3750985,,,,,,
4,4,32.94336885,2.499999993688107e-07,5.0,0,0.5627812743186951,1736820553.1286736,,,,,,
5,5,33.697790641,3.000000106112566e-07,6.0,0,0.6660464406013489,1736820553.883092,,,,,,
6,6,34.452165326,3.4999999343199306e-07,7.0,0,0.5307413935661316,1736820554.6374688,,,,,,
7,7,35.208258799,4.0000000467443897e-07,8.0,0,0.4858092665672302,1736820555.3935328,,,,,,
8,8,35.964043572,4.4999998749517545e-07,9.0,0,0.5701018571853638,1736820556.1493416,,,,,,
9,9,36.72042883,4.999999987376214e-07,10.0,0,0.5805352330207825,1736820556.9057052,,,,,,
10,10,37.47632486,5.499999815583578e-07,11.0,0,0.5664705634117126,1736820557.661617,,,,,,
11,11,38.232529653,6.000000212225132e-07,12.0,0,0.6990667581558228,1736820558.4177978,,,,,,
12,12,38.989393541,6.500000040432496e-07,13.0,0,0.39552077651023865,1736820559.1746864,,,,,,
13,13,39.745907612,6.999999868639861e-07,14.0,0,0.5148349404335022,1736820559.931193,,,,,,
14,14,40.501854736,7.500000265281415e-07,15.0,0,0.5116410255432129,1736820560.6871536,,,,,,
15,15,41.258642919,8.000000093488779e-07,16.0,0,0.5057182908058167,1736820561.4439461,,,,,,
16,16,42.016023943,8.499999921696144e-07,17.0,0,0.5002599358558655,1736820562.2013066,,,,,,
17,17,42.780095889,8.999999749903509e-07,18.0,0,0.58863765001297,1736820562.9653978,,,,,,
18,18,43.536385089,9.500000146545062e-07,19.0,0,0.4947506785392761,1736820563.7216828,,,,,,
19,19,44.292913343,9.999999974752427e-07,20.0,0,0.411037802696228,1736820564.4782043,,,,,,
20,20,45.049815718,1.050000037139398e-06,21.0,0,0.6364688277244568,1736820565.2351022,,,,,,
21,21,45.806961206,1.0999999631167157e-06,22.0,0,0.4348447322845459,1736820565.9922626,,,,,,
22,22,46.563606813,1.150000002780871e-06,23.0,0,0.479880690574646,1736820566.748921,,,,,,
23,23,47.321058677,1.2000000424450263e-06,24.0,0,0.46021565794944763,1736820567.506352,,,,,,
24,24,48.079184761,1.249999968422344e-06,25.0,0,0.5453119277954102,1736820568.2644682,,,,,,
25,25,48.837869069,1.3000000080864993e-06,26.0,0,0.6138355731964111,1736820569.0231712,,,,,,
26,26,49.596081926,1.3500000477506546e-06,27.0,0,0.682573139667511,1736820569.7813673,,,,,,
27,27,50.354143872,1.3999999737279722e-06,28.0,0,0.5500897765159607,1736820570.53944,,,,,,
28,28,51.11340229,1.4500000133921276e-06,29.0,0,0.7797673344612122,1736820571.298635,,,,,,
29,29,51.871909096,1.500000053056283e-06,30.0,0,0.4027334749698639,1736820572.057206,,,,,,
30,30,52.630983764,1.5499999790336005e-06,31.0,0,0.5310122966766357,1736820572.8162875,,,,,,
31,31,53.391731334,1.6000000186977559e-06,32.0,0,0.3713507056236267,1736820573.5770297,,,,,,
32,32,54.152624965,1.6499999446750735e-06,33.0,0,0.33903491497039795,1736820574.3379197,,,,,,
33,33,54.913617778,1.6999999843392288e-06,34.0,0,0.5911408066749573,1736820575.0989141,,,,,,
34,34,55.674938279,1.7500000240033842e-06,35.0,0,0.4704529643058777,1736820575.8602357,,,,,,
35,35,56.435732331,1.7999999499807018e-06,36.0,0,0.5468488335609436,1736820576.621017,,,,,,
36,36,57.198015077,1.8499999896448571e-06,37.0,0,0.48633134365081787,1736820577.3833103,,,,,,
37,37,57.959367285,1.9000000293090125e-06,38.0,0,0.538071870803833,1736820578.1446707,,,,,,
38,38,58.720490002,1.950000068973168e-06,39.0,0,0.43847599625587463,1736820578.9057717,,,,,,
39,39,59.481810815,1.9999999949504854e-06,40.0,0,0.631881833076477,1736820579.667093,,,,,,
40,40,60.243627605,2.049999920927803e-06,41.0,0,0.5013065934181213,1736820580.4288905,,,,,,
41,41,61.005274877,2.100000074278796e-06,42.0,0,0.6754977107048035,1736820581.1906056,,,,,,
42,42,61.766143038,2.1500000002561137e-06,43.0,0,0.5494245886802673,1736820581.9514492,,,,,,
43,43,62.527725071,2.1999999262334313e-06,44.0,0,0.550231397151947,1736820582.7130256,,,,,,
44,44,63.290190287,2.2500000795844244e-06,45.0,0,0.46704941987991333,1736820583.475491,,,,,,
45,45,64.051472266,2.300000005561742e-06,46.0,0,0.3901445269584656,1736820584.2367651,,,,,,
46,46,64.813126617,2.3499999315390596e-06,47.0,0,0.4894320070743561,1736820584.9984276,,,,,,
47,47,65.575136439,2.4000000848900527e-06,48.0,0,0.5316933393478394,1736820585.7603903,,,,,,
48,48,66.336863618,2.4500000108673703e-06,49.0,0,0.606195330619812,1736820586.522164,,,,,,
49,49,67.098913282,2.499999936844688e-06,50.0,0,0.3394351899623871,1736820587.284217,,,,,,
50,50,67.860850993,2.550000090195681e-06,51.0,0,0.4385185241699219,1736820588.0461502,,,,,,
51,51,68.622786247,2.6000000161729986e-06,52.0,0,0.2892415523529053,1736820588.8080852,,,,,,
52,52,69.38495021,2.649999942150316e-06,53.0,0,0.5948875546455383,1736820589.5702436,,,,,,
53,53,70.147455118,2.7000000955013093e-06,54.0,0,0.4971867501735687,1736820590.3327482,,,,,,
54,54,70.909417834,2.750000021478627e-06,55.0,0,0.5190364718437195,1736820591.094785,,,,,,
55,55,71.672341904,2.7999999474559445e-06,56.0,0,0.543199896812439,1736820591.8576179,,,,,,
56,56,72.435591475,2.8500001008069376e-06,57.0,0,0.4291430711746216,1736820592.6208694,,,,,,
57,57,73.197805877,2.900000026784255e-06,58.0,0,0.35304197669029236,1736820593.3830822,,,,,,
58,58,73.960781854,2.9499999527615728e-06,59.0,0,0.5254761576652527,1736820594.146063,,,,,,
59,59,74.723299347,3.000000106112566e-06,60.0,0,0.3208320438861847,1736820594.9085834,,,,,,
60,60,75.48586142,3.0500000320898835e-06,61.0,0,0.5872219800949097,1736820595.671162,,,,,,
61,61,76.248336225,3.099999958067201e-06,62.0,0,0.4375537037849426,1736820596.4336507,,,,,,
62,62,77.010557512,3.150000111418194e-06,63.0,0,0.3826029896736145,1736820597.1958601,,,,,,
63,63,77.773922134,3.2000000373955118e-06,64.0,0,0.520768940448761,1736820597.9591992,,,,,,
64,64,78.536438004,3.2499999633728294e-06,65.0,0,0.7891455888748169,1736820598.7217398,,,,,,
65,65,79.299921087,3.299999889350147e-06,66.0,0,0.34270238876342773,1736820599.4852264,,,,,,
66,66,80.062373008,3.35000004270114e-06,67.0,0,0.5416309833526611,1736820600.247657,,,,,,
67,67,80.824700572,3.3999999686784577e-06,68.0,0,0.424621045589447,1736820601.0100205,,,,,,
68,68,81.588294217,3.4499998946557753e-06,69.0,0,0.5018291473388672,1736820601.7735946,,,,,,
69,69,82.352021965,3.5000000480067683e-06,70.0,0,0.5941668748855591,1736820602.5373132,,,,,,
70,70,83.115165051,3.549999973984086e-06,71.0,0,0.7023748755455017,1736820603.3004634,,,,,,
71,71,83.878488319,3.5999998999614036e-06,72.0,0,0.4939975440502167,1736820604.063736,,,,,,
72,72,84.6417559,3.6500000533123966e-06,73.0,0,0.3992466628551483,1736820604.8270547,,,,,,
73,73,85.40478946,3.6999999792897142e-06,74.0,0,0.5484012365341187,1736820605.59009,,,,,,
74,74,86.167821076,3.749999905267032e-06,75.0,0,0.3575701415538788,1736820606.3530982,,,,,,
75,75,86.931911766,3.800000058618025e-06,76.0,0,0.3644944429397583,1736820607.1172156,,,,,,
76,76,87.694837394,3.850000211969018e-06,77.0,0,0.4464346766471863,1736820607.8801172,,,,,,
77,77,88.458332191,3.900000137946336e-06,78.0,0,0.336061030626297,1736820608.6436296,,,,,,
78,78,89.221039247,3.950000063923653e-06,79.0,0,0.5223536491394043,1736820609.4063232,,,,,,
79,79,89.984575386,3.999999989900971e-06,80.0,0,0.5002210140228271,1736820610.1698632,,,,,,
80,80,90.747430337,4.0499999158782884e-06,81.0,0,0.3023894727230072,1736820610.9327197,,,,,,
81,81,91.510940921,4.099999841855606e-06,82.0,0,0.5484983921051025,1736820611.6962469,,,,,,
82,82,92.274309209,4.1500002225802746e-06,83.0,0,0.3339448571205139,1736820612.4595914,,,,,,
83,83,93.03841443,4.200000148557592e-06,84.0,0,0.3789761960506439,1736820613.223716,,,,,,
84,84,93.801682276,4.25000007453491e-06,85.0,0,0.5128028392791748,1736820613.986982,,,,,,
85,85,94.565026456,4.300000000512227e-06,86.0,0,0.45812973380088806,1736820614.750324,,,,,,
86,86,95.328909387,4.349999926489545e-06,87.0,0,0.6876267194747925,1736820615.5142057,,,,,,
87,87,96.092222495,4.399999852466863e-06,88.0,0,0.5558123588562012,1736820616.2775593,,,,,,
88,88,96.855057634,4.44999977844418e-06,89.0,0,0.5456867814064026,1736820617.0403593,,,,,,
89,89,97.617798271,4.500000159168849e-06,90.0,0,0.4125621020793915,1736820617.8030958,,,,,,
90,90,98.381615989,4.550000085146166e-06,91.0,0,0.4500819444656372,1736820618.5669057,,,,,,
91,91,99.144904023,4.600000011123484e-06,92.0,0,0.5395981073379517,1736820619.3302011,,,,,,
92,92,99.908498023,4.649999937100802e-06,93.0,0,0.4910065531730652,1736820620.0937955,,,,,,
93,93,100.6725757,4.699999863078119e-06,94.0,0,0.48699143528938293,1736820620.8578603,,,,,,
94,94,101.436068362,4.749999789055437e-06,95.0,0,0.5065027475357056,1736820621.6213682,,,,,,
95,95,102.199158126,4.800000169780105e-06,96.0,0,0.7139331698417664,1736820622.3844495,,,,,,
96,96,102.96278833,4.850000095757423e-06,97.0,0,0.41906002163887024,1736820623.148087,,,,,,
97,97,103.726732776,4.900000021734741e-06,98.0,0,0.44479018449783325,1736820623.9120126,,,,,,
98,98,104.490617767,4.949999947712058e-06,99.0,0,0.6133997440338135,1736820624.6759007,,,,,,
99,99,105.254411109,4.999999873689376e-06,100.0,0,0.596670925617218,1736820625.4397078,,,,,,
100,100,106.017502242,5.0499997996666934e-06,101.0,0,0.37066054344177246,1736820626.2028372,,,,,,
101,101,106.781360261,5.100000180391362e-06,102.0,0,0.3646997809410095,1736820626.9665966,,,,,,
102,102,107.545701895,5.1500001063686796e-06,103.0,0,0.405394583940506,1736820627.7310045,,,,,,
103,103,108.30933555,5.200000032345997e-06,104.0,0,0.4852050840854645,1736820628.4945774,,,,,,
104,104,109.073140095,5.249999958323315e-06,105.0,0,0.426157683134079,1736820629.2584162,,,,,,
105,105,109.836163413,5.299999884300632e-06,106.0,0,0.570033848285675,1736820630.0214658,,,,,,
106,106,110.599573983,5.34999981027795e-06,107.0,0,0.5841411352157593,1736820630.7848737,,,,,,
107,107,111.364022264,5.4000001910026185e-06,108.0,0,0.46081528067588806,1736820631.549303,,,,,,
108,108,112.127861564,5.450000116979936e-06,109.0,0,0.5402594208717346,1736820632.3131633,,,,,,
109,109,112.891855046,5.500000042957254e-06,110.0,0,0.5775219798088074,1736820633.0770943,,,,,,
110,110,113.656140226,5.549999968934571e-06,111.0,0,0.6381873488426208,1736820633.8414414,,,,,,
111,111,114.420346117,5.599999894911889e-06,112.0,0,0.7139623165130615,1736820634.6056483,,,,,,
112,112,115.183871957,5.649999820889207e-06,113.0,0,0.5451421737670898,1736820635.3691733,,,,,,
113,113,115.948075306,5.700000201613875e-06,114.0,0,0.7215852737426758,1736820636.1333764,,,,,,
114,114,116.711558309,5.750000127591193e-06,115.0,0,0.7431556582450867,1736820636.8968637,,,,,,
115,115,117.475037882,5.80000005356851e-06,116.0,0,0.4625095725059509,1736820637.6603386,,,,,,
116,116,118.239136305,5.849999979545828e-06,117.0,0,0.42462357878685,1736820638.4244347,,,,,,
117,117,119.003665719,5.8999999055231456e-06,118.0,0,0.31798312067985535,1736820639.1889687,,,,,,
118,118,119.767775938,5.949999831500463e-06,119.0,0,0.552478015422821,1736820639.9530566,,,,,,
119,119,120.531160353,6.000000212225132e-06,120.0,0,0.3818185031414032,1736820640.7164593,,,,,,
120,120,121.29472379,6.050000138202449e-06,121.0,0,0.39604997634887695,1736820641.480027,,,,,,
121,121,122.058880336,6.100000064179767e-06,122.0,0,0.48364463448524475,1736820642.244182,,,,,,
122,122,122.822817563,6.1499999901570845e-06,123.0,0,0.4662887752056122,1736820643.0080886,,,,,,
123,123,123.586992992,6.199999916134402e-06,124.0,0,0.351978600025177,1736820643.7722955,,,,,,
124,124,124.350556368,6.24999984211172e-06,125.0,0,0.5648399591445923,1736820644.5358257,,,,,,
125,125,125.114378469,6.300000222836388e-06,126.0,0,0.42707115411758423,1736820645.2996821,,,,,,
126,126,125.879295656,6.350000148813706e-06,127.0,0,0.50420743227005,1736820646.0645957,,,,,,
127,127,126.642965133,6.4000000747910235e-06,128.0,0,0.7006305456161499,1736820646.828266,,,,,,
128,128,127.406725736,6.450000000768341e-06,129.0,0,0.39443832635879517,1736820647.5920072,,,,,,
129,129,128.170935035,6.499999926745659e-06,130.0,0,0.7737250924110413,1736820648.3562279,,,,,,
130,130,128.935685819,6.549999852722976e-06,131.0,0,0.4831821918487549,1736820649.1209757,,,,,,
131,131,129.700372289,6.599999778700294e-06,132.0,0,0.5560288429260254,1736820649.8856704,,,,,,
132,132,130.464580965,6.6500001594249625e-06,133.0,0,0.43425288796424866,1736820650.6498623,,,,,,
133,133,131.228773997,6.70000008540228e-06,134.0,0,0.5429716110229492,1736820651.4140766,,,,,,
134,134,131.992679869,6.750000011379598e-06,135.0,0,0.3940826654434204,1736820652.1779594,,,,,,
135,135,132.757492704,6.799999937356915e-06,136.0,0,0.3854142129421234,1736820652.9427915,,,,,,
136,136,133.52151031,6.849999863334233e-06,137.0,0,0.6327075958251953,1736820653.7067835,,,,,,
137,137,134.286390374,6.8999997893115506e-06,138.0,0,0.3899346590042114,1736820654.4716802,,,,,,
138,138,135.050379542,6.950000170036219e-06,139.0,0,0.33484333753585815,1736820655.235683,,,,,,
139,139,135.8172586,7.000000096013537e-06,140.0,0,0.6479647755622864,1736820656.002552,,,,,,
140,140,136.584086239,7.050000021990854e-06,141.0,0,0.4020683467388153,1736820656.769392,,,,,,
141,141,137.350202763,7.099999947968172e-06,142.0,0,0.5666933059692383,1736820657.5355005,,,,,,
142,142,138.117474989,7.1499998739454895e-06,143.0,0,0.49030235409736633,1736820658.302777,,,,,,
143,143,138.884010201,7.199999799922807e-06,144.0,0,0.6850117444992065,1736820659.069312,,,,,,
144,144,139.650092813,7.250000180647476e-06,145.0,0,0.4451245665550232,1736820659.8353698,,,,,,
145,145,140.418317238,7.300000106624793e-06,146.0,0,0.48365819454193115,1736820660.603622,,,,,,
146,146,141.184301685,7.350000032602111e-06,147.0,0,0.57033371925354,1736820661.3695986,,,,,,
147,147,141.950846897,7.3999999585794285e-06,148.0,0,0.47399622201919556,1736820662.1361477,,,,,,
148,148,142.717539686,7.449999884556746e-06,149.0,0,0.4121410548686981,1736820662.9028332,,,,,,
149,149,143.484147497,7.499999810534064e-06,150.0,0,0.2994091212749481,1736820663.6694274,,,,,,
150,150,144.25112656,7.550000191258732e-06,151.0,0,0.41911011934280396,1736820664.436415,,,,,,
151,151,145.017169181,7.60000011723605e-06,152.0,0,0.5559951663017273,1736820665.2024665,,,,,,
152,152,145.783184412,7.650000043213367e-06,153.0,0,0.34385839104652405,1736820665.9684794,,,,,,
153,153,146.549775081,7.700000423938036e-06,154.0,0,0.3659912645816803,1736820666.735079,,,,,,
154,154,147.315912148,7.749999895168003e-06,155.0,0,0.37403547763824463,1736820667.5011902,,,,,,
155,155,148.082357594,7.800000275892671e-06,156.0,0,0.4036531448364258,1736820668.2676167,,,,,,
156,156,148.849010786,7.849999747122638e-06,157.0,0,0.3315781056880951,1736820669.0343122,,,,,,
157,157,149.615618637,7.900000127847306e-06,158.0,0,0.3908824026584625,1736820669.8009095,,,,,,
158,158,150.381815194,7.949999599077273e-06,159.0,0,0.5467998385429382,1736820670.5671062,,,,,,
159,159,151.148907101,7.999999979801942e-06,160.0,0,0.38058245182037354,1736820671.334231,,,,,,
160,160,151.91512714,8.05000036052661e-06,161.0,0,0.6390154957771301,1736820672.100429,,,,,,
161,161,152.681866858,8.099999831756577e-06,162.0,0,0.35332435369491577,1736820672.8671694,,,,,,
162,162,153.448930413,8.150000212481245e-06,163.0,0,0.5922256708145142,1736820673.6342313,,,,,,
163,163,154.215307457,8.199999683711212e-06,164.0,0,0.6644794940948486,1736820674.4006035,,,,,,
164,164,154.982129843,8.25000006443588e-06,165.0,0,0.574370801448822,1736820675.1674325,,,,,,
165,165,155.748851439,8.300000445160549e-06,166.0,0,0.36535167694091797,1736820675.9341502,,,,,,
166,166,156.515361321,8.349999916390516e-06,167.0,0,0.28927239775657654,1736820676.7006578,,,,,,
167,167,157.281749757,8.400000297115184e-06,168.0,0,0.5773321986198425,1736820677.4670494,,,,,,
168,168,158.048771876,8.449999768345151e-06,169.0,0,0.6307923793792725,1736820678.2340705,,,,,,
169,169,158.815209066,8.50000014906982e-06,170.0,0,0.9745256304740906,1736820679.0005097,,,,,,
170,170,159.582318852,8.549999620299786e-06,171.0,0,0.3186438977718353,1736820679.7676194,,,,,,
171,171,160.349378724,8.600000001024455e-06,172.0,0,0.514469563961029,1736820680.534608,,,,,,
172,172,161.115335446,8.650000381749123e-06,173.0,0,0.5030769109725952,1736820681.3006716,,,,,,
173,173,161.881782193,8.69999985297909e-06,174.0,0,0.41605085134506226,1736820682.067086,,,,,,
174,174,162.648903128,8.750000233703759e-06,175.0,0,0.39086154103279114,1736820682.8341935,,,,,,
175,175,163.415049723,8.799999704933725e-06,176.0,0,0.42790982127189636,1736820683.6003513,,,,,,
176,176,164.180826428,8.850000085658394e-06,177.0,0,0.5471003651618958,1736820684.3661284,,,,,,
177,177,164.947915303,8.89999955688836e-06,178.0,0,0.6661533713340759,1736820685.1332202,,,,,,
178,178,165.713932836,8.949999937613029e-06,179.0,0,0.5429999232292175,1736820685.8992348,,,,,,
179,179,166.480507249,9.000000318337698e-06,180.0,0,0.5885128378868103,1736820686.6657925,,,,,,
180,180,167.248151605,9.049999789567664e-06,181.0,0,0.6529595851898193,1736820687.4334564,,,,,,
181,181,168.01473695,9.100000170292333e-06,182.0,0,0.47976037859916687,1736820688.200044,,,,,,
182,182,168.781043303,9.1499996415223e-06,183.0,0,0.6488237977027893,1736820688.966343,,,,,,
183,183,169.548276551,9.200000022246968e-06,184.0,0,0.5356383323669434,1736820689.733579,,,,,,
184,184,170.314542161,9.250000402971637e-06,185.0,0,0.4733526110649109,1736820690.4998457,,,,,,
185,185,171.080779343,9.299999874201603e-06,186.0,0,0.5849390625953674,1736820691.2661066,,,,,,
186,186,171.847820191,9.350000254926272e-06,187.0,0,0.5109801292419434,1736820692.0331178,,,,,,
187,187,172.61418956,9.399999726156238e-06,188.0,0,0.7735980749130249,1736820692.7994947,,,,,,
188,188,173.380772804,9.450000106880907e-06,189.0,0,0.3799620270729065,1736820693.5660663,,,,,,
189,189,174.147611659,9.499999578110874e-06,190.0,0,0.4996344745159149,1736820694.332913,,,,,,
190,190,174.914487074,9.549999958835542e-06,191.0,0,0.6177600622177124,1736820695.0997832,,,,,,
191,191,175.68113751,9.60000033956021e-06,192.0,0,0.6715452075004578,1736820695.866433,,,,,,
192,192,176.447528826,9.649999810790177e-06,193.0,0,0.6389300227165222,1736820696.6328278,,,,,,
193,193,177.2140113,9.700000191514846e-06,194.0,0,0.4222128391265869,1736820697.3993127,,,,,,
194,194,177.980673585,9.749999662744813e-06,195.0,0,0.49984169006347656,1736820698.1659746,,,,,,
195,195,178.747504136,9.800000043469481e-06,196.0,0,0.6100596785545349,1736820698.9328072,,,,,,
196,196,179.514402783,9.85000042419415e-06,197.0,0,0.5772256255149841,1736820699.6997077,,,,,,
197,197,180.281250419,9.899999895424116e-06,198.0,0,0.6396474838256836,1736820700.466549,,,,,,
198,198,181.048043414,9.950000276148785e-06,199.0,0,0.5313630700111389,1736820701.2333362,,,,,,
199,199,181.814216556,9.999999747378752e-06,200.0,0,0.5303650498390198,1736820701.9995313,,,,,,
200,200,182.581228148,9.999999747378752e-06,201.0,0,0.5160009264945984,1736820702.766504,,,,,,
201,201,183.347509943,9.999994290410541e-06,202.0,0,0.4423426687717438,1736820703.5327933,,,,,,
202,202,184.113719815,9.999975191021804e-06,203.0,0,0.524507999420166,1736820704.2990277,,,,,,
203,203,184.880542004,9.999945177696645e-06,204.0,0,0.6550993919372559,1736820705.0658445,,,,,,
204,204,185.647061859,9.999902431445662e-06,205.0,0,0.5134592056274414,1736820705.8323684,,,,,,
205,205,186.414060493,9.999847861763556e-06,206.0,0,0.6280603408813477,1736820706.59936,,,,,,
206,206,187.181362452,9.999780559155624e-06,207.0,0,0.6618199348449707,1736820707.3666523,,,,,,
