trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.015237066,5.000000058430487e-08,1.0,0,2.163356065750122,1736799785.6047268,,,,,,
1,1,26.771163505,1.0000000116860974e-07,2.0,0,2.2082319259643555,1736799786.3605998,,,,,,
2,2,27.524727185,1.500000053056283e-07,3.0,0,2.1878020763397217,1736799787.1142225,,,,,,
3,3,28.279271724,2.0000000233721948e-07,4.0,0,2.03848934173584,1736799787.8687413,,,,,,
4,4,29.032988859,2.499999993688107e-07,5.0,0,2.1845381259918213,1736799788.6224704,,,,,,
5,5,29.787541864,3.000000106112566e-07,6.0,0,2.136739492416382,1736799789.377022,,,,,,
6,6,30.541901834,3.4999999343199306e-07,7.0,0,2.006023406982422,1736799790.1313815,,,,,,
7,7,31.297794544,4.0000000467443897e-07,8.0,0,2.1670196056365967,1736799790.887295,,,,,,
8,8,32.054815052,4.4999998749517545e-07,9.0,0,2.04284930229187,1736799791.644302,,,,,,
9,9,32.810467606,4.999999987376214e-07,10.0,0,2.009817361831665,1736799792.399922,,,,,,
10,10,33.567220353,5.499999815583578e-07,11.0,0,1.903187870979309,1736799793.1567144,,,,,,
11,11,34.323230392,6.000000212225132e-07,12.0,0,1.8905380964279175,1736799793.9126978,,,,,,
12,12,35.079574638,6.500000040432496e-07,13.0,0,2.0037739276885986,1736799794.6690612,,,,,,
13,13,35.835930843,6.999999868639861e-07,14.0,0,1.7137539386749268,1736799795.4254222,,,,,,
14,14,36.592135978,7.500000265281415e-07,15.0,0,1.812262773513794,1736799796.1816094,,,,,,
15,15,37.349571445,8.000000093488779e-07,16.0,0,1.7190337181091309,1736799796.9390683,,,,,,
16,16,38.113503003,8.499999921696144e-07,17.0,0,1.5409009456634521,1736799797.7030025,,,,,,
17,17,38.871812875,8.999999749903509e-07,18.0,0,1.5333585739135742,1736799798.4612834,,,,,,
18,18,39.62857166,9.500000146545062e-07,19.0,0,1.6560428142547607,1736799799.2180648,,,,,,
19,19,40.386319404,9.999999974752427e-07,20.0,0,1.4885585308074951,1736799799.9758108,,,,,,
20,20,41.144321347,1.050000037139398e-06,21.0,0,1.4928637742996216,1736799800.7338252,,,,,,
21,21,41.9014864,1.0999999631167157e-06,22.0,0,1.4638197422027588,1736799801.490971,,,,,,
22,22,42.659096596,1.150000002780871e-06,23.0,0,1.2314192056655884,1736799802.2485595,,,,,,
23,23,43.417378672,1.2000000424450263e-06,24.0,0,1.2984687089920044,1736799803.0068767,,,,,,
24,24,44.175428187,1.249999968422344e-06,25.0,0,1.2993320226669312,1736799803.7649233,,,,,,
25,25,44.933558487,1.3000000080864993e-06,26.0,0,1.3526618480682373,1736799804.5230088,,,,,,
26,26,45.691941817,1.3500000477506546e-06,27.0,0,1.161516785621643,1736799805.281439,,,,,,
27,27,46.450820538,1.3999999737279722e-06,28.0,0,1.0813404321670532,1736799806.0403047,,,,,,
28,28,47.209684114,1.4500000133921276e-06,29.0,0,1.05558443069458,1736799806.7991676,,,,,,
29,29,47.967949165,1.500000053056283e-06,30.0,0,0.9318951964378357,1736799807.5574384,,,,,,
30,30,48.726965334,1.5499999790336005e-06,31.0,0,1.1231813430786133,1736799808.316393,,,,,,
31,31,49.487200158,1.6000000186977559e-06,32.0,0,0.8813977241516113,1736799809.076693,,,,,,
32,32,50.248448679,1.6499999446750735e-06,33.0,0,1.0052030086517334,1736799809.8379362,,,,,,
33,33,51.009645198,1.6999999843392288e-06,34.0,0,0.8782012462615967,1736799810.5991411,,,,,,
34,34,51.770498518,1.7500000240033842e-06,35.0,0,0.7252166867256165,1736799811.3599443,,,,,,
35,35,52.532587163,1.7999999499807018e-06,36.0,0,0.8181728720664978,1736799812.1220772,,,,,,
36,36,53.294013832,1.8499999896448571e-06,37.0,0,0.7714884877204895,1736799812.8834932,,,,,,
37,37,54.055808361,1.9000000293090125e-06,38.0,0,0.6736054420471191,1736799813.6452882,,,,,,
38,38,54.818072021,1.950000068973168e-06,39.0,0,0.5456811785697937,1736799814.4075236,,,,,,
39,39,55.57958299,1.9999999949504854e-06,40.0,0,0.665546178817749,1736799815.1690726,,,,,,
40,40,56.341428606,2.049999920927803e-06,41.0,0,0.5959630012512207,1736799815.9309385,,,,,,
41,41,57.103420257,2.100000074278796e-06,42.0,0,0.9140918254852295,1736799816.692885,,,,,,
42,42,57.864796262,2.1500000002561137e-06,43.0,0,0.6852982640266418,1736799817.4542625,,,,,,
43,43,58.626664297,2.1999999262334313e-06,44.0,0,0.5625453591346741,1736799818.2161536,,,,,,
44,44,59.388955812,2.2500000795844244e-06,45.0,0,0.5028643608093262,1736799818.9784355,,,,,,
45,45,60.150322955,2.300000005561742e-06,46.0,0,0.8276118040084839,1736799819.739806,,,,,,
46,46,60.912277208,2.3499999315390596e-06,47.0,0,0.6227370500564575,1736799820.5017781,,,,,,
47,47,61.674647399,2.4000000848900527e-06,48.0,0,0.5283898115158081,1736799821.2641342,,,,,,
48,48,62.437236464,2.4500000108673703e-06,49.0,0,0.5323120355606079,1736799822.0267348,,,,,,
49,49,63.199490543,2.499999936844688e-06,50.0,0,0.5605947971343994,1736799822.7889364,,,,,,
50,50,63.961932838,2.550000090195681e-06,51.0,0,0.3801303505897522,1736799823.551424,,,,,,
51,51,64.724104093,2.6000000161729986e-06,52.0,0,0.5038034915924072,1736799824.3135896,,,,,,
52,52,65.486992241,2.649999942150316e-06,53.0,0,0.6049237847328186,1736799825.0764704,,,,,,
53,53,66.249781079,2.7000000955013093e-06,54.0,0,0.5099740028381348,1736799825.8393164,,,,,,
54,54,67.012154601,2.750000021478627e-06,55.0,0,0.4359161853790283,1736799826.601638,,,,,,
55,55,67.77541396,2.7999999474559445e-06,56.0,0,0.35430359840393066,1736799827.3648868,,,,,,
56,56,68.538135261,2.8500001008069376e-06,57.0,0,0.44216349720954895,1736799828.1276128,,,,,,
57,57,69.301366485,2.900000026784255e-06,58.0,0,0.41104310750961304,1736799828.8908455,,,,,,
58,58,70.064244964,2.9499999527615728e-06,59.0,0,0.40871864557266235,1736799829.6537354,,,,,,
59,59,70.826913982,3.000000106112566e-06,60.0,0,0.37980204820632935,1736799830.4163857,,,,,,
60,60,71.590462326,3.0500000320898835e-06,61.0,0,0.3874053359031677,1736799831.1799173,,,,,,
61,61,72.353827585,3.099999958067201e-06,62.0,0,0.38606172800064087,1736799831.9433022,,,,,,
62,62,73.117137747,3.150000111418194e-06,63.0,0,0.33685168623924255,1736799832.7065935,,,,,,
63,63,73.880280822,3.2000000373955118e-06,64.0,0,0.3349100649356842,1736799833.469762,,,,,,
64,64,74.643452582,3.2499999633728294e-06,65.0,0,0.31644824147224426,1736799834.2329473,,,,,,
65,65,75.406634581,3.299999889350147e-06,66.0,0,0.30329465866088867,1736799834.9961307,,,,,,
66,66,76.170830534,3.35000004270114e-06,67.0,0,0.2839352786540985,1736799835.7603195,,,,,,
67,67,76.935242268,3.3999999686784577e-06,68.0,0,0.2126651108264923,1736799836.5247014,,,,,,
68,68,77.698580485,3.4499998946557753e-06,69.0,0,0.2352573722600937,1736799837.2880473,,,,,,
69,69,78.461783287,3.5000000480067683e-06,70.0,0,0.2239469289779663,1736799838.0512824,,,,,,
70,70,79.225269465,3.549999973984086e-06,71.0,0,0.35214656591415405,1736799838.8147566,,,,,,
71,71,79.989017333,3.5999998999614036e-06,72.0,0,0.23875115811824799,1736799839.5784843,,,,,,
72,72,80.753324677,3.6500000533123966e-06,73.0,0,0.40324193239212036,1736799840.3427896,,,,,,
73,73,81.516476212,3.6999999792897142e-06,74.0,0,0.24343398213386536,1736799841.1059694,,,,,,
74,74,82.280146962,3.749999905267032e-06,75.0,0,0.20647387206554413,1736799841.8696387,,,,,,
75,75,83.043798382,3.800000058618025e-06,76.0,0,0.18394213914871216,1736799842.6332793,,,,,,
