trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.438479844,5.000000058430487e-08,1.0,0,2.2919411659240723,1736848558.7724345,,,,,,
1,1,27.19442286,1.0000000116860974e-07,2.0,0,2.476853847503662,1736848559.52839,,,,,,
2,2,27.947292246,1.500000053056283e-07,3.0,0,2.491671085357666,1736848560.2812662,,,,,,
3,3,28.700100154,2.0000000233721948e-07,4.0,0,2.405272960662842,1736848561.034046,,,,,,
4,4,29.455759939,2.499999993688107e-07,5.0,0,2.4174413681030273,1736848561.789699,,,,,,
5,5,30.208671732,3.000000106112566e-07,6.0,0,2.4204776287078857,1736848562.5426269,,,,,,
6,6,30.962000295,3.4999999343199306e-07,7.0,0,2.329787015914917,1736848563.2959836,,,,,,
7,7,31.71476106,4.0000000467443897e-07,8.0,0,2.4674065113067627,1736848564.0487254,,,,,,
8,8,32.470003017,4.4999998749517545e-07,9.0,0,2.3765079975128174,1736848564.8039618,,,,,,
9,9,33.225122497,4.999999987376214e-07,10.0,0,2.4214420318603516,1736848565.5590878,,,,,,
10,10,33.983190412,5.499999815583578e-07,11.0,0,2.373028039932251,1736848566.3171663,,,,,,
11,11,34.739511047,6.000000212225132e-07,12.0,0,2.3732259273529053,1736848567.0734916,,,,,,
12,12,35.495379119,6.500000040432496e-07,13.0,0,2.307464361190796,1736848567.829349,,,,,,
13,13,36.251279853,6.999999868639861e-07,14.0,0,2.2550578117370605,1736848568.585241,,,,,,
14,14,37.007990926,7.500000265281415e-07,15.0,0,2.2494194507598877,1736848569.341931,,,,,,
15,15,37.764939274,8.000000093488779e-07,16.0,0,2.2479119300842285,1736848570.0989132,,,,,,
16,16,38.523614924,8.499999921696144e-07,17.0,0,2.2037692070007324,1736848570.85758,,,,,,
17,17,39.283943572,8.999999749903509e-07,18.0,0,2.2247486114501953,1736848571.6179056,,,,,,
18,18,40.040336937,9.500000146545062e-07,19.0,0,2.1806743144989014,1736848572.3743067,,,,,,
19,19,40.797673456,9.999999974752427e-07,20.0,0,2.11126971244812,1736848573.1316426,,,,,,
20,20,41.554277598,1.050000037139398e-06,21.0,0,2.121643543243408,1736848573.888243,,,,,,
21,21,42.31055423,1.0999999631167157e-06,22.0,0,2.0801684856414795,1736848574.6445072,,,,,,
22,22,43.067811556,1.150000002780871e-06,23.0,0,2.0864055156707764,1736848575.4017541,,,,,,
23,23,43.825648442,1.2000000424450263e-06,24.0,0,2.051449775695801,1736848576.159622,,,,,,
24,24,44.582237174,1.249999968422344e-06,25.0,0,1.9784809350967407,1736848576.916211,,,,,,
25,25,45.338868253,1.3000000080864993e-06,26.0,0,1.9824095964431763,1736848577.6728187,,,,,,
26,26,46.097203872,1.3500000477506546e-06,27.0,0,1.913233757019043,1736848578.431176,,,,,,
