trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.423558857,5.000000058430487e-08,1.0,0,1.8202078342437744,1736801520.4963071,,,,,,
1,1,27.177394422,1.0000000116860974e-07,2.0,0,1.8504383563995361,1736801521.2501566,,,,,,
2,2,27.93104601,1.500000053056283e-07,3.0,0,1.848419189453125,1736801522.0038123,,,,,,
3,3,28.684833939,2.0000000233721948e-07,4.0,0,1.8924546241760254,1736801522.7575922,,,,,,
4,4,29.439720104,2.499999993688107e-07,5.0,0,1.8119051456451416,1736801523.5124795,,,,,,
5,5,30.194713899,3.000000106112566e-07,6.0,0,1.8465160131454468,1736801524.2674835,,,,,,
6,6,30.949822587,3.4999999343199306e-07,7.0,0,1.8068348169326782,1736801525.0226,,,,,,
7,7,31.708952684,4.0000000467443897e-07,8.0,0,1.670762062072754,1736801525.781724,,,,,,
8,8,32.468618128,4.4999998749517545e-07,9.0,0,1.8220102787017822,1736801526.5413697,,,,,,
9,9,33.225726348,4.999999987376214e-07,10.0,0,1.5142585039138794,1736801527.2984922,,,,,,
10,10,33.981959034,5.499999815583578e-07,11.0,0,1.5397533178329468,1736801528.054725,,,,,,
11,11,34.741687830000004,6.000000212225132e-07,12.0,0,1.5652492046356201,1736801528.814441,,,,,,
12,12,35.499094016,6.500000040432496e-07,13.0,0,1.2579710483551025,1736801529.5718613,,,,,,
13,13,36.255788246,6.999999868639861e-07,14.0,0,1.2250653505325317,1736801530.3285625,,,,,,
14,14,37.013483614,7.500000265281415e-07,15.0,0,1.0366482734680176,1736801531.0862343,,,,,,
15,15,37.77123529,8.000000093488779e-07,16.0,0,1.1929264068603516,1736801531.8440042,,,,,,
16,16,38.531489076,8.499999921696144e-07,17.0,0,1.0256925821304321,1736801532.604251,,,,,,
17,17,39.289150201,8.999999749903509e-07,18.0,0,0.9148988127708435,1736801533.3619022,,,,,,
18,18,40.048082816,9.500000146545062e-07,19.0,0,0.8455104827880859,1736801534.1208546,,,,,,
19,19,40.806635457,9.999999974752427e-07,20.0,0,0.7418200969696045,1736801534.8794158,,,,,,
20,20,41.564502041,1.050000037139398e-06,21.0,0,0.7279970645904541,1736801535.6372683,,,,,,
21,21,42.323144466,1.0999999631167157e-06,22.0,0,0.6163283586502075,1736801536.3958945,,,,,,
22,22,43.082660275,1.150000002780871e-06,23.0,0,0.5549388527870178,1736801537.155414,,,,,,
23,23,43.842718924,1.2000000424450263e-06,24.0,0,0.5833997130393982,1736801537.9154966,,,,,,
24,24,44.602572126,1.249999968422344e-06,25.0,0,0.5360157489776611,1736801538.675324,,,,,,
