trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,27.956265834,5.000000058430487e-08,1.0,0,0.7500552535057068,1736813876.0161736,,,,,,
1,1,28.715728393,1.0000000116860974e-07,2.0,0,0.7329336404800415,1736813876.7756503,,,,,,
2,2,29.469701157,1.500000053056283e-07,3.0,0,0.8102250695228577,1736813877.5296133,,,,,,
3,3,30.223366468,2.0000000233721948e-07,4.0,0,0.788118839263916,1736813878.2831469,,,,,,
4,4,30.97798895,2.499999993688107e-07,5.0,0,0.7482520341873169,1736813879.0378928,,,,,,
5,5,31.734248687,3.000000106112566e-07,6.0,0,0.7961711883544922,1736813879.7940903,,,,,,
6,6,32.490085568,3.4999999343199306e-07,7.0,0,0.7706837058067322,1736813880.550006,,,,,,
7,7,33.245376623,4.0000000467443897e-07,8.0,0,0.7571420073509216,1736813881.3052828,,,,,,
8,8,34.001340455,4.4999998749517545e-07,9.0,0,0.6577351093292236,1736813882.0612519,,,,,,
9,9,34.757985828,4.999999987376214e-07,10.0,0,0.6869024038314819,1736813882.8178947,,,,,,
10,10,35.514392235,5.499999815583578e-07,11.0,0,0.5914968252182007,1736813883.574293,,,,,,
11,11,36.270613782,6.000000212225132e-07,12.0,0,0.5864571332931519,1736813884.3305314,,,,,,
12,12,37.027431608,6.500000040432496e-07,13.0,0,0.6329750418663025,1736813885.08733,,,,,,
13,13,37.784770998,6.999999868639861e-07,14.0,0,0.558714747428894,1736813885.844695,,,,,,
14,14,38.541322525,7.500000265281415e-07,15.0,0,0.5481201410293579,1736813886.601246,,,,,,
15,15,39.299185308,8.000000093488779e-07,16.0,0,0.5602535605430603,1736813887.359094,,,,,,
16,16,40.062976663,8.499999921696144e-07,17.0,0,0.48881280422210693,1736813888.1228716,,,,,,
17,17,40.820609917,8.999999749903509e-07,18.0,0,0.5204355120658875,1736813888.88052,,,,,,
18,18,41.578165699,9.500000146545062e-07,19.0,0,0.5403896570205688,1736813889.6380823,,,,,,
19,19,42.335634129,9.999999974752427e-07,20.0,0,0.46751469373703003,1736813890.3955295,,,,,,
20,20,43.093672867,1.050000037139398e-06,21.0,0,0.4856581389904022,1736813891.1535645,,,,,,
21,21,43.853234347,1.0999999631167157e-06,22.0,0,0.49195396900177,1736813891.9131377,,,,,,
22,22,44.611157491,1.150000002780871e-06,23.0,0,0.4339766204357147,1736813892.671052,,,,,,
23,23,45.369680495,1.2000000424450263e-06,24.0,0,0.43986767530441284,1736813893.4295912,,,,,,
24,24,46.128164601,1.249999968422344e-06,25.0,0,0.42969781160354614,1736813894.1880724,,,,,,
25,25,46.887351716,1.3000000080864993e-06,26.0,0,0.4130667448043823,1736813894.94729,,,,,,
26,26,47.645984251,1.3500000477506546e-06,27.0,0,0.3797672390937805,1736813895.7058914,,,,,,
27,27,48.404268347,1.3999999737279722e-06,28.0,0,0.43183836340904236,1736813896.4641912,,,,,,
28,28,49.163036003,1.4500000133921276e-06,29.0,0,0.40321362018585205,1736813897.222955,,,,,,
29,29,49.921727698,1.500000053056283e-06,30.0,0,0.3190624713897705,1736813897.9816403,,,,,,
30,30,50.681060893,1.5499999790336005e-06,31.0,0,0.4261639416217804,1736813898.7409806,,,,,,
31,31,51.439608456,1.6000000186977559e-06,32.0,0,0.4116577208042145,1736813899.4995556,,,,,,
32,32,52.19955551,1.6499999446750735e-06,33.0,0,0.3969072103500366,1736813900.259477,,,,,,
33,33,52.960610924,1.6999999843392288e-06,34.0,0,0.4149748980998993,1736813901.0205238,,,,,,
34,34,53.722927139,1.7500000240033842e-06,35.0,0,0.4268329441547394,1736813901.7828367,,,,,,
35,35,54.485070727,1.7999999499807018e-06,36.0,0,0.37284326553344727,1736813902.5449824,,,,,,
36,36,55.246410397,1.8499999896448571e-06,37.0,0,0.4225353002548218,1736813903.306328,,,,,,
37,37,56.007472954,1.9000000293090125e-06,38.0,0,0.3744521141052246,1736813904.0673945,,,,,,
38,38,56.770056441,1.950000068973168e-06,39.0,0,0.2963842451572418,1736813904.8299596,,,,,,
39,39,57.531773151,1.9999999949504854e-06,40.0,0,0.33662495017051697,1736813905.5916772,,,,,,
40,40,58.293632489,2.049999920927803e-06,41.0,0,0.5982783436775208,1736813906.3535233,,,,,,
41,41,59.056244589,2.100000074278796e-06,42.0,0,0.5173596739768982,1736813907.1161575,,,,,,
42,42,59.817850305,2.1500000002561137e-06,43.0,0,0.4179726243019104,1736813907.877775,,,,,,
43,43,60.579187963,2.1999999262334313e-06,44.0,0,0.4026137590408325,1736813908.6390758,,,,,,
44,44,61.342055825,2.2500000795844244e-06,45.0,0,0.35811468958854675,1736813909.4019864,,,,,,
45,45,62.104165391,2.300000005561742e-06,46.0,0,0.3073115050792694,1736813910.1640968,,,,,,
46,46,62.865841234,2.3499999315390596e-06,47.0,0,0.37459269165992737,1736813910.9257383,,,,,,
47,47,63.627973057,2.4000000848900527e-06,48.0,0,0.3712511360645294,1736813911.6878963,,,,,,
48,48,64.390371642,2.4500000108673703e-06,49.0,0,0.3471282422542572,1736813912.4502513,,,,,,
49,49,65.15319405,2.499999936844688e-06,50.0,0,0.37777459621429443,1736813913.2130966,,,,,,
50,50,65.914818908,2.550000090195681e-06,51.0,0,0.36985549330711365,1736813913.9747255,,,,,,
51,51,66.677096325,2.6000000161729986e-06,52.0,0,0.3230760097503662,1736813914.737032,,,,,,
52,52,67.439902165,2.649999942150316e-06,53.0,0,0.3037923276424408,1736813915.4997966,,,,,,
53,53,68.202659355,2.7000000955013093e-06,54.0,0,0.2638046145439148,1736813916.2625241,,,,,,
54,54,68.965179295,2.750000021478627e-06,55.0,0,0.2824482321739197,1736813917.0250814,,,,,,
55,55,69.727207467,2.7999999474559445e-06,56.0,0,0.3017992377281189,1736813917.7871304,,,,,,
56,56,70.490083512,2.8500001008069376e-06,57.0,0,0.35615813732147217,1736813918.5500088,,,,,,
57,57,71.253528699,2.900000026784255e-06,58.0,0,0.28646770119667053,1736813919.3134434,,,,,,
58,58,72.01664248,2.9499999527615728e-06,59.0,0,0.3051788806915283,1736813920.076573,,,,,,
59,59,72.779367737,3.000000106112566e-06,60.0,0,0.26275670528411865,1736813920.8392704,,,,,,
60,60,73.542977951,3.0500000320898835e-06,61.0,0,0.39381706714630127,1736813921.6028876,,,,,,
61,61,74.306463836,3.099999958067201e-06,62.0,0,0.3232666552066803,1736813922.3663838,,,,,,
62,62,75.069377813,3.150000111418194e-06,63.0,0,0.227431520819664,1736813923.129265,,,,,,
63,63,75.833315593,3.2000000373955118e-06,64.0,0,0.24651123583316803,1736813923.8932264,,,,,,
64,64,76.596793703,3.2499999633728294e-06,65.0,0,0.24476657807826996,1736813924.6567185,,,,,,
65,65,77.360971261,3.299999889350147e-06,66.0,0,0.24531026184558868,1736813925.4208727,,,,,,
66,66,78.125290704,3.35000004270114e-06,67.0,0,0.17250315845012665,1736813926.185233,,,,,,
67,67,78.890679118,3.3999999686784577e-06,68.0,0,0.30529823899269104,1736813926.9505258,,,,,,
68,68,79.653639595,3.4499998946557753e-06,69.0,0,0.2460041642189026,1736813927.7135303,,,,,,
69,69,80.417076706,3.5000000480067683e-06,70.0,0,0.2980960011482239,1736813928.4769945,,,,,,
70,70,81.180731183,3.549999973984086e-06,71.0,0,0.20155580341815948,1736813929.240646,,,,,,
71,71,81.944457117,3.5999998999614036e-06,72.0,0,0.2308989316225052,1736813930.004366,,,,,,
72,72,82.707987818,3.6500000533123966e-06,73.0,0,0.35496875643730164,1736813930.7679033,,,,,,
73,73,83.472559587,3.6999999792897142e-06,74.0,0,0.2616463303565979,1736813931.5324674,,,,,,
74,74,84.236335628,3.749999905267032e-06,75.0,0,0.20491385459899902,1736813932.2962477,,,,,,
75,75,84.999626563,3.800000058618025e-06,76.0,0,0.28619781136512756,1736813933.059534,,,,,,
76,76,85.763002631,3.850000211969018e-06,77.0,0,0.35413238406181335,1736813933.822923,,,,,,
77,77,86.526805757,3.900000137946336e-06,78.0,0,0.24002301692962646,1736813934.586722,,,,,,
78,78,87.290745492,3.950000063923653e-06,79.0,0,0.22228452563285828,1736813935.3506646,,,,,,
79,79,88.055383625,3.999999989900971e-06,80.0,0,0.21861204504966736,1736813936.1153085,,,,,,
80,80,88.819112039,4.0499999158782884e-06,81.0,0,0.23164688050746918,1736813936.8790092,,,,,,
81,81,89.584062742,4.099999841855606e-06,82.0,0,0.24846325814723969,1736813937.643963,,,,,,
82,82,90.347996795,4.1500002225802746e-06,83.0,0,0.27190861105918884,1736813938.4079142,,,,,,
83,83,91.111706847,4.200000148557592e-06,84.0,0,0.1984003782272339,1736813939.1716151,,,,,,
84,84,91.876111147,4.25000007453491e-06,85.0,0,0.2575801908969879,1736813939.936033,,,,,,
85,85,92.639921673,4.300000000512227e-06,86.0,0,0.2023092359304428,1736813940.6998227,,,,,,
86,86,93.403911819,4.349999926489545e-06,87.0,0,0.20521090924739838,1736813941.4638343,,,,,,
87,87,94.167834974,4.399999852466863e-06,88.0,0,0.22816839814186096,1736813942.2277503,,,,,,
88,88,94.932576143,4.44999977844418e-06,89.0,0,0.24058325588703156,1736813942.9924867,,,,,,
89,89,95.696684088,4.500000159168849e-06,90.0,0,0.22091341018676758,1736813943.7565885,,,,,,
90,90,96.459936228,4.550000085146166e-06,91.0,0,0.19646798074245453,1736813944.5198858,,,,,,
91,91,97.224253234,4.600000011123484e-06,92.0,0,0.2674248218536377,1736813945.28417,,,,,,
92,92,97.987830044,4.649999937100802e-06,93.0,0,0.22215022146701813,1736813946.0477502,,,,,,
93,93,98.752044984,4.699999863078119e-06,94.0,0,0.2468082457780838,1736813946.8119664,,,,,,
94,94,99.515779195,4.749999789055437e-06,95.0,0,0.16515108942985535,1736813947.5757008,,,,,,
95,95,100.280929685,4.800000169780105e-06,96.0,0,0.3019014894962311,1736813948.3408344,,,,,,
96,96,101.045208775,4.850000095757423e-06,97.0,0,0.3540049195289612,1736813949.10512,,,,,,
97,97,101.809937271,4.900000021734741e-06,98.0,0,0.25677576661109924,1736813949.8698363,,,,,,
98,98,102.574118972,4.949999947712058e-06,99.0,0,0.16278204321861267,1736813950.634021,,,,,,
99,99,103.339252933,4.999999873689376e-06,100.0,0,0.24563726782798767,1736813951.3991697,,,,,,
100,100,104.10349852,5.0499997996666934e-06,101.0,0,0.265453964471817,1736813952.1634078,,,,,,
101,101,104.867945499,5.100000180391362e-06,102.0,0,0.1719529628753662,1736813952.9278588,,,,,,
102,102,105.631786913,5.1500001063686796e-06,103.0,0,0.34113237261772156,1736813953.6917078,,,,,,
103,103,106.395967377,5.200000032345997e-06,104.0,0,0.3361026644706726,1736813954.4558933,,,,,,
104,104,107.160265262,5.249999958323315e-06,105.0,0,0.18579939007759094,1736813955.2201972,,,,,,
