trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,27.060158859,5.000000058430487e-08,1.0,0,1.1665481328964233,1736803305.7947757,,,,,,
1,1,27.813661582,1.0000000116860974e-07,2.0,0,1.1497751474380493,1736803306.5482674,,,,,,
2,2,28.567613751,1.500000053056283e-07,3.0,0,1.067728042602539,1736803307.3022237,,,,,,
3,3,29.32231979,2.0000000233721948e-07,4.0,0,1.2741814851760864,1736803308.0569303,,,,,,
4,4,30.076176183,2.499999993688107e-07,5.0,0,0.9955464005470276,1736803308.8107755,,,,,,
5,5,30.831304914,3.000000106112566e-07,6.0,0,1.1676180362701416,1736803309.5659196,,,,,,
6,6,31.58716055,3.4999999343199306e-07,7.0,0,1.1365249156951904,1736803310.3218057,,,,,,
7,7,32.346365329,4.0000000467443897e-07,8.0,0,0.9621158838272095,1736803311.0809593,,,,,,
8,8,33.102682036,4.4999998749517545e-07,9.0,0,1.0329203605651855,1736803311.837287,,,,,,
9,9,33.858667973,4.999999987376214e-07,10.0,0,0.9715451002120972,1736803312.5932605,,,,,,
10,10,34.615688668,5.499999815583578e-07,11.0,0,1.1732721328735352,1736803313.3502848,,,,,,
11,11,35.372591779,6.000000212225132e-07,12.0,0,1.1521967649459839,1736803314.1072013,,,,,,
12,12,36.129172637,6.500000040432496e-07,13.0,0,1.1145604848861694,1736803314.8637717,,,,,,
13,13,36.886345006,6.999999868639861e-07,14.0,0,0.953690767288208,1736803315.62098,,,,,,
14,14,37.644552569,7.500000265281415e-07,15.0,0,1.0211527347564697,1736803316.379152,,,,,,
15,15,38.402060418,8.000000093488779e-07,16.0,0,0.8041115999221802,1736803317.1366634,,,,,,
16,16,39.162266703,8.499999921696144e-07,17.0,0,0.9822525978088379,1736803317.8968732,,,,,,
17,17,39.921226757,8.999999749903509e-07,18.0,0,0.8308546543121338,1736803318.655833,,,,,,
18,18,40.678806508,9.500000146545062e-07,19.0,0,0.8352371454238892,1736803319.4134176,,,,,,
19,19,41.436654649,9.999999974752427e-07,20.0,0,1.0163053274154663,1736803320.171298,,,,,,
20,20,42.194731001,1.050000037139398e-06,21.0,0,0.7983919382095337,1736803320.9293323,,,,,,
21,21,42.954131681,1.0999999631167157e-06,22.0,0,0.8873120546340942,1736803321.688737,,,,,,
22,22,43.713794475,1.150000002780871e-06,23.0,0,0.8433462977409363,1736803322.4483936,,,,,,
23,23,44.474892826,1.2000000424450263e-06,24.0,0,0.7193101644515991,1736803323.209502,,,,,,
24,24,45.233282381,1.249999968422344e-06,25.0,0,0.7463205456733704,1736803323.9678855,,,,,,
25,25,45.992073049,1.3000000080864993e-06,26.0,0,0.7944269776344299,1736803324.7266786,,,,,,
26,26,46.751268347999996,1.3500000477506546e-06,27.0,0,0.7650449872016907,1736803325.4858878,,,,,,
27,27,47.512353391,1.3999999737279722e-06,28.0,0,0.8426965475082397,1736803326.246972,,,,,,
28,28,48.273139411,1.4500000133921276e-06,29.0,0,0.7692276835441589,1736803327.0077372,,,,,,
29,29,49.034355041,1.500000053056283e-06,30.0,0,0.572774350643158,1736803327.7689614,,,,,,
30,30,49.795798785,1.5499999790336005e-06,31.0,0,0.5771509408950806,1736803328.5304031,,,,,,
31,31,50.556052893,1.6000000186977559e-06,32.0,0,0.739766538143158,1736803329.2906332,,,,,,
32,32,51.317869374,1.6499999446750735e-06,33.0,0,0.8025153875350952,1736803330.0525072,,,,,,
33,33,52.079376592,1.6999999843392288e-06,34.0,0,0.6966880559921265,1736803330.8139784,,,,,,
34,34,52.841760802,1.7500000240033842e-06,35.0,0,0.6233860850334167,1736803331.5763645,,,,,,
35,35,53.603200133,1.7999999499807018e-06,36.0,0,0.5860328674316406,1736803332.3378096,,,,,,
36,36,54.364899903,1.8499999896448571e-06,37.0,0,0.6568595767021179,1736803333.099501,,,,,,
37,37,55.127312763,1.9000000293090125e-06,38.0,0,0.6326023936271667,1736803333.861918,,,,,,
38,38,55.889187643,1.950000068973168e-06,39.0,0,0.6109747290611267,1736803334.6237867,,,,,,
39,39,56.651305038,1.9999999949504854e-06,40.0,0,0.598764181137085,1736803335.3859584,,,,,,
40,40,57.413601866,2.049999920927803e-06,41.0,0,0.6021847724914551,1736803336.1482074,,,,,,
41,41,58.175729842,2.100000074278796e-06,42.0,0,0.5673655271530151,1736803336.9103358,,,,,,
42,42,58.938025902,2.1500000002561137e-06,43.0,0,0.5677160620689392,1736803337.6726294,,,,,,
43,43,59.700135601,2.1999999262334313e-06,44.0,0,0.6464484333992004,1736803338.4346797,,,,,,
44,44,60.463152733,2.2500000795844244e-06,45.0,0,0.5480266809463501,1736803339.1977596,,,,,,
45,45,61.225711064,2.300000005561742e-06,46.0,0,0.5034826993942261,1736803339.9603205,,,,,,
46,46,61.988521676,2.3499999315390596e-06,47.0,0,0.423990398645401,1736803340.7231371,,,,,,
47,47,62.751605334,2.4000000848900527e-06,48.0,0,0.43138909339904785,1736803341.4861805,,,,,,
48,48,63.513877738,2.4500000108673703e-06,49.0,0,0.4029361307621002,1736803342.2484624,,,,,,
49,49,64.276394028,2.499999936844688e-06,50.0,0,0.4338909387588501,1736803343.010993,,,,,,
50,50,65.039360055,2.550000090195681e-06,51.0,0,0.336071252822876,1736803343.7739596,,,,,,
51,51,65.802231824,2.6000000161729986e-06,52.0,0,0.5097364187240601,1736803344.536836,,,,,,
52,52,66.565947208,2.649999942150316e-06,53.0,0,0.46221235394477844,1736803345.3005867,,,,,,
53,53,67.328932223,2.7000000955013093e-06,54.0,0,0.3629041612148285,1736803346.063533,,,,,,
54,54,68.092957623,2.750000021478627e-06,55.0,0,0.5640062689781189,1736803346.827565,,,,,,
55,55,68.856417175,2.7999999474559445e-06,56.0,0,0.3745327591896057,1736803347.591001,,,,,,
56,56,69.620226301,2.8500001008069376e-06,57.0,0,0.3474983274936676,1736803348.3548338,,,,,,
57,57,70.38413052,2.900000026784255e-06,58.0,0,0.3744857907295227,1736803349.118735,,,,,,
58,58,71.148200412,2.9499999527615728e-06,59.0,0,0.3767300844192505,1736803349.882796,,,,,,
59,59,71.911992944,3.000000106112566e-06,60.0,0,0.33573490381240845,1736803350.6465862,,,,,,
60,60,72.675759267,3.0500000320898835e-06,61.0,0,0.32596898078918457,1736803351.4103706,,,,,,
61,61,73.439304294,3.099999958067201e-06,62.0,0,0.3307670056819916,1736803352.1739109,,,,,,
62,62,74.203424594,3.150000111418194e-06,63.0,0,0.3970727026462555,1736803352.9380176,,,,,,
63,63,74.967372835,3.2000000373955118e-06,64.0,0,0.31998640298843384,1736803353.7019725,,,,,,
64,64,75.731061937,3.2499999633728294e-06,65.0,0,0.33499979972839355,1736803354.465665,,,,,,
65,65,76.494847189,3.299999889350147e-06,66.0,0,0.28472381830215454,1736803355.2294872,,,,,,
66,66,77.258231986,3.35000004270114e-06,67.0,0,0.3396840989589691,1736803355.9928236,,,,,,
67,67,78.022643007,3.3999999686784577e-06,68.0,0,0.36119022965431213,1736803356.7572484,,,,,,
68,68,78.787572308,3.4499998946557753e-06,69.0,0,0.38879749178886414,1736803357.5221732,,,,,,
69,69,79.551114469,3.5000000480067683e-06,70.0,0,0.4630957245826721,1736803358.285717,,,,,,
70,70,80.314626725,3.549999973984086e-06,71.0,0,0.28903600573539734,1736803359.049234,,,,,,
71,71,81.078707759,3.5999998999614036e-06,72.0,0,0.2775912880897522,1736803359.8133104,,,,,,
72,72,81.841905154,3.6500000533123966e-06,73.0,0,0.4728976786136627,1736803360.5765038,,,,,,
73,73,82.606489358,3.6999999792897142e-06,74.0,0,0.2671191990375519,1736803361.3410985,,,,,,
74,74,83.37040647,3.749999905267032e-06,75.0,0,0.231256902217865,1736803362.1049974,,,,,,
75,75,84.1351578,3.800000058618025e-06,76.0,0,0.32900071144104004,1736803362.8697581,,,,,,
76,76,84.898931851,3.850000211969018e-06,77.0,0,0.17492417991161346,1736803363.6335318,,,,,,
77,77,85.663574847,3.900000137946336e-06,78.0,0,0.35133713483810425,1736803364.3981576,,,,,,
78,78,86.427482569,3.950000063923653e-06,79.0,0,0.37250274419784546,1736803365.1620905,,,,,,
79,79,87.191851024,3.999999989900971e-06,80.0,0,0.34891077876091003,1736803365.9264762,,,,,,
80,80,87.955647088,4.0499999158782884e-06,81.0,0,0.2970186471939087,1736803366.6902316,,,,,,
81,81,88.720535487,4.099999841855606e-06,82.0,0,0.33043044805526733,1736803367.4551473,,,,,,
82,82,89.485275587,4.1500002225802746e-06,83.0,0,0.29337814450263977,1736803368.219826,,,,,,
83,83,90.250044018,4.200000148557592e-06,84.0,0,0.2058284431695938,1736803368.9846447,,,,,,
84,84,91.013976013,4.25000007453491e-06,85.0,0,0.3807432949542999,1736803369.7485843,,,,,,
85,85,91.778376055,4.300000000512227e-06,86.0,0,0.33033108711242676,1736803370.5129914,,,,,,
86,86,92.543124608,4.349999926489545e-06,87.0,0,0.37599658966064453,1736803371.2777243,,,,,,
87,87,93.306992552,4.399999852466863e-06,88.0,0,0.3290048837661743,1736803372.041585,,,,,,
88,88,94.07123288,4.44999977844418e-06,89.0,0,0.40323197841644287,1736803372.8058338,,,,,,
89,89,94.835777841,4.500000159168849e-06,90.0,0,0.22396913170814514,1736803373.570386,,,,,,
90,90,95.600264242,4.550000085146166e-06,91.0,0,0.3381750285625458,1736803374.3348637,,,,,,
91,91,96.36482317,4.600000011123484e-06,92.0,0,0.2514400780200958,1736803375.0994258,,,,,,
92,92,97.129517022,4.649999937100802e-06,93.0,0,0.37301114201545715,1736803375.8640978,,,,,,
93,93,97.893966207,4.699999863078119e-06,94.0,0,0.2673999071121216,1736803376.628566,,,,,,
94,94,98.658736347,4.749999789055437e-06,95.0,0,0.2737647593021393,1736803377.3933363,,,,,,
95,95,99.423554556,4.800000169780105e-06,96.0,0,0.24853980541229248,1736803378.1581633,,,,,,
96,96,100.188498501,4.850000095757423e-06,97.0,0,0.4424234926700592,1736803378.9230702,,,,,,
97,97,100.953366169,4.900000021734741e-06,98.0,0,0.4355524182319641,1736803379.6879737,,,,,,
98,98,101.718115764,4.949999947712058e-06,99.0,0,0.2408463954925537,1736803380.4527147,,,,,,
99,99,102.482753745,4.999999873689376e-06,100.0,0,0.2898595631122589,1736803381.217362,,,,,,
100,100,103.248135222,5.0499997996666934e-06,101.0,0,0.2650141716003418,1736803381.9827695,,,,,,
101,101,104.011417579,5.100000180391362e-06,102.0,0,0.3406634032726288,1736803382.7460105,,,,,,
102,102,104.774844101,5.1500001063686796e-06,103.0,0,0.2874452769756317,1736803383.5094705,,,,,,
103,103,105.538270171,5.200000032345997e-06,104.0,0,0.23205742239952087,1736803384.2729049,,,,,,
104,104,106.302195937,5.249999958323315e-06,105.0,0,0.38236814737319946,1736803385.0367992,,,,,,
105,105,107.066197636,5.299999884300632e-06,106.0,0,0.439555823802948,1736803385.8008277,,,,,,
106,106,107.829306547,5.34999981027795e-06,107.0,0,0.3480590879917145,1736803386.5639,,,,,,
107,107,108.594903676,5.4000001910026185e-06,108.0,0,0.36602744460105896,1736803387.3295455,,,,,,
108,108,109.359822498,5.450000116979936e-06,109.0,0,0.24060311913490295,1736803388.0944607,,,,,,
109,109,110.125233843,5.500000042957254e-06,110.0,0,0.3317001760005951,1736803388.859819,,,,,,
110,110,110.890184374,5.549999968934571e-06,111.0,0,0.3942028284072876,1736803389.6248102,,,,,,
111,111,111.655802236,5.599999894911889e-06,112.0,0,0.18485461175441742,1736803390.3904269,,,,,,
112,112,112.421490969,5.649999820889207e-06,113.0,0,0.2561991214752197,1736803391.1560946,,,,,,
113,113,113.187416774,5.700000201613875e-06,114.0,0,0.24417056143283844,1736803391.9220219,,,,,,
114,114,113.952619934,5.750000127591193e-06,115.0,0,0.24792791903018951,1736803392.6872222,,,,,,
115,115,114.71918137,5.80000005356851e-06,116.0,0,0.23320165276527405,1736803393.4538133,,,,,,
116,116,115.484825889,5.849999979545828e-06,117.0,0,0.2708284556865692,1736803394.2194648,,,,,,
117,117,116.250730132,5.8999999055231456e-06,118.0,0,0.2389499843120575,1736803394.985304,,,,,,
118,118,117.017986976,5.949999831500463e-06,119.0,0,0.28183937072753906,1736803395.7526193,,,,,,
119,119,117.782941431,6.000000212225132e-06,120.0,0,0.22653144598007202,1736803396.5175433,,,,,,
120,120,118.548523808,6.050000138202449e-06,121.0,0,0.2929825782775879,1736803397.2831273,,,,,,
121,121,119.314833739,6.100000064179767e-06,122.0,0,0.1668085902929306,1736803398.0494962,,,,,,
122,122,120.079876469,6.1499999901570845e-06,123.0,0,0.32244232296943665,1736803398.814471,,,,,,
123,123,120.845229124,6.199999916134402e-06,124.0,0,0.2989780008792877,1736803399.5798318,,,,,,
124,124,121.610956004,6.24999984211172e-06,125.0,0,0.304981529712677,1736803400.3455918,,,,,,
125,125,122.377146902,6.300000222836388e-06,126.0,0,0.31862956285476685,1736803401.1117773,,,,,,
126,126,123.142212418,6.350000148813706e-06,127.0,0,0.20784872770309448,1736803401.876843,,,,,,
127,127,123.907443015,6.4000000747910235e-06,128.0,0,0.25592929124832153,1736803402.6420488,,,,,,
128,128,124.67307137,6.450000000768341e-06,129.0,0,0.39202404022216797,1736803403.4076536,,,,,,
