trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,27.134759615,5.000000058430487e-08,1.0,0,0.6755529642105103,1736824160.0894222,,,,,,
1,1,27.897281537,1.0000000116860974e-07,2.0,0,0.7063328623771667,1736824160.85193,,,,,,
2,2,28.652241585,1.500000053056283e-07,3.0,0,0.6346817016601562,1736824161.6068945,,,,,,
3,3,29.406578882,2.0000000233721948e-07,4.0,0,0.6684008836746216,1736824162.361225,,,,,,
4,4,30.161449422,2.499999993688107e-07,5.0,0,0.6607975363731384,1736824163.1160867,,,,,,
5,5,30.916376043,3.000000106112566e-07,6.0,0,0.6349110007286072,1736824163.871009,,,,,,
6,6,31.671509888,3.4999999343199306e-07,7.0,0,0.6424759030342102,1736824164.6261842,,,,,,
7,7,32.426693655,4.0000000467443897e-07,8.0,0,0.6526069045066833,1736824165.3813448,,,,,,
8,8,33.182013945,4.4999998749517545e-07,9.0,0,0.6586130261421204,1736824166.136663,,,,,,
9,9,33.937382846,4.999999987376214e-07,10.0,0,0.6528704166412354,1736824166.892034,,,,,,
10,10,34.694208558,5.499999815583578e-07,11.0,0,0.6682003736495972,1736824167.648865,,,,,,
11,11,35.451848998,6.000000212225132e-07,12.0,0,0.6764919757843018,1736824168.406511,,,,,,
12,12,36.209225727,6.500000040432496e-07,13.0,0,0.652080774307251,1736824169.16388,,,,,,
13,13,36.966212433,6.999999868639861e-07,14.0,0,0.6350998282432556,1736824169.9208658,,,,,,
14,14,37.722719932,7.500000265281415e-07,15.0,0,0.6814697980880737,1736824170.677372,,,,,,
15,15,38.480153312,8.000000093488779e-07,16.0,0,0.6205110549926758,1736824171.4348025,,,,,,
16,16,39.238618436,8.499999921696144e-07,17.0,0,0.6562903523445129,1736824172.1932569,,,,,,
17,17,40.000491167,8.999999749903509e-07,18.0,0,0.6609512567520142,1736824172.9551609,,,,,,
18,18,40.756701235,9.500000146545062e-07,19.0,0,0.6244553923606873,1736824173.7113366,,,,,,
19,19,41.514155769,9.999999974752427e-07,20.0,0,0.666025698184967,1736824174.4688315,,,,,,
20,20,42.270735665,1.050000037139398e-06,21.0,0,0.6575590372085571,1736824175.2254186,,,,,,
21,21,43.028085676,1.0999999631167157e-06,22.0,0,0.6034518480300903,1736824175.9827707,,,,,,
22,22,43.784790333,1.150000002780871e-06,23.0,0,0.648788571357727,1736824176.739455,,,,,,
23,23,44.542413765,1.2000000424450263e-06,24.0,0,0.6455840468406677,1736824177.4970567,,,,,,
24,24,45.299381692,1.249999968422344e-06,25.0,0,0.6095840930938721,1736824178.2540624,,,,,,
25,25,46.057248855,1.3000000080864993e-06,26.0,0,0.6125564575195312,1736824179.0119174,,,,,,
26,26,46.814593661,1.3500000477506546e-06,27.0,0,0.5715644359588623,1736824179.7692688,,,,,,
27,27,47.572981113,1.3999999737279722e-06,28.0,0,0.6307499408721924,1736824180.527644,,,,,,
28,28,48.332034723,1.4500000133921276e-06,29.0,0,0.5837662220001221,1736824181.286715,,,,,,
29,29,49.089611055,1.500000053056283e-06,30.0,0,0.5621160268783569,1736824182.044259,,,,,,
30,30,49.846946475,1.5499999790336005e-06,31.0,0,0.5738955140113831,1736824182.8016036,,,,,,
31,31,50.60462183,1.6000000186977559e-06,32.0,0,0.5687360167503357,1736824183.5592902,,,,,,
32,32,51.364165955,1.6499999446750735e-06,33.0,0,0.5729746222496033,1736824184.318871,,,,,,
33,33,52.123184036,1.6999999843392288e-06,34.0,0,0.541696310043335,1736824185.077858,,,,,,
34,34,52.882034687,1.7500000240033842e-06,35.0,0,0.5919156670570374,1736824185.836673,,,,,,
