trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,37.690616094,5.000000058430487e-08,1.0,0,1.324400544166565,1736806774.5141659,,,,,,
1,1,38.444433608,1.0000000116860974e-07,2.0,0,1.3258681297302246,1736806775.2679496,,,,,,
2,2,39.20561833,1.500000053056283e-07,3.0,0,1.387311339378357,1736806776.0291405,,,,,,
3,3,39.960735378,2.0000000233721948e-07,4.0,0,1.3246484994888306,1736806776.7842348,,,,,,
4,4,40.717261739,2.499999993688107e-07,5.0,0,1.1795293092727661,1736806777.5407987,,,,,,
5,5,41.474898222,3.000000106112566e-07,6.0,0,1.205422282218933,1736806778.2984226,,,,,,
6,6,42.232447188,3.4999999343199306e-07,7.0,0,1.2657767534255981,1736806779.0558887,,,,,,
7,7,42.990559303,4.0000000467443897e-07,8.0,0,1.2556382417678833,1736806779.8140762,,,,,,
8,8,43.747950926,4.4999998749517545e-07,9.0,0,1.347069263458252,1736806780.5714524,,,,,,
9,9,44.506818263,4.999999987376214e-07,10.0,0,1.2278186082839966,1736806781.3302608,,,,,,
10,10,45.266607294,5.499999815583578e-07,11.0,0,1.1968281269073486,1736806782.0901122,,,,,,
11,11,46.024308322,6.000000212225132e-07,12.0,0,1.3066385984420776,1736806782.8478377,,,,,,
12,12,46.782630961,6.500000040432496e-07,13.0,0,1.1730717420578003,1736806783.6061032,,,,,,
13,13,47.542570287,6.999999868639861e-07,14.0,0,1.196359395980835,1736806784.3660815,,,,,,
14,14,48.301173804,7.500000265281415e-07,15.0,0,1.2311766147613525,1736806785.124685,,,,,,
15,15,49.060298177,8.000000093488779e-07,16.0,0,0.9054144620895386,1736806785.8838038,,,,,,
16,16,49.822758067,8.499999921696144e-07,17.0,0,1.1074553728103638,1736806786.6462722,,,,,,
17,17,50.581883489,8.999999749903509e-07,18.0,0,1.1663202047348022,1736806787.4053955,,,,,,
18,18,51.346398696,9.500000146545062e-07,19.0,0,1.136491060256958,1736806788.1699064,,,,,,
19,19,52.10675759,9.999999974752427e-07,20.0,0,1.3948004245758057,1736806788.9302468,,,,,,
20,20,52.867361808,1.050000037139398e-06,21.0,0,1.063180685043335,1736806789.690869,,,,,,
21,21,53.627102624,1.0999999631167157e-06,22.0,0,1.153554081916809,1736806790.4505599,,,,,,
22,22,54.388232389,1.150000002780871e-06,23.0,0,1.120992660522461,1736806791.2117472,,,,,,
23,23,55.149700758,1.2000000424450263e-06,24.0,0,1.0108654499053955,1736806791.9732077,,,,,,
24,24,55.909027108,1.249999968422344e-06,25.0,0,1.1645418405532837,1736806792.7325642,,,,,,
25,25,56.669041776,1.3000000080864993e-06,26.0,0,1.1620827913284302,1736806793.4925168,,,,,,
26,26,57.430043324,1.3500000477506546e-06,27.0,0,1.2245714664459229,1736806794.2535546,,,,,,
27,27,58.191224325,1.3999999737279722e-06,28.0,0,1.0251981019973755,1736806795.0147314,,,,,,
28,28,58.950402667,1.4500000133921276e-06,29.0,0,1.143363118171692,1736806795.7738943,,,,,,
29,29,59.713046996,1.500000053056283e-06,30.0,0,1.4262028932571411,1736806796.536574,,,,,,
