trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.890771851,5.000000058430487e-08,1.0,0,1.870908498764038,1736805002.3727505,,,,,,
1,1,30.653079257,1.0000000116860974e-07,2.0,0,1.8271564245224,1736805003.1350858,,,,,,
2,2,31.407033429,1.500000053056283e-07,3.0,0,1.863340139389038,1736805003.88902,,,,,,
3,3,32.16211545,2.0000000233721948e-07,4.0,0,1.8057382106781006,1736805004.6441002,,,,,,
4,4,32.916601504,2.499999993688107e-07,5.0,0,1.8214517831802368,1736805005.3985672,,,,,,
5,5,33.672198272,3.000000106112566e-07,6.0,0,1.7904574871063232,1736805006.1541667,,,,,,
6,6,34.428559741,3.4999999343199306e-07,7.0,0,1.807841181755066,1736805006.9105465,,,,,,
7,7,35.18492079,4.0000000467443897e-07,8.0,0,1.7694048881530762,1736805007.6669223,,,,,,
8,8,35.940389449,4.4999998749517545e-07,9.0,0,1.7775912284851074,1736805008.422365,,,,,,
9,9,36.696886192,4.999999987376214e-07,10.0,0,1.6847294569015503,1736805009.1788983,,,,,,
10,10,37.453323121,5.499999815583578e-07,11.0,0,1.6657686233520508,1736805009.935331,,,,,,
11,11,38.209936992,6.000000212225132e-07,12.0,0,1.6139857769012451,1736805010.6919203,,,,,,
12,12,38.966440825,6.500000040432496e-07,13.0,0,1.6805102825164795,1736805011.4484458,,,,,,
13,13,39.722857181,6.999999868639861e-07,14.0,0,1.4692535400390625,1736805012.2048151,,,,,,
14,14,40.479352239,7.500000265281415e-07,15.0,0,1.4352141618728638,1736805012.9613385,,,,,,
15,15,41.236129971,8.000000093488779e-07,16.0,0,1.4283291101455688,1736805013.7181468,,,,,,
16,16,41.995098162,8.499999921696144e-07,17.0,0,1.2799841165542603,1736805014.4770772,,,,,,
17,17,42.756458674,8.999999749903509e-07,18.0,0,1.1674425601959229,1736805015.2384753,,,,,,
18,18,43.513621956,9.500000146545062e-07,19.0,0,1.2505903244018555,1736805015.995627,,,,,,
19,19,44.271458786,9.999999974752427e-07,20.0,0,1.3169004917144775,1736805016.753426,,,,,,
20,20,45.028711163,1.050000037139398e-06,21.0,0,1.302403450012207,1736805017.5107145,,,,,,
21,21,45.786235794,1.0999999631167157e-06,22.0,0,1.0756609439849854,1736805018.2681952,,,,,,
22,22,46.545370866,1.150000002780871e-06,23.0,0,1.1362560987472534,1736805019.02737,,,,,,
23,23,47.303489764,1.2000000424450263e-06,24.0,0,1.0652436017990112,1736805019.785492,,,,,,
24,24,48.061177385,1.249999968422344e-06,25.0,0,1.070752501487732,1736805020.5431364,,,,,,
25,25,48.82062077,1.3000000080864993e-06,26.0,0,1.004065752029419,1736805021.3026335,,,,,,
26,26,49.580517987,1.3500000477506546e-06,27.0,0,1.1394891738891602,1736805022.0625265,,,,,,
27,27,50.340206875,1.3999999737279722e-06,28.0,0,0.9610603451728821,1736805022.8221846,,,,,,
28,28,51.101985822,1.4500000133921276e-06,29.0,0,0.9498894214630127,1736805023.5839972,,,,,,
29,29,51.862296719,1.500000053056283e-06,30.0,0,1.033839464187622,1736805024.3443077,,,,,,
30,30,52.622765362,1.5499999790336005e-06,31.0,0,0.7786423563957214,1736805025.1047745,,,,,,
31,31,53.383576165,1.6000000186977559e-06,32.0,0,0.8895784020423889,1736805025.8655682,,,,,,
32,32,54.145564261,1.6499999446750735e-06,33.0,0,0.7603332996368408,1736805026.6275172,,,,,,
33,33,54.90697952,1.6999999843392288e-06,34.0,0,0.7125699520111084,1736805027.3889794,,,,,,
34,34,55.66830933,1.7500000240033842e-06,35.0,0,0.8454323410987854,1736805028.1503155,,,,,,
35,35,56.430615308,1.7999999499807018e-06,36.0,0,0.7516093254089355,1736805028.9125926,,,,,,
36,36,57.192444489,1.8499999896448571e-06,37.0,0,0.6596161723136902,1736805029.6744428,,,,,,
37,37,57.954889384,1.9000000293090125e-06,38.0,0,0.9611231088638306,1736805030.4368603,,,,,,
38,38,58.717352576,1.950000068973168e-06,39.0,0,0.739569902420044,1736805031.1993544,,,,,,
39,39,59.479820525,1.9999999949504854e-06,40.0,0,0.6414365768432617,1736805031.9618335,,,,,,
40,40,60.241946134,2.049999920927803e-06,41.0,0,0.6872472763061523,1736805032.7238853,,,,,,
41,41,61.005191896,2.100000074278796e-06,42.0,0,0.6699557900428772,1736805033.4872112,,,,,,
42,42,61.767453603999996,2.1500000002561137e-06,43.0,0,0.5620100498199463,1736805034.2494574,,,,,,
43,43,62.530206498,2.1999999262334313e-06,44.0,0,0.5360611081123352,1736805035.0121803,,,,,,
44,44,63.293017096,2.2500000795844244e-06,45.0,0,0.6895251274108887,1736805035.7750201,,,,,,
45,45,64.055087361,2.300000005561742e-06,46.0,0,0.6864904165267944,1736805036.5370758,,,,,,
46,46,64.818043052,2.3499999315390596e-06,47.0,0,0.8015720248222351,1736805037.3000052,,,,,,
47,47,65.580307389,2.4000000848900527e-06,48.0,0,0.6463353037834167,1736805038.062321,,,,,,
48,48,66.343376573,2.4500000108673703e-06,49.0,0,0.4351050555706024,1736805038.8253791,,,,,,
49,49,67.105751724,2.499999936844688e-06,50.0,0,0.5218381881713867,1736805039.58776,,,,,,
50,50,67.868428698,2.550000090195681e-06,51.0,0,0.45214349031448364,1736805040.3504405,,,,,,
51,51,68.631321355,2.6000000161729986e-06,52.0,0,0.538672149181366,1736805041.1132865,,,,,,
52,52,69.394247659,2.649999942150316e-06,53.0,0,0.5751607418060303,1736805041.8762503,,,,,,
53,53,70.157356705,2.7000000955013093e-06,54.0,0,0.438282310962677,1736805042.6393335,,,,,,
54,54,70.92029341,2.750000021478627e-06,55.0,0,0.448449969291687,1736805043.4023123,,,,,,
55,55,71.68332454,2.7999999474559445e-06,56.0,0,0.49151068925857544,1736805044.1653337,,,,,,
