trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,33.262903701,5.000000058430487e-08,1.0,0,1.0917621850967407,1736715760.2499225,,,,,,
1,1,33.72614827,1.0000000116860974e-07,2.0,0,0.8574686646461487,1736715760.7130773,,,,,,
2,2,34.18454384,1.500000053056283e-07,3.0,0,1.149309515953064,1736715761.1714911,,,,,,
3,3,34.641883004,2.0000000233721948e-07,4.0,0,1.0321252346038818,1736715761.628906,,,,,,
4,4,35.097627832,2.499999993688107e-07,5.0,0,0.8568511009216309,1736715762.0846133,,,,,,
5,5,35.553812382,3.000000106112566e-07,6.0,0,1.0630360841751099,1736715762.5406249,,,,,,
6,6,36.010813115,3.4999999343199306e-07,7.0,0,1.08245849609375,1736715762.9977887,,,,,,
7,7,36.468221859,4.0000000467443897e-07,8.0,0,0.8759527802467346,1736715763.455166,,,,,,
8,8,36.924499008,4.4999998749517545e-07,9.0,0,1.0655899047851562,1736715763.911447,,,,,,
9,9,37.385026164,4.999999987376214e-07,10.0,0,0.9346250295639038,1736715764.3719885,,,,,,
10,10,37.841124182,5.499999815583578e-07,11.0,0,1.1429479122161865,1736715764.828059,,,,,,
11,11,38.298365253,6.000000212225132e-07,12.0,0,1.007821798324585,1736715765.2853417,,,,,,
12,12,38.755235084,6.500000040432496e-07,13.0,0,0.8779548406600952,1736715765.7421777,,,,,,
13,13,39.212995306,6.999999868639861e-07,14.0,0,0.9858062267303467,1736715766.2000158,,,,,,
14,14,39.671170284,7.500000265281415e-07,15.0,0,0.9843507409095764,1736715766.6581464,,,,,,
15,15,40.128965567,8.000000093488779e-07,16.0,0,0.9397297501564026,1736715767.1159232,,,,,,
16,16,40.585593945,8.499999921696144e-07,17.0,0,0.7733754515647888,1736715767.5725515,,,,,,
17,17,41.053639703,8.999999749903509e-07,18.0,0,0.9912751913070679,1736715768.0406387,,,,,,
18,18,41.509529409,9.500000146545062e-07,19.0,0,0.8799884915351868,1736715768.496549,,,,,,
19,19,41.965775254,9.999999974752427e-07,20.0,0,0.9713059663772583,1736715768.9527853,,,,,,
20,20,42.42144341,1.050000037139398e-06,21.0,0,0.972876787185669,1736715769.408437,,,,,,
21,21,42.88018147,1.0999999631167157e-06,22.0,0,0.9410281777381897,1736715769.8671317,,,,,,
22,22,43.33671717,1.150000002780871e-06,23.0,0,0.790589451789856,1736715770.3236997,,,,,,
23,23,43.794476557,1.2000000424450263e-06,24.0,0,0.8141741156578064,1736715770.7813933,,,,,,
24,24,44.251511512,1.249999968422344e-06,25.0,0,0.9428433775901794,1736715771.2384496,,,,,,
25,25,44.71535569,1.3000000080864993e-06,26.0,0,1.0278568267822266,1736715771.7023067,,,,,,
26,26,45.169540718,1.3500000477506546e-06,27.0,0,0.8596702218055725,1736715772.156245,,,,,,
27,27,45.622107875,1.3999999737279722e-06,28.0,0,0.8582454323768616,1736715772.6091342,,,,,,
28,28,46.075399593,1.4500000133921276e-06,29.0,0,0.900873601436615,1736715773.0623941,,,,,,
29,29,46.528687157,1.500000053056283e-06,30.0,0,0.8847914934158325,1736715773.5157282,,,,,,
30,30,46.981964273,1.5499999790336005e-06,31.0,0,0.731643795967102,1736715773.9689617,,,,,,
