trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.542899667,5.000000058430487e-08,1.0,0,2.315168619155884,1736737604.3610184,,,,,,
1,1,30.996886209,1.0000000116860974e-07,2.0,0,2.3264033794403076,1736737604.8150194,,,,,,
2,2,31.450355893,1.500000053056283e-07,3.0,0,2.253056287765503,1736737605.2685513,,,,,,
3,3,31.905136844,2.0000000233721948e-07,4.0,0,2.306626558303833,1736737605.723271,,,,,,
4,4,32.359018085,2.499999993688107e-07,5.0,0,2.2741425037384033,1736737606.1772068,,,,,,
5,5,32.814345433,3.000000106112566e-07,6.0,0,2.2838644981384277,1736737606.632037,,,,,,
6,6,33.269802043,3.4999999343199306e-07,7.0,0,2.263716459274292,1736737607.087663,,,,,,
7,7,33.724650656,4.0000000467443897e-07,8.0,0,2.2561588287353516,1736737607.542848,,,,,,
8,8,34.179557546,4.4999998749517545e-07,9.0,0,2.2783989906311035,1736737607.9977145,,,,,,
9,9,34.633808962,4.999999987376214e-07,10.0,0,2.2338476181030273,1736737608.4520187,,,,,,
10,10,35.088320331,5.499999815583578e-07,11.0,0,2.253937244415283,1736737608.9064486,,,,,,
11,11,35.542519983,6.000000212225132e-07,12.0,0,2.232257843017578,1736737609.360406,,,,,,
12,12,35.996516529,6.500000040432496e-07,13.0,0,2.2047882080078125,1736737609.814373,,,,,,
13,13,36.450898162,6.999999868639861e-07,14.0,0,2.19480562210083,1736737610.2690852,,,,,,
14,14,36.905322424,7.500000265281415e-07,15.0,0,2.193070411682129,1736737610.7234519,,,,,,
15,15,37.359134652,8.000000093488779e-07,16.0,0,2.1323676109313965,1736737611.177308,,,,,,
16,16,37.824101509,8.499999921696144e-07,17.0,0,2.0362772941589355,1736737611.6423178,,,,,,
17,17,38.278795586,8.999999749903509e-07,18.0,0,2.12337589263916,1736737612.0966344,,,,,,
18,18,38.733040111,9.500000146545062e-07,19.0,0,1.9461314678192139,1736737612.5512035,,,,,,
19,19,39.188384278,9.999999974752427e-07,20.0,0,1.9456043243408203,1736737613.006261,,,,,,
20,20,39.645762306,1.050000037139398e-06,21.0,0,1.9282443523406982,1736737613.4639575,,,,,,
21,21,40.100486515,1.0999999631167157e-06,22.0,0,1.8874937295913696,1736737613.9186642,,,,,,
22,22,40.555908893,1.150000002780871e-06,23.0,0,1.822806715965271,1736737614.3736186,,,,,,
23,23,41.010674772,1.2000000424450263e-06,24.0,0,1.7693043947219849,1736737614.8288457,,,,,,
24,24,41.465299581,1.249999968422344e-06,25.0,0,1.6926898956298828,1736737615.2834468,,,,,,
25,25,41.919468774,1.3000000080864993e-06,26.0,0,1.6885097026824951,1736737615.7376657,,,,,,
26,26,42.373235642,1.3500000477506546e-06,27.0,0,1.6925441026687622,1736737616.191391,,,,,,
27,27,42.826784487,1.3999999737279722e-06,28.0,0,1.5191428661346436,1736737616.6449933,,,,,,
28,28,43.280865089,1.4500000133921276e-06,29.0,0,1.6762490272521973,1736737617.0987694,,,,,,
29,29,43.73563244,1.500000053056283e-06,30.0,0,1.4416686296463013,1736737617.5538516,,,,,,
30,30,44.189777094,1.5499999790336005e-06,31.0,0,1.3914296627044678,1736737618.0079875,,,,,,
31,31,44.644004124,1.6000000186977559e-06,32.0,0,1.4895895719528198,1736737618.4622357,,,,,,
32,32,45.099496493,1.6499999446750735e-06,33.0,0,1.2196303606033325,1736737618.9176843,,,,,,
33,33,45.556007247,1.6999999843392288e-06,34.0,0,1.1230945587158203,1736737619.3742054,,,,,,
34,34,46.011989991,1.7500000240033842e-06,35.0,0,1.202683687210083,1736737619.8297133,,,,,,
35,35,46.467341003,1.7999999499807018e-06,36.0,0,0.9376798868179321,1736737620.2855356,,,,,,
36,36,46.930973187,1.8499999896448571e-06,37.0,0,1.1537704467773438,1736737620.7488427,,,,,,
37,37,47.387682915,1.9000000293090125e-06,38.0,0,0.7884774208068848,1736737621.2059379,,,,,,
38,38,47.842556044,1.950000068973168e-06,39.0,0,0.8603110313415527,1736737621.6607373,,,,,,
39,39,48.297715765,1.9999999949504854e-06,40.0,0,0.7538040280342102,1736737622.115913,,,,,,
40,40,48.753614371,2.049999920927803e-06,41.0,0,0.6751002073287964,1736737622.5718482,,,,,,
41,41,49.209031663,2.100000074278796e-06,42.0,0,0.8189218640327454,1736737623.0269034,,,,,,
42,42,49.664616018,2.1500000002561137e-06,43.0,0,0.8350968956947327,1736737623.4828262,,,,,,
43,43,50.119538845,2.1999999262334313e-06,44.0,0,0.5078650712966919,1736737623.9377851,,,,,,
44,44,50.574439362,2.2500000795844244e-06,45.0,0,0.8241328597068787,1736737624.3926897,,,,,,
45,45,51.030647138,2.300000005561742e-06,46.0,0,0.5528978705406189,1736737624.848755,,,,,,
46,46,51.485730427,2.3499999315390596e-06,47.0,0,0.5508334636688232,1736737625.3036098,,,,,,
47,47,51.940970719,2.4000000848900527e-06,48.0,0,0.5235204100608826,1736737625.7592077,,,,,,
48,48,52.396968228,2.4500000108673703e-06,49.0,0,0.47176438570022583,1736737626.214823,,,,,,
49,49,52.851619449,2.499999936844688e-06,50.0,0,0.43131712079048157,1736737626.6698046,,,,,,
50,50,53.307456984,2.550000090195681e-06,51.0,0,0.465131938457489,1736737627.1256514,,,,,,
51,51,53.763483531,2.6000000161729986e-06,52.0,0,0.35373079776763916,1736737627.5812132,,,,,,
