trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.526185764,5.000000058430487e-08,1.0,0,1.2724401950836182,1736718688.0388153,,,,,,
1,1,30.986137874,1.0000000116860974e-07,2.0,0,1.326287031173706,1736718688.4984512,,,,,,
2,2,31.441179797,1.500000053056283e-07,3.0,0,1.3355576992034912,1736718688.9537935,,,,,,
3,3,31.896133837,2.0000000233721948e-07,4.0,0,1.4449961185455322,1736718689.4084709,,,,,,
4,4,32.357807209,2.499999993688107e-07,5.0,0,1.3265748023986816,1736718689.8704257,,,,,,
5,5,32.811265668,3.000000106112566e-07,6.0,0,1.3372787237167358,1736718690.323353,,,,,,
6,6,33.26403206,3.4999999343199306e-07,7.0,0,1.3876806497573853,1736718690.776602,,,,,,
7,7,33.719130069,4.0000000467443897e-07,8.0,0,1.1328169107437134,1736718691.231737,,,,,,
8,8,34.172235506,4.4999998749517545e-07,9.0,0,1.3794020414352417,1736718691.6845837,,,,,,
9,9,34.625964331,4.999999987376214e-07,10.0,0,1.13736093044281,1736718692.1380415,,,,,,
10,10,35.079855841,5.499999815583578e-07,11.0,0,1.0060949325561523,1736718692.5921822,,,,,,
11,11,35.533342772,6.000000212225132e-07,12.0,0,1.0170990228652954,1736718693.0459085,,,,,,
12,12,35.98921491,6.500000040432496e-07,13.0,0,0.9739499092102051,1736718693.501856,,,,,,
13,13,36.445562439,6.999999868639861e-07,14.0,0,0.716484546661377,1736718693.958198,,,,,,
14,14,36.900013716,7.500000265281415e-07,15.0,0,0.664982259273529,1736718694.4119864,,,,,,
15,15,37.353618628,8.000000093488779e-07,16.0,0,0.670019805431366,1736718694.866193,,,,,,
16,16,37.807827351,8.499999921696144e-07,17.0,0,0.6392439603805542,1736718695.3204477,,,,,,
17,17,38.267978803,8.999999749903509e-07,18.0,0,0.6592403650283813,1736718695.7802222,,,,,,
18,18,38.721159691,9.500000146545062e-07,19.0,0,0.5405523777008057,1736718696.2337825,,,,,,
19,19,39.175892966,9.999999974752427e-07,20.0,0,0.6331023573875427,1736718696.688417,,,,,,
20,20,39.633604669,1.050000037139398e-06,21.0,0,0.503486156463623,1736718697.1459212,,,,,,
21,21,40.086972917,1.0999999631167157e-06,22.0,0,0.5659236311912537,1736718697.5995343,,,,,,
22,22,40.540879504,1.150000002780871e-06,23.0,0,0.45243966579437256,1736718698.053006,,,,,,
23,23,40.996424118,1.2000000424450263e-06,24.0,0,0.364465594291687,1736718698.5087287,,,,,,
24,24,41.450965444,1.249999968422344e-06,25.0,0,0.3449387848377228,1736718698.9635673,,,,,,
25,25,41.904812719,1.3000000080864993e-06,26.0,0,0.3568032383918762,1736718699.417398,,,,,,
26,26,42.358592979,1.3500000477506546e-06,27.0,0,0.30303362011909485,1736718699.871155,,,,,,
27,27,42.81293445,1.3999999737279722e-06,28.0,0,0.38618892431259155,1736718700.324939,,,,,,
28,28,43.267597022,1.4500000133921276e-06,29.0,0,0.3697757124900818,1736718700.7802637,,,,,,
29,29,43.720981541,1.500000053056283e-06,30.0,0,0.32436251640319824,1736718701.233614,,,,,,
30,30,44.175285953,1.5499999790336005e-06,31.0,0,0.2610364556312561,1736718701.6874127,,,,,,
31,31,44.63000489,1.6000000186977559e-06,32.0,0,0.32198652625083923,1736718702.142256,,,,,,
32,32,45.084427693,1.6499999446750735e-06,33.0,0,0.2617620825767517,1736718702.5970137,,,,,,
33,33,45.538533572,1.6999999843392288e-06,34.0,0,0.24525098502635956,1736718703.0511208,,,,,,
34,34,45.993305258,1.7500000240033842e-06,35.0,0,0.2664564251899719,1736718703.505642,,,,,,
35,35,46.448406111,1.7999999499807018e-06,36.0,0,0.2249649316072464,1736718703.9610083,,,,,,
36,36,46.902934071,1.8499999896448571e-06,37.0,0,0.19939111173152924,1736718704.415533,,,,,,
37,37,47.357804882,1.9000000293090125e-06,38.0,0,0.2302062213420868,1736718704.8703916,,,,,,
38,38,47.812857614,1.950000068973168e-06,39.0,0,0.191510871052742,1736718705.32548,,,,,,
39,39,48.267940603,1.9999999949504854e-06,40.0,0,0.25927743315696716,1736718705.7800605,,,,,,
40,40,48.723745073,2.049999920927803e-06,41.0,0,0.18036618828773499,1736718706.2363214,,,,,,
41,41,49.178233508,2.100000074278796e-06,42.0,0,0.2409963607788086,1736718706.69087,,,,,,
42,42,49.633415833,2.1500000002561137e-06,43.0,0,0.16906952857971191,1736718707.1456478,,,,,,
43,43,50.087232259,2.1999999262334313e-06,44.0,0,0.21137993037700653,1736718707.599811,,,,,,
44,44,50.542532655,2.2500000795844244e-06,45.0,0,0.12181368470191956,1736718708.0551217,,,,,,
45,45,50.997020649,2.300000005561742e-06,46.0,0,0.1485719233751297,1736718708.5096514,,,,,,
46,46,51.451893663999996,2.3499999315390596e-06,47.0,0,0.14788348972797394,1736718708.9645002,,,,,,
47,47,51.907488261,2.4000000848900527e-06,48.0,0,0.11433585733175278,1736718709.4197395,,,,,,
48,48,52.36250218,2.4500000108673703e-06,49.0,0,0.17931316792964935,1736718709.874759,,,,,,
49,49,52.817131028,2.499999936844688e-06,50.0,0,0.13550372421741486,1736718710.3291523,,,,,,
50,50,53.271338196,2.550000090195681e-06,51.0,0,0.19968470931053162,1736718710.7838864,,,,,,
51,51,53.726610889,2.6000000161729986e-06,52.0,0,0.12811696529388428,1736718711.2392123,,,,,,
52,52,54.181536232,2.649999942150316e-06,53.0,0,0.10953885316848755,1736718711.6941032,,,,,,
53,53,54.635699648,2.7000000955013093e-06,54.0,0,0.11383258551359177,1736718712.1480525,,,,,,
54,54,55.090640449,2.750000021478627e-06,55.0,0,0.21566416323184967,1736718712.6026154,,,,,,
55,55,55.545192764,2.7999999474559445e-06,56.0,0,0.2866906225681305,1736718713.0573246,,,,,,
56,56,56.000243571,2.8500001008069376e-06,57.0,0,0.13762706518173218,1736718713.512565,,,,,,
57,57,56.45498012,2.900000026784255e-06,58.0,0,0.24734260141849518,1736718713.967618,,,,,,
58,58,56.910435966,2.9499999527615728e-06,59.0,0,0.11189355701208115,1736718714.4227016,,,,,,
59,59,57.364792794,3.000000106112566e-06,60.0,0,0.17072026431560516,1736718714.877412,,,,,,
60,60,57.82145589,3.0500000320898835e-06,61.0,0,0.170582577586174,1736718715.3337796,,,,,,
61,61,58.2762253,3.099999958067201e-06,62.0,0,0.159476637840271,1736718715.7884414,,,,,,
62,62,58.731544991,3.150000111418194e-06,63.0,0,0.17025461792945862,1736718716.2434888,,,,,,
63,63,59.186040729,3.2000000373955118e-06,64.0,0,0.08377984911203384,1736718716.6985924,,,,,,
64,64,59.641537712,3.2499999633728294e-06,65.0,0,0.22048383951187134,1736718717.1541169,,,,,,
65,65,60.096591755,3.299999889350147e-06,66.0,0,0.08428265899419785,1736718717.6086338,,,,,,
66,66,60.551210803000004,3.35000004270114e-06,67.0,0,0.17837029695510864,1736718718.0635347,,,,,,
67,67,61.005957931,3.3999999686784577e-06,68.0,0,0.16938726603984833,1736718718.5186083,,,,,,
68,68,61.4609991,3.4499998946557753e-06,69.0,0,0.0512247234582901,1736718718.9735496,,,,,,
69,69,61.917040352,3.5000000480067683e-06,70.0,0,0.09989230334758759,1736718719.42968,,,,,,
70,70,62.372040093,3.549999973984086e-06,71.0,0,0.0433284267783165,1736718719.8846164,,,,,,
71,71,62.826924027,3.5999998999614036e-06,72.0,0,0.0998942032456398,1736718720.3394918,,,,,,
72,72,63.282101721,3.6500000533123966e-06,73.0,0,0.06912542134523392,1736718720.7946603,,,,,,
73,73,63.737550293,3.6999999792897142e-06,74.0,0,0.06591397523880005,1736718721.2501554,,,,,,
74,74,64.19414488,3.749999905267032e-06,75.0,0,0.12667560577392578,1736718721.7061555,,,,,,
75,75,64.648255766,3.800000058618025e-06,76.0,0,0.09777003526687622,1736718722.1608555,,,,,,
76,76,65.103464879,3.850000211969018e-06,77.0,0,0.11522579193115234,1736718722.6160223,,,,,,
77,77,65.559517792,3.900000137946336e-06,78.0,0,0.15109150111675262,1736718723.0720804,,,,,,
78,78,66.0155518,3.950000063923653e-06,79.0,0,0.12524251639842987,1736718723.5281484,,,,,,
79,79,66.470787512,3.999999989900971e-06,80.0,0,0.1140025183558464,1736718723.9830515,,,,,,
80,80,66.926278783,4.0499999158782884e-06,81.0,0,0.13925647735595703,1736718724.4386098,,,,,,
81,81,67.382049417,4.099999841855606e-06,82.0,0,0.07184397429227829,1736718724.8946102,,,,,,
82,82,67.836677452,4.1500002225802746e-06,83.0,0,0.09560434520244598,1736718725.3490374,,,,,,
83,83,68.292131553,4.200000148557592e-06,84.0,0,0.06955143064260483,1736718725.8043742,,,,,,
84,84,68.747959644,4.25000007453491e-06,85.0,0,0.03599504008889198,1736718726.2601693,,,,,,
85,85,69.203376946,4.300000000512227e-06,86.0,0,0.1404566764831543,1736718726.715942,,,,,,
86,86,69.658424156,4.349999926489545e-06,87.0,0,0.19187107682228088,1736718727.1706078,,,,,,
87,87,70.112767366,4.399999852466863e-06,88.0,0,0.1489463597536087,1736718727.6253731,,,,,,
88,88,70.568013778,4.44999977844418e-06,89.0,0,0.070565365254879,1736718728.0805814,,,,,,
89,89,71.023981321,4.500000159168849e-06,90.0,0,0.11303835362195969,1736718728.536654,,,,,,
90,90,71.479687784,4.550000085146166e-06,91.0,0,0.14083491265773773,1736718728.9922934,,,,,,
91,91,71.936331482,4.600000011123484e-06,92.0,0,0.12098227441310883,1736718729.4484327,,,,,,
92,92,72.392976503,4.649999937100802e-06,93.0,0,0.061526812613010406,1736718729.9050472,,,,,,
93,93,72.847324974,4.699999863078119e-06,94.0,0,0.10943891853094101,1736718730.359612,,,,,,
94,94,73.301456648,4.749999789055437e-06,95.0,0,0.06394220143556595,1736718730.8140762,,,,,,
95,95,73.756520357,4.800000169780105e-06,96.0,0,0.11902784556150436,1736718731.268836,,,,,,
