trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,34.824245746,5.000000058430487e-08,1.0,0,2.108314037322998,1736731891.5020614,,,,,,
1,1,35.27682009,1.0000000116860974e-07,2.0,0,1.727342963218689,1736731891.9545572,,,,,,
2,2,35.73429247,1.500000053056283e-07,3.0,0,1.9593141078948975,1736731892.412122,,,,,,
3,3,36.188184749,2.0000000233721948e-07,4.0,0,1.797834873199463,1736731892.866029,,,,,,
4,4,36.644606387,2.499999993688107e-07,5.0,0,1.9460076093673706,1736731893.3223877,,,,,,
5,5,37.098098961,3.000000106112566e-07,6.0,0,1.938800573348999,1736731893.7759655,,,,,,
6,6,37.553089255,3.4999999343199306e-07,7.0,0,1.8561478853225708,1736731894.230892,,,,,,
7,7,38.006614252,4.0000000467443897e-07,8.0,0,1.7359647750854492,1736731894.6841352,,,,,,
8,8,38.460122327,4.4999998749517545e-07,9.0,0,1.8853838443756104,1736731895.1374104,,,,,,
9,9,38.913741802,4.999999987376214e-07,10.0,0,1.8668875694274902,1736731895.591644,,,,,,
10,10,39.368450614,5.499999815583578e-07,11.0,0,1.7987127304077148,1736731896.0462468,,,,,,
11,11,39.823298968,6.000000212225132e-07,12.0,0,1.6997222900390625,1736731896.500792,,,,,,
12,12,40.277612712,6.500000040432496e-07,13.0,0,1.6760411262512207,1736731896.9554136,,,,,,
13,13,40.73244616,6.999999868639861e-07,14.0,0,1.4906396865844727,1736731897.4102619,,,,,,
14,14,41.186904447,7.500000265281415e-07,15.0,0,1.6687763929367065,1736731897.864804,,,,,,
15,15,41.640929034,8.000000093488779e-07,16.0,0,1.7015118598937988,1736731898.3187497,,,,,,
16,16,42.101445718,8.499999921696144e-07,17.0,0,1.7618768215179443,1736731898.7792552,,,,,,
17,17,42.561862125,8.999999749903509e-07,18.0,0,1.5820038318634033,1736731899.2396674,,,,,,
18,18,43.018212623,9.500000146545062e-07,19.0,0,1.7433960437774658,1736731899.6957133,,,,,,
19,19,43.473576667,9.999999974752427e-07,20.0,0,1.5797628164291382,1736731900.1513946,,,,,,
20,20,43.928669165,1.050000037139398e-06,21.0,0,1.7310086488723755,1736731900.606525,,,,,,
21,21,44.382940168,1.0999999631167157e-06,22.0,0,1.5730657577514648,1736731901.0607743,,,,,,
22,22,44.836960054,1.150000002780871e-06,23.0,0,1.6055783033370972,1736731901.5148222,,,,,,
23,23,45.291682162,1.2000000424450263e-06,24.0,0,1.4501559734344482,1736731901.9695253,,,,,,
24,24,45.746142822,1.249999968422344e-06,25.0,0,1.5756527185440063,1736731902.423954,,,,,,
25,25,46.200622008,1.3000000080864993e-06,26.0,0,1.5129612684249878,1736731902.8784492,,,,,,
26,26,46.655891312,1.3500000477506546e-06,27.0,0,1.4078434705734253,1736731903.3337321,,,,,,
27,27,47.110763895,1.3999999737279722e-06,28.0,0,1.5013035535812378,1736731903.7882273,,,,,,
28,28,47.566639434,1.4500000133921276e-06,29.0,0,1.389414668083191,1736731904.2444475,,,,,,
29,29,48.021425407,1.500000053056283e-06,30.0,0,1.4372581243515015,1736731904.6989498,,,,,,
30,30,48.475179382,1.5499999790336005e-06,31.0,0,1.3694623708724976,1736731905.1527112,,,,,,
31,31,48.929482234,1.6000000186977559e-06,32.0,0,1.326077938079834,1736731905.6068766,,,,,,
32,32,49.384107058,1.6499999446750735e-06,33.0,0,1.4116946458816528,1736731906.061904,,,,,,
33,33,49.838989565,1.6999999843392288e-06,34.0,0,1.164952039718628,1736731906.5164976,,,,,,
34,34,50.294372969,1.7500000240033842e-06,35.0,0,1.4801040887832642,1736731906.9721894,,,,,,
35,35,50.750464278,1.7999999499807018e-06,36.0,0,1.1975123882293701,1736731907.428295,,,,,,
36,36,51.206415335,1.8499999896448571e-06,37.0,0,1.352860450744629,1736731907.884274,,,,,,
37,37,51.662826924,1.9000000293090125e-06,38.0,0,1.3659272193908691,1736731908.3406503,,,,,,
38,38,52.118609618,1.950000068973168e-06,39.0,0,1.2641161680221558,1736731908.7959,,,,,,
39,39,52.574789736,1.9999999949504854e-06,40.0,0,1.3204824924468994,1736731909.252275,,,,,,
40,40,53.030391884,2.049999920927803e-06,41.0,0,1.2774438858032227,1736731909.707884,,,,,,
41,41,53.485862518,2.100000074278796e-06,42.0,0,1.3045233488082886,1736731910.1637096,,,,,,
42,42,53.941074849,2.1500000002561137e-06,43.0,0,1.0921337604522705,1736731910.6189227,,,,,,
43,43,54.397387418,2.1999999262334313e-06,44.0,0,1.1924960613250732,1736731911.0751917,,,,,,
44,44,54.852442087,2.2500000795844244e-06,45.0,0,1.162657380104065,1736731911.530257,,,,,,
45,45,55.307911051,2.300000005561742e-06,46.0,0,1.2175476551055908,1736731911.9857805,,,,,,
46,46,55.763650762,2.3499999315390596e-06,47.0,0,1.2869616746902466,1736731912.4415119,,,,,,
47,47,56.219461256,2.4000000848900527e-06,48.0,0,1.17026686668396,1736731912.8972437,,,,,,
48,48,56.674848279,2.4500000108673703e-06,49.0,0,1.1985671520233154,1736731913.3526447,,,,,,
49,49,57.129779571,2.499999936844688e-06,50.0,0,1.0446033477783203,1736731913.8076417,,,,,,
50,50,57.586034699,2.550000090195681e-06,51.0,0,1.1101301908493042,1736731914.2635338,,,,,,
51,51,58.041406266,2.6000000161729986e-06,52.0,0,1.106804609298706,1736731914.7192051,,,,,,
52,52,58.497335166,2.649999942150316e-06,53.0,0,1.3195136785507202,1736731915.175135,,,,,,
53,53,58.951840045,2.7000000955013093e-06,54.0,0,0.9598835110664368,1736731915.6297126,,,,,,
54,54,59.407394977,2.750000021478627e-06,55.0,0,1.0579863786697388,1736731916.0852222,,,,,,
55,55,59.86324918,2.7999999474559445e-06,56.0,0,0.9757381081581116,1736731916.5408223,,,,,,
56,56,60.318329867,2.8500001008069376e-06,57.0,0,1.2297087907791138,1736731916.9962277,,,,,,
57,57,60.774110144,2.900000026784255e-06,58.0,0,1.1193536520004272,1736731917.451953,,,,,,
58,58,61.22910397,2.9499999527615728e-06,59.0,0,1.1707675457000732,1736731917.9069576,,,,,,
59,59,61.68440857,3.000000106112566e-06,60.0,0,1.055469274520874,1736731918.3622565,,,,,,
60,60,62.139856297,3.0500000320898835e-06,61.0,0,1.018073320388794,1736731918.8177178,,,,,,
61,61,62.594757814,3.099999958067201e-06,62.0,0,1.09796941280365,1736731919.2726052,,,,,,
62,62,63.050245337,3.150000111418194e-06,63.0,0,1.112051010131836,1736731919.7277555,,,,,,
63,63,63.505694429,3.2000000373955118e-06,64.0,0,1.0622085332870483,1736731920.1835244,,,,,,
64,64,63.96091712,3.2499999633728294e-06,65.0,0,1.0825086832046509,1736731920.6387904,,,,,,
65,65,64.416317903,3.299999889350147e-06,66.0,0,1.0773663520812988,1736731921.0941331,,,,,,
66,66,64.871844604,3.35000004270114e-06,67.0,0,1.044642448425293,1736731921.549672,,,,,,
67,67,65.326860279,3.3999999686784577e-06,68.0,0,1.0981202125549316,1736731922.004729,,,,,,
68,68,65.782733328,3.4499998946557753e-06,69.0,0,1.1813607215881348,1736731922.4605603,,,,,,
69,69,66.238432593,3.5000000480067683e-06,70.0,0,0.9676295518875122,1736731922.915902,,,,,,
70,70,66.69324423,3.549999973984086e-06,71.0,0,0.9319074153900146,1736731923.3710809,,,,,,
71,71,67.148826959,3.5999998999614036e-06,72.0,0,1.0254913568496704,1736731923.8266625,,,,,,
72,72,67.605534272,3.6500000533123966e-06,73.0,0,1.037850022315979,1736731924.2833693,,,,,,
73,73,68.060224915,3.6999999792897142e-06,74.0,0,1.0175426006317139,1736731924.7380164,,,,,,
74,74,68.51489996,3.749999905267032e-06,75.0,0,1.0904719829559326,1736731925.1923807,,,,,,
75,75,68.970394638,3.800000058618025e-06,76.0,0,0.8849974870681763,1736731925.6479383,,,,,,
76,76,69.425855373,3.850000211969018e-06,77.0,0,0.9550839066505432,1736731926.1036766,,,,,,
77,77,69.881190574,3.900000137946336e-06,78.0,0,0.9375044703483582,1736731926.5587244,,,,,,
78,78,70.335621376,3.950000063923653e-06,79.0,0,0.9997779130935669,1736731927.0134768,,,,,,
79,79,70.79122441,3.999999989900971e-06,80.0,0,0.8876301646232605,1736731927.4690504,,,,,,
80,80,71.24673435,4.0499999158782884e-06,81.0,0,0.844312846660614,1736731927.9242516,,,,,,
81,81,71.70130699,4.099999841855606e-06,82.0,0,1.0054898262023926,1736731928.3791072,,,,,,
82,82,72.156613191,4.1500002225802746e-06,83.0,0,0.9545838236808777,1736731928.8344212,,,,,,
83,83,72.610425601,4.200000148557592e-06,84.0,0,0.8091748356819153,1736731929.2883039,,,,,,
84,84,73.066612511,4.25000007453491e-06,85.0,0,1.0270357131958008,1736731929.7445064,,,,,,
85,85,73.521825921,4.300000000512227e-06,86.0,0,0.8941142559051514,1736731930.199667,,,,,,
86,86,73.976866289,4.349999926489545e-06,87.0,0,1.0673270225524902,1736731930.6547358,,,,,,
87,87,74.432584776,4.399999852466863e-06,88.0,0,1.1154155731201172,1736731931.110369,,,,,,
