trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,28.282061883,5.000000058430487e-08,1.0,0,1.2524341344833374,1736727591.8858428,,,,,,
1,1,28.73715668,1.0000000116860974e-07,2.0,0,1.358330249786377,1736727592.3410006,,,,,,
2,2,29.191601106,1.500000053056283e-07,3.0,0,1.2860866785049438,1736727592.795166,,,,,,
3,3,29.644236093,2.0000000233721948e-07,4.0,0,1.070016622543335,1736727593.2481027,,,,,,
4,4,30.098357461,2.499999993688107e-07,5.0,0,1.413347601890564,1736727593.7021666,,,,,,
5,5,30.551170913,3.000000106112566e-07,6.0,0,1.2433834075927734,1736727594.1550395,,,,,,
6,6,31.003904084,3.4999999343199306e-07,7.0,0,1.392282485961914,1736727594.607754,,,,,,
7,7,31.104683937,4.0000000467443897e-07,8.0,0,1.2657583951950073,1736727594.7085311,,,,,,
7,8,33.135398622,,,0,,1736727596.7391343,0.686274528503418,1.3129911422729492,,,,
7,9,33.151612146,,,0,,1736727596.7555223,,,0.6938998103141785,1.2874503135681152,,
8,10,36.089017478,4.4999998749517545e-07,9.0,1,1.0549452304840088,1736727599.6927264,,,,,,
9,11,36.541157915,4.999999987376214e-07,10.0,1,1.4004440307617188,1736727600.1449974,,,,,,
10,12,36.995158375,5.499999815583578e-07,11.0,1,1.037479281425476,1736727600.5990129,,,,,,
11,13,37.448489778,6.000000212225132e-07,12.0,1,1.5546269416809082,1736727601.052344,,,,,,
12,14,37.901600246,6.500000040432496e-07,13.0,1,1.2572298049926758,1736727601.5054767,,,,,,
13,15,38.355376294,6.999999868639861e-07,14.0,1,1.0800882577896118,1736727601.9592376,,,,,,
14,16,38.808420477,7.500000265281415e-07,15.0,1,0.9490150213241577,1736727602.4122844,,,,,,
15,17,38.895637195,8.000000093488779e-07,16.0,1,2.062089204788208,1736727602.4995017,,,,,,
15,18,40.918510555,,,1,,1736727604.522326,0.6960784196853638,1.1497443914413452,,,,
15,19,40.933971122,,,1,,1736727604.5378804,,,0.6993464231491089,1.2114335298538208,,
16,20,43.798748133,8.499999921696144e-07,17.0,2,1.053407907485962,1736727607.4025178,,,,,,
17,21,44.25217948,8.999999749903509e-07,18.0,2,1.0721242427825928,1736727607.856,,,,,,
18,22,44.704792185,9.500000146545062e-07,19.0,2,1.1523082256317139,1736727608.3086345,,,,,,
19,23,45.160670898,9.999999974752427e-07,20.0,2,0.8522639870643616,1736727608.7640395,,,,,,
20,24,45.61375745,1.050000037139398e-06,21.0,2,1.0648525953292847,1736727609.217622,,,,,,
21,25,46.067281956,1.0999999631167157e-06,22.0,2,0.9048775434494019,1736727609.6707444,,,,,,
22,26,46.522118258,1.150000002780871e-06,23.0,2,0.7807232141494751,1736727610.125929,,,,,,
23,27,46.609813193,1.2000000424450263e-06,24.0,2,1.4222594499588013,1736727610.2133794,,,,,,
23,28,48.645890218,,,2,,1736727612.2496219,0.7450980544090271,0.9898565411567688,,,,
23,29,48.661114931,,,2,,1736727612.2650197,,,0.7527233362197876,0.9934653043746948,,
24,30,51.552221526,1.249999968422344e-06,25.0,3,0.9986854195594788,1736727615.155991,,,,,,
25,31,52.006626776,1.3000000080864993e-06,26.0,3,0.8618909120559692,1736727615.6104844,,,,,,
26,32,52.459868827,1.3500000477506546e-06,27.0,3,0.7136297821998596,1736727616.063724,,,,,,
27,33,52.917169067,1.3999999737279722e-06,28.0,3,0.6773319840431213,1736727616.5210478,,,,,,
28,34,53.371491713,1.4500000133921276e-06,29.0,3,0.5290235280990601,1736727616.9753337,,,,,,
29,35,53.825135768,1.500000053056283e-06,30.0,3,0.777868390083313,1736727617.42902,,,,,,
30,36,54.278604943,1.5499999790336005e-06,31.0,3,0.757503867149353,1736727617.8824272,,,,,,
31,37,54.365911332,1.6000000186977559e-06,32.0,3,0.9409738779067993,1736727617.9697905,,,,,,
31,38,56.376548216,,,3,,1736727619.980309,0.7745097875595093,0.833094596862793,,,,
31,39,56.391511444,,,3,,1736727619.9954073,,,0.7962962985038757,0.7637701034545898,,
32,40,59.251206688,1.6499999446750735e-06,33.0,4,0.5465466976165771,1736727622.8545542,,,,,,
33,41,59.710256148,1.6999999843392288e-06,34.0,4,0.5723522305488586,1736727623.314126,,,,,,
34,42,60.165119937,1.7500000240033842e-06,35.0,4,0.6060868501663208,1736727623.7689948,,,,,,
35,43,60.618811579,1.7999999499807018e-06,36.0,4,0.5914704203605652,1736727624.2227156,,,,,,
36,44,61.07229926,1.8499999896448571e-06,37.0,4,0.49850374460220337,1736727624.6762173,,,,,,
37,45,61.526197706,1.9000000293090125e-06,38.0,4,0.45817428827285767,1736727625.130083,,,,,,
38,46,61.979525748,1.950000068973168e-06,39.0,4,0.5278351902961731,1736727625.583437,,,,,,
39,47,62.066802849,1.9999999949504854e-06,40.0,4,0.32891660928726196,1736727625.6706786,,,,,,
39,48,64.118497161,,,4,,1736727627.722226,0.7941176295280457,0.6671746373176575,,,,
39,49,64.133699057,,,4,,1736727627.7376137,,,0.8649237751960754,0.537865161895752,,
40,50,67.013866294,2.049999920927803e-06,41.0,5,0.31849896907806396,1736727630.617635,,,,,,
41,51,67.467070389,2.100000074278796e-06,42.0,5,0.3081362247467041,1736727631.0708945,,,,,,
42,52,67.923200065,2.1500000002561137e-06,43.0,5,0.29267460107803345,1736727631.5268202,,,,,,
43,53,68.376174911,2.1999999262334313e-06,44.0,5,0.3589852750301361,1736727631.9800155,,,,,,
