trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,35.240761224,5.000000058430487e-08,1.0,0,0.6012167930603027,1736734118.716061,,,,,,
1,1,35.695754227,1.0000000116860974e-07,2.0,0,0.44001734256744385,1736734119.1710522,,,,,,
2,2,36.150071409,1.500000053056283e-07,3.0,0,0.5182256102561951,1736734119.6253512,,,,,,
3,3,36.604633485,2.0000000233721948e-07,4.0,0,0.5748884081840515,1736734120.0799634,,,,,,
4,4,37.058868824,2.499999993688107e-07,5.0,0,0.5630820989608765,1736734120.5342689,,,,,,
5,5,37.513263118,3.000000106112566e-07,6.0,0,0.6661452054977417,1736734120.9885406,,,,,,
6,6,37.967628322,3.4999999343199306e-07,7.0,0,0.5310497879981995,1736734121.4429092,,,,,,
7,7,38.421920544,4.0000000467443897e-07,8.0,0,0.4857747256755829,1736734121.8973281,,,,,,
8,8,38.878559078,4.4999998749517545e-07,9.0,0,0.5703981518745422,1736734122.353891,,,,,,
9,9,39.338768608,4.999999987376214e-07,10.0,0,0.5806695818901062,1736734122.814066,,,,,,
10,10,39.79389197,5.499999815583578e-07,11.0,0,0.5664277076721191,1736734123.269199,,,,,,
11,11,40.248250308,6.000000212225132e-07,12.0,0,0.6987501382827759,1736734123.723518,,,,,,
12,12,40.704410936,6.500000040432496e-07,13.0,0,0.3951836824417114,1736734124.1797128,,,,,,
13,13,41.158558935,6.999999868639861e-07,14.0,0,0.5146852731704712,1736734124.633937,,,,,,
14,14,41.613380461,7.500000265281415e-07,15.0,0,0.511616051197052,1736734125.0887253,,,,,,
15,15,42.068546881,8.000000093488779e-07,16.0,0,0.5054048895835876,1736734125.5437932,,,,,,
16,16,42.533559612,8.499999921696144e-07,17.0,0,0.5000142455101013,1736734126.0088756,,,,,,
17,17,42.988732229,8.999999749903509e-07,18.0,0,0.5893374085426331,1736734126.4640882,,,,,,
18,18,43.442827666,9.500000146545062e-07,19.0,0,0.49503904581069946,1736734126.9181616,,,,,,
19,19,43.897898728,9.999999974752427e-07,20.0,0,0.4111066460609436,1736734127.3731756,,,,,,
20,20,44.353203424,1.050000037139398e-06,21.0,0,0.6357331871986389,1736734127.8286297,,,,,,
21,21,44.807823511,1.0999999631167157e-06,22.0,0,0.43491289019584656,1736734128.2831278,,,,,,
22,22,45.263302566,1.150000002780871e-06,23.0,0,0.48022305965423584,1736734128.7386346,,,,,,
23,23,45.719058618,1.2000000424450263e-06,24.0,0,0.45975905656814575,1736734129.194319,,,,,,
24,24,46.175853576,1.249999968422344e-06,25.0,0,0.5453830361366272,1736734129.6512065,,,,,,
25,25,46.631293783,1.3000000080864993e-06,26.0,0,0.6132314205169678,1736734130.1065898,,,,,,
26,26,47.086749122,1.3500000477506546e-06,27.0,0,0.6837379336357117,1736734130.5620983,,,,,,
27,27,47.541215029,1.3999999737279722e-06,28.0,0,0.5497941374778748,1736734131.0165117,,,,,,
28,28,47.995864675,1.4500000133921276e-06,29.0,0,0.7799373865127563,1736734131.4711928,,,,,,
29,29,48.45175268,1.500000053056283e-06,30.0,0,0.4020102024078369,1736734131.9270868,,,,,,
30,30,48.906832062,1.5499999790336005e-06,31.0,0,0.5303921103477478,1736734132.3821564,,,,,,
31,31,49.362705775,1.6000000186977559e-06,32.0,0,0.37162092328071594,1736734132.838051,,,,,,
32,32,49.818421261,1.6499999446750735e-06,33.0,0,0.33872750401496887,1736734133.2937486,,,,,,
33,33,50.273349011,1.6999999843392288e-06,34.0,0,0.5903728008270264,1736734133.7487342,,,,,,
34,34,50.728514443,1.7500000240033842e-06,35.0,0,0.46990257501602173,1736734134.203815,,,,,,
35,35,51.183933872,1.7999999499807018e-06,36.0,0,0.54710453748703,1736734134.6592987,,,,,,
36,36,51.63897112,1.8499999896448571e-06,37.0,0,0.48707136511802673,1736734135.1143699,,,,,,
37,37,52.094353153,1.9000000293090125e-06,38.0,0,0.5385231971740723,1736734135.569691,,,,,,
38,38,52.556966625,1.950000068973168e-06,39.0,0,0.43871009349823,1736734136.0321722,,,,,,
39,39,53.015116781,1.9999999949504854e-06,40.0,0,0.6308394074440002,1736734136.4904094,,,,,,
40,40,53.471742408,2.049999920927803e-06,41.0,0,0.5011177659034729,1736734136.9470372,,,,,,
41,41,53.92813646,2.100000074278796e-06,42.0,0,0.6734055876731873,1736734137.403463,,,,,,
42,42,54.384299885,2.1500000002561137e-06,43.0,0,0.5501121878623962,1736734137.859621,,,,,,
43,43,54.839647018,2.1999999262334313e-06,44.0,0,0.5501264929771423,1736734138.3150077,,,,,,
44,44,55.294825306,2.2500000795844244e-06,45.0,0,0.4681485593318939,1736734138.7701395,,,,,,
45,45,55.750487086,2.300000005561742e-06,46.0,0,0.3914538025856018,1736734139.2257652,,,,,,
46,46,56.205767345,2.3499999315390596e-06,47.0,0,0.4892248511314392,1736734139.681137,,,,,,
47,47,56.662148849,2.4000000848900527e-06,48.0,0,0.5310287475585938,1736734140.1374748,,,,,,
48,48,57.117563001,2.4500000108673703e-06,49.0,0,0.606283962726593,1736734140.5929236,,,,,,
49,49,57.573067523,2.499999936844688e-06,50.0,0,0.3397552967071533,1736734141.0484705,,,,,,
50,50,58.028530865,2.550000090195681e-06,51.0,0,0.43806615471839905,1736734141.5038962,,,,,,
51,51,58.484190223,2.6000000161729986e-06,52.0,0,0.2897638976573944,1736734141.9595044,,,,,,
52,52,58.939995862,2.649999942150316e-06,53.0,0,0.598207414150238,1736734142.4153757,,,,,,
53,53,59.396096954,2.7000000955013093e-06,54.0,0,0.49686935544013977,1736734142.8714197,,,,,,
54,54,59.852261644,2.750000021478627e-06,55.0,0,0.5205193161964417,1736734143.3275592,,,,,,
55,55,60.308980309,2.7999999474559445e-06,56.0,0,0.543940007686615,1736734143.7842968,,,,,,
56,56,60.765441149,2.8500001008069376e-06,57.0,0,0.42885705828666687,1736734144.2407236,,,,,,
57,57,61.224530171,2.900000026784255e-06,58.0,0,0.35343775153160095,1736734144.699881,,,,,,
58,58,61.680752245,2.9499999527615728e-06,59.0,0,0.5251327157020569,1736734145.1561618,,,,,,
59,59,62.136456233,3.000000106112566e-06,60.0,0,0.3214437961578369,1736734145.611841,,,,,,
60,60,62.593254586,3.0500000320898835e-06,61.0,0,0.5826473236083984,1736734146.0685534,,,,,,
61,61,63.049495079,3.099999958067201e-06,62.0,0,0.4339185655117035,1736734146.5248084,,,,,,
62,62,63.506835013,3.150000111418194e-06,63.0,0,0.3826632499694824,1736734146.982161,,,,,,
63,63,63.97132892,3.2000000373955118e-06,64.0,0,0.5225533843040466,1736734147.4466364,,,,,,
64,64,64.42726271,3.2499999633728294e-06,65.0,0,0.7904447317123413,1736734147.9025795,,,,,,
65,65,64.883594739,3.299999889350147e-06,66.0,0,0.3390696048736572,1736734148.35895,,,,,,
66,66,65.339563773,3.35000004270114e-06,67.0,0,0.5409253239631653,1736734148.8148825,,,,,,
67,67,65.79565407,3.3999999686784577e-06,68.0,0,0.4281877875328064,1736734149.2709804,,,,,,
68,68,66.251775322,3.4499998946557753e-06,69.0,0,0.5056291222572327,1736734149.7271695,,,,,,
69,69,66.707865621,3.5000000480067683e-06,70.0,0,0.5936837792396545,1736734150.183203,,,,,,
70,70,67.163504273,3.549999973984086e-06,71.0,0,0.7013921737670898,1736734150.6388278,,,,,,
71,71,67.619456861,3.5999998999614036e-06,72.0,0,0.4910580515861511,1736734151.0948632,,,,,,
72,72,68.076073647,3.6500000533123966e-06,73.0,0,0.4039474427700043,1736734151.55133,,,,,,
73,73,68.532962464,3.6999999792897142e-06,74.0,0,0.553112804889679,1736734152.008287,,,,,,
74,74,68.989582983,3.749999905267032e-06,75.0,0,0.3627936840057373,1736734152.4648824,,,,,,
75,75,69.445628639,3.800000058618025e-06,76.0,0,0.3602215349674225,1736734152.9209719,,,,,,
76,76,69.901270843,3.850000211969018e-06,77.0,0,0.44572019577026367,1736734153.376591,,,,,,
77,77,70.357385458,3.900000137946336e-06,78.0,0,0.3334665894508362,1736734153.8326762,,,,,,
78,78,70.813722428,3.950000063923653e-06,79.0,0,0.5175713300704956,1736734154.289069,,,,,,
79,79,71.270881584,3.999999989900971e-06,80.0,0,0.49714982509613037,1736734154.746159,,,,,,
80,80,71.72830929,4.0499999158782884e-06,81.0,0,0.3078552186489105,1736734155.2036328,,,,,,
81,81,72.185264932,4.099999841855606e-06,82.0,0,0.5509164333343506,1736734155.6606078,,,,,,
82,82,72.642491305,4.1500002225802746e-06,83.0,0,0.3352139890193939,1736734156.1178336,,,,,,
83,83,73.098572996,4.200000148557592e-06,84.0,0,0.3833211660385132,1736734156.5738966,,,,,,
84,84,73.555572275,4.25000007453491e-06,85.0,0,0.5234925746917725,1736734157.030918,,,,,,
85,85,74.012351892,4.300000000512227e-06,86.0,0,0.46235817670822144,1736734157.4876745,,,,,,
86,86,74.468963507,4.349999926489545e-06,87.0,0,0.6868904232978821,1736734157.9442515,,,,,,
87,87,74.925645477,4.399999852466863e-06,88.0,0,0.5483717322349548,1736734158.4009755,,,,,,
88,88,75.383203374,4.44999977844418e-06,89.0,0,0.5472705364227295,1736734158.8585134,,,,,,
89,89,75.839886189,4.500000159168849e-06,90.0,0,0.4115627408027649,1736734159.3152268,,,,,,
90,90,76.297375892,4.550000085146166e-06,91.0,0,0.4532143771648407,1736734159.7727091,,,,,,
91,91,76.753978125,4.600000011123484e-06,92.0,0,0.5381629467010498,1736734160.229347,,,,,,
92,92,77.21048067,4.649999937100802e-06,93.0,0,0.48318788409233093,1736734160.6858096,,,,,,
93,93,77.667361551,4.699999863078119e-06,94.0,0,0.4765768051147461,1736734161.1426847,,,,,,
94,94,78.124227851,4.749999789055437e-06,95.0,0,0.5052789449691772,1736734161.5995662,,,,,,
95,95,78.581141558,4.800000169780105e-06,96.0,0,0.7230088710784912,1736734162.0564437,,,,,,
96,96,79.039071666,4.850000095757423e-06,97.0,0,0.42351171374320984,1736734162.5143034,,,,,,
97,97,79.497537903,4.900000021734741e-06,98.0,0,0.45324286818504333,1736734162.9728653,,,,,,
98,98,79.954397196,4.949999947712058e-06,99.0,0,0.6064337491989136,1736734163.4296772,,,,,,
99,99,80.410835078,4.999999873689376e-06,100.0,0,0.5953139662742615,1736734163.8861237,,,,,,
100,100,80.866729542,5.0499997996666934e-06,101.0,0,0.3777850866317749,1736734164.3420317,,,,,,
101,101,81.323106704,5.100000180391362e-06,102.0,0,0.3605182468891144,1736734164.7984362,,,,,,
102,102,81.77952656,5.1500001063686796e-06,103.0,0,0.3976186513900757,1736734165.254836,,,,,,
103,103,82.235491729,5.200000032345997e-06,104.0,0,0.48032346367836,1736734165.7108006,,,,,,
104,104,82.693180543,5.249999958323315e-06,105.0,0,0.43064194917678833,1736734166.168479,,,,,,
105,105,83.150399405,5.299999884300632e-06,106.0,0,0.5820423364639282,1736734166.6257095,,,,,,
106,106,83.606950149,5.34999981027795e-06,107.0,0,0.5931628942489624,1736734167.0822792,,,,,,
107,107,84.062968133,5.4000001910026185e-06,108.0,0,0.45310384035110474,1736734167.5382645,,,,,,
108,108,84.519970857,5.450000116979936e-06,109.0,0,0.546286940574646,1736734167.995267,,,,,,
109,109,84.976900208,5.500000042957254e-06,110.0,0,0.578941285610199,1736734168.4521868,,,,,,
110,110,85.434933236,5.549999968934571e-06,111.0,0,0.6337616443634033,1736734168.910261,,,,,,
111,111,85.891931964,5.599999894911889e-06,112.0,0,0.6967878937721252,1736734169.3671846,,,,,,
112,112,86.349266859,5.649999820889207e-06,113.0,0,0.538646936416626,1736734169.824557,,,,,,
113,113,86.806597577,5.700000201613875e-06,114.0,0,0.7108992338180542,1736734170.2818916,,,,,,
114,114,87.26279094,5.750000127591193e-06,115.0,0,0.7365142107009888,1736734170.7380834,,,,,,
115,115,87.71986533,5.80000005356851e-06,116.0,0,0.466935396194458,1736734171.1951869,,,,,,
116,116,88.176190203,5.849999979545828e-06,117.0,0,0.4342955946922302,1736734171.6515226,,,,,,
117,117,88.632564413,5.8999999055231456e-06,118.0,0,0.322466641664505,1736734172.1078901,,,,,,
118,118,89.091901812,5.949999831500463e-06,119.0,0,0.5287166833877563,1736734172.5671923,,,,,,
119,119,89.549250916,6.000000212225132e-06,120.0,0,0.3761724829673767,1736734173.0245717,,,,,,
120,120,90.005959721,6.050000138202449e-06,121.0,0,0.39524590969085693,1736734173.4813044,,,,,,
121,121,90.46248297,6.100000064179767e-06,122.0,0,0.5040854215621948,1736734173.9378183,,,,,,
122,122,90.919225572,6.1499999901570845e-06,123.0,0,0.44624388217926025,1736734174.3944998,,,,,,
123,123,91.375658535,6.199999916134402e-06,124.0,0,0.35411879420280457,1736734174.8509824,,,,,,
124,124,91.832410779,6.24999984211172e-06,125.0,0,0.572123646736145,1736734175.3077488,,,,,,
125,125,92.289000982,6.300000222836388e-06,126.0,0,0.41912615299224854,1736734175.7643464,,,,,,
126,126,92.745497007,6.350000148813706e-06,127.0,0,0.5018186569213867,1736734176.2208257,,,,,,
127,127,93.202112797,6.4000000747910235e-06,128.0,0,0.6916407942771912,1736734176.6774108,,,,,,
128,128,93.659071525,6.450000000768341e-06,129.0,0,0.3903702199459076,1736734177.134375,,,,,,
129,129,94.115949385,6.499999926745659e-06,130.0,0,0.7612151503562927,1736734177.5912557,,,,,,
130,130,94.571804009,6.549999852722976e-06,131.0,0,0.47925108671188354,1736734178.0471687,,,,,,
131,131,95.028320404,6.599999778700294e-06,132.0,0,0.5562236905097961,1736734178.503652,,,,,,
132,132,95.484793365,6.6500001594249625e-06,133.0,0,0.4189257323741913,1736734178.96012,,,,,,
133,133,95.941063378,6.70000008540228e-06,134.0,0,0.5294376611709595,1736734179.416304,,,,,,
134,134,96.397408673,6.750000011379598e-06,135.0,0,0.38264986872673035,1736734179.872671,,,,,,
135,135,96.853985819,6.799999937356915e-06,136.0,0,0.3889513611793518,1736734180.3293052,,,,,,
136,136,97.310814819,6.849999863334233e-06,137.0,0,0.6268497705459595,1736734180.7861447,,,,,,
137,137,97.767397941,6.8999997893115506e-06,138.0,0,0.3889191448688507,1736734181.2427084,,,,,,
138,138,98.224130755,6.950000170036219e-06,139.0,0,0.3282106816768646,1736734181.6994152,,,,,,
139,139,98.679978239,7.000000096013537e-06,140.0,0,0.667187511920929,1736734182.1553497,,,,,,
140,140,99.136321805,7.050000021990854e-06,141.0,0,0.3971480131149292,1736734182.6116555,,,,,,
141,141,99.593050614,7.099999947968172e-06,142.0,0,0.5679652690887451,1736734183.0683439,,,,,,
142,142,100.049547122,7.1499998739454895e-06,143.0,0,0.4666351079940796,1736734183.5248811,,,,,,
143,143,100.513258953,7.199999799922807e-06,144.0,0,0.6824639439582825,1736734183.9885714,,,,,,
144,144,100.969389448,7.250000180647476e-06,145.0,0,0.443112850189209,1736734184.4447212,,,,,,
145,145,101.425340657,7.300000106624793e-06,146.0,0,0.4801141917705536,1736734184.9007032,,,,,,
146,146,101.88133205,7.350000032602111e-06,147.0,0,0.558570146560669,1736734185.3566685,,,,,,
147,147,102.33747199,7.3999999585794285e-06,148.0,0,0.4623488485813141,1736734185.8127782,,,,,,
148,148,102.793579699,7.449999884556746e-06,149.0,0,0.42802077531814575,1736734186.2689505,,,,,,
