trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.227563478,5.000000058430487e-08,1.0,0,2.1636617183685303,1736720097.6367395,,,,,,
1,1,30.681359683,1.0000000116860974e-07,2.0,0,2.2084152698516846,1736720098.0902526,,,,,,
2,2,31.134826565,1.500000053056283e-07,3.0,0,2.1869614124298096,1736720098.5440524,,,,,,
3,3,31.589389233,2.0000000233721948e-07,4.0,0,2.0393710136413574,1736720098.9985843,,,,,,
4,4,32.044296502,2.499999993688107e-07,5.0,0,2.185045003890991,1736720099.453299,,,,,,
5,5,32.498150373,3.000000106112566e-07,6.0,0,2.137592077255249,1736720099.9073348,,,,,,
6,6,32.956878618,3.4999999343199306e-07,7.0,0,2.0073084831237793,1736720100.366069,,,,,,
7,7,33.411456107,4.0000000467443897e-07,8.0,0,2.168314218521118,1736720100.8206458,,,,,,
8,8,33.865817749,4.4999998749517545e-07,9.0,0,2.0445871353149414,1736720101.275006,,,,,,
9,9,34.320149061,4.999999987376214e-07,10.0,0,2.0106570720672607,1736720101.7292893,,,,,,
10,10,34.77475159,5.499999815583578e-07,11.0,0,1.9056698083877563,1736720102.1834297,,,,,,
11,11,35.229913378,6.000000212225132e-07,12.0,0,1.8912591934204102,1736720102.6390696,,,,,,
12,12,35.684663912,6.500000040432496e-07,13.0,0,2.003910779953003,1736720103.0938323,,,,,,
13,13,36.139182403,6.999999868639861e-07,14.0,0,1.7144180536270142,1736720103.5483744,,,,,,
14,14,36.593706884,7.500000265281415e-07,15.0,0,1.8125807046890259,1736720104.0028949,,,,,,
15,15,37.048628423,8.000000093488779e-07,16.0,0,1.7191648483276367,1736720104.4578233,,,,,,
16,16,37.511040517,8.499999921696144e-07,17.0,0,1.5412254333496094,1736720104.9202063,,,,,,
17,17,37.966123316,8.999999749903509e-07,18.0,0,1.5330418348312378,1736720105.3744833,,,,,,
18,18,38.422205908,9.500000146545062e-07,19.0,0,1.6559772491455078,1736720105.8314595,,,,,,
19,19,38.877040293,9.999999974752427e-07,20.0,0,1.4894394874572754,1736720106.2861686,,,,,,
20,20,39.331408847,1.050000037139398e-06,21.0,0,1.4938172101974487,1736720106.7405996,,,,,,
21,21,39.785516148,1.0999999631167157e-06,22.0,0,1.4641801118850708,1736720107.1943429,,,,,,
22,22,40.239145909,1.150000002780871e-06,23.0,0,1.2321560382843018,1736720107.648361,,,,,,
23,23,40.693227365,1.2000000424450263e-06,24.0,0,1.2989799976348877,1736720108.101766,,,,,,
24,24,41.151971535,1.249999968422344e-06,25.0,0,1.3001062870025635,1736720108.5612097,,,,,,
25,25,41.605888972,1.3000000080864993e-06,26.0,0,1.3536784648895264,1736720109.0150886,,,,,,
26,26,42.063760433,1.3500000477506546e-06,27.0,0,1.161737322807312,1736720109.472973,,,,,,
27,27,42.51800042,1.3999999737279722e-06,28.0,0,1.0819480419158936,1736720109.9272187,,,,,,
28,28,42.970982625,1.4500000133921276e-06,29.0,0,1.0565695762634277,1736720110.3801987,,,,,,
29,29,43.42645112,1.500000053056283e-06,30.0,0,0.9316552877426147,1736720110.8356185,,,,,,
30,30,43.881510091,1.5499999790336005e-06,31.0,0,1.1236884593963623,1736720111.29069,,,,,,
31,31,44.336477599,1.6000000186977559e-06,32.0,0,0.8812090158462524,1736720111.7454202,,,,,,
32,32,44.790914229,1.6499999446750735e-06,33.0,0,1.0058848857879639,1736720112.2001603,,,,,,
33,33,45.247258057,1.6999999843392288e-06,34.0,0,0.8787175416946411,1736720112.6564014,,,,,,
34,34,45.703782932,1.7500000240033842e-06,35.0,0,0.7272908091545105,1736720113.1124918,,,,,,
35,35,46.1591779,1.7999999499807018e-06,36.0,0,0.8179918527603149,1736720113.5682704,,,,,,
36,36,46.613762487,1.8499999896448571e-06,37.0,0,0.7730422616004944,1736720114.0229537,,,,,,
37,37,47.068642093,1.9000000293090125e-06,38.0,0,0.6740387678146362,1736720114.4773903,,,,,,
38,38,47.523227848,1.950000068973168e-06,39.0,0,0.5467211604118347,1736720114.9323545,,,,,,
39,39,47.978453875,1.9999999949504854e-06,40.0,0,0.6661566495895386,1736720115.387042,,,,,,
40,40,48.433293534,2.049999920927803e-06,41.0,0,0.595880925655365,1736720115.8425033,,,,,,
