trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.926558569,5.000000058430487e-08,1.0,0,2.2918758392333984,1736739401.4355044,,,,,,
1,1,30.381829651,1.0000000116860974e-07,2.0,0,2.4769840240478516,1736739401.890544,,,,,,
2,2,30.835107252,1.500000053056283e-07,3.0,0,2.4920389652252197,1736739402.344095,,,,,,
3,3,31.29010884,2.0000000233721948e-07,4.0,0,2.4061074256896973,1736739402.7990875,,,,,,
4,4,31.744599612000002,2.499999993688107e-07,5.0,0,2.4181761741638184,1736739403.2535503,,,,,,
5,5,32.198257883,3.000000106112566e-07,6.0,0,2.42128849029541,1736739403.7072408,,,,,,
6,6,32.654559032,3.4999999343199306e-07,7.0,0,2.3312129974365234,1736739404.1630208,,,,,,
7,7,33.107550961,4.0000000467443897e-07,8.0,0,2.468079090118408,1736739404.6165516,,,,,,
8,8,33.56191769,4.4999998749517545e-07,9.0,0,2.37766695022583,1736739405.070857,,,,,,
9,9,34.016419529,4.999999987376214e-07,10.0,0,2.4219658374786377,1736739405.5253434,,,,,,
10,10,34.469915773,5.499999815583578e-07,11.0,0,2.373436689376831,1736739405.9789214,,,,,,
11,11,34.923894802,6.000000212225132e-07,12.0,0,2.3746180534362793,1736739406.432888,,,,,,
12,12,35.378997226,6.500000040432496e-07,13.0,0,2.309034824371338,1736739406.887927,,,,,,
13,13,35.83282786,6.999999868639861e-07,14.0,0,2.2558536529541016,1736739407.341814,,,,,,
14,14,36.28675242,7.500000265281415e-07,15.0,0,2.2505156993865967,1736739407.795727,,,,,,
15,15,36.740945873,8.000000093488779e-07,16.0,0,2.24920916557312,1736739408.2499778,,,,,,
16,16,37.201578196,8.499999921696144e-07,17.0,0,2.2045321464538574,1736739408.71048,,,,,,
17,17,37.656205151,8.999999749903509e-07,18.0,0,2.225135564804077,1736739409.164874,,,,,,
18,18,38.109924222,9.500000146545062e-07,19.0,0,2.1814639568328857,1736739409.6189208,,,,,,
19,19,38.569974602,9.999999974752427e-07,20.0,0,2.1127800941467285,1736739410.0790048,,,,,,
20,20,39.024213566,1.050000037139398e-06,21.0,0,2.122246265411377,1736739410.5332227,,,,,,
21,21,39.482725011,1.0999999631167157e-06,22.0,0,2.0811781883239746,1736739410.9913273,,,,,,
22,22,39.936674385,1.150000002780871e-06,23.0,0,2.0868048667907715,1736739411.4455028,,,,,,
23,23,40.391944686,1.2000000424450263e-06,24.0,0,2.052232265472412,1736739411.9009156,,,,,,
24,24,40.84695326,1.249999968422344e-06,25.0,0,1.9799844026565552,1736739412.355453,,,,,,
25,25,41.302513383,1.3000000080864993e-06,26.0,0,1.984415054321289,1736739412.8111522,,,,,,
26,26,41.758706966,1.3500000477506546e-06,27.0,0,1.9148552417755127,1736739413.2677083,,,,,,
27,27,42.213190604,1.3999999737279722e-06,28.0,0,1.9643827676773071,1736739413.7221646,,,,,,
28,28,42.667837638,1.4500000133921276e-06,29.0,0,1.8788516521453857,1736739414.176841,,,,,,
29,29,43.122339906,1.500000053056283e-06,30.0,0,1.845559000968933,1736739414.6310034,,,,,,
30,30,43.5762835,1.5499999790336005e-06,31.0,0,1.900221824645996,1736739415.0848699,,,,,,
31,31,44.029994871,1.6000000186977559e-06,32.0,0,1.831666350364685,1736739415.538987,,,,,,
32,32,44.484378991,1.6499999446750735e-06,33.0,0,1.7444363832473755,1736739415.993355,,,,,,
33,33,44.940726023,1.6999999843392288e-06,34.0,0,1.780575156211853,1736739416.4493544,,,,,,
34,34,45.395866152,1.7500000240033842e-06,35.0,0,1.6414357423782349,1736739416.9045568,,,,,,
35,35,45.850517474,1.7999999499807018e-06,36.0,0,1.6642005443572998,1736739417.3594806,,,,,,
36,36,46.305932906,1.8499999896448571e-06,37.0,0,1.5545016527175903,1736739417.8148437,,,,,,
37,37,46.761591442,1.9000000293090125e-06,38.0,0,1.5226372480392456,1736739418.270555,,,,,,
38,38,47.217950877,1.950000068973168e-06,39.0,0,1.5527193546295166,1736739418.7269552,,,,,,
39,39,47.672588375,1.9999999949504854e-06,40.0,0,1.529572606086731,1736739419.1816077,,,,,,
40,40,48.127830528,2.049999920927803e-06,41.0,0,1.5792039632797241,1736739419.6368577,,,,,,
41,41,48.58324257,2.100000074278796e-06,42.0,0,1.569390058517456,1736739420.092233,,,,,,
42,42,49.038440064,2.1500000002561137e-06,43.0,0,1.335785150527954,1736739420.547419,,,,,,
43,43,49.494130176,2.1999999262334313e-06,44.0,0,1.4061471223831177,1736739421.0028055,,,,,,
44,44,49.949222045,2.2500000795844244e-06,45.0,0,1.4383883476257324,1736739421.4582167,,,,,,
45,45,50.405838376,2.300000005561742e-06,46.0,0,1.399840235710144,1736739421.9144707,,,,,,
46,46,50.860668718,2.3499999315390596e-06,47.0,0,1.1888474225997925,1736739422.3696465,,,,,,
47,47,51.317296225,2.4000000848900527e-06,48.0,0,1.2787730693817139,1736739422.8262591,,,,,,
48,48,51.772973828,2.4500000108673703e-06,49.0,0,1.1043579578399658,1736739423.281959,,,,,,
49,49,52.229286987,2.499999936844688e-06,50.0,0,1.2132807970046997,1736739423.7378776,,,,,,
50,50,52.684328377,2.550000090195681e-06,51.0,0,1.2466247081756592,1736739424.193301,,,,,,
51,51,53.139528172,2.6000000161729986e-06,52.0,0,1.020706057548523,1736739424.648229,,,,,,
52,52,53.59528705,2.649999942150316e-06,53.0,0,0.9118500351905823,1736739425.104283,,,,,,
53,53,54.058821123,2.7000000955013093e-06,54.0,0,0.9220865964889526,1736739425.56782,,,,,,
54,54,54.514617957,2.750000021478627e-06,55.0,0,0.7492390871047974,1736739426.0232317,,,,,,
55,55,54.969729315,2.7999999474559445e-06,56.0,0,0.7471005320549011,1736739426.4787507,,,,,,
56,56,55.425371733,2.8500001008069376e-06,57.0,0,0.854233980178833,1736739426.9343414,,,,,,
57,57,55.881289946,2.900000026784255e-06,58.0,0,1.0316084623336792,1736739427.3902721,,,,,,
58,58,56.337468368,2.9499999527615728e-06,59.0,0,0.811257004737854,1736739427.8464282,,,,,,
59,59,56.793521049,3.000000106112566e-06,60.0,0,0.8295457363128662,1736739428.3024993,,,,,,
60,60,57.249212018,3.0500000320898835e-06,61.0,0,0.7846189141273499,1736739428.7582164,,,,,,
61,61,57.705011869,3.099999958067201e-06,62.0,0,0.6536799669265747,1736739429.2137766,,,,,,
62,62,58.159344783,3.150000111418194e-06,63.0,0,0.6664595007896423,1736739429.6683545,,,,,,
63,63,58.614648656,3.2000000373955118e-06,64.0,0,0.6169369220733643,1736739430.1236396,,,,,,
64,64,59.071561204,3.2499999633728294e-06,65.0,0,0.6127209067344666,1736739430.580204,,,,,,
65,65,59.527261168,3.299999889350147e-06,66.0,0,0.6373233199119568,1736739431.0359986,,,,,,
66,66,59.983468112,3.35000004270114e-06,67.0,0,0.5965685248374939,1736739431.4924335,,,,,,
67,67,60.439059737,3.3999999686784577e-06,68.0,0,0.6794132590293884,1736739431.9476874,,,,,,
68,68,60.895556011,3.4499998946557753e-06,69.0,0,0.4788253903388977,1736739432.404554,,,,,,
69,69,61.351777196,3.5000000480067683e-06,70.0,0,0.6021082997322083,1736739432.8603778,,,,,,
70,70,61.808169209,3.549999973984086e-06,71.0,0,0.699621856212616,1736739433.316813,,,,,,
71,71,62.264743194,3.5999998999614036e-06,72.0,0,0.5596059560775757,1736739433.7735777,,,,,,
72,72,62.720578554,3.6500000533123966e-06,73.0,0,0.5760557651519775,1736739434.2295787,,,,,,
73,73,63.176695151,3.6999999792897142e-06,74.0,0,0.5737017393112183,1736739434.6856205,,,,,,
74,74,63.633111451,3.749999905267032e-06,75.0,0,0.49614450335502625,1736739435.1417453,,,,,,
75,75,64.088480414,3.800000058618025e-06,76.0,0,0.5915949940681458,1736739435.5974784,,,,,,
76,76,64.545195793,3.850000211969018e-06,77.0,0,0.46883732080459595,1736739436.0538394,,,,,,
77,77,65.001226818,3.900000137946336e-06,78.0,0,0.4147864878177643,1736739436.5098994,,,,,,
