trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.327498227,5.000000058430487e-08,1.0,0,1.8201953172683716,1736721216.9395504,,,,,,
1,1,30.78133179,1.0000000116860974e-07,2.0,0,1.8508979082107544,1736721217.3930583,,,,,,
2,2,31.233974931,1.500000053056283e-07,3.0,0,1.849328637123108,1736721217.846118,,,,,,
3,3,31.689691271,2.0000000233721948e-07,4.0,0,1.8941234350204468,1736721218.3015795,,,,,,
4,4,32.146916593,2.499999993688107e-07,5.0,0,1.8144826889038086,1736721218.758968,,,,,,
5,5,32.602159746,3.000000106112566e-07,6.0,0,1.850695013999939,1736721219.2142591,,,,,,
6,6,33.057204009,3.4999999343199306e-07,7.0,0,1.8114750385284424,1736721219.6688523,,,,,,
7,7,33.510686454,4.0000000467443897e-07,8.0,0,1.6778310537338257,1736721220.1228347,,,,,,
8,8,33.964853451,4.4999998749517545e-07,9.0,0,1.8296204805374146,1736721220.5765774,,,,,,
9,9,34.419673501,4.999999987376214e-07,10.0,0,1.5172598361968994,1736721221.0313854,,,,,,
10,10,34.873585296,5.499999815583578e-07,11.0,0,1.5446038246154785,1736721221.4853961,,,,,,
11,11,35.327710949,6.000000212225132e-07,12.0,0,1.57079017162323,1736721221.9398408,,,,,,
12,12,35.781720637,6.500000040432496e-07,13.0,0,1.2594761848449707,1736721222.3935921,,,,,,
13,13,36.235637303,6.999999868639861e-07,14.0,0,1.229952335357666,1736721222.8476915,,,,,,
14,14,36.690078083,7.500000265281415e-07,15.0,0,1.0423858165740967,1736721223.3021646,,,,,,
15,15,37.143912649,8.000000093488779e-07,16.0,0,1.1970398426055908,1736721223.7560165,,,,,,
16,16,37.609448102,8.499999921696144e-07,17.0,0,1.0290031433105469,1736721224.2212036,,,,,,
17,17,38.063097956,8.999999749903509e-07,18.0,0,0.9190000891685486,1736721224.6751635,,,,,,
18,18,38.516955156,9.500000146545062e-07,19.0,0,0.8499469757080078,1736721225.129049,,,,,,
19,19,38.971926365,9.999999974752427e-07,20.0,0,0.7442898154258728,1736721225.5840302,,,,,,
20,20,39.428015591,1.050000037139398e-06,21.0,0,0.7297873497009277,1736721226.0398643,,,,,,
21,21,39.882889823,1.0999999631167157e-06,22.0,0,0.6184977293014526,1736721226.4949677,,,,,,
22,22,40.338028986,1.150000002780871e-06,23.0,0,0.5564990043640137,1736721226.9497976,,,,,,
23,23,40.792168224,1.2000000424450263e-06,24.0,0,0.5842586159706116,1736721227.4038734,,,,,,
24,24,41.245715163,1.249999968422344e-06,25.0,0,0.5376730561256409,1736721227.8578134,,,,,,
25,25,41.700605938,1.3000000080864993e-06,26.0,0,0.5261669754981995,1736721228.3124824,,,,,,
26,26,42.154865131,1.3500000477506546e-06,27.0,0,0.38026702404022217,1736721228.7669346,,,,,,
