trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,36.357770327,5.000000058430487e-08,1.0,0,0.7499175667762756,1736729929.5518277,,,,,,
1,1,36.818613615,1.0000000116860974e-07,2.0,0,0.7330875992774963,1736729930.0127394,,,,,,
2,2,37.27415666,1.500000053056283e-07,3.0,0,0.810843825340271,1736729930.4681914,,,,,,
3,3,37.729472238,2.0000000233721948e-07,4.0,0,0.788610577583313,1736729930.923528,,,,,,
4,4,38.18685703,2.499999993688107e-07,5.0,0,0.7487464547157288,1736729931.380917,,,,,,
5,5,38.641287708,3.000000106112566e-07,6.0,0,0.796676516532898,1736729931.8352718,,,,,,
6,6,39.09948588,3.4999999343199306e-07,7.0,0,0.7712218761444092,1736729932.2935476,,,,,,
7,7,39.553846862,4.0000000467443897e-07,8.0,0,0.7573981285095215,1736729932.747905,,,,,,
8,8,40.012102455,4.4999998749517545e-07,9.0,0,0.6582796573638916,1736729933.206157,,,,,,
9,9,40.466974699,4.999999987376214e-07,10.0,0,0.6873226165771484,1736729933.661025,,,,,,
10,10,40.921161533,5.499999815583578e-07,11.0,0,0.5921186208724976,1736729934.1152754,,,,,,
11,11,41.375446751,6.000000212225132e-07,12.0,0,0.5856344103813171,1736729934.5695658,,,,,,
12,12,41.830322877,6.500000040432496e-07,13.0,0,0.6339825987815857,1736729935.0244405,,,,,,
13,13,42.284640908,6.999999868639861e-07,14.0,0,0.5589098334312439,1736729935.4787354,,,,,,
14,14,42.739047502,7.500000265281415e-07,15.0,0,0.5483420491218567,1736729935.9331195,,,,,,
15,15,43.193492605,8.000000093488779e-07,16.0,0,0.5604165196418762,1736729936.3875744,,,,,,
16,16,43.649444378,8.499999921696144e-07,17.0,0,0.490435928106308,1736729936.8434815,,,,,,
17,17,44.10974325,8.999999749903509e-07,18.0,0,0.5199406147003174,1736729937.303824,,,,,,
18,18,44.570496237,9.500000146545062e-07,19.0,0,0.5404479503631592,1736729937.7645438,,,,,,
19,19,45.02715175,9.999999974752427e-07,20.0,0,0.4676244854927063,1736729938.2212644,,,,,,
20,20,45.481004946,1.050000037139398e-06,21.0,0,0.48436522483825684,1736729938.6751087,,,,,,
21,21,45.936646794,1.0999999631167157e-06,22.0,0,0.49235451221466064,1736729939.1307337,,,,,,
22,22,46.391340666,1.150000002780871e-06,23.0,0,0.4336893856525421,1736729939.5854082,,,,,,
23,23,46.845509897,1.2000000424450263e-06,24.0,0,0.44087380170822144,1736729940.039633,,,,,,
24,24,47.301551975,1.249999968422344e-06,25.0,0,0.42845943570137024,1736729940.4956295,,,,,,
25,25,47.755707972,1.3000000080864993e-06,26.0,0,0.4124429523944855,1736729940.9497945,,,,,,
26,26,48.210521334,1.3500000477506546e-06,27.0,0,0.3796819746494293,1736729941.4046054,,,,,,
27,27,48.664930197,1.3999999737279722e-06,28.0,0,0.432280957698822,1736729941.8589885,,,,,,
28,28,49.118938467,1.4500000133921276e-06,29.0,0,0.4031951129436493,1736729942.313022,,,,,,
29,29,49.573026624,1.500000053056283e-06,30.0,0,0.31865009665489197,1736729942.7671154,,,,,,
30,30,50.028120963,1.5499999790336005e-06,31.0,0,0.4246484339237213,1736729943.2222342,,,,,,
31,31,50.482496379,1.6000000186977559e-06,32.0,0,0.4109225273132324,1736729943.6765306,,,,,,
32,32,50.937420933,1.6499999446750735e-06,33.0,0,0.3968178629875183,1736729944.131498,,,,,,
33,33,51.392068691,1.6999999843392288e-06,34.0,0,0.41152918338775635,1736729944.5861356,,,,,,
34,34,51.848936457,1.7500000240033842e-06,35.0,0,0.42781588435173035,1736729945.0430374,,,,,,
35,35,52.304317945,1.7999999499807018e-06,36.0,0,0.37040382623672485,1736729945.498448,,,,,,
36,36,52.759509132,1.8499999896448571e-06,37.0,0,0.4155145585536957,1736729945.9536161,,,,,,
37,37,53.214472942,1.9000000293090125e-06,38.0,0,0.37183016538619995,1736729946.4085772,,,,,,
38,38,53.670117814,1.950000068973168e-06,39.0,0,0.2913903295993805,1736729946.8641796,,,,,,
39,39,54.125350522,1.9999999949504854e-06,40.0,0,0.350845605134964,1736729947.3194416,,,,,,
40,40,54.580357586,2.049999920927803e-06,41.0,0,0.6066407561302185,1736729947.7744164,,,,,,
41,41,55.035518518,2.100000074278796e-06,42.0,0,0.5166282653808594,1736729948.2295926,,,,,,
42,42,55.490244468,2.1500000002561137e-06,43.0,0,0.4072410464286804,1736729948.6843438,,,,,,
43,43,55.945588632,2.1999999262334313e-06,44.0,0,0.3807612955570221,1736729949.1396682,,,,,,
44,44,56.401931022,2.2500000795844244e-06,45.0,0,0.3534241020679474,1736729949.5959823,,,,,,
45,45,56.856623225,2.300000005561742e-06,46.0,0,0.3181653916835785,1736729950.050801,,,,,,
46,46,57.311769239,2.3499999315390596e-06,47.0,0,0.39131852984428406,1736729950.5058746,,,,,,
47,47,57.767181232,2.4000000848900527e-06,48.0,0,0.37826505303382874,1736729950.961248,,,,,,
48,48,58.221951085,2.4500000108673703e-06,49.0,0,0.34280234575271606,1736729951.4160793,,,,,,
49,49,58.676844687,2.499999936844688e-06,50.0,0,0.36730942130088806,1736729951.8709414,,,,,,
50,50,59.132705469,2.550000090195681e-06,51.0,0,0.3611459732055664,1736729952.3264132,,,,,,
51,51,59.587875751,2.6000000161729986e-06,52.0,0,0.32879865169525146,1736729952.781999,,,,,,
52,52,60.04334016,2.649999942150316e-06,53.0,0,0.30337101221084595,1736729953.2370534,,,,,,
53,53,60.498406072,2.7000000955013093e-06,54.0,0,0.25980907678604126,1736729953.692526,,,,,,
54,54,60.953827137,2.750000021478627e-06,55.0,0,0.27812740206718445,1736729954.1479313,,,,,,
55,55,61.408657618,2.7999999474559445e-06,56.0,0,0.2962762117385864,1736729954.6027737,,,,,,
56,56,61.86376399,2.8500001008069376e-06,57.0,0,0.36533182859420776,1736729955.0578558,,,,,,
57,57,62.319008343,2.900000026784255e-06,58.0,0,0.28590822219848633,1736729955.513084,,,,,,
58,58,62.774115344,2.9499999527615728e-06,59.0,0,0.3038255274295807,1736729955.9682198,,,,,,
59,59,63.229083899,3.000000106112566e-06,60.0,0,0.266263484954834,1736729956.423239,,,,,,
60,60,63.683753899,3.0500000320898835e-06,61.0,0,0.3823205232620239,1736729956.8778772,,,,,,
61,61,64.138954376,3.099999958067201e-06,62.0,0,0.32872119545936584,1736729957.333058,,,,,,
62,62,64.59410503,3.150000111418194e-06,63.0,0,0.22529630362987518,1736729957.788187,,,,,,
63,63,65.049521989,3.2000000373955118e-06,64.0,0,0.23942731320858002,1736729958.2435887,,,,,,
64,64,65.504496991,3.2499999633728294e-06,65.0,0,0.248167484998703,1736729958.6986153,,,,,,
65,65,65.959467255,3.299999889350147e-06,66.0,0,0.2475593537092209,1736729959.153569,,,,,,
66,66,66.415414354,3.35000004270114e-06,67.0,0,0.1662190854549408,1736729959.6095386,,,,,,
67,67,66.87112882,3.3999999686784577e-06,68.0,0,0.3061617612838745,1736729960.0652447,,,,,,
68,68,67.327044072,3.4499998946557753e-06,69.0,0,0.24034002423286438,1736729960.5208795,,,,,,
69,69,67.781985876,3.5000000480067683e-06,70.0,0,0.31684410572052,1736729960.9760678,,,,,,
70,70,68.237045295,3.549999973984086e-06,71.0,0,0.1944754421710968,1736729961.4311495,,,,,,
71,71,68.692311926,3.5999998999614036e-06,72.0,0,0.22732020914554596,1736729961.8863652,,,,,,
72,72,69.147036094,3.6500000533123966e-06,73.0,0,0.35385948419570923,1736729962.3411188,,,,,,
73,73,69.601823677,3.6999999792897142e-06,74.0,0,0.2587123215198517,1736729962.7958856,,,,,,
74,74,70.056594235,3.749999905267032e-06,75.0,0,0.2215534746646881,1736729963.2506905,,,,,,
