trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.130515568,5.000000058430487e-08,1.0,0,0.6754261255264282,1736736410.7196329,,,,,,
1,1,30.585478002,1.0000000116860974e-07,2.0,0,0.7063882350921631,1736736411.1746016,,,,,,
2,2,31.045026912,1.500000053056283e-07,3.0,0,0.6349033117294312,1736736411.6341233,,,,,,
3,3,31.501035953,2.0000000233721948e-07,4.0,0,0.6684281229972839,1736736412.090139,,,,,,
4,4,31.962198161,2.499999993688107e-07,5.0,0,0.6606467962265015,1736736412.5512877,,,,,,
5,5,32.418074494,3.000000106112566e-07,6.0,0,0.6346583366394043,1736736413.0072124,,,,,,
6,6,32.87396869,3.4999999343199306e-07,7.0,0,0.6426442265510559,1736736413.4631193,,,,,,
7,7,33.328024318,4.0000000467443897e-07,8.0,0,0.6523902416229248,1736736413.9171567,,,,,,
8,8,33.782715041,4.4999998749517545e-07,9.0,0,0.6588084697723389,1736736414.3718958,,,,,,
9,9,34.237582903,4.999999987376214e-07,10.0,0,0.6532951593399048,1736736414.8266888,,,,,,
10,10,34.691825671,5.499999815583578e-07,11.0,0,0.6683749556541443,1736736415.2810009,,,,,,
11,11,35.146112141,6.000000212225132e-07,12.0,0,0.6765455007553101,1736736415.735271,,,,,,
12,12,35.600773218,6.500000040432496e-07,13.0,0,0.6522493362426758,1736736416.189918,,,,,,
13,13,36.055934616,6.999999868639861e-07,14.0,0,0.636261522769928,1736736416.645047,,,,,,
14,14,36.511159186,7.500000265281415e-07,15.0,0,0.6805757284164429,1736736417.1003087,,,,,,
15,15,36.965863209,8.000000093488779e-07,16.0,0,0.6206763982772827,1736736417.5549576,,,,,,
16,16,37.429100822,8.499999921696144e-07,17.0,0,0.6565253734588623,1736736418.0182076,,,,,,
17,17,37.883691769,8.999999749903509e-07,18.0,0,0.6610053777694702,1736736418.472543,,,,,,
18,18,38.338007212,9.500000146545062e-07,19.0,0,0.6248415112495422,1736736418.9271212,,,,,,
19,19,38.792194716,9.999999974752427e-07,20.0,0,0.6677213311195374,1736736419.381387,,,,,,
20,20,39.246963868,1.050000037139398e-06,21.0,0,0.6575525999069214,1736736419.8361382,,,,,,
21,21,39.703128709,1.0999999631167157e-06,22.0,0,0.6019852161407471,1736736420.292317,,,,,,
22,22,40.156932898,1.150000002780871e-06,23.0,0,0.6477180123329163,1736736420.7457461,,,,,,
23,23,40.610567239,1.2000000424450263e-06,24.0,0,0.6460736393928528,1736736421.1997552,,,,,,
24,24,41.064162426,1.249999968422344e-06,25.0,0,0.6081474423408508,1736736421.653302,,,,,,
