trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch
0,0,44.270769595,5.000000058430487e-08,1.0,0,1.3242512941360474,1736724588.096717,,,,
1,1,44.727386603,1.0000000116860974e-07,2.0,0,1.325863003730774,1736724588.553244,,,,
2,2,45.196272684,1.500000053056283e-07,3.0,0,1.387141227722168,1736724589.0220904,,,,
3,3,45.657620774,2.0000000233721948e-07,4.0,0,1.3248010873794556,1736724589.4834452,,,,
4,4,46.120746416,2.499999993688107e-07,5.0,0,1.179377555847168,1736724589.9465158,,,,
5,5,46.586980271,3.000000106112566e-07,6.0,0,1.2051922082901,1736724590.4128475,,,,
6,6,47.057027746,3.4999999343199306e-07,7.0,0,1.2665939331054688,1736724590.8829134,,,,
7,7,47.518824818,4.0000000467443897e-07,8.0,0,1.2555909156799316,1736724591.3444986,,,,
8,8,47.989742686,4.4999998749517545e-07,9.0,0,1.3474552631378174,1736724591.815507,,,,
9,9,48.457705887,4.999999987376214e-07,10.0,0,1.2274601459503174,1736724592.2829788,,,,
10,10,63.984589546,5.499999815583578e-07,11.0,0,1.1968786716461182,1736724592.7592647,,,,
11,11,63.984927934,6.000000212225132e-07,12.0,0,1.3070449829101562,1736724593.2316937,,,,
12,12,63.984967429,6.500000040432496e-07,13.0,0,1.173111081123352,1736724593.6976216,,,,
13,13,63.985032411,6.999999868639861e-07,14.0,0,1.1965305805206299,1736724594.1654062,,,,
14,14,63.985060203,7.500000265281415e-07,15.0,0,1.2314550876617432,1736724594.632625,,,,
15,15,63.985102413,8.000000093488779e-07,16.0,0,0.9054665565490723,1736724595.0969274,,,,
16,16,63.985129724,8.499999921696144e-07,17.0,0,1.1070135831832886,1736724595.5751104,,,,
17,17,63.985176763,8.999999749903509e-07,18.0,0,1.1661661863327026,1736724596.0460248,,,,
18,18,63.98522288,9.500000146545062e-07,19.0,0,1.1363400220870972,1736724596.5266788,,,,
19,19,63.985268075,9.999999974752427e-07,20.0,0,1.3942241668701172,1736724597.003408,,,,
20,20,63.985307189,1.050000037139398e-06,21.0,0,1.0628856420516968,1736724597.4705405,,,,
