,dataset,ft_regime,optim,lr_scheduler,acc_val_first_epoch,acc_val_last_epoch,loss_val_first_epoch,loss_val_last_epoch,acc_test,loss_test
0,Cars,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.7616707682609558,0.7616707682609558,0.6283417344093323,0.6283417344093323,0.764127790927887,0.6261245608329773
1,DTD,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.758314847946167,0.758314847946167,0.9415820240974426,0.9415820240974426,0.7605321407318115,0.9263455867767334
2,EuroSAT,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9885185360908508,0.9885185360908508,0.0377597771584987,0.0377597771584987,0.9875463247299194,0.0389496646821498
3,GTSRB,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9954954981803894,0.9954954981803894,0.0316260829567909,0.0316260829567909,0.9973723888397216,0.0251398738473653
4,MNIST,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9941999912261964,0.9941999912261964,0.0379628278315067,0.0379628278315067,0.9932000041007996,0.0388811342418193
5,RESISC45,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9481481313705444,0.9481481313705444,0.1620515584945678,0.1620515584945678,0.9486772418022156,0.1574468612670898
6,SVHN,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9593999981880188,0.9593999981880188,0.1591172069311142,0.1591172069311142,0.9592000246047974,0.1616868376731872
7,SUN397,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.7738035321235657,0.7738035321235657,0.7690301537513733,0.7690301537513733,0.7677581906318665,0.7713506817817688
8,STL10,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9879999756813048,0.9879999756813048,0.0363168008625507,0.0363168008625507,0.9900000095367432,0.0330200158059597
9,OxfordIIITPet,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.91576087474823,0.91576087474823,0.2323757410049438,0.2323757410049438,0.9239130616188048,0.2310026586055755
10,Flowers102,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.7647058963775635,0.7647058963775635,0.8147464990615845,0.8147464990615845,0.7450980544090271,0.8363580107688904
11,CIFAR100,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.8849999904632568,0.8849999904632568,0.375274658203125,0.375274658203125,0.8805999755859375,0.3757425546646118
12,PCAM,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9757999777793884,0.9757999777793884,0.071001224219799,0.071001224219799,0.9771999716758728,0.0696846693754196
13,FER2013,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.7198606133460999,0.7198606133460999,0.7684083580970764,0.7684083580970764,0.7240418195724487,0.7628297805786133
14,CIFAR10,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9825999736785888,0.9825999736785888,0.0568744279444217,0.0568744279444217,0.9801999926567078,0.0583817735314369
15,Food101,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.88919997215271,0.88919997215271,0.3917480707168579,0.3917480707168579,0.8895999789237976,0.3945168256759643
16,FashionMNIST,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.934599995613098,0.934599995613098,0.1687527596950531,0.1687527596950531,0.9395999908447266,0.1625587493181228
17,RenderedSST2,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.7442196607589722,0.7442196607589722,0.5075645446777344,0.5075645446777344,0.7615606784820557,0.5169029831886292
18,EMNIST,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9973999857902528,0.9973999857902528,0.0281166769564151,0.0281166769564151,0.9977999925613404,0.0277118049561977
19,KMNIST,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_0.1,0.9914000034332277,0.9914000034332277,0.0289610996842384,0.0289610996842384,0.99099999666214,0.030751584097743
