,dataset,ft_regime,optim,lr_scheduler,acc_val_first_epoch,acc_val_last_epoch,loss_val_first_epoch,loss_val_last_epoch,acc_test,loss_test
0,Cars,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.7088451981544495,0.7088451981544495,0.7693195939064026,0.7693195939064026,0.7088451981544495,0.7717583775520325
1,DTD,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.5764966607093811,0.5764966607093811,1.591955065727234,1.591955065727234,0.5831485390663147,1.587544083595276
2,EuroSAT,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.962499976158142,0.962499976158142,0.117140807211399,0.117140807211399,0.9622685313224792,0.1197206825017929
3,GTSRB,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9891141057014464,0.9891141057014464,0.0607474483549594,0.0607474483549594,0.9898648858070374,0.0603327937424182
4,MNIST,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9941999912261964,0.9941999912261964,0.036205418407917,0.036205418407917,0.9936000108718872,0.0384153760969638
5,RESISC45,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9190475940704346,0.9190475940704346,0.2741201817989349,0.2741201817989349,0.9216931462287904,0.2572343051433563
6,SVHN,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9575999975204468,0.9575999975204468,0.1626646369695663,0.1626646369695663,0.9589999914169312,0.1645960360765457
7,SUN397,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.735516369342804,0.735516369342804,0.8474152088165283,0.8474152088165283,0.7319899201393127,0.8533877730369568
8,STL10,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9940000176429749,0.9940000176429749,0.0298304185271263,0.0298304185271263,0.9919999837875366,0.0264750402420759
9,OxfordIIITPet,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.8913043737411499,0.8913043737411499,0.323818951845169,0.323818951845169,0.8913043737411499,0.3279371559619903
10,Flowers102,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.686274528503418,0.686274528503418,1.3129911422729492,1.3129911422729492,0.6666666865348816,1.3297020196914673
11,CIFAR100,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.8766000270843506,0.8766000270843506,0.3984090685844421,0.3984090685844421,0.8787999749183655,0.3938737511634826
12,PCAM,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9757999777793884,0.9757999777793884,0.071001224219799,0.071001224219799,0.9771999716758728,0.0696846693754196
13,FER2013,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.6585366129875183,0.6585366129875183,0.9477134943008424,0.9477134943008424,0.6515679359436035,0.9490679502487184
14,CIFAR10,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9782000184059144,0.9782000184059144,0.0681002289056778,0.0681002289056778,0.9782000184059144,0.0673926547169685
15,Food101,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.8894000053405762,0.8894000053405762,0.3991223871707916,0.3991223871707916,0.8885999917984009,0.4036161303520202
16,FashionMNIST,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9358000159263612,0.9358000159263612,0.1718017011880874,0.1718017011880874,0.9373999834060668,0.1670419424772262
17,RenderedSST2,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.7109826803207397,0.7109826803207397,0.5869059562683105,0.5869059562683105,0.6965317726135254,0.5912355780601501
18,EMNIST,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9976000189781188,0.9976000189781188,0.0278708860278129,0.0278708860278129,0.9973999857902528,0.027209036052227
19,KMNIST,atm,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9905999898910522,0.9905999898910522,0.0311185792088508,0.0311185792088508,0.9911999702453612,0.0315732769668102
