trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,38.668233535,1e-05,1736189656.9579337,,,,,,,,
49,1,38.782330491,,1736189657.0721488,0.0,0.7427549958229065,,,,,,
99,2,45.031241093,1e-05,1736189663.3211148,,,,,,,,
99,3,45.144811361,,1736189663.4346197,0.0,0.49340203404426575,,,,,,
149,4,51.440283433,1e-05,1736189669.7301135,,,,,,,,
149,5,51.556106899,,1736189669.845901,0.0,0.8466800451278687,,,,,,
199,6,57.834554072,1e-05,1736189676.1243567,,,,,,,,
199,7,57.948860086,,1736189676.2386978,0.0,0.7238526344299316,,,,,,
249,8,64.271154132,1e-05,1736189682.561,,,,,,,,
249,9,64.385413441,,1736189682.6752977,0.0,0.8035688400268555,,,,,,
299,10,70.642331919,1e-05,1736189688.9321618,,,,,,,,
299,11,70.756645412,,1736189689.0465488,0.0,0.9141668081283569,,,,,,
349,12,77.045215603,1e-05,1736189695.3350668,,,,,,,,
349,13,77.160225567,,1736189695.4500186,0.0,0.7287640571594238,,,,,,
399,14,83.456424296,1e-05,1736189701.7462494,,,,,,,,
399,15,83.570412903,,1736189701.8603384,0.0,0.7189275026321411,,,,,,
449,16,89.843348386,1e-05,1736189708.1332033,,,,,,,,
449,17,89.957580704,,1736189708.247456,0.0,0.6770817041397095,,,,,,
499,18,96.219075757,1e-05,1736189714.50892,,,,,,,,
499,19,96.332781768,,1736189714.6226828,0.0,0.8010014891624451,,,,,,
549,20,102.625251636,1e-05,1736189720.915092,,,,,,,,
549,21,102.739566054,,1736189721.029445,0.0,0.671701192855835,,,,,,
599,22,109.026307036,1e-05,1736189727.3161235,,,,,,,,
599,23,109.140028632,,1736189727.4299266,0.0,0.6784223318099976,,,,,,
649,24,115.412457424,1e-05,1736189733.7022097,,,,,,,,
649,25,115.536912168,,1736189733.8267353,0.0,0.538017988204956,,,,,,
699,26,121.846361474,1e-05,1736189740.1361852,,,,,,,,
699,27,121.978762827,,1736189740.2686062,0.0,1.018707036972046,,,,,,
749,28,128.275387295,1e-05,1736189746.5651717,,,,,,,,
749,29,128.389953186,,1736189746.6798027,0.0,0.666725754737854,,,,,,
799,30,134.639675293,1e-05,1736189752.929522,,,,,,,,
799,31,134.753631021,,1736189753.0435057,0.0,0.5649145841598511,,,,,,
849,32,140.988403193,1e-05,1736189759.2782133,,,,,,,,
849,33,141.106069578,,1736189759.3959422,0.0,0.4764152467250824,,,,,,
899,34,147.364231854,1e-05,1736189765.6540635,,,,,,,,
899,35,147.478617215,,1736189765.768523,0.0,0.5805656909942627,,,,,,
949,36,153.724260356,1e-05,1736189772.0140648,,,,,,,,
949,37,153.841889988,,1736189772.1317143,0.0,0.5820257663726807,,,,,,
999,38,160.093433686,1e-05,1736189778.3832753,,,,,,,,
999,39,160.213727759,,1736189778.5036001,0.0,0.8965394496917725,,,,,,
1049,40,166.433063944,1e-05,1736189784.7228875,,,,,,,,
1049,41,166.548040738,,1736189784.8378928,0.0,0.40484941005706787,,,,,,
1099,42,172.77817744,1e-05,1736189791.0680177,,,,,,,,
1099,43,172.892009285,,1736189791.1819088,0.0,0.5640628337860107,,,,,,
1149,44,179.081984212,1e-05,1736189797.3717706,,,,,,,,
1149,45,179.205657203,,1736189797.4954867,0.0,0.8656899333000183,,,,,,
1199,46,185.447258505,1e-05,1736189803.7370656,,,,,,,,
1199,47,185.582638238,,1736189803.872512,0.0,0.6326088905334473,,,,,,
1249,48,191.775462285,1e-05,1736189810.0653117,,,,,,,,
1249,49,191.889916871,,1736189810.1797822,0.0,0.6594251990318298,,,,,,
1299,50,198.127082165,1e-05,1736189816.4168692,,,,,,,,
1299,51,198.241296394,,1736189816.5311296,0.0,0.309979110956192,,,,,,
1349,52,204.499651324,1e-05,1736189822.7894588,,,,,,,,
1349,53,204.61402679,,1736189822.9038763,0.0,0.8298904299736023,,,,,,
1399,54,210.806299591,1e-05,1736189829.096092,,,,,,,,
1399,55,210.962589523,,1736189829.2525027,0.0,0.8894473910331726,,,,,,
1406,56,219.541303293,,1736189837.831156,0.0,,0.8212000131607056,0.5734918117523193,,,,
1406,57,250.076244381,,1736189868.3662162,0.0,,,,0.8022666573524475,0.6731786727905273,,
1449,58,256.080345632,1e-05,1736189874.3700953,,,,,,,,
