trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.886169138,1e-05,1735783398.2606487,,,,,,,,
49,1,35.994338409,,1735783398.3690064,0.0,0.09752153605222702,,,,,,
99,2,41.652655824,1e-05,1735783404.027234,,,,,,,,
99,3,41.760610072,,1735783404.1352532,0.0,0.3306726813316345,,,,,,
149,4,47.423444273,1e-05,1735783409.7979698,,,,,,,,
149,5,47.531449297,,1735783409.906074,0.0,0.1609906256198883,,,,,,
199,6,53.202411492,1e-05,1735783415.5769684,,,,,,,,
199,7,53.31079256,,1735783415.6854138,0.0,0.42806220054626465,,,,,,
249,8,58.981000243,1e-05,1735783421.3555298,,,,,,,,
249,9,59.089366003,,1735783421.4639888,0.0,0.1344805210828781,,,,,,
299,10,64.76274971,1e-05,1735783427.1372824,,,,,,,,
299,11,64.871214956,,1735783427.245823,0.0,0.40218794345855713,,,,,,
349,12,70.544448593,1e-05,1735783432.9189816,,,,,,,,
349,13,70.652955427,,1735783433.0275848,0.0,0.23574483394622803,,,,,,
399,14,76.322352096,1e-05,1735783438.6969037,,,,,,,,
399,15,76.430977393,,1735783438.8056517,0.0,0.1538531482219696,,,,,,
449,16,82.100390443,1e-05,1735783444.4749084,,,,,,,,
449,17,82.20876451,,1735783444.5834255,0.0,0.06572365760803223,,,,,,
499,18,87.866646533,1e-05,1735783450.2411675,,,,,,,,
499,19,87.974984151,,1735783450.349624,0.0,0.09245739877223969,,,,,,
549,20,93.633448437,1e-05,1735783456.0080044,,,,,,,,
549,21,93.741484701,,1735783456.116155,0.0,0.15881405770778656,,,,,,
599,22,99.405483769,1e-05,1735783461.7800176,,,,,,,,
599,23,99.514042252,,1735783461.8886676,0.0,0.15001176297664642,,,,,,
649,24,105.186075757,1e-05,1735783467.5606518,,,,,,,,
649,25,105.294518212,,1735783467.6691587,0.0,0.09287206828594208,,,,,,
699,26,110.963808789,1e-05,1735783473.3383164,,,,,,,,
699,27,111.072213774,,1735783473.4468327,0.0,0.08736032992601395,,,,,,
749,28,116.737936876,1e-05,1735783479.1124725,,,,,,,,
749,29,116.846058921,,1735783479.2206705,0.0,0.053956300020217896,,,,,,
799,30,122.520723459,1e-05,1735783484.895248,,,,,,,,
799,31,122.629313311,,1735783485.0039372,0.0,0.11757763475179672,,,,,,
849,32,128.305762183,1e-05,1735783490.6803079,,,,,,,,
849,33,128.414142974,,1735783490.788784,0.0,0.10953795164823532,,,,,,
899,34,134.09041236,1e-05,1735783496.46498,,,,,,,,
899,35,134.199126966,,1735783496.5737908,0.0,0.03297380730509758,,,,,,
949,36,139.877665615,1e-05,1735783502.252237,,,,,,,,
949,37,139.98594191,,1735783502.360578,0.0,0.06628694385290146,,,,,,
999,38,145.666564354,1e-05,1735783508.0411336,,,,,,,,
999,39,145.77516622,,1735783508.149754,0.0,0.1826017051935196,,,,,,
1049,40,151.444560824,1e-05,1735783513.819123,,,,,,,,
1049,41,151.553234794,,1735783513.927855,0.0,0.0998392403125763,,,,,,
1099,42,157.229320346,1e-05,1735783519.603842,,,,,,,,
1099,43,157.337945766,,1735783519.712582,0.0,0.36319220066070557,,,,,,
1149,44,163.015172076,1e-05,1735783525.3897011,,,,,,,,
1149,45,163.123806373,,1735783525.4983919,0.0,0.1944773644208908,,,,,,
1199,46,168.805596735,1e-05,1735783531.1801403,,,,,,,,
1199,47,168.91426739,,1735783531.2888737,0.0,0.1191151961684227,,,,,,
1249,48,174.590419566,1e-05,1735783536.964943,,,,,,,,
1249,49,174.69900936,,1735783537.0736606,0.0,0.17014376819133759,,,,,,
1299,50,180.372911389,1e-05,1735783542.7474933,,,,,,,,
