trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,36.894720716,1e-05,1735781564.6413171,,,,,,,,
49,1,37.003443036,,1735781564.750104,0.0,0.7248556017875671,,,,,,
99,2,42.731736152,1e-05,1735781570.4783614,,,,,,,,
99,3,42.840488346,,1735781570.5871449,0.0,1.1992377042770386,,,,,,
149,4,48.581255613,1e-05,1735781576.3279486,,,,,,,,
149,5,48.690129163,,1735781576.4367473,0.0,0.7885634303092957,,,,,,
199,6,54.403961367,1e-05,1735781582.1506522,,,,,,,,
199,7,54.511814089,,1735781582.2586067,0.0,0.8837824463844299,,,,,,
229,8,61.330301495,,1735781589.07699,0.0,,0.6289926171302795,0.9841184616088867,,,,
229,9,80.156976502,,1735781607.90382,0.0,,,,0.6491132378578186,1.0186153650283813,,
249,10,84.936340494,1e-05,1735781612.6829264,,,,,,,,
249,11,85.046197221,,1735781612.7927692,1.0,0.801855742931366,,,,,,
299,12,90.755066274,1e-05,1735781618.5017872,,,,,,,,
299,13,90.863536028,,1735781618.6103363,1.0,0.8488767147064209,,,,,,
349,14,96.593703191,1e-05,1735781624.3402853,,,,,,,,
349,15,96.702769147,,1735781624.4495656,1.0,1.1571136713027954,,,,,,
399,16,102.437190762,1e-05,1735781630.1839104,,,,,,,,
399,17,102.54645197,,1735781630.2931588,1.0,0.9235057234764099,,,,,,
449,18,108.24889043,1e-05,1735781635.9951994,,,,,,,,
449,19,108.356667424,,1735781636.1034918,1.0,0.6871854066848755,,,,,,
459,20,112.768488481,,1735781640.5152056,1.0,,0.6363636255264282,0.9626625180244446,,,,
459,21,131.325165742,,1735781659.071884,1.0,,,,0.668485701084137,0.956683337688446,,
499,22,138.051212945,1e-05,1735781665.7978227,,,,,,,,
499,23,138.160659043,,1735781665.9073555,2.0,0.7410640716552734,,,,,,
549,24,143.910446964,1e-05,1735781671.6571574,,,,,,,,
549,25,144.019970324,,1735781671.7667513,2.0,0.8527447581291199,,,,,,
