,dataset_name,acc_gap,acc_ratio,loss_gap,normalized_loss_gap
0,cifar100,0.05140000581741333,0.9366058154812843,0.2035728096961975,0.2365027219329574
1,dtd,0.1618624925613404,0.7525424161268305,0.7339092493057253,0.3777359112691257
2,eurosat,0.0984722375869751,0.8988587579503583,0.3905987218022347,0.7978904844281811
3,gtsrb,0.3074324131011963,0.6520815772801889,1.0317757725715637,0.691606199871478
4,mnist,0.07120001316070568,0.9267037147302376,0.2537800222635269,0.5559719632392116
5,resisc45,0.15555554628372192,0.8222491011786109,0.49743276834487915,0.5465905912170869
6,svhn,0.08539998531341553,0.9019517955129541,0.26808518171310425,0.3423903362330968
7,cars,0.07739561796188354,0.890434729633081,0.20038223266601574,0.2036159674704412
8,emnist,0.08619999885559082,0.9051287679471585,0.2089586853981018,0.40475930425289114
9,fashionmnist,0.04919999837875366,0.944052766037743,0.1481479704380036,0.3200531269206488
10,fer2013,0.18501743674278265,0.6991501300290296,0.5001336336135864,0.32200037530925596
11,flowers102,0.14705884456634521,0.8170731472231535,0.6640439629554746,0.48141746839468863
12,food101,0.012799978256225586,0.9852364723234386,0.04118397831916809,0.07846721752698844
13,kmnist,0.34539997577667236,0.554782185663477,0.9141809344291685,0.4960613711445498
14,oxfordiiitpet,0.08423912525177002,0.9090909149385522,0.21885564923286438,0.46889212554901183
15,renderedsst2,0.09971100091934204,0.8591836526829824,0.07814013957977295,0.1188790579731435
16,stl10,0.02799999713897683,0.9719438913661781,0.0959102427586913,0.8800087335340022
17,sun397,0.04080605506896973,0.9418521029150475,0.18809831142425537,0.15799815314700985
