trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.755169187999996,1e-05,1736191069.4706156,,,,,,,,
49,1,35.882608882,,1736191069.5981739,0.0,0.6216475963592529,,,,,,
99,2,42.128142212,1e-05,1736191075.8436906,,,,,,,,
99,3,42.242498092,,1736191075.9580832,0.0,1.1819121837615967,,,,,,
126,4,47.126901981,,1736191080.8424857,0.0,,0.7161862254142761,0.9468942880630493,,,,
126,5,79.688022158,,1736191113.4037547,0.0,,,,0.6744644045829773,1.1604015827178955,,
149,6,83.406002335,1e-05,1736191117.1215081,,,,,,,,
149,7,83.520561703,,1736191117.236205,1.0,0.2331111580133438,,,,,,
199,8,89.834166208,1e-05,1736191123.5497513,,,,,,,,
199,9,89.948523136,,1736191123.6641316,1.0,0.39882469177246094,,,,,,
249,10,96.258403051,1e-05,1736191129.9739945,,,,,,,,
249,11,96.372591443,,1736191130.0882332,1.0,0.4561666250228882,,,,,,
253,12,98.328086236,,1736191132.0436573,1.0,,0.8181818127632141,0.7137606739997864,,,,
253,13,130.748292171,,1736191164.4639153,1.0,,,,0.8534843921661377,0.4592876434326172,,
299,14,137.334393417,1e-05,1736191171.0496235,,,,,,,,
299,15,137.488824683,,1736191171.2044137,2.0,0.08084354549646378,,,,,,
349,16,143.831061877,1e-05,1736191177.5466003,,,,,,,,
349,17,143.945576286,,1736191177.6612065,2.0,0.20063938200473785,,,,,,
380,18,149.331454654,,1736191183.047031,2.0,,0.7982261776924133,0.8048570156097412,,,,
380,19,180.216879445,,1736191213.9324958,2.0,,,,0.9315439462661743,0.22859080135822296,,
399,20,183.338337869,1e-05,1736191217.0538025,,,,,,,,
399,21,183.468836757,,1736191217.18441,3.0,0.09237431734800339,,,,,,
449,22,189.793375692,1e-05,1736191223.5089998,,,,,,,,
449,23,189.908156838,,1736191223.6237526,3.0,0.23988306522369385,,,,,,
499,24,196.258842668,1e-05,1736191229.9744675,,,,,,,,
499,25,196.373569743,,1736191230.0891783,3.0,0.05995035171508789,,,,,,
507,26,198.762150105,,1736191232.4777155,3.0,,0.7560975551605225,0.912447452545166,,,,
507,27,230.074045948,,1736191263.7895532,3.0,,,,0.9569071531295776,0.1435845047235489,,
549,28,236.307527048,1e-05,1736191270.0230057,,,,,,,,
549,29,236.422068273,,1736191270.137602,4.0,0.05223596841096878,,,,,,
599,30,242.727342355,1e-05,1736191276.4429622,,,,,,,,
599,31,242.841689866,,1736191276.5572832,4.0,0.051953352987766266,,,,,,
634,32,248.677017997,,1736191282.3926032,4.0,,0.7960088849067688,0.9019056558609009,,,,
634,33,279.849919618,,1736191313.5655196,4.0,,,,0.9724205732345581,0.10081810504198074,,
649,34,282.492504045,1e-05,1736191316.2080605,,,,,,,,
649,35,282.60703646,,1736191316.3225875,5.0,0.05160507559776306,,,,,,
699,36,288.896309918,1e-05,1736191322.6118455,,,,,,,,
699,37,289.011118281,,1736191322.7267103,5.0,0.34638872742652893,,,,,,
749,38,295.333349857,1e-05,1736191329.0489256,,,,,,,,
749,39,295.448288453,,1736191329.1638389,5.0,0.011384928598999977,,,,,,
761,40,298.321792688,,1736191332.0373578,5.0,,0.8048780560493469,0.9115081429481506,,,,
761,41,330.539665773,,1736191364.2552738,5.0,,,,0.9748830199241638,0.08690086752176285,,
799,42,336.11141418,1e-05,1736191369.8269272,,,,,,,,
799,43,336.226395665,,1736191369.9419975,6.0,0.03143264353275299,,,,,,
849,44,342.540970411,1e-05,1736191376.2565215,,,,,,,,
849,45,342.655545273,,1736191376.3711417,6.0,0.10351978242397308,,,,,,
888,46,349.032454588,,1736191382.7480268,6.0,,0.7893570065498352,1.0371241569519043,,,,
888,47,380.128628992,,1736191413.8442595,6.0,,,,0.9812853932380676,0.07532782107591629,,
899,48,382.186972018,1e-05,1736191415.9023528,,,,,,,,
899,49,382.343933199,,1736191416.0595,7.0,0.009585535153746605,,,,,,
949,50,388.601652152,1e-05,1736191422.3172407,,,,,,,,
949,51,388.724065358,,1736191422.439634,7.0,0.026212019845843315,,,,,,
999,52,394.958806029,1e-05,1736191428.674381,,,,,,,,
999,53,395.077952099,,1736191428.7934942,7.0,0.09502440690994263,,,,,,
1015,54,398.499542834,,1736191432.215067,7.0,,0.7849224209785461,1.0502969026565552,,,,
1015,55,430.087844336,,1736191463.8034399,7.0,,,,0.9874415397644043,0.043225884437561035,,
1049,56,435.209002952,1e-05,1736191468.9245267,,,,,,,,
1049,57,435.32347624,,1736191469.0391085,8.0,0.04992717504501343,,,,,,
1099,58,441.650351182,1e-05,1736191475.3659458,,,,,,,,
1099,59,441.764782781,,1736191475.480342,8.0,0.011097796261310577,,,,,,
1142,60,448.627046265,,1736191482.3426,8.0,,0.8004434704780579,0.9697348475456238,,,,
1142,61,448.631138638,,1736191482.3468487,8.0,,,,0.9876877665519714,0.046271421015262604,,
1149,62,450.186314162,1e-05,1736191483.901785,,,,,,,,
1149,63,450.307577119,,1736191484.0223203,9.0,0.004119365010410547,,,,,,
1199,64,456.621665907,1e-05,1736191490.3372889,,,,,,,,
1199,65,456.747448488,,1736191490.463075,9.0,0.14185044169425964,,,,,,
1249,66,463.02357616,1e-05,1736191496.739174,,,,,,,,
1249,67,463.144607152,,1736191496.859308,9.0,0.012417673133313656,,,,,,
1269,68,467.014607975,,1736191500.7302003,9.0,,0.7804877758026123,1.1515979766845703,,,,
1269,69,467.018654011,,1736191500.734327,9.0,,,,0.9864565134048462,0.052372898906469345,,
1299,70,471.532855573,1e-05,1736191505.2483246,,,,,,,,
1299,71,471.647823597,,1736191505.363507,10.0,0.010699759237468243,,,,,,
1349,72,477.921834952,1e-05,1736191511.6374304,,,,,,,,
1349,73,478.03631441,,1736191511.7518902,10.0,0.01687493547797203,,,,,,
1396,74,485.4084902,,1736191519.1240716,10.0,,0.7982261776924133,1.1220614910125732,,,,
1396,75,485.412649288,,1736191519.1283743,10.0,,,,0.9881802797317505,0.04603230208158493,,
1399,76,486.420178402,1e-05,1736191520.135559,,,,,,,,
1399,77,486.543001323,,1736191520.2585087,11.0,0.006337726954370737,,,,,,
1449,78,492.820165842,1e-05,1736191526.5358014,,,,,,,,
1449,79,492.966917617,,1736191526.682501,11.0,0.010722413659095764,,,,,,
1499,80,499.211236131,1e-05,1736191532.9268079,,,,,,,,
1499,81,499.331328792,,1736191533.046914,11.0,0.0052205659449100494,,,,,,
1523,82,503.759707001,,1736191537.475193,11.0,,0.8048780560493469,1.0433621406555176,,,,
1523,83,534.840507578,,1736191568.5560958,11.0,,,,0.9896577000617981,0.038208842277526855,,
1549,84,538.808929058,1e-05,1736191572.5244365,,,,,,,,
1549,85,538.923347389,,1736191572.6389585,12.0,0.00293591246008873,,,,,,
1599,86,545.265137411,1e-05,1736191578.9807305,,,,,,,,
1599,87,545.379482064,,1736191579.095147,12.0,0.007953070104122162,,,,,,
1649,88,551.669195707,1e-05,1736191585.384752,,,,,,,,
1649,89,551.787030443,,1736191585.5025978,12.0,0.003661809954792261,,,,,,
1650,90,553.320897911,,1736191587.03642,12.0,,0.8203991055488586,1.0810810327529907,,,,
1650,91,584.190600426,,1736191617.906217,12.0,,,,0.99285888671875,0.029206566512584686,,
1699,92,591.160474954,1e-05,1736191624.8759851,,,,,,,,
1699,93,591.274977779,,1736191624.99059,13.0,0.016375582665205002,,,,,,
1749,94,597.619609695,1e-05,1736191631.3352058,,,,,,,,
1749,95,597.73420774,,1736191631.4497771,13.0,0.001135959173552692,,,,,,
1777,96,602.771552627,,1736191636.4871542,13.0,,0.7937915921211243,1.158279538154602,,,,
1777,97,635.30145546,,1736191669.0170858,13.0,,,,0.9943363666534424,0.026332059875130653,,
1799,98,638.825775068,1e-05,1736191672.54128,,,,,,,,
1799,99,638.940587624,,1736191672.6561687,14.0,0.0005345073295757174,,,,,,
1849,100,645.24813551,1e-05,1736191678.963731,,,,,,,,
1849,101,645.362688692,,1736191679.078133,14.0,0.003645894816145301,,,,,,
1899,102,651.664523691,1e-05,1736191685.380143,,,,,,,,
1899,103,651.778960607,,1736191685.4945004,14.0,0.0603209026157856,,,,,,
1904,104,653.764561515,,1736191687.4801362,14.0,,0.7982261776924133,1.1166930198669434,,,,
1904,105,653.768437187,,1736191687.4841666,14.0,,,,0.9896577000617981,0.03896014764904976,,
1949,106,660.226547733,1e-05,1736191693.9420702,,,,,,,,
1949,107,660.341649036,,1736191694.0572588,15.0,0.0007431712001562119,,,,,,
1999,108,666.601022089,1e-05,1736191700.316551,,,,,,,,
1999,109,666.72041333,,1736191700.435978,15.0,0.0017108911415562034,,,,,,
2031,110,672.121021583,,1736191705.8366039,15.0,,0.8048780560493469,1.1419157981872559,,,,
2031,111,672.125068816,,1736191705.8407793,15.0,,,,0.9916276931762695,0.032017190009355545,,
2049,112,675.052632202,1e-05,1736191708.7678735,,,,,,,,
2049,113,675.184266425,,1736191708.8997297,16.0,0.0038159540854394436,,,,,,
2099,114,681.456768976,1e-05,1736191715.1723397,,,,,,,,
2099,115,681.571045057,,1736191715.2866662,16.0,0.03535451367497444,,,,,,
