trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.716547812,1e-05,1736172677.570527,,,,,,,,
49,1,33.824910245,,1736172677.6790893,0.0,2.1372227668762207,,,,,,
99,2,39.50206283,1e-05,1736172683.3561392,,,,,,,,
99,3,39.610570354000004,,1736172683.4647589,0.0,2.1133899688720703,,,,,,
126,4,44.013983889,,1736172687.8680906,0.0,,0.49223947525024414,1.9490739107131958,,,,
126,5,62.688268755,,1736172706.513021,0.0,,,,0.45506033301353455,2.0424044132232666,,
149,6,65.885874795,1e-05,1736172709.7398553,,,,,,,,
149,7,65.9949706,,1736172709.8491104,1.0,1.6526687145233154,,,,,,
199,8,71.707097281,1e-05,1736172715.561266,,,,,,,,
199,9,71.816351562,,1736172715.6705835,1.0,1.669145941734314,,,,,,
249,10,77.518088033,1e-05,1736172721.3722587,,,,,,,,
249,11,77.626306658,,1736172721.4805562,1.0,2.1177937984466553,,,,,,
253,12,79.330652344,,1736172723.184723,1.0,,0.5033259391784668,1.9354228973388672,,,,
253,13,98.394138569,,1736172742.2482896,1.0,,,,0.4560452997684479,2.0224502086639404,,
299,14,104.311092024,1e-05,1736172748.1650648,,,,,,,,
299,15,104.41958298,,1736172748.2737505,2.0,1.928167700767517,,,,,,
349,16,110.157391957,1e-05,1736172754.0114872,,,,,,,,
349,17,110.266320391,,1736172754.1204448,2.0,1.8842566013336182,,,,,,
380,18,115.068884738,,1736172758.9229817,2.0,,0.5077605247497559,1.899118185043335,,,,
380,19,134.84229234,,1736172778.6963966,2.0,,,,0.4663875997066498,1.9910736083984375,,
399,20,137.66832174,1e-05,1736172781.5223095,,,,,,,,
399,21,137.776544205,,1736172781.6307032,3.0,2.047712564468384,,,,,,
449,22,143.492949697,1e-05,1736172787.3470213,,,,,,,,
449,23,143.601771812,,1736172787.4558685,3.0,1.9730678796768188,,,,,,
499,24,149.31903204,1e-05,1736172793.1731791,,,,,,,,
499,25,149.427312874,,1736172793.2815354,3.0,1.7841333150863647,,,,,,
507,26,151.579861353,,1736172795.4339502,3.0,,0.5144124031066895,1.8729151487350464,,,,
507,27,169.815101817,,1736172813.6692393,3.0,,,,0.4698350131511688,1.971770167350769,,
549,28,175.315543272,1e-05,1736172819.1696033,,,,,,,,
549,29,175.424008111,,1736172819.2782333,4.0,1.9845447540283203,,,,,,
599,30,181.142107962,1e-05,1736172824.9961627,,,,,,,,
599,31,181.251129882,,1736172825.1052814,4.0,2.234174966812134,,,,,,
634,32,186.533301891,,1736172830.3873963,4.0,,0.5121951103210449,1.8511520624160767,,,,
634,33,205.767957201,,1736172849.6220982,4.0,,,,0.47328245639801025,1.938164234161377,,
649,34,208.052150807,1e-05,1736172851.9061944,,,,,,,,
649,35,208.16062887,,1736172852.0148754,5.0,1.8186722993850708,,,,,,
699,36,213.877262635,1e-05,1736172857.7313862,,,,,,,,
699,37,213.986544732,,1736172857.8407228,5.0,2.352278470993042,,,,,,
749,38,219.709256064,1e-05,1736172863.5633526,,,,,,,,
749,39,219.81814144,,1736172863.6722527,5.0,1.8144057989120483,,,,,,
761,40,222.454790833,,1736172866.3088858,5.0,,0.5144124031066895,1.8283014297485352,,,,
761,41,241.169080329,,1736172885.023194,5.0,,,,0.4777148365974426,1.917131781578064,,
799,42,246.189203682,1e-05,1736172890.043169,,,,,,,,
799,43,246.29783885,,1736172890.1520438,6.0,1.7425554990768433,,,,,,
849,44,252.019963565,1e-05,1736172895.8740187,,,,,,,,
849,45,252.128331825,,1736172895.9825099,6.0,1.4324651956558228,,,,,,
888,46,257.909522472,,1736172901.7636256,6.0,,0.5277161598205566,1.809157371520996,,,,
888,47,275.960805004,,1736172919.8149033,6.0,,,,0.48411720991134644,1.895919919013977,,
899,48,277.786286195,1e-05,1736172921.6402388,,,,,,,,
899,49,277.89550234,,1736172921.7495508,7.0,1.974757432937622,,,,,,
949,50,283.626176893,1e-05,1736172927.4802353,,,,,,,,
949,51,283.734296388,,1736172927.5884914,7.0,2.226311683654785,,,,,,
999,52,289.469880303,1e-05,1736172933.3239703,,,,,,,,
999,53,289.57871747,,1736172933.432798,7.0,1.8863567113876343,,,,,,
1015,54,292.684098168,,1736172936.5382075,7.0,,0.5232815742492676,1.8145414590835571,,,,
1015,55,312.173939264,,1736172956.0281045,7.0,,,,0.48731839656829834,1.8710530996322632,,
1049,56,316.712183622,1e-05,1736172960.5662084,,,,,,,,
1049,57,316.820414827,,1736172960.6746082,8.0,1.9154185056686401,,,,,,
1099,58,322.54686215,1e-05,1736172966.400979,,,,,,,,
1099,59,322.65488751,,1736172966.5090013,8.0,1.9663299322128296,,,,,,
1142,60,328.936110011,,1736172972.7901785,8.0,,0.5254988670349121,1.805242896080017,,,,
1142,61,348.142203825,,1736172991.996286,8.0,,,,0.4910120666027069,1.8577619791030884,,
1149,62,349.519739221,1e-05,1736172993.3737178,,,,,,,,
1149,63,349.628053422,,1736172993.4821656,9.0,2.31256365776062,,,,,,
1199,64,355.363081996,1e-05,1736172999.2171645,,,,,,,,
1199,65,355.472169092,,1736172999.3262672,9.0,1.7495418787002563,,,,,,
1249,66,361.205722805,1e-05,1736173005.0598464,,,,,,,,
1249,67,361.314720604,,1736173005.168867,9.0,1.6612751483917236,,,,,,
1269,68,364.868957284,,1736173008.7230213,9.0,,0.5299334526062012,1.7674943208694458,,,,
1269,69,384.265122957,,1736173028.1192365,9.0,,,,0.49519822001457214,1.836559534072876,,
1299,70,388.343724714,1e-05,1736173032.197747,,,,,,,,
1299,71,388.452786413,,1736173032.3068998,10.0,2.1110901832580566,,,,,,
