trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,49.336348505,1e-05,1736025651.1154933,,,,,,,,
49,1,49.456385798,,1736025651.237631,0.0,2.2724313735961914,,,,,,
99,2,55.578431894,1e-05,1736025657.3595657,,,,,,,,
99,3,55.689813022,,1736025657.470904,0.0,2.06892466545105,,,,,,
149,4,61.91334272,1e-05,1736025663.6935022,,,,,,,,
149,5,62.030629977,,1736025663.8116925,0.0,2.111297607421875,,,,,,
199,6,68.185282188,1e-05,1736025669.9665368,,,,,,,,
199,7,68.293758279,,1736025670.0749176,0.0,2.209076166152954,,,,,,
249,8,74.420946493,1e-05,1736025676.201933,,,,,,,,
249,9,74.548848007,,1736025676.3287182,0.0,2.107640266418457,,,,,,
299,10,80.722725094,1e-05,1736025682.5039222,,,,,,,,
299,11,80.834518864,,1736025682.6157947,0.0,2.1348273754119873,,,,,,
349,12,86.991389168,1e-05,1736025688.772654,,,,,,,,
349,13,87.100450568,,1736025688.8817368,0.0,2.0846385955810547,,,,,,
399,14,93.280417883,1e-05,1736025695.0612752,,,,,,,,
399,15,93.402677541,,1736025695.1837673,0.0,2.2366816997528076,,,,,,
449,16,99.559458666,1e-05,1736025701.3406925,,,,,,,,
449,17,99.674603873,,1736025701.4559088,0.0,1.987302303314209,,,,,,
499,18,105.850143182,1e-05,1736025707.6314046,,,,,,,,
499,19,105.958703833,,1736025707.739919,0.0,1.967864751815796,,,,,,
549,20,112.164822844,1e-05,1736025713.9460032,,,,,,,,
549,21,112.277371735,,1736025714.0582907,0.0,1.9723560810089111,,,,,,
599,22,118.473518581,1e-05,1736025720.2547147,,,,,,,,
599,23,118.584904056,,1736025720.3653448,0.0,2.1718671321868896,,,,,,
649,24,124.789313209,1e-05,1736025726.568154,,,,,,,,
649,25,124.917738488,,1736025726.6986258,0.0,1.9707835912704468,,,,,,
699,26,131.124623283,1e-05,1736025732.9057899,,,,,,,,
699,27,131.232918054,,1736025733.0141938,0.0,1.9321502447128296,,,,,,
749,28,137.394610448,1e-05,1736025739.1758926,,,,,,,,
749,29,137.509111579,,1736025739.2903078,0.0,2.0885863304138184,,,,,,
799,30,143.65319278,1e-05,1736025745.434399,,,,,,,,
799,31,143.769690754,,1736025745.550933,0.0,1.918496012687683,,,,,,
849,32,149.880491289,1e-05,1736025751.6617396,,,,,,,,
849,33,149.994415342,,1736025751.7754138,0.0,1.9423810243606567,,,,,,
899,34,156.148715719,1e-05,1736025757.929983,,,,,,,,
899,35,156.25718127,,1736025758.0384932,0.0,1.946866750717163,,,,,,
949,36,162.372819821,1e-05,1736025764.1539385,,,,,,,,
949,37,162.488730084,,1736025764.2699351,0.0,2.042154312133789,,,,,,
999,38,168.619354371,1e-05,1736025770.3997452,,,,,,,,
999,39,168.756002352,,1736025770.537086,0.0,2.0200772285461426,,,,,,
1049,40,174.943087753,1e-05,1736025776.724271,,,,,,,,
1049,41,175.052122053,,1736025776.833404,0.0,1.7378414869308472,,,,,,
1099,42,181.311643534,1e-05,1736025783.0924268,,,,,,,,
1099,43,181.433195522,,1736025783.2137244,0.0,1.9674046039581299,,,,,,
1149,44,187.611422103,1e-05,1736025789.3925571,,,,,,,,
1149,45,187.723135022,,1736025789.5043263,0.0,1.7815254926681519,,,,,,
1199,46,193.822796473,1e-05,1736025795.6039963,,,,,,,,
1199,47,193.932672694,,1736025795.713914,0.0,1.7765440940856934,,,,,,
1249,48,200.108945278,1e-05,1736025801.8901677,,,,,,,,
1249,49,200.238210226,,1736025802.0190713,0.0,1.7578667402267456,,,,,,
1299,50,206.420859562,1e-05,1736025808.1992722,,,,,,,,
1299,51,206.53074213,,1736025808.3120112,0.0,1.6162900924682617,,,,,,
1349,52,212.66682199,1e-05,1736025814.4479744,,,,,,,,
1349,53,212.786446027,,1736025814.5676908,0.0,1.89104425907135,,,,,,
1399,54,218.907354738,1e-05,1736025820.6873093,,,,,,,,
1399,55,219.052828999,,1736025820.8339157,0.0,1.7537404298782349,,,,,,
1449,56,225.153881895,1e-05,1736025826.9349108,,,,,,,,
1449,57,225.26394804,,1736025827.045056,0.0,1.5331475734710693,,,,,,
1499,58,231.384856719,1e-05,1736025833.1661277,,,,,,,,
1499,59,231.494432432,,1736025833.275638,0.0,1.478950023651123,,,,,,
1549,60,237.635460909,1e-05,1736025839.4165375,,,,,,,,
1549,61,237.768873488,,1736025839.5493863,0.0,1.6753431558609009,,,,,,
1599,62,243.849008166,1e-05,1736025845.629314,,,,,,,,
1599,63,243.98177415,,1736025845.7620263,0.0,1.6292104721069336,,,,,,
1649,64,250.140178624,1e-05,1736025851.921309,,,,,,,,
1649,65,250.249676264,,1736025852.030822,0.0,1.3985583782196045,,,,,,
1699,66,256.429590895,1e-05,1736025858.2107003,,,,,,,,
1699,67,256.547347382,,1736025858.3284266,0.0,1.5644887685775757,,,,,,
1749,68,262.685115894,1e-05,1736025864.4661684,,,,,,,,
1749,69,262.798507282,,1736025864.5796447,0.0,1.600841999053955,,,,,,
1799,70,268.920035543,1e-05,1736025870.701019,,,,,,,,
1799,71,269.035956163,,1736025870.8172011,0.0,1.5078831911087036,,,,,,
1849,72,275.169386959,1e-05,1736025876.9506676,,,,,,,,
1849,73,275.278437261,,1736025877.059712,0.0,1.6825379133224487,,,,,,
1899,74,281.427052616,1e-05,1736025883.208181,,,,,,,,
1899,75,281.537384299,,1736025883.318561,0.0,1.240887999534607,,,,,,
1949,76,287.740443273,1e-05,1736025889.521627,,,,,,,,
1949,77,287.853656969,,1736025889.6349137,0.0,1.5865756273269653,,,,,,
1999,78,294.037433643,1e-05,1736025895.8180141,,,,,,,,
1999,79,294.148440789,,1736025895.9295475,0.0,1.4086335897445679,,,,,,
2049,80,300.263856933,1e-05,1736025902.0449202,,,,,,,,
2049,81,300.383362665,,1736025902.164136,0.0,1.4774786233901978,,,,,,
2099,82,306.552367516,1e-05,1736025908.3333507,,,,,,,,
2099,83,306.665946371,,1736025908.4471476,0.0,1.5152760744094849,,,,,,
2149,84,312.825771535,1e-05,1736025914.6069398,,,,,,,,
2149,85,312.935693339,,1736025914.7166219,0.0,1.581475853919983,,,,,,
2199,86,319.120477228,1e-05,1736025920.8997853,,,,,,,,
2199,87,319.261198561,,1736025921.0423558,0.0,1.6494005918502808,,,,,,
2249,88,325.442439875,1e-05,1736025927.223691,,,,,,,,
2249,89,325.562015119,,1736025927.3430133,0.0,1.5036081075668335,,,,,,
2299,90,331.67881648,1e-05,1736025933.4591875,,,,,,,,
