trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.082339308,1e-05,1736193148.0704892,,,,,,,,
49,1,35.196929003,,1736193148.1853018,0.0,0.06198977306485176,,,,,,
99,2,41.641669027,1e-05,1736193154.6298764,,,,,,,,
99,3,41.758830924,,1736193154.747165,0.0,0.0605446994304657,,,,,,
149,4,48.290143027,1e-05,1736193161.2784736,,,,,,,,
149,5,48.404951913,,1736193161.3933144,0.0,0.103839211165905,,,,,,
199,6,54.781255799,1e-05,1736193167.7695394,,,,,,,,
199,7,54.896071999,,1736193167.8844283,0.0,0.06046000123023987,,,,,,
249,8,61.419662477,1e-05,1736193174.407996,,,,,,,,
249,9,61.546049837,,1736193174.5343175,0.0,0.5382088422775269,,,,,,
299,10,67.983093662,1e-05,1736193180.971406,,,,,,,,
299,11,68.098014959,,1736193181.0863938,0.0,0.06998959928750992,,,,,,
349,12,74.541942072,1e-05,1736193187.5302334,,,,,,,,
349,13,74.656463769,,1736193187.6448383,0.0,0.11736022680997849,,,,,,
399,14,81.113914477,1e-05,1736193194.1021762,,,,,,,,
399,15,81.228330136,,1736193194.2167177,0.0,0.004841548856347799,,,,,,
449,16,87.697659976,1e-05,1736193200.686027,,,,,,,,
449,17,87.813425836,,1736193200.8017921,0.0,0.19352594017982483,,,,,,
499,18,94.249270391,1e-05,1736193207.2375448,,,,,,,,
499,19,94.41062534,,1736193207.3990653,0.0,0.18958011269569397,,,,,,
549,20,100.873705042,1e-05,1736193213.8620157,,,,,,,,
549,21,100.98855199,,1736193213.9769642,0.0,0.013110283762216568,,,,,,
599,22,107.410770899,1e-05,1736193220.399105,,,,,,,,
599,23,107.558584004,,1736193220.5469527,0.0,0.5931054949760437,,,,,,
649,24,114.00537002,1e-05,1736193226.9935958,,,,,,,,
649,25,114.119875999,,1736193227.1082845,0.0,0.019280213862657547,,,,,,
674,26,149.646793118,,1736193262.635141,0.0,,0.9743055701255798,0.08109468966722488,,,,
674,27,181.780441151,,1736193294.7312841,0.0,,,,0.9512962698936462,0.15817764401435852,,
699,28,185.658144462,1e-05,1736193298.6463044,,,,,,,,
699,29,185.77315672,,1736193298.7615588,1.0,0.010359561070799828,,,,,,
749,30,192.284944162,1e-05,1736193305.2732794,,,,,,,,
749,31,192.399329706,,1736193305.3876941,1.0,0.10103824734687805,,,,,,
799,32,198.774799223,1e-05,1736193311.7630708,,,,,,,,
799,33,198.889100569,,1736193311.8774312,1.0,0.20000731945037842,,,,,,
849,34,205.29651476,1e-05,1736193318.2848053,,,,,,,,
849,35,205.410908228,,1736193318.3992977,1.0,0.2681926190853119,,,,,,
899,36,211.83965374,1e-05,1736193324.8279977,,,,,,,,
899,37,211.954655088,,1736193324.943053,1.0,0.28676703572273254,,,,,,
949,38,218.430835015,1e-05,1736193331.419135,,,,,,,,
949,39,218.575185741,,1736193331.5636158,1.0,0.006655768025666475,,,,,,
999,40,225.056029822,1e-05,1736193338.044348,,,,,,,,
999,41,225.175790322,,1736193338.1631513,1.0,0.04010278731584549,,,,,,
1049,42,231.635356941,1e-05,1736193344.6236458,,,,,,,,
1049,43,231.750158935,,1736193344.7385242,1.0,0.009625572711229324,,,,,,
1099,44,238.200537883,1e-05,1736193351.1887872,,,,,,,,
1099,45,238.314966497,,1736193351.303317,1.0,0.004684722051024437,,,,,,
1149,46,244.750787381,1e-05,1736193357.739017,,,,,,,,
1149,47,244.866132504,,1736193357.8545148,1.0,0.031830139458179474,,,,,,
1199,48,251.366654109,1e-05,1736193364.3549335,,,,,,,,
1199,49,251.481302937,,1736193364.4696434,1.0,0.011723053641617298,,,,,,
1249,50,257.965868139,1e-05,1736193370.954202,,,,,,,,
1249,51,258.080904824,,1736193371.0692964,1.0,0.10287803411483765,,,,,,
1299,52,264.55457279,1e-05,1736193377.5429037,,,,,,,,
