trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.739992886,1e-05,1736175506.8443835,,,,,,,,
49,1,34.848502665,,1736175506.953096,0.0,1.1813868284225464,,,,,,
99,2,40.526889918,1e-05,1736175512.6314352,,,,,,,,
99,3,40.635634931,,1736175512.7402604,0.0,1.0948625802993774,,,,,,
149,4,46.320563566,1e-05,1736175518.4250937,,,,,,,,
149,5,46.428754339,,1736175518.5333412,0.0,0.8801857233047485,,,,,,
199,6,52.109694224,1e-05,1736175524.2141776,,,,,,,,
199,7,52.217923272,,1736175524.3224573,0.0,0.8433505892753601,,,,,,
249,8,57.898980216,1e-05,1736175530.0035026,,,,,,,,
249,9,58.007223032,,1736175530.1118286,0.0,0.8856098651885986,,,,,,
299,10,63.678274981,1e-05,1736175535.78276,,,,,,,,
299,11,63.786548549,,1736175535.8911657,0.0,0.7417148351669312,,,,,,
349,12,69.456428944,1e-05,1736175541.560913,,,,,,,,
349,13,69.564576017,,1736175541.669223,0.0,0.5654247999191284,,,,,,
399,14,75.240538401,1e-05,1736175547.3450549,,,,,,,,
399,15,75.348431109,,1736175547.453042,0.0,0.5822620987892151,,,,,,
449,16,81.041725697,1e-05,1736175553.1462622,,,,,,,,
449,17,81.150396109,,1736175553.2549474,0.0,0.6767229437828064,,,,,,
499,18,86.839980885,1e-05,1736175558.944463,,,,,,,,
499,19,86.94851795,,1736175559.0531538,0.0,0.4844065308570862,,,,,,
549,20,92.633713623,1e-05,1736175564.7382493,,,,,,,,
549,21,92.742490913,,1736175564.847096,0.0,0.5899617075920105,,,,,,
599,22,98.422769187,1e-05,1736175570.5273163,,,,,,,,
599,23,98.531442073,,1736175570.6360474,0.0,0.6362151503562927,,,,,,
649,24,104.225115488,1e-05,1736175576.3296957,,,,,,,,
649,25,104.333972854,,1736175576.4385798,0.0,0.5317366719245911,,,,,,
674,26,136.972555323,,1736175609.077103,0.0,,0.8756944537162781,0.4891146719455719,,,,
674,27,154.332185861,,1736175626.3990283,0.0,,,,0.7805555462837219,0.7633171677589417,,
699,28,157.737867814,1e-05,1736175629.8422678,,,,,,,,
699,29,157.84649516,,1736175629.9510524,1.0,0.48644113540649414,,,,,,
749,30,163.539998543,1e-05,1736175635.6445236,,,,,,,,
749,31,163.648401241,,1736175635.7529938,1.0,0.4712604582309723,,,,,,
799,32,169.337130302,1e-05,1736175641.441643,,,,,,,,
799,33,169.44567937,,1736175641.550327,1.0,0.37078961730003357,,,,,,
849,34,175.143331119,1e-05,1736175647.2478044,,,,,,,,
849,35,175.252297464,,1736175647.3568993,1.0,0.46774038672447205,,,,,,
899,36,180.93102938,1e-05,1736175653.0355632,,,,,,,,
899,37,181.039744277,,1736175653.1442742,1.0,0.8295133709907532,,,,,,
949,38,186.733661365,1e-05,1736175658.8381581,,,,,,,,
949,39,186.841824662,,1736175658.946407,1.0,0.43537718057632446,,,,,,
999,40,192.520737894,1e-05,1736175664.6252444,,,,,,,,
999,41,192.628901886,,1736175664.7335153,1.0,0.44617798924446106,,,,,,
1049,42,198.31630552,1e-05,1736175670.420864,,,,,,,,
1049,43,198.424533647,,1736175670.5291479,1.0,0.3773513734340668,,,,,,
1099,44,204.120656311,1e-05,1736175676.2251642,,,,,,,,
1099,45,204.229054371,,1736175676.3336048,1.0,0.5025944709777832,,,,,,
1149,46,209.918503144,1e-05,1736175682.023031,,,,,,,,
1149,47,210.026931816,,1736175682.1315682,1.0,0.31922051310539246,,,,,,
