trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.987513595,1e-05,1736185431.34329,,,,,,,,
49,1,34.095647132,,1736185431.4515827,0.0,1.1813868284225464,,,,,,
99,2,39.766955444,1e-05,1736185437.1229033,,,,,,,,
99,3,39.875431954,,1736185437.231417,0.0,1.0948625802993774,,,,,,
149,4,45.551496547,1e-05,1736185442.907358,,,,,,,,
149,5,45.659899079,,1736185443.0158534,0.0,0.8801857233047485,,,,,,
199,6,51.350028815,1e-05,1736185448.705888,,,,,,,,
199,7,51.458275325,,1736185448.8142097,0.0,0.8433505892753601,,,,,,
249,8,57.13557046,1e-05,1736185454.4914565,,,,,,,,
249,9,57.243805479,,1736185454.5997267,0.0,0.8856098651885986,,,,,,
299,10,62.931813606,1e-05,1736185460.2877207,,,,,,,,
299,11,63.040498177,,1736185460.3964598,0.0,0.7417148351669312,,,,,,
349,12,68.70605326,1e-05,1736185466.0619464,,,,,,,,
349,13,68.814629268,,1736185466.1706057,0.0,0.5654247999191284,,,,,,
399,14,74.491037514,1e-05,1736185471.8469942,,,,,,,,
399,15,74.599767392,,1736185471.9557273,0.0,0.5822620987892151,,,,,,
449,16,80.295900366,1e-05,1736185477.6517878,,,,,,,,
449,17,80.404880151,,1736185477.7608004,0.0,0.6767229437828064,,,,,,
499,18,86.102071235,1e-05,1736185483.4579248,,,,,,,,
499,19,86.210519907,,1736185483.5664911,0.0,0.4844065308570862,,,,,,
549,20,91.903470289,1e-05,1736185489.2593293,,,,,,,,
549,21,92.01219768,,1736185489.368186,0.0,0.5899617075920105,,,,,,
599,22,97.688700727,1e-05,1736185495.0445204,,,,,,,,
599,23,97.798144023,,1736185495.1540036,0.0,0.6362151503562927,,,,,,
649,24,103.48299796,1e-05,1736185500.838899,,,,,,,,
649,25,103.591272614,,1736185500.947258,0.0,0.5317366719245911,,,,,,
674,26,135.910330797,,1736185533.2662168,0.0,,0.8756944537162781,0.4891146719455719,,,,
674,27,156.551110209,,1736185553.9071047,0.0,,,,0.7805555462837219,0.7633171677589417,,
675,28,188.227653114,,1736185585.583539,1.0,,,,,,0.8757407665252686,0.4889455735683441
