trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,50.738393346,1e-05,1736027091.6373112,,,,,,,,
49,1,50.846928635,,1736027091.7459564,0.0,2.0021984577178955,,,,,,
99,2,56.875329603,1e-05,1736027097.774222,,,,,,,,
99,3,56.987394425,,1736027097.8853953,0.0,1.894627571105957,,,,,,
149,4,63.103627648,1e-05,1736027104.002682,,,,,,,,
149,5,63.217087945,,1736027104.1160793,0.0,1.8547513484954834,,,,,,
199,6,69.253105599,1e-05,1736027110.152106,,,,,,,,
199,7,69.361272927,,1736027110.2602942,0.0,1.6038306951522827,,,,,,
249,8,75.402310145,1e-05,1736027116.3012807,,,,,,,,
249,9,75.510869043,,1736027116.409903,0.0,1.8983097076416016,,,,,,
299,10,81.626958515,1e-05,1736027122.5255687,,,,,,,,
299,11,81.751129872,,1736027122.65018,0.0,1.7206335067749023,,,,,,
349,12,87.813516802,1e-05,1736027128.7120502,,,,,,,,
349,13,87.942504253,,1736027128.8410451,0.0,1.8229432106018066,,,,,,
399,14,94.063467021,1e-05,1736027134.96243,,,,,,,,
399,15,94.172746173,,1736027135.0716844,0.0,1.5237966775894165,,,,,,
449,16,100.326149269,1e-05,1736027141.2251904,,,,,,,,
449,17,100.435349114,,1736027141.3343022,0.0,1.7926325798034668,,,,,,
499,18,106.527122518,1e-05,1736027147.4261265,,,,,,,,
499,19,106.643082987,,1736027147.5421038,0.0,1.4061170816421509,,,,,,
549,20,112.731804297,1e-05,1736027153.6267157,,,,,,,,
549,21,112.849668541,,1736027153.748599,0.0,1.518771767616272,,,,,,
599,22,118.947759041,1e-05,1736027159.8467789,,,,,,,,
599,23,119.056128848,,1736027159.9552207,0.0,1.5920484066009521,,,,,,
649,24,125.182899017,1e-05,1736027166.081889,,,,,,,,
649,25,125.291747798,,1736027166.1908119,0.0,1.708706259727478,,,,,,
699,26,131.446704117,1e-05,1736027172.34564,,,,,,,,
699,27,131.555851684,,1736027172.4547927,0.0,1.5593657493591309,,,,,,
749,28,137.681750036,1e-05,1736027178.580764,,,,,,,,
749,29,137.790936284,,1736027178.6898408,0.0,1.2878787517547607,,,,,,
799,30,143.860958336,1e-05,1736027184.759954,,,,,,,,
799,31,143.97006965,,1736027184.8690743,0.0,1.5199681520462036,,,,,,
807,32,152.242880691,,1736027193.1419175,0.0,,0.42996516823768616,1.5532082319259644,,,,
807,33,175.289586793,,1736027216.1580522,0.0,,,,0.40636247396469116,1.6717172861099243,,
808,34,185.698266896,,1736027226.5972595,1.0,,,,,,0.4320557415485382,1.550768494606018
