trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,46.477935296,1e-05,1736026724.668225,,,,,,,,
49,1,46.588680238,,1736026724.7789524,0.0,0.7428499460220337,,,,,,
99,2,52.694453142,1e-05,1736026730.8850882,,,,,,,,
99,3,52.803550549,,1736026730.9942024,0.0,1.0170103311538696,,,,,,
149,4,58.874124789,1e-05,1736026737.0647552,,,,,,,,
149,5,58.984374572,,1736026737.17442,0.0,1.0144881010055542,,,,,,
199,6,65.101648163,1e-05,1736026743.292328,,,,,,,,
199,7,65.211171065,,1736026743.4017055,0.0,0.9888362288475037,,,,,,
249,8,71.4020373,1e-05,1736026749.592655,,,,,,,,
249,9,71.512560083,,1736026749.7032347,0.0,0.9116294384002686,,,,,,
299,10,77.632122769,1e-05,1736026755.8228464,,,,,,,,
299,11,77.751758914,,1736026755.942104,0.0,0.5804315805435181,,,,,,
349,12,83.838035975,1e-05,1736026762.0275676,,,,,,,,
349,13,83.996348986,,1736026762.1869159,0.0,0.571817934513092,,,,,,
399,14,90.141424283,1e-05,1736026768.332089,,,,,,,,
399,15,90.252498434,,1736026768.4417658,0.0,0.5810120701789856,,,,,,
449,16,96.423775415,1e-05,1736026774.6144094,,,,,,,,
449,17,96.542735158,,1736026774.7326217,0.0,0.6091259717941284,,,,,,
499,18,102.630983711,1e-05,1736026780.8216805,,,,,,,,
499,19,102.742034528,,1736026780.9326184,0.0,0.7465369701385498,,,,,,
549,20,108.830446202,1e-05,1736026787.0211825,,,,,,,,
549,21,108.940161407,,1736026787.1309028,0.0,0.6742309331893921,,,,,,
599,22,115.017113728,1e-05,1736026793.207208,,,,,,,,
599,23,115.147987511,,1736026793.3372889,0.0,0.6970986723899841,,,,,,
649,24,121.210104531,1e-05,1736026799.400778,,,,,,,,
649,25,121.319963808,,1736026799.5107543,0.0,0.49509796500205994,,,,,,
699,26,127.457852611,1e-05,1736026805.6471133,,,,,,,,
699,27,127.574341976,,1736026805.7650275,0.0,0.5026615262031555,,,,,,
749,28,133.632847236,1e-05,1736026811.8235908,,,,,,,,
749,29,133.741934049,,1736026811.9326756,0.0,0.67701655626297,,,,,,
799,30,139.868002915,1e-05,1736026818.0587895,,,,,,,,
799,31,139.976997408,,1736026818.1677072,0.0,0.2668110728263855,,,,,,
849,32,146.195220645,1e-05,1736026824.3858852,,,,,,,,
849,33,146.306319138,,1736026824.4968903,0.0,0.564028799533844,,,,,,
899,34,152.382212596,1e-05,1736026830.5729723,,,,,,,,
899,35,152.491328603,,1736026830.6820142,0.0,0.36038631200790405,,,,,,
949,36,158.712430532,1e-05,1736026836.9030027,,,,,,,,
949,37,158.824371279,,1736026837.0149338,0.0,0.4478831887245178,,,,,,
999,38,164.899262707,1e-05,1736026843.089809,,,,,,,,
999,39,165.00953184,,1736026843.2001538,0.0,0.3973388373851776,,,,,,
1049,40,171.105253763,1e-05,1736026849.2959964,,,,,,,,
1049,41,171.213495979,,1736026849.4043245,0.0,0.6178749203681946,,,,,,
1099,42,177.40086561,1e-05,1736026855.5916023,,,,,,,,
1099,43,177.510670138,,1736026855.7012308,0.0,0.2654181718826294,,,,,,
1149,44,183.638765492,1e-05,1736026861.8294196,,,,,,,,
1149,45,183.751080086,,1736026861.9409304,0.0,0.3347391188144684,,,,,,
1199,46,189.935030385,1e-05,1736026868.124907,,,,,,,,
1199,47,190.054147827,,1736026868.24489,0.0,0.4486822485923767,,,,,,
1249,48,196.152577642,1e-05,1736026874.3432739,,,,,,,,
1249,49,196.266334336,,1736026874.4566832,0.0,0.40434831380844116,,,,,,
1299,50,202.41524956,1e-05,1736026880.6059258,,,,,,,,
1299,51,202.52698828,,1736026880.7176378,0.0,0.48257681727409363,,,,,,
1349,52,208.67076758299999,1e-05,1736026886.8592856,,,,,,,,
1349,53,208.789332237,,1736026886.979971,0.0,0.4042656123638153,,,,,,
1399,54,214.939631175,1e-05,1736026893.1302438,,,,,,,,
1399,55,215.053003263,,1736026893.2436092,0.0,0.345145583152771,,,,,,
1449,56,221.225654948,1e-05,1736026899.4158382,,,,,,,,
1449,57,221.339711345,,1736026899.5285974,0.0,0.4435523748397827,,,,,,
1499,58,227.538471354,1e-05,1736026905.7290719,,,,,,,,
1499,59,227.651383944,,1736026905.8417118,0.0,0.29699698090553284,,,,,,
1549,60,233.847098061,1e-05,1736026912.0377166,,,,,,,,
1549,61,233.958598975,,1736026912.149119,0.0,0.47279810905456543,,,,,,
1599,62,240.115804818,1e-05,1736026918.3061159,,,,,,,,
1599,63,240.232999481,,1736026918.423639,0.0,0.3597111403942108,,,,,,
1649,64,246.305520055,1e-05,1736026924.4962347,,,,,,,,
1649,65,246.41423078,,1736026924.6049733,0.0,0.369181364774704,,,,,,
1699,66,252.569083084,1e-05,1736026930.7597983,,,,,,,,
1699,67,252.678073819,,1736026930.8688078,0.0,0.5565875768661499,,,,,,
1718,68,265.531626453,,1736026943.7222583,0.0,,0.8303999900817871,0.46289628744125366,,,,
1718,69,287.666744133,,1736026965.8575895,0.0,,,,0.789545476436615,0.593687891960144,,
1719,70,301.521040592,,1736026979.6739373,1.0,,,,,,0.8317999839782715,0.46506068110466003
