trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
28,0,33.064142323,1e-05,1735806479.3703866,,,,,,,,
28,1,33.140240904,,1735806479.4466767,0.0,1.3081541061401367,,,,,,
28,2,34.497270067,,1735806480.8036664,0.0,,0.656862735748291,1.3793516159057617,,,,
28,3,52.011032006,,1735806498.2797635,0.0,,,,0.6906318068504333,1.282823920249939,,
57,4,56.892023051,1e-05,1735806503.1982996,,,,,,,,
57,5,56.965479243,,1735806503.271924,1.0,2.261735677719116,,,,,,
57,6,58.284593717,,1735806504.5909634,1.0,,0.6666666865348816,1.3649053573608398,,,,
57,7,58.28911667,,1735806504.5955746,1.0,,,,0.6960784196853638,1.2828381061553955,,
86,8,63.270001276,1e-05,1735806509.5763037,,,,,,,,
86,9,63.34330998,,1735806509.649789,2.0,1.943635106086731,,,,,,
86,10,64.711074562,,1735806511.0174441,2.0,,0.6470588445663452,1.3465701341629028,,,,
86,11,83.095357878,,1735806529.40139,2.0,,,,0.6906318068504333,1.277320384979248,,
115,12,88.015461799,1e-05,1735806534.3217578,,,,,,,,
115,13,88.088739679,,1735806534.39488,3.0,1.7197918891906738,,,,,,
115,14,89.382925178,,1735806535.6893113,3.0,,0.6372548937797546,1.3539806604385376,,,,
115,15,108.121061868,,1735806554.42743,3.0,,,,0.6960784196853638,1.2685600519180298,,
144,16,113.001094299,1e-05,1735806559.3073912,,,,,,,,
144,17,113.074463995,,1735806559.380869,4.0,0.7908878326416016,,,,,,
144,18,114.404393693,,1735806560.7107632,4.0,,0.6666666865348816,1.299562692642212,,,,
144,19,133.63318848,,1735806579.9396265,4.0,,,,0.6917211413383484,1.2661998271942139,,
173,20,138.543702091,1e-05,1735806584.8500288,,,,,,,,
173,21,138.617268557,,1735806584.9234505,5.0,1.6784167289733887,,,,,,
173,22,139.954663846,,1735806586.2609947,5.0,,0.6764705777168274,1.2781829833984375,,,,
173,23,158.895481323,,1735806605.2018726,5.0,,,,0.6993464231491089,1.232588768005371,,
202,24,163.830467494,1e-05,1735806610.1368256,,,,,,,,
202,25,163.904031225,,1735806610.210509,6.0,1.0038472414016724,,,,,,
202,26,165.250367364,,1735806611.556742,6.0,,0.656862735748291,1.3070954084396362,,,,
202,27,165.254617944,,1735806611.5611007,6.0,,,,0.7015250325202942,1.2357343435287476,,
231,28,170.191025926,1e-05,1735806616.4972777,,,,,,,,
231,29,170.264338172,,1735806616.5708346,7.0,1.3286540508270264,,,,,,
231,30,171.600615044,,1735806617.9069226,7.0,,0.686274528503418,1.2656903266906738,,,,
231,31,190.798131802,,1735806637.1045334,7.0,,,,0.7047930359840393,1.2181710004806519,,
260,32,195.738549996,1e-05,1735806642.044868,,,,,,,,
260,33,195.811961113,,1735806642.1183958,8.0,1.1472313404083252,,,,,,
260,34,197.115107505,,1735806643.42149,8.0,,0.6764705777168274,1.2664811611175537,,,,
260,35,216.143648646,,1735806662.4500046,8.0,,,,0.7069717049598694,1.195920705795288,,
289,36,221.062185318,1e-05,1735806667.3685467,,,,,,,,
289,37,221.135314047,,1735806667.4418073,9.0,1.4552875757217407,,,,,,
289,38,222.413760014,,1735806668.7201223,9.0,,0.6764705777168274,1.2794533967971802,,,,
289,39,222.418140932,,1735806668.7246354,9.0,,,,0.7080609798431396,1.19896399974823,,
318,40,227.22130143,1e-05,1735806673.5276191,,,,,,,,
318,41,227.294751562,,1735806673.6011899,10.0,1.5233639478683472,,,,,,
318,42,228.589035773,,1735806674.89538,10.0,,0.6764705777168274,1.2727248668670654,,,,
318,43,247.722850498,,1735806694.0291743,10.0,,,,0.7124183177947998,1.17104971408844,,
347,44,252.564497903,1e-05,1735806698.8708017,,,,,,,,
347,45,252.637932467,,1735806698.944361,11.0,1.0478850603103638,,,,,,
347,46,253.940757808,,1735806700.247137,11.0,,0.6666666865348816,1.2263686656951904,,,,
347,47,253.945061957,,1735806700.2515347,11.0,,,,0.7102396488189697,1.1771221160888672,,
376,48,258.838732705,1e-05,1735806705.1450388,,,,,,,,
376,49,258.912402169,,1735806705.2186158,12.0,1.578789472579956,,,,,,
376,50,260.219519636,,1735806706.525892,12.0,,0.6764705777168274,1.2123608589172363,,,,
376,51,279.740946078,,1735806726.0473516,12.0,,,,0.7156862616539001,1.1507879495620728,,
405,52,284.678413322,1e-05,1735806730.984685,,,,,,,,
