trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.285259865,1e-05,1735809296.1672857,,,,,,,,
49,1,37.394094629,,1735809296.2762077,0.0,0.5175186395645142,,,,,,
99,2,43.073278626,1e-05,1735809301.9553337,,,,,,,,
99,3,43.182053896,,1735809302.0641794,0.0,0.41635143756866455,,,,,,
149,4,48.873105714,1e-05,1735809307.7551904,,,,,,,,
149,5,48.98171446,,1735809307.8638942,0.0,0.8536301851272583,,,,,,
199,6,54.662515189,1e-05,1735809313.544616,,,,,,,,
199,7,54.77121344,,1735809313.653415,0.0,0.42733511328697205,,,,,,
249,8,60.459935294,1e-05,1735809319.3420484,,,,,,,,
249,9,60.569011543,,1735809319.4511147,0.0,0.5805851817131042,,,,,,
299,10,66.255234724,1e-05,1735809325.1373034,,,,,,,,
299,11,66.363591089,,1735809325.2457743,0.0,0.6381328701972961,,,,,,
349,12,72.048780568,1e-05,1735809330.9308221,,,,,,,,
349,13,72.157974513,,1735809331.0400517,0.0,0.6998119354248047,,,,,,
399,14,77.843722439,1e-05,1735809336.7257507,,,,,,,,
399,15,77.951885828,,1735809336.8339813,0.0,0.5880368947982788,,,,,,
449,16,83.639578275,1e-05,1735809342.5216112,,,,,,,,
449,17,83.747973868,,1735809342.6300986,0.0,0.39578959345817566,,,,,,
499,18,89.437464903,1e-05,1735809348.319488,,,,,,,,
499,19,89.546310408,,1735809348.4283712,0.0,0.5102521777153015,,,,,,
549,20,95.229280727,1e-05,1735809354.1113098,,,,,,,,
549,21,95.337622053,,1735809354.2197692,0.0,0.34431058168411255,,,,,,
599,22,101.027814503,1e-05,1735809359.9098692,,,,,,,,
599,23,101.136414042,,1735809360.0185308,0.0,0.28519704937934875,,,,,,
649,24,106.806607677,1e-05,1735809365.6887016,,,,,,,,
649,25,106.914850805,,1735809365.797,0.0,0.4305661618709564,,,,,,
699,26,112.583152708,1e-05,1735809371.4651551,,,,,,,,
699,27,112.691342824,,1735809371.5734699,0.0,0.45237693190574646,,,,,,
749,28,118.368751619,1e-05,1735809377.250843,,,,,,,,
749,29,118.477433657,,1735809377.3596003,0.0,0.49275022745132446,,,,,,
799,30,124.159663161,1e-05,1735809383.0417757,,,,,,,,
799,31,124.268529182,,1735809383.150619,0.0,0.4671749174594879,,,,,,
849,32,129.96903562,1e-05,1735809388.8511298,,,,,,,,
849,33,130.077556883,,1735809388.9597092,0.0,0.5813060998916626,,,,,,
899,34,135.775882108,1e-05,1735809394.6579676,,,,,,,,
899,35,135.884829328,,1735809394.7669706,0.0,0.5533657073974609,,,,,,
949,36,141.588455916,1e-05,1735809400.470551,,,,,,,,
949,37,141.697364151,,1735809400.5795054,0.0,0.47316616773605347,,,,,,
999,38,147.405672078,1e-05,1735809406.2877746,,,,,,,,
