trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.914691541,1e-05,1736177159.7424934,,,,,,,,
49,1,34.023278864,,1736177159.8512175,0.0,2.309199333190918,,,,,,
99,2,39.704233421,1e-05,1736177165.532174,,,,,,,,
99,3,39.813035986,,1736177165.6410072,0.0,2.1598331928253174,,,,,,
149,4,45.510489181,1e-05,1736177171.3384223,,,,,,,,
149,5,45.619343995,,1736177171.4473255,0.0,1.8197672367095947,,,,,,
199,6,51.304091656,1e-05,1736177177.1320078,,,,,,,,
199,7,51.412890825,,1736177177.2408578,0.0,2.0464165210723877,,,,,,
249,8,57.104063896,1e-05,1736177182.932014,,,,,,,,
249,9,57.212539839,,1736177183.0405555,0.0,2.173771381378174,,,,,,
299,10,62.902407009,1e-05,1736177188.7303019,,,,,,,,
299,11,63.010967871,,1736177188.8389857,0.0,1.786367654800415,,,,,,
349,12,68.700226938,1e-05,1736177194.5281787,,,,,,,,
349,13,68.808630605,,1736177194.6365643,0.0,1.2719478607177734,,,,,,
399,14,74.50195436999999,1e-05,1736177200.3298502,,,,,,,,
399,15,74.610835171,,1736177200.438794,0.0,1.8229279518127441,,,,,,
449,16,80.298909018,1e-05,1736177206.1268477,,,,,,,,
449,17,80.407718315,,1736177206.2356548,0.0,1.7103774547576904,,,,,,
499,18,86.103980004,1e-05,1736177211.93191,,,,,,,,
499,19,86.212191671,,1736177212.0401654,0.0,1.6031469106674194,,,,,,
549,20,91.905598078,1e-05,1736177217.7335362,,,,,,,,
549,21,92.013767746,,1736177217.8417156,0.0,1.6345505714416504,,,,,,
599,22,97.70208161,1e-05,1736177223.529953,,,,,,,,
599,23,97.810965125,,1736177223.6389835,0.0,1.3554829359054565,,,,,,
649,24,103.49820302,1e-05,1736177229.3261068,,,,,,,,
649,25,103.607240393,,1736177229.4352384,0.0,1.4699277877807617,,,,,,
699,26,109.315222279,1e-05,1736177235.1430876,,,,,,,,
699,27,109.425368448,,1736177235.2533002,0.0,1.129171371459961,,,,,,
749,28,115.10820908,1e-05,1736177240.936154,,,,,,,,
749,29,115.149552909,,1736177240.97759,0.0,1.967718482017517,,,,,,
749,30,119.389612224,,1736177245.2175446,0.0,,0.5780780911445618,1.4965065717697144,,,,
749,31,137.207053466,,1736177263.0350947,0.0,,,,0.5135135054588318,1.764138102531433,,
799,32,143.520249253,1e-05,1736177269.3480153,,,,,,,,
799,33,143.629470017,,1736177269.4574754,1.0,1.1886382102966309,,,,,,
849,34,149.322363803,1e-05,1736177275.150296,,,,,,,,
849,35,149.431293121,,1736177275.2592256,1.0,1.5260955095291138,,,,,,
899,36,155.125142944,1e-05,1736177280.953023,,,,,,,,
899,37,155.233408519,,1736177281.0614424,1.0,1.4564944505691528,,,,,,
949,38,160.929485986,1e-05,1736177286.757419,,,,,,,,
949,39,161.037920313,,1736177286.8659475,1.0,1.2540756464004517,,,,,,
999,40,166.745283827,1e-05,1736177292.573204,,,,,,,,
999,41,166.8539697,,1736177292.6819322,1.0,1.5376455783843994,,,,,,
1049,42,172.559697326,1e-05,1736177298.3875668,,,,,,,,
1049,43,172.667752028,,1736177298.4956827,1.0,1.622344970703125,,,,,,
1099,44,178.370251689,1e-05,1736177304.1981552,,,,,,,,
1099,45,178.479311884,,1736177304.307251,1.0,1.375687599182129,,,,,,
1149,46,184.192242641,1e-05,1736177310.0201783,,,,,,,,
1149,47,184.300815346,,1736177310.1287851,1.0,1.3709627389907837,,,,,,
1199,48,190.00233127,1e-05,1736177315.8302438,,,,,,,,
1199,49,190.110868844,,1736177315.938838,1.0,1.430560827255249,,,,,,
1249,50,195.801746871,1e-05,1736177321.6296897,,,,,,,,
1249,51,195.910321539,,1736177321.738352,1.0,1.300370693206787,,,,,,
1299,52,201.621493529,1e-05,1736177327.4493895,,,,,,,,
1299,53,201.73020576,,1736177327.5582292,1.0,1.1650192737579346,,,,,,
