trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.198463754,1e-05,1736188079.4583855,,,,,,,,
49,1,35.312676557,,1736188079.5729213,0.0,0.49870145320892334,,,,,,
99,2,41.738482579,1e-05,1736188085.9987197,,,,,,,,
99,3,41.85206676,,1736188086.1123843,0.0,0.10946159809827805,,,,,,
149,4,48.263252921,1e-05,1736188092.5234668,,,,,,,,
149,5,48.420788291,,1736188092.6811125,0.0,0.06282374262809753,,,,,,
199,6,54.827987964,1e-05,1736188099.0882175,,,,,,,,
199,7,54.942134276,,1736188099.2024357,0.0,0.168155699968338,,,,,,
249,8,61.417941984,1e-05,1736188105.678245,,,,,,,,
249,9,61.532257632,,1736188105.792639,0.0,0.05685470998287201,,,,,,
299,10,67.935256458,1e-05,1736188112.195507,,,,,,,,
299,11,68.049476414,,1736188112.3097708,0.0,0.012550102546811104,,,,,,
349,12,74.479792336,1e-05,1736188118.7400682,,,,,,,,
349,13,74.594157173,,1736188118.8543935,0.0,0.00668229628354311,,,,,,
399,14,80.945449084,1e-05,1736188125.2057436,,,,,,,,
399,15,81.060521115,,1736188125.3208869,0.0,0.1139264777302742,,,,,,
449,16,87.424129339,1e-05,1736188131.684423,,,,,,,,
449,17,87.598668668,,1736188131.8590052,0.0,0.004001231398433447,,,,,,
499,18,93.953615698,1e-05,1736188138.2138858,,,,,,,,
499,19,94.067492574,,1736188138.3277512,0.0,0.3119698464870453,,,,,,
549,20,100.378952379,1e-05,1736188144.6392243,,,,,,,,
549,21,100.493501293,,1736188144.7537475,0.0,0.51481693983078,,,,,,
599,22,106.866181506,1e-05,1736188151.1264448,,,,,,,,
599,23,106.980753672,,1736188151.2410874,0.0,0.0016771546797826886,,,,,,
649,24,113.425829094,1e-05,1736188157.6860483,,,,,,,,
649,25,113.540022789,,1736188157.8003092,0.0,0.014181860722601414,,,,,,
699,26,119.830923221,1e-05,1736188164.0911083,,,,,,,,
699,27,119.945791318,,1736188164.206101,0.0,0.006662799511104822,,,,,,
749,28,126.343700675,1e-05,1736188170.6039774,,,,,,,,
749,29,126.391263498,,1736188170.6516418,0.0,0.5788019299507141,,,,,,
749,30,130.891371738,,1736188175.1516125,0.0,,0.9872372150421143,0.05401933193206787,,,,
749,31,162.632648924,,1736188206.8552482,0.0,,,,0.9745995998382568,0.10112699866294861,,
750,32,169.72536946,,1736188213.9855676,1.0,,,,,,0.9917417168617249,0.04830797389149666
