trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.727335849,1e-05,1735810531.8081033,,,,,,,,
49,1,32.835534339,,1735810531.9164793,0.0,2.465515375137329,,,,,,
99,2,38.49978703,1e-05,1735810537.5806625,,,,,,,,
99,3,38.607923656,,1735810537.6889415,0.0,2.3515141010284424,,,,,,
149,4,44.26579476,1e-05,1735810543.346691,,,,,,,,
149,5,44.374144087,,1735810543.4550548,0.0,2.4416611194610596,,,,,,
199,6,50.03464252,1e-05,1735810549.1155403,,,,,,,,
199,7,50.142877885,,1735810549.2238693,0.0,2.326521396636963,,,,,,
249,8,55.795066316,1e-05,1735810554.875936,,,,,,,,
249,9,55.903325868,,1735810554.9842818,0.0,2.3442726135253906,,,,,,
299,10,61.568410016,1e-05,1735810560.649245,,,,,,,,
299,11,61.676575844,,1735810560.7575638,0.0,2.3145511150360107,,,,,,
349,12,67.340429171,1e-05,1735810566.4213023,,,,,,,,
349,13,67.448502739,,1735810566.5294764,0.0,2.3471741676330566,,,,,,
399,14,73.113660091,1e-05,1735810572.1945844,,,,,,,,
399,15,73.222226925,,1735810572.3031552,0.0,2.238140821456909,,,,,,
449,16,78.891254029,1e-05,1735810577.9721498,,,,,,,,
449,17,78.99978642,,1735810578.0807958,0.0,2.204141139984131,,,,,,
499,18,84.670887644,1e-05,1735810583.751746,,,,,,,,
499,19,84.778828718,,1735810583.8598368,0.0,2.2903432846069336,,,,,,
549,20,90.44780958,1e-05,1735810589.52868,,,,,,,,
549,21,90.556253349,,1735810589.637227,0.0,2.089977741241455,,,,,,
599,22,96.228953939,1e-05,1735810595.3098488,,,,,,,,
599,23,96.338091509,,1735810595.4189186,0.0,2.112009286880493,,,,,,
649,24,102.013988909,1e-05,1735810601.0948348,,,,,,,,
649,25,102.122380042,,1735810601.2033772,0.0,2.067152738571167,,,,,,
699,26,107.798498523,1e-05,1735810606.87938,,,,,,,,
699,27,107.907324212,,1735810606.9880817,0.0,2.1069178581237793,,,,,,
749,28,113.576367053,1e-05,1735810612.657283,,,,,,,,
749,29,113.684289851,,1735810612.765229,0.0,2.184555768966675,,,,,,
799,30,119.35904968,1e-05,1735810618.4399014,,,,,,,,
799,31,119.467401084,,1735810618.5483825,0.0,1.9947419166564941,,,,,,
849,32,125.150708343,1e-05,1735810624.2315786,,,,,,,,
849,33,125.259095495,,1735810624.3400438,0.0,2.0972652435302734,,,,,,
899,34,130.930896618,1e-05,1735810630.0117693,,,,,,,,
899,35,131.039566241,,1735810630.120573,0.0,2.0781726837158203,,,,,,
949,36,136.718643652,1e-05,1735810635.7994988,,,,,,,,
949,37,136.827185848,,1735810635.9081526,0.0,1.9920240640640259,,,,,,
999,38,142.502757832,1e-05,1735810641.5837114,,,,,,,,
999,39,142.611279511,,1735810641.692228,0.0,2.0919387340545654,,,,,,
1049,40,148.278241042,1e-05,1735810647.3591404,,,,,,,,
1049,41,148.387813501,,1735810647.468753,0.0,2.1340861320495605,,,,,,
1099,42,154.063783412,1e-05,1735810653.1446862,,,,,,,,
1099,43,154.172032774,,1735810653.253005,0.0,2.1447415351867676,,,,,,
1149,44,159.83894964,1e-05,1735810658.919821,,,,,,,,
1149,45,159.94732518,,1735810659.0282485,0.0,2.0294461250305176,,,,,,
1199,46,165.620874403,1e-05,1735810664.701715,,,,,,,,
1199,47,165.729221751,,1735810664.8101997,0.0,1.8795157670974731,,,,,,
1249,48,171.40484606,1e-05,1735810670.485783,,,,,,,,
1249,49,171.513139318,,1735810670.594084,0.0,2.0923845767974854,,,,,,
1299,50,177.186412739,1e-05,1735810676.2673032,,,,,,,,
1299,51,177.294894843,,1735810676.375877,0.0,2.029448986053467,,,,,,
1349,52,182.964776593,1e-05,1735810682.045682,,,,,,,,
1349,53,183.072986798,,1735810682.153944,0.0,1.8682187795639038,,,,,,
1399,54,188.739927232,1e-05,1735810687.8208418,,,,,,,,
1399,55,188.847976236,,1735810687.9289377,0.0,1.8950880765914917,,,,,,
1449,56,194.524671955,1e-05,1735810693.6055636,,,,,,,,
1449,57,194.632801101,,1735810693.7137406,0.0,1.880018949508667,,,,,,
1499,58,200.308068075,1e-05,1735810699.3889487,,,,,,,,
1499,59,200.416264369,,1735810699.4971638,0.0,1.8615425825119019,,,,,,
1549,60,206.082440369,1e-05,1735810705.1632946,,,,,,,,
