trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.431672406,1e-05,1736196393.3201005,,,,,,,,
49,1,35.553318356,,1736196393.44184,0.0,0.3237743377685547,,,,,,
99,2,41.844460357,1e-05,1736196399.7329884,,,,,,,,
99,3,41.958467462,,1736196399.8470604,0.0,0.06165292114019394,,,,,,
149,4,48.208441458,1e-05,1736196406.096967,,,,,,,,
149,5,48.332699469,,1736196406.22128,0.0,0.06298033148050308,,,,,,
199,6,54.610975334,1e-05,1736196412.4994936,,,,,,,,
199,7,54.725148843,,1736196412.6137748,0.0,0.20637528598308563,,,,,,
249,8,60.984024882,1e-05,1736196418.8725595,,,,,,,,
249,9,61.098084643,,1736196418.986693,0.0,0.03452460095286369,,,,,,
299,10,67.352284716,1e-05,1736196425.2408307,,,,,,,,
299,11,67.466828612,,1736196425.3554454,0.0,0.10779904574155807,,,,,,
349,12,73.771267234,1e-05,1736196431.659782,,,,,,,,
349,13,73.886088418,,1736196431.7746038,0.0,0.019302159547805786,,,,,,
399,14,80.166888044,1e-05,1736196438.0554142,,,,,,,,
399,15,80.28705967,,1736196438.175362,0.0,0.12918341159820557,,,,,,
449,16,86.580683221,1e-05,1736196444.4692433,,,,,,,,
449,17,86.694961656,,1736196444.5834599,0.0,0.01928572729229927,,,,,,
499,18,92.98066328,1e-05,1736196450.8691783,,,,,,,,
499,19,93.103728166,,1736196450.9922445,0.0,0.011599740013480186,,,,,,
549,20,99.379789747,1e-05,1736196457.2683277,,,,,,,,
549,21,99.515504885,,1736196457.404092,0.0,0.02283174730837345,,,,,,
599,22,105.797782068,1e-05,1736196463.6863093,,,,,,,,
599,23,105.912179906,,1736196463.8007712,0.0,0.020682230591773987,,,,,,
649,24,112.161780698,1e-05,1736196470.0502987,,,,,,,,
649,25,112.303838848,,1736196470.192448,0.0,0.017174800857901573,,,,,,
699,26,118.580993673,1e-05,1736196476.4695275,,,,,,,,
699,27,118.695361247,,1736196476.5838807,0.0,0.021944496780633926,,,,,,
749,28,124.916270161,1e-05,1736196482.804647,,,,,,,,
749,29,125.064974562,,1736196482.9535027,0.0,0.03459165617823601,,,,,,
799,30,131.325540591,1e-05,1736196489.2140687,,,,,,,,
