trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.171643037,1e-05,1735811758.353584,,,,,,,,
49,1,34.279863473,,1735811758.461958,0.0,0.27945026755332947,,,,,,
99,2,39.943231739,1e-05,1735811764.1250532,,,,,,,,
99,3,40.051135201,,1735811764.2332537,0.0,0.7224568128585815,,,,,,
103,4,42.529688571,,1735811766.7116802,0.0,,0.842391312122345,0.46675053238868713,,,,
103,5,60.895714138,,1735811785.0778708,0.0,,,,0.8571860194206238,0.41558125615119934,,
149,6,67.961040381,1e-05,1735811792.1430302,,,,,,,,
149,7,68.069389519,,1735811792.2515185,1.0,0.5290060639381409,,,,,,
199,8,73.73032748,1e-05,1735811797.9123912,,,,,,,,
199,9,73.838832831,,1735811798.0206072,1.0,0.4599257707595825,,,,,,
207,10,76.833569878,,1735811801.0156233,1.0,,0.8586956262588501,0.44413188099861145,,,,
207,11,95.504304338,,1735811819.6863575,1.0,,,,0.8602052927017212,0.3991568386554718,,
249,12,102.047105245,1e-05,1735811826.2290745,,,,,,,,
249,13,102.155640113,,1735811826.3377497,2.0,0.3906809389591217,,,,,,
299,14,107.826608759,1e-05,1735811832.0087087,,,,,,,,
299,15,107.934923604,,1735811832.1170497,2.0,0.2565467059612274,,,,,,
311,16,111.37829869,,1735811835.5603497,2.0,,0.85326087474823,0.42916521430015564,,,,
311,17,130.411331446,,1735811854.5933366,2.0,,,,0.8650362491607666,0.3818337023258209,,
349,18,136.457870067,1e-05,1735811860.6398299,,,,,,,,
349,19,136.566586847,,1735811860.7486064,3.0,0.4537917673587799,,,,,,
399,20,142.242495721,1e-05,1735811866.4245756,,,,,,,,
399,21,142.350969094,,1735811866.5329905,3.0,0.4007481038570404,,,,,,
415,22,146.194234195,,1735811870.3762312,3.0,,0.864130437374115,0.41644954681396484,,,,
415,23,165.136700395,,1735811889.3187315,3.0,,,,0.8740941882133484,0.3646714985370636,,
449,24,170.779175468,1e-05,1735811894.9611113,,,,,,,,
449,25,170.887544606,,1735811895.0696223,4.0,0.34190237522125244,,,,,,
499,26,176.562756758,1e-05,1735811900.7447906,,,,,,,,
499,27,176.671202469,,1735811900.853297,4.0,0.40216052532196045,,,,,,
