trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,46.314881225,1e-05,1736028418.8429208,,,,,,,,
49,1,46.426434249,,1736028418.9540386,0.0,0.7890984416007996,,,,,,
99,2,52.611047778,1e-05,1736028425.1388307,,,,,,,,
99,3,52.722455667,,1736028425.2504852,0.0,0.6676624417304993,,,,,,
149,4,58.859304877,1e-05,1736028431.3868454,,,,,,,,
149,5,58.970242226,,1736028431.4984388,0.0,0.7335860729217529,,,,,,
199,6,65.143620553,1e-05,1736028437.671787,,,,,,,,
199,7,65.253117356,,1736028437.7813303,0.0,0.6355009078979492,,,,,,
249,8,71.456782832,1e-05,1736028443.9849098,,,,,,,,
249,9,71.569560196,,1736028444.0974836,0.0,0.6100115180015564,,,,,,
299,10,77.682928637,1e-05,1736028450.2111075,,,,,,,,
299,11,77.792634309,,1736028450.3208055,0.0,0.5750066041946411,,,,,,
349,12,83.885320604,1e-05,1736028456.4134712,,,,,,,,
349,13,83.994028715,,1736028456.5223048,0.0,0.440377414226532,,,,,,
399,14,90.171622317,1e-05,1736028462.6997745,,,,,,,,
399,15,90.281338235,,1736028462.8094761,0.0,0.5336037278175354,,,,,,
449,16,96.355135671,1e-05,1736028468.8832839,,,,,,,,
449,17,96.504710697,,1736028469.0325155,0.0,0.5406485199928284,,,,,,
499,18,102.630096134,1e-05,1736028475.157048,,,,,,,,
499,19,102.778560625,,1736028475.306252,0.0,0.459255576133728,,,,,,
549,20,108.926116272,1e-05,1736028481.4539118,,,,,,,,
549,21,109.041988406,,1736028481.5700364,0.0,0.49098828434944153,,,,,,
599,22,115.095016333,1e-05,1736028487.6231744,,,,,,,,
599,23,115.205624716,,1736028487.7323914,0.0,0.3682747483253479,,,,,,
649,24,121.391246208,1e-05,1736028493.9173594,,,,,,,,
649,25,121.501681863,,1736028494.0297682,0.0,0.48868778347969055,,,,,,
699,26,127.583367112,1e-05,1736028500.1114063,,,,,,,,
699,27,127.695987673,,1736028500.224082,0.0,0.5316818952560425,,,,,,
749,28,133.835736218,1e-05,1736028506.3638847,,,,,,,,
749,29,133.944459152,,1736028506.4726534,0.0,0.5250176191329956,,,,,,
799,30,140.115470415,1e-05,1736028512.6436374,,,,,,,,
799,31,140.224289058,,1736028512.7523909,0.0,0.6516544818878174,,,,,,
849,32,146.364427333,1e-05,1736028518.89263,,,,,,,,
849,33,146.473563012,,1736028519.0018363,0.0,0.49840226769447327,,,,,,
899,34,152.607467025,1e-05,1736028525.1356354,,,,,,,,
899,35,152.716328885,,1736028525.2445073,0.0,0.47937700152397156,,,,,,
949,36,158.81850832,1e-05,1736028531.3465154,,,,,,,,
949,37,158.931938889,,1736028531.4598627,0.0,0.36624807119369507,,,,,,
999,38,165.056076011,1e-05,1736028537.583643,,,,,,,,
999,39,165.168012934,,1736028537.6961894,0.0,0.4961826801300049,,,,,,
1049,40,171.270615384,1e-05,1736028543.7987354,,,,,,,,
1049,41,171.380089404,,1736028543.9082952,0.0,0.3555281460285187,,,,,,
1099,42,177.535304701,1e-05,1736028550.0635066,,,,,,,,
1099,43,177.644116301,,1736028550.1724286,0.0,0.4607611298561096,,,,,,
1149,44,183.765819087,1e-05,1736028556.2936494,,,,,,,,
1149,45,183.875036119,,1736028556.4032145,0.0,0.4131489396095276,,,,,,
1199,46,189.951768244,1e-05,1736028562.4787278,,,,,,,,
1199,47,190.085995475,,1736028562.6138425,0.0,0.2614434063434601,,,,,,
1249,48,196.225710109,1e-05,1736028568.753928,,,,,,,,
1249,49,196.338151464,,1736028568.8663554,0.0,0.41012144088745117,,,,,,
1299,50,202.419756722,1e-05,1736028574.9480026,,,,,,,,
1299,51,202.552233139,,1736028575.079204,0.0,0.36657997965812683,,,,,,
1349,52,208.696027771,1e-05,1736028581.2238424,,,,,,,,
1349,53,208.805747063,,1736028581.333936,0.0,0.45957180857658386,,,,,,
1399,54,214.951503018,1e-05,1736028587.4793658,,,,,,,,
1399,55,215.060098681,,1736028587.588382,0.0,0.37316930294036865,,,,,,
1449,56,221.271402207,1e-05,1736028593.7995944,,,,,,,,
1449,57,221.380888338,,1736028593.9090908,0.0,0.5025267601013184,,,,,,
1499,58,227.567190399,1e-05,1736028600.0951085,,,,,,,,
1499,59,227.679068885,,1736028600.2072484,0.0,0.45082998275756836,,,,,,
1549,60,233.779953612,1e-05,1736028606.3075743,,,,,,,,
1549,61,233.893299302,,1736028606.4212866,0.0,0.35125240683555603,,,,,,
1599,62,240.028814123,1e-05,1736028612.557015,,,,,,,,
1599,63,240.140983094,,1736028612.6691978,0.0,0.48269665241241455,,,,,,
1649,64,246.307284497,1e-05,1736028618.8348584,,,,,,,,
1649,65,246.417572052,,1736028618.9457166,0.0,0.48280707001686096,,,,,,
1699,66,252.519167673,1e-05,1736028625.0473254,,,,,,,,
1699,67,252.628715863,,1736028625.1568446,0.0,0.36898887157440186,,,,,,
1749,68,258.751419822,1e-05,1736028631.277659,,,,,,,,
1749,69,258.86146161,,1736028631.3896248,0.0,0.4743556082248688,,,,,,
1799,70,264.929548551,1e-05,1736028637.4576674,,,,,,,,
1799,71,265.052896541,,1736028637.5811417,0.0,0.38876259326934814,,,,,,
1849,72,271.164708978,1e-05,1736028643.692892,,,,,,,,
1849,73,271.279092455,,1736028643.803823,0.0,0.4245568811893463,,,,,,
1899,74,277.386823828,1e-05,1736028649.9149733,,,,,,,,
1899,75,277.515444119,,1736028650.0412102,0.0,0.2429565042257309,,,,,,
1949,76,283.638862948,1e-05,1736028656.1670449,,,,,,,,
1949,77,283.747612878,,1736028656.2759352,0.0,0.33870622515678406,,,,,,
1999,78,289.908068721,1e-05,1736028662.4360697,,,,,,,,
1999,79,290.020232822,,1736028662.548344,0.0,0.2074858695268631,,,,,,
2049,80,296.117356663,1e-05,1736028668.6456268,,,,,,,,
2049,81,296.266325811,,1736028668.7930126,0.0,0.34398239850997925,,,,,,
2099,82,302.475054527,1e-05,1736028675.0030074,,,,,,,,
2099,83,302.584536732,,1736028675.112698,0.0,0.43898820877075195,,,,,,
2149,84,308.65164053,1e-05,1736028681.1798558,,,,,,,,
2149,85,308.761316428,,1736028681.2896426,0.0,0.3110738694667816,,,,,,
2199,86,314.95714745,1e-05,1736028687.48533,,,,,,,,
2199,87,315.066136028,,1736028687.5942924,0.0,0.36624959111213684,,,,,,
2249,88,321.214476953,1e-05,1736028693.7297797,,,,,,,,
2249,89,321.316151284,,1736028693.8442693,0.0,0.38874953985214233,,,,,,
2299,90,327.483846509,1e-05,1736028700.0120444,,,,,,,,
2299,91,327.592215614,,1736028700.120518,0.0,0.48561158776283264,,,,,,
2349,92,333.709739455,1e-05,1736028706.2378523,,,,,,,,
2349,93,333.818976013,,1736028706.3471668,0.0,0.33646273612976074,,,,,,
2399,94,339.937750681,1e-05,1736028712.4659483,,,,,,,,
2399,95,340.047706593,,1736028712.5758739,0.0,0.29934218525886536,,,,,,
2449,96,346.218338037,1e-05,1736028718.7459614,,,,,,,,
2449,97,346.328874242,,1736028718.8570437,0.0,0.5042586326599121,,,,,,
2499,98,352.445215203,1e-05,1736028724.9733975,,,,,,,,
2499,99,352.554356356,,1736028725.0826638,0.0,0.4643779397010803,,,,,,
2549,100,358.624321001,1e-05,1736028731.1525524,,,,,,,,
2549,101,358.733526772,,1736028731.261722,0.0,0.49020150303840637,,,,,,
2599,102,364.909002919,1e-05,1736028737.4372022,,,,,,,,
2599,103,365.036692834,,1736028737.5642042,0.0,0.43844708800315857,,,,,,
2649,104,371.148163834,1e-05,1736028743.6761484,,,,,,,,
2649,105,371.259662452,,1736028743.7877386,0.0,0.3574485182762146,,,,,,
2699,106,377.352814202,1e-05,1736028749.8809826,,,,,,,,
2699,107,377.46195852,,1736028749.9901462,0.0,0.4446365535259247,,,,,,
2749,108,383.618870194,1e-05,1736028756.1470904,,,,,,,,
2749,109,383.728123125,,1736028756.2563238,0.0,0.32030531764030457,,,,,,
2799,110,389.813367776,1e-05,1736028762.3413732,,,,,,,,
2799,111,389.947049629,,1736028762.4748862,0.0,0.2928837239742279,,,,,,
2849,112,396.063624424,1e-05,1736028768.5912323,,,,,,,,
2849,113,396.172444122,,1736028768.7005298,0.0,0.3846776485443115,,,,,,
2899,114,402.280986511,1e-05,1736028774.8091376,,,,,,,,
2899,115,402.399597667,,1736028774.923103,0.0,0.3270321190357208,,,,,,
2949,116,408.578677858,1e-05,1736028781.1066236,,,,,,,,
2949,117,408.688385926,,1736028781.216607,0.0,0.5621006488800049,,,,,,
2999,118,414.764047491,1e-05,1736028787.2921522,,,,,,,,
2999,119,414.874882481,,1736028787.4030733,0.0,0.28732848167419434,,,,,,
3049,120,420.996122611,1e-05,1736028793.52422,,,,,,,,
3049,121,421.104578588,,1736028793.6328619,0.0,0.2611367106437683,,,,,,
3099,122,427.27120981,1e-05,1736028799.799374,,,,,,,,
3099,123,427.380793279,,1736028799.908795,0.0,0.20911334455013275,,,,,,
3149,124,433.552209436,1e-05,1736028806.0804088,,,,,,,,
3149,125,433.661888538,,1736028806.190049,0.0,0.6123520135879517,,,,,,
3199,126,439.792022245,1e-05,1736028812.32023,,,,,,,,
3199,127,439.902087157,,1736028812.4301853,0.0,0.30902624130249023,,,,,,
3249,128,446.004855118,1e-05,1736028818.533027,,,,,,,,
3249,129,446.119369523,,1736028818.643242,0.0,0.42845970392227173,,,,,,
3299,130,452.248652608,1e-05,1736028824.77649,,,,,,,,
3299,131,452.361249632,,1736028824.8891556,0.0,0.37151214480400085,,,,,,
3349,132,458.470155233,1e-05,1736028830.9964693,,,,,,,,
3349,133,458.610840798,,1736028831.1387875,0.0,0.22710610926151276,,,,,,
3399,134,464.683187449,1e-05,1736028837.2113705,,,,,,,,
3399,135,464.797367646,,1736028837.3241127,0.0,0.5397293567657471,,,,,,
3449,136,470.91455188,1e-05,1736028843.4409761,,,,,,,,
3449,137,471.04113106,,1736028843.5682535,0.0,0.408456027507782,,,,,,
3499,138,477.17020506,1e-05,1736028849.6983802,,,,,,,,
3499,139,477.27926416,,1736028849.807396,0.0,0.4099693298339844,,,,,,
3549,140,483.383757235,1e-05,1736028855.9119377,,,,,,,,
3549,141,483.493143064,,1736028856.0213528,0.0,0.5148370265960693,,,,,,
3599,142,489.592194361,1e-05,1736028862.1202328,,,,,,,,
3599,143,489.701875569,,1736028862.230061,0.0,0.3961801528930664,,,,,,
3649,144,495.83984553,1e-05,1736028868.368045,,,,,,,,
3649,145,495.948641829,,1736028868.476837,0.0,0.395930677652359,,,,,,
3699,146,502.075036916,1e-05,1736028874.6031651,,,,,,,,
3699,147,502.188081365,,1736028874.7162673,0.0,0.4434758424758911,,,,,,
3749,148,508.347504825,1e-05,1736028880.875694,,,,,,,,
3749,149,508.456606469,,1736028880.9848306,0.0,0.4209274351596832,,,,,,
3799,150,514.537195043,1e-05,1736028887.065381,,,,,,,,
3799,151,514.646673243,,1736028887.174854,0.0,0.3845902681350708,,,,,,
3849,152,520.795769282,1e-05,1736028893.3239427,,,,,,,,
3849,153,520.904839322,,1736028893.4330754,0.0,0.379511296749115,,,,,,
3899,154,527.042549025,1e-05,1736028899.5664208,,,,,,,,
3899,155,527.160268193,,1736028899.6883311,0.0,0.303313285112381,,,,,,
3949,156,533.270805436,1e-05,1736028905.7987983,,,,,,,,
3949,157,533.380774134,,1736028905.90893,0.0,0.37935635447502136,,,,,,
