trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,36.002608275,1e-05,1736197791.7334652,,,,,,,,
49,1,36.117228948,,1736197791.8481667,0.0,0.6502624750137329,,,,,,
99,2,42.373933013,1e-05,1736197798.104712,,,,,,,,
99,3,42.5096067,,1736197798.2405908,0.0,0.40242740511894226,,,,,,
149,4,48.748604283,1e-05,1736197804.4794588,,,,,,,,
149,5,48.86341832,,1736197804.594312,0.0,0.23889823257923126,,,,,,
199,6,55.160971171,1e-05,1736197810.8918095,,,,,,,,
199,7,55.313303262,,1736197811.0442212,0.0,0.36331337690353394,,,,,,
249,8,61.618419558,1e-05,1736197817.3492913,,,,,,,,
249,9,61.75843751,,1736197817.4894,0.0,0.2487240731716156,,,,,,
299,10,68.01147466,1e-05,1736197823.7423477,,,,,,,,
299,11,68.137258377,,1736197823.8681335,0.0,0.1130836009979248,,,,,,
349,12,74.416575908,1e-05,1736197830.1474557,,,,,,,,
349,13,74.532945668,,1736197830.2638896,0.0,0.10795600712299347,,,,,,
399,14,80.845294638,1e-05,1736197836.576133,,,,,,,,
399,15,80.959848957,,1736197836.6907587,0.0,0.3955744504928589,,,,,,
449,16,87.273546275,1e-05,1736197843.0044334,,,,,,,,
449,17,87.397372622,,1736197843.1283045,0.0,0.1000809445977211,,,,,,
499,18,93.73059525,1e-05,1736197849.461486,,,,,,,,
499,19,93.884916622,,1736197849.6158383,0.0,0.26896023750305176,,,,,,
531,20,101.343110089,,1736197857.0739782,0.0,,0.9296296238899231,0.22908253967761993,,,,
531,21,133.560860573,,1736197889.2541804,0.0,,,,0.8854203224182129,0.3693980574607849,,
549,22,136.389937718,1e-05,1736197892.120753,,,,,,,,
549,23,136.505269148,,1736197892.2362049,1.0,0.07371798902750015,,,,,,
599,24,142.813551894,1e-05,1736197898.5444367,,,,,,,,
599,25,142.927823068,,1736197898.658752,1.0,0.23248472809791565,,,,,,
649,26,149.236980575,1e-05,1736197904.9678419,,,,,,,,
649,27,149.35192002,,1736197905.0828304,1.0,0.36035966873168945,,,,,,
699,28,155.618769,1e-05,1736197911.3496032,,,,,,,,
699,29,155.732905609,,1736197911.4638805,1.0,0.29980331659317017,,,,,,
749,30,161.971518109,1e-05,1736197917.7022793,,,,,,,,
749,31,162.101021452,,1736197917.831992,1.0,0.1916409730911255,,,,,,
799,32,168.35931532,1e-05,1736197924.0902176,,,,,,,,
