trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.789007781,1e-05,1735778989.48069,,,,,,,,
49,1,34.897473468,,1735778989.589365,0.0,0.81251460313797,,,,,,
99,2,40.573301321,1e-05,1735778995.2651198,,,,,,,,
99,3,40.681447016999996,,1735778995.373321,0.0,1.0448024272918701,,,,,,
149,4,46.354574668,1e-05,1735779001.0463579,,,,,,,,
149,5,46.463453058,,1735779001.1553328,0.0,0.9676079750061035,,,,,,
199,6,52.142159192,1e-05,1735779006.8339794,,,,,,,,
199,7,52.250889444,,1735779006.9427652,0.0,0.8965790867805481,,,,,,
249,8,57.936992453,1e-05,1735779012.6287892,,,,,,,,
249,9,58.045735748,,1735779012.7376504,0.0,0.7969459891319275,,,,,,
299,10,63.730809581,1e-05,1735779018.422674,,,,,,,,
299,11,63.839047347,,1735779018.5309217,0.0,0.7629507780075073,,,,,,
349,12,69.512365318,1e-05,1735779024.204147,,,,,,,,
349,13,69.620562387,,1735779024.3124435,0.0,0.7213857173919678,,,,,,
399,14,75.306238557,1e-05,1735779029.9980695,,,,,,,,
399,15,75.415025382,,1735779030.1068885,0.0,1.0885578393936157,,,,,,
449,16,81.106271111,1e-05,1735779035.7981017,,,,,,,,
449,17,81.21466062,,1735779035.9065597,0.0,1.0353293418884277,,,,,,
499,18,86.899247357,1e-05,1735779041.5910032,,,,,,,,
499,19,87.007871074,,1735779041.6997705,0.0,1.0568708181381226,,,,,,
531,20,94.876718844,,1735779049.568534,0.0,,0.7195767164230347,0.9100646376609802,,,,
531,21,114.828144444,,1735779069.490105,0.0,,,,0.6764844059944153,1.0517185926437378,,
549,22,118.466602974,1e-05,1735779073.1583238,,,,,,,,
549,23,118.574978372,,1735779073.2668757,1.0,1.040500521659851,,,,,,
599,24,124.243075781,1e-05,1735779078.934872,,,,,,,,
599,25,124.351518485,,1735779079.0433943,1.0,1.0212146043777466,,,,,,
649,26,130.023554919,1e-05,1735779084.7153828,,,,,,,,
649,27,130.132360863,,1735779084.8242414,1.0,0.9264576435089111,,,,,,
699,28,135.812659919,1e-05,1735779090.5044723,,,,,,,,
699,29,135.921023043,,1735779090.6129134,1.0,0.9130368232727051,,,,,,
749,30,141.600977742,1e-05,1735779096.2927673,,,,,,,,
749,31,141.70897076,,1735779096.400864,1.0,0.9619215130805969,,,,,,
799,32,147.385680834,1e-05,1735779102.0775065,,,,,,,,
799,33,147.494127623,,1735779102.186,1.0,0.8448737263679504,,,,,,
849,34,153.171255239,1e-05,1735779107.8630471,,,,,,,,
849,35,153.280429351,,1735779107.9723,1.0,1.142814040184021,,,,,,
899,36,158.966067896,1e-05,1735779113.6578698,,,,,,,,
899,37,159.074261299,,1735779113.7661421,1.0,0.9602402448654175,,,,,,
949,38,164.7566072,1e-05,1735779119.4484086,,,,,,,,
949,39,164.865287135,,1735779119.5571895,1.0,0.8652075529098511,,,,,,
999,40,170.550121231,1e-05,1735779125.2419028,,,,,,,,
999,41,170.65839854,,1735779125.3502765,1.0,0.7425535321235657,,,,,,
1049,42,176.333986129,1e-05,1735779131.0254407,,,,,,,,
1049,43,176.441902942,,1735779131.1338034,1.0,1.001067876815796,,,,,,
1063,44,182.202448932,,1735779136.8942268,1.0,,0.7476190328598022,0.8221206068992615,,,,
1063,45,199.133555777,,1735779153.8251235,1.0,,,,0.7164021134376526,0.9163565039634705,,
1099,46,204.967727184,1e-05,1735779159.6594906,,,,,,,,
1099,47,205.075968873,,1735779159.7678378,2.0,0.8282169699668884,,,,,,
1149,48,210.775269339,1e-05,1735779165.4671414,,,,,,,,
1149,49,210.883695363,,1735779165.5755486,2.0,0.8793773055076599,,,,,,
1199,50,216.5863276,1e-05,1735779171.2782004,,,,,,,,
